No.;Timecode In;Timecode Out;Subtitle
1;00:00:17:17;00:00:17:17;FABst6 * Gong *ÿÿZZZZZZZZZZ¥¥ã¥¥¥¥¥6
2;00:00:17:17;00:00:17:17;FABst¥¥¥ä¥¥¥¥ç¥¥ç¥§ª¦ªîªªªG</i>´
3;00:00:17:17;00:00:18:23;* Gong *
4;00:00:19:00;00:00:19:00;FABstdHier ist das Erste Deutsche Fernsehen( ( 9
5;00:00:19:00;00:00:19:00;FABst: mit den tagesthemen.ÿÿ'ºð
6;00:00:19:00;00:00:22:17;"Hier ist das Erste Deutsche Fernsehen

mit den tagesthemen."
7;00:00:22:19;00:00:22:19;FABstd Diese Sendung wurde vom NDR( ( live Af
8;00:00:22:19;00:00:22:19;FABst6untertitelt (30.06.2023)ÿÿ+»¬
9;00:00:22:19;00:00:26:14;"Diese Sendung wurde vom NDR

live untertitelt (30.06.2023)"
10;00:00:26:16;00:00:26:16;FABstd Heute im Studio: Caren Miosga( ( un*Z
11;00:00:26:16;00:00:26:16;FABst4d Constantin Schreiber.ÿÿ-Ô
12;00:00:26:16;00:00:29:23;"Heute im Studio: Caren Miosga

und Constantin Schreiber."
13;00:00:30:02;00:00:30:02;FABstd Willkommen zu den tagesthemen.( ( 0
14;00:00:30:02;00:00:30:02;FABst.Schönen guten Abend.ÿÿ34
15;00:00:30:02;00:00:33:12;"Willkommen zu den tagesthemen.

SchÈonen guten Abend."
16;00:00:34:18;00:00:34:18;FABstREs ist ein Gesetz, das Deutschlandÿÿv
17;00:00:34:18;00:00:37:00;Es ist ein Gesetz, das Deutschland
18;00:00:37:02;00:00:37:02;FABstd beim Klimaschutz( ( nach vornS
19;00:00:37:02;00:00:37:02;FABst$e bringen soll.ÿÿ=Ø0
20;00:00:37:02;00:00:39:20;"beim Klimaschutz

nach vorne bringen soll."
21;00:00:39:22;00:00:39:22;FABstdDie Gesetzesmacher dürften auf dem ( ( Weö
22;00:00:39:22;00:00:39:22;FABstHg dorthin um Jahre gealtert sein.!ß^
23;00:00:39:22;00:00:44:08;"Die Gesetzesmacher dÈurften auf dem

Weg dorthin um Jahre gealtert sein."
24;00:00:44:10;00:00:44:10;FABstRSelten sorgte eine politische Idee³^
25;00:00:44:10;00:00:46:20;Selten sorgte eine politische Idee
26;00:00:46:22;00:00:46:22;FABstd für so viel Unruhe,( ( Misstrauen ÿ
27;00:00:46:22;00:00:46:22;FABst4und derart viel Streit.ÿÿ-ª>
28;00:00:46:22;00:00:50:16;"fÈur so viel Unruhe,

Misstrauen und derart viel Streit."
29;00:00:50:18;00:00:50:18;FABstdDie Stimmung unter den Koalitionären( ( ¨
30;00:00:50:18;00:00:50:18;FABstB sank genauso in den KellerÿÿÈ
31;00:00:50:18;00:00:54:16;"Die Stimmung unter den KoalitionÈaren

sank genauso in den Keller"
32;00:00:54:18;00:00:54:18;FABstd wie die Umfragewerte( ( für diÓ
33;00:00:54:18;00:00:54:18;"FABst&e Ampelparteien.ÿÿ;ÞÀ"
34;00:00:54:18;00:00:58:19;"wie die Umfragewerte

fÈur die Ampelparteien."
35;00:00:58:21;00:00:58:21;FABstd Aber es geht auch um viel:( ( *
36;00:00:58:21;00:00:58:21;"FABst&eine Wärmewende.ÿÿ;MÊ"
37;00:00:58:21;00:01:01:20;"Aber es geht auch um viel:

eine WÈarmewende."
38;00:01:03:16;00:01:03:16;FABstVHeute liegt der Gesetzesentwurf vor.ÿÿõÒ
39;00:01:03:16;00:01:07:17;Heute liegt der Gesetzesentwurf vor.
40;00:01:08:17;00:01:08:17;FABstTGabor Halasz zeigt, was drin steht.ÿÿ:
41;00:01:08:17;00:01:11:06;Gabor Halasz zeigt, was drin steht.
42;00:01:12:12;00:01:12:12;FABstd Wellen haben sie genug gemacht( ( :
43;00:01:12:12;00:01:12:12;FABst& in der Ampel.C²è
44;00:01:12:12;00:01:15:13;"Wellen haben sie genug gemacht

in der Ampel."
45;00:01:15:15;00:01:15:15;FABstd Was haben sie gestritten( ( um d¸
46;00:01:15:15;00:01:15:15;FABst*as Heizungsgesetz.?Ú 
47;00:01:15:15;00:01:18:14;"Was haben sie gestritten

um das Heizungsgesetz."
48;00:01:18:16;00:01:18:16;FABstL Und was hat er sich geärgert.ÿÿUT
49;00:01:18:16;00:01:20:14;Und was hat er sich geÈargert.
50;00:01:20:16;00:01:20:16;FABstd Robert Habeck schaut heute( ( aus dl¼
51;00:01:20:16;00:01:20:16;FABst0er Ferne nach Berlin.ÿÿ1N
52;00:01:20:16;00:01:23:24;"Robert Habeck schaut heute

aus der Ferne nach Berlin."
53;00:01:24:01;00:01:24:01;FABstD Deutlich entspannter.ÿÿÒz
54;00:01:24:01;00:01:25:15;Deutlich entspannter.
55;00:01:25:17;00:01:25:17;FABstdWir haben ja noch eine Woche Zeit,( ( {ê
56;00:01:25:17;00:01:25:17;FABst:dann wurde genug beraten./
57;00:01:25:17;00:01:29:17;"Wir haben ja noch eine Woche Zeit,

dann wurde genug beraten."
58;00:01:29:18;00:01:29:18;FABstd Dann können wir( ( einen Haken þ
59;00:01:29:18;00:01:29:18;"FABst&dahinter machen.ÿÿ;û"
60;00:01:29:18;00:01:32:13;"Dann kÈonnen wir

einen Haken dahinter machen."
61;00:01:32:15;00:01:32:15;FABstd Doch vor dem Haken( ( muss vie,V
62;00:01:32:15;00:01:32:15;FABst(l gelesen werden:ÿÿ9Ö
63;00:01:32:15;00:01:35:09;"Doch vor dem Haken

muss viel gelesen werden:"
64;00:01:35:11;00:01:35:11;FABstd Über 100 Seiten, viele Details -( ( ¬
65;00:01:35:11;00:01:35:11;FABst0Schwer zu verstehen.ÿÿ1è
66;00:01:35:11;00:01:38:18;"ÈUber 100 Seiten, viele Details -

Schwer zu verstehen."
67;00:01:38:20;00:01:38:20;FABstd Das, was die Ampel( ( nach langem SW
68;00:01:38:20;00:01:38:20;FABst2treit beschlossen hat.ÿÿ/ª6
69;00:01:38:20;00:01:42:08;"Das, was die Ampel

nach langem Streit beschlossen hat."
70;00:01:42:20;00:01:42:20;FABstd Das, auf was wir( ( uns versVî
71;00:01:42:20;00:01:42:20;"FABst""tändigt haben,G:"
72;00:01:42:20;00:01:45:09;"Das, auf was wir

uns verstÈandigt haben,"
73;00:01:45:11;00:01:45:11;FABstd steht jetzt auch( ( wirklich 1.
74;00:01:45:11;00:01:45:11;FABst&im Gesetzestext.C¦f
75;00:01:45:11;00:01:48:06;"steht jetzt auch

wirklich im Gesetzestext."
76;00:01:48:08;00:01:48:08;FABstL Keine Eingriffe ins Eigentum,ÿÿä
77;00:01:48:08;00:01:50:08;Keine Eingriffe ins Eigentum,
78;00:01:50:10;00:01:50:10;FABstd keine Verbote und vor allem( ( T2â
79;00:01:50:10;00:01:50:10;FABst.echnologieoffenheit.ÿÿ3­`
80;00:01:50:10;00:01:53:21;"keine Verbote und vor allem

Technologieoffenheit."
81;00:01:55:02;00:01:55:02;FABstd Ab dem 1. Januar( ( gilt das GebZ°
82;00:01:55:02;00:01:55:02;FABst*äudeenergiegesetz.ÿÿ7#ð
83;00:01:55:02;00:01:58:05;"Ab dem 1. Januar

gilt das GebÈaudeenergiegesetz."
84;00:01:58:11;00:01:58:11;FABstN Aber zunächst nur für Neubauten.ÿÿÞ
85;00:01:58:11;00:02:00:19;Aber zunÈachst nur fÈur Neubauten.
86;00:02:00:21;00:02:00:21;FABst F Bei bestehenden Gebäudenÿÿ-0
87;00:02:00:21;00:02:02:13;Bei bestehenden GebÈauden
88;00:02:02:15;00:02:02:15;FABst!d muss erst eine( ( kommunale Wärmâê
89;00:02:02:15;00:02:02:15;FABst,eplanung vorliegen.ÿÿ5è
90;00:02:02:15;00:02:05:15;"muss erst eine

kommunale WÈarmeplanung vorliegen."
91;00:02:05:17;00:02:05:17;"FABst""> Spätestens 2028.ÿÿi¦"
92;00:02:05:17;00:02:07:03;SpÈatestens 2028.
93;00:02:07:05;00:02:07:05;FABst#d Wer bis dahin noch eine( ( konventione%æ
94;00:02:07:05;00:02:07:05;FABst4lle Öl- oder Gasheizungÿÿ-
95;00:02:07:05;00:02:10:19;"Wer bis dahin noch eine

konventionelle ÈOl- oder Gasheizung"
96;00:02:10:21;00:02:10:21;FABst$d einbauen will, muss sich( ( verpfliE\
97;00:02:10:21;00:02:10:21;FABst2chtend beraten lassen.ÿÿ/£^
98;00:02:10:21;00:02:14:19;"einbauen will, muss sich

verpflichtend beraten lassen."
99;00:02:16:05;00:02:16:05;FABst%d Das Gebäudeenergiegesetz( ( ist
100;00:02:16:05;00:02:16:05;FABst*offener geworden, ?µ
101;00:02:16:05;00:02:19:15;"Das GebÈaudeenergiegesetz

ist offener geworden,"
102;00:02:19:17;00:02:19:17;FABst&d zusammen mit( ( der kommunaleSº
103;00:02:19:17;00:02:19:17;FABst$n Wärmeplanung.E_
104;00:02:19:17;00:02:22:18;"zusammen mit

der kommunalen WÈarmeplanung."
105;00:02:23:21;00:02:23:21;FABst'd Wir schaffen Klarheit( ( übe²
106;00:02:23:21;00:02:23:21;"FABst&r alle Optionen.ÿÿ;<i>N"
107;00:02:23:21;00:02:26:20;"Wir schaffen Klarheit

Èuber alle Optionen."
108;00:02:28:17;00:02:28:17;FABst(dDann können die Leute entscheiden -( ( Àp
109;00:02:28:17;00:02:28:17;FABstBFernwärme oder die Wärmepumpe.ÿÿ¨Z
