No.;Timecode In;Timecode Out;Subtitle
1;00:00:03:00;00:00:03:00;FABst6 * Gong *ÿÿZZZZZZZZZZ¥¥ã¥¥¥¥¥6
2;00:00:03:00;00:00:03:00;FABst¥¥¥á¥¥à¥ã¥¥¥¥§ª¦ªîªªªGÌ
3;00:00:03:00;00:00:04:07;* Gong *
4;00:00:04:09;00:00:04:09;FABstdHier ist das Erste Deutsche Fernsehen( ( 9
5;00:00:04:09;00:00:04:09;FABst: mit der tagesschau.ÿÿ'õþ
6;00:00:04:09;00:00:07:15;"Hier ist das Erste Deutsche Fernsehen

mit der tagesschau."
7;00:00:07:17;00:00:07:17;FABstd Diese Sendung wurde vom NDR( ( live Af
8;00:00:07:17;00:00:07:17;FABst6untertitelt (23.05.2023)ÿÿ+º¬
9;00:00:07:17;00:00:12:02;"Diese Sendung wurde vom NDR

live untertitelt (23.05.2023)"
10;00:00:15:06;00:00:15:06;FABstN Heute im Studio: Judith Rakers.ÿÿÛè
11;00:00:15:06;00:00:17:10;Heute im Studio: Judith Rakers.
12;00:00:17:22;00:00:17:22;FABstd Guten Abend,( ( ich begrüße Si3¦
13;00:00:17:22;00:00:17:22;FABst(e zur tagesschau.A¯R
14;00:00:17:22;00:00:20:21;"Guten Abend,

ich begrÈuûe Sie zur tagesschau."
15;00:00:21:23;00:00:21:23;FABstdDer Streit über das Heizungsgesetz( (
16;00:00:21:23;00:00:21:23;FABst6wird zur Belastungsprobeÿÿ+Í4
17;00:00:21:23;00:00:25:14;"Der Streit Èuber das Heizungsgesetz

wird zur Belastungsprobe"
18;00:00:25:16;00:00:25:16;FABst@ für die Koalition.ÿÿMÄ
19;00:00:25:16;00:00:27:03;fÈur die Koalition.
20;00:00:27:05;00:00:27:05;FABstd Wegen Bedenken der FDP( ( wird der Ev\
21;00:00:27:05;00:00:27:05;FABst:ntwurf diese Woche nicht -ÿÿ'</i>Ú
22;00:00:27:05;00:00:30:22;"Wegen Bedenken der FDP

wird der Entwurf diese Woche nicht -"
23;00:00:30:24;00:00:30:24;FABstd wie vorgesehen - in erster Lesung( ( RP
24;00:00:30:24;00:00:30:24;FABst4im Bundestag beraten.ÿÿ-ì¦
25;00:00:30:24;00:00:34:13;"wie vorgesehen - in erster Lesung

im Bundestag beraten."
26;00:00:35:02;00:00:35:02;FABstd Damit steht der Zeitplan( ( t`
27;00:00:35:02;00:00:35:02;"FABst""auf der Kippe.ÿÿ?æ"
28;00:00:35:02;00:00:38:00;"Damit steht der Zeitplan

auf der Kippe."
29;00:00:39:07;00:00:39:07;FABstd Minister Habeck wirft dem( ( KoalitionGÐ
30;00:00:39:07;00:00:39:07;FABst<spartner FDP Wortbruch vor.ÿÿ%f
31;00:00:39:07;00:00:43:18;"Minister Habeck wirft dem

Koalitionspartner FDP Wortbruch vor."
32;00:00:45:18;00:00:45:18;FABstd Die Wärmewende( ( für Deuts\
