No.;Timecode In;Timecode Out;Subtitle
266;00:05:33:13;00:05:33:13;FABst:gt das Schienennetz lahm. /<i>
267;00:05:33:13;00:05:37:01;"Die Eisenbahnergewerkschaft EVG

liegt das Schienennetz lahm."
268;00:05:37:03;00:05:37:03;FABst`d Acht Stunden lang -( ( am Freitagub
269;00:05:37:03;00:05:37:03;FABst* von 3 bis 11 Uhr.ÿÿ7$
270;00:05:37:03;00:05:39:24;"Acht Stunden lang -

am Freitag von 3 bis 11 Uhr."
271;00:05:40:01;00:05:40:01;FABstad Noch vor( ( der nächsten Verp
272;00:05:40:01;00:05:40:01;"FABst""handlungsrundeÿÿ?ø<u>"
273;00:05:40:01;00:05:42:08;"Noch vor

der nÈachsten Verhandlungsrunde"
274;00:05:42:10;00:05:42:10;FABstbF mit der Deutschen Bahn.ÿÿ­
275;00:05:42:10;00:05:44:03;mit der Deutschen Bahn.
276;00:05:44:14;00:05:44:14;FABstcd Wir haben bisher nichts( ( Verhandú
277;00:05:44:14;00:05:44:14;FABst2lungsfähiges bekommen.7jj
278;00:05:44:14;00:05:47:17;"Wir haben bisher nichts

VerhandlungsfÈahiges bekommen."
279;00:05:47:19;00:05:47:19;FABstdd Irgendwann müssen wir( ( denïÆ
280;00:05:47:19;00:05:47:19;FABst& Druck erhöhen, C0
281;00:05:47:19;00:05:50:02;"Irgendwann mÈussen wir

den Druck erhÈohen,"
282;00:05:50:04;00:05:50:04;FABsted damit wir verhandlungsfähige( ( à
283;00:05:50:04;00:05:50:04;"FABst&Angebote haben.ÿÿ;¤x"
284;00:05:50:04;00:05:52:18;"damit wir verhandlungsfÈahige

Angebote haben."
285;00:05:52:20;00:05:52:20;FABstfd Sonst vergehen( ( die nächstêà
286;00:05:52:20;00:05:52:20;"FABst""en acht Wochenÿÿ?Ýh"
287;00:05:52:20;00:05:55:01;"Sonst vergehen

die nÈachsten acht Wochen"
288;00:05:55:03;00:05:55:03;FABstgH und wir reden immer noch.ÿÿíÀ
289;00:05:55:03;00:05:56:17;und wir reden immer noch.
290;00:05:56:19;00:05:56:19;FABsthH Die Gewerkschaft fordert:ÿÿÜj
291;00:05:56:19;00:06:00:03;Die Gewerkschaft fordert:
292;00:06:06:02;00:06:06:02;FABstid Das Angebot der Deutschen Bahn( ( ble
293;00:06:06:02;00:06:06:02;FABst2ibt deutlich darunter.ÿÿ/ H
294;00:06:06:02;00:06:09:10;"Das Angebot der Deutschen Bahn

bleibt deutlich darunter."
295;00:06:09:12;00:06:09:12;FABstjd Die Bahn findet( ( den erneuten]n
296;00:06:09:12;00:06:09:12;"FABst& Streik unnötig.ÿÿ;"
297;00:06:09:12;00:06:12:02;"Die Bahn findet

den erneuten Streik unnÈotig."
298;00:06:12:04;00:06:12:04;FABstkd Sie rechnet( ( mit erhebliche#Ê
299;00:06:12:04;00:06:12:04;"FABst""n Auswirkungenÿÿ?B"
300;00:06:12:04;00:06:14:14;"Sie rechnet

mit erheblichen Auswirkungen"
301;00:06:14:16;00:06:14:16;FABstlD auch nach Streikende.ÿÿùv
302;00:06:14:16;00:06:16:02;auch nach Streikende.
303;00:06:16:09;00:06:16:09;FABstmd Die Züge sind nicht mehr da,( ( w
304;00:06:16:09;00:06:16:09;FABst*o sie sein sollen,?÷
305;00:06:16:09;00:06:19:07;"Die ZÈuge sind nicht mehr da,

wo sie sein sollen,"
306;00:06:19:09;00:06:19:09;FABstnJ Mitarbeitende sind nicht da.ür
307;00:06:19:09;00:06:21:02;Mitarbeitende sind nicht da.
308;00:06:21:04;00:06:21:04;FABstod Es wird erhebliche( ( BeeinträÒª
309;00:06:21:04;00:06:21:04;FABst(chtigungen geben.ÿÿ9
310;00:06:21:04;00:06:23:18;"Es wird erhebliche

BeeintrÈachtigungen geben."
311;00:06:23:20;00:06:23:20;FABstpd Wir werden( ( im Laufe des Fo¶
312;00:06:23:20;00:06:23:20;"FABst""reitags sehen,ÿÿ?ö"
313;00:06:23:20;00:06:26:03;"Wir werden

im Laufe des Freitags sehen,"
314;00:06:26:05;00:06:26:05;FABstqd inwieweit wir( ( regional stK¶
315;00:06:26:05;00:06:26:05;FABst arten können.ÿÿAxN
316;00:06:26:05;00:06:28:14;"inwieweit wir

regional starten kÈonnen."
317;00:06:30:02;00:06:30:02;FABstrN Wir werden für unsere Reisendenÿÿ,
318;00:06:30:02;00:06:32:04;Wir werden fÈur unsere Reisenden
319;00:06:32:06;00:06:32:06;FABstsd so viel Kulanz( ( wie möglichàÈ
320;00:06:32:06;00:06:32:06;FABst$ bereitstellen.ÿÿ=
321;00:06:32:06;00:06:35:21;"so viel Kulanz

wie mÈoglich bereitstellen."
322;00:06:36:22;00:06:36:22;FABsttd Wer kann, so die Bahn,( ( soll nicÔ
323;00:06:36:22;00:06:36:22;FABst0ht am Freitag reisen.ÿÿ1¾ð
324;00:06:36:22;00:06:40:04;"Wer kann, so die Bahn,

soll nicht am Freitag reisen."
325;00:06:40:06;00:06:40:06;FABstuH Schon gekaufte Fahrkartenÿÿ
326;00:06:40:06;00:06:41:21;Schon gekaufte Fahrkarten
