No.;Timecode In;Timecode Out;Subtitle
1;00:00:03:00;00:00:03:00;FABst6 * Gong *ÿÿZZZZZZZZZZ¥¥ã¥¥¥¥¥6
2;00:00:03:00;00:00:03:00;FABst¥¥¥á¥¥à¥ã¥¥¥¥§ª¦ªîªªªGÌ
3;00:00:03:00;00:00:04:03;* Gong *
4;00:00:04:08;00:00:04:08;FABstdHier ist das Erste Deutsche Fernsehen( ( 9
5;00:00:04:08;00:00:04:08;FABst: mit der tagesschau.ÿÿ'õþ
6;00:00:04:08;00:00:08:07;"Hier ist das Erste Deutsche Fernsehen

mit der tagesschau."
7;00:00:08:22;00:00:08:22;FABstd Diese Sendung wurde vom NDR( ( live Af
8;00:00:08:22;00:00:08:22;FABst6untertitelt (10.06.2023)ÿÿ+¹°
9;00:00:08:22;00:00:13:07;"Diese Sendung wurde vom NDR

live untertitelt (10.06.2023)"
10;00:00:15:10;00:00:15:10;FABstP Heute im Studio: Susanne Daubner.ÿÿïD
11;00:00:15:10;00:00:17:21;Heute im Studio: Susanne Daubner.
12;00:00:18:20;00:00:18:20;FABstd Guten Abend,( ( ich begrüße Si3¦
13;00:00:18:20;00:00:18:20;FABst(e zur tagesschau.A¯R
14;00:00:18:20;00:00:21:23;"Guten Abend,

ich begrÈuûe Sie zur tagesschau."
15;00:00:22:16;00:00:22:16;FABstPDie Ukraine hat offenbar begonnen,ÿÿùÎ
16;00:00:22:16;00:00:24:21;Die Ukraine hat offenbar begonnen,
17;00:00:25:01;00:00:25:01;FABstd Angriffe gegen russische Truppen( ( cô
18;00:00:25:01;00:00:25:01;FABst* zu verstärken.ÿÿ7a
19;00:00:25:01;00:00:28:07;"Angriffe gegen russische Truppen

zu verstÈarken."
20;00:00:28:12;00:00:28:12;"FABstd Präsident Selenskyj sprach ( ( von ""ì"
21;00:00:28:12;00:00:28:12;"FABst6Gegenoffensiv-Aktionen"",ÿÿ+¨æ"
22;00:00:28:12;00:00:31:22;"PrÈasident Selenskyj sprach

von ""Gegenoffensiv-Aktionen"","
23;00:00:32:02;00:00:32:02;FABstP wollte aber keine Details nennen.ÿÿ>
24;00:00:32:02;00:00:34:07;wollte aber keine Details nennen.
25;00:00:34:11;00:00:34:11;FABstd Ob es sich um die erwartete( ( GroßoffÞ6
26;00:00:34:11;00:00:34:11;FABstBensive handelt, ließ er offen.ÿÿø
27;00:00:34:11;00:00:39:04;"Ob es sich um die erwartete

Groûoffensive handelt, lieû er offen."
28;00:00:39:09;00:00:39:09;FABstd Russland hatte erklärt,( ( dieÆÎ
29;00:00:39:09;00:00:39:09;FABst*se laufe bereits. ÿÿ7í
30;00:00:39:09;00:00:42:18;"Russland hatte erklÈart,

diese laufe bereits."
31;00:00:42:23;00:00:42:23;FABstd Kampfhandlungen( ( werden weOè
32;00:00:42:23;00:00:42:23;"FABst&iterhin gemeldetÿÿ;¦"
