No.;Timecode In;Timecode Out;Subtitle
1;00:00:18:00;00:00:18:00;FABst6 * Gong *ÿÿZZZZZZZZZZ¥¥ã¥¥¥¥¥6
2;00:00:18:00;00:00:18:00;FABst¥¥¥á¥¥à¥ã¥¥¥¥§ª¦ªîªªªGÌ
3;00:00:18:00;00:00:19:04;* Gong *
4;00:00:19:08;00:00:19:08;FABstdHier ist das Erste Deutsche Fernsehen( ( 9
5;00:00:19:08;00:00:19:08;FABst: mit den tagesthemen.ÿÿ'ºð
6;00:00:19:08;00:00:23:09;"Hier ist das Erste Deutsche Fernsehen

mit den tagesthemen."
7;00:00:23:13;00:00:23:13;FABstd Diese Sendung wurde vom NDR( ( live Af
8;00:00:23:13;00:00:23:13;FABst6untertitelt (04.06.2023)ÿÿ+¼ª
9;00:00:23:13;00:00:26:20;"Diese Sendung wurde vom NDR

live untertitelt (04.06.2023)"
10;00:00:26:24;00:00:26:24;FABstd Heute im Studio: Aline Abboud( ( uqt
11;00:00:26:24;00:00:26:24;FABst2nd Julia-Niharika Sen.ÿÿ/ÅØ
12;00:00:26:24;00:00:30:01;"Heute im Studio: Aline Abboud

und Julia-Niharika Sen."
13;00:00:30:09;00:00:30:09;FABstL Willkommen zu den tagesthemen.¢\
14;00:00:30:09;00:00:32:10;Willkommen zu den tagesthemen.
15;00:00:33:03;00:00:33:03;FABst: Guten Abend.+È*
16;00:00:33:03;00:00:34:08;Guten Abend.
17;00:00:35:01;00:00:35:01;FABstRWir werfen einen Blick nach Polen,ÿÿ
18;00:00:35:01;00:00:37:17;Wir werfen einen Blick nach Polen,
19;00:00:37:24;00:00:37:24;FABstd wo sich viele an die bewegte( ( Verga
20;00:00:37:24;00:00:37:24;FABstDngenheit ihres Landes erinnern.ÿÿû¬
21;00:00:37:24;00:00:42:15;"wo sich viele an die bewegte

Vergangenheit ihres Landes erinnern."
22;00:00:42:24;00:00:42:24;FABstd Über 100.000 Menschen( ( protes¢N
23;00:00:42:24;00:00:42:24;FABst,tierten in Warschauÿÿ5®ô
24;00:00:42:24;00:00:46:09;"ÈUber 100.000 Menschen

protestierten in Warschau"
25;00:00:46:13;00:00:46:13;FABstd gegen( ( die national-kons1ú
26;00:00:46:13;00:00:46:13;FABst,ervative Regierung.ÿÿ5¦ð
27;00:00:46:13;00:00:49:15;"gegen

die national-konservative Regierung."
28;00:00:50:20;00:00:50:20;"FABstd Die Organisatoren sprachen ( ( von d;Ì"
29;00:00:50:20;00:00:50:20;FABst6er größten Demonstrationÿÿ+á4
30;00:00:50:20;00:00:54:06;"Die Organisatoren sprachen

von der grÈoûten Demonstration"
31;00:00:54:08;00:00:54:08;FABstTseit dem Ende des Kommunismus 1989.ÿÿÄ
32;00:00:54:08;00:00:56:20;seit dem Ende des Kommunismus 1989.
33;00:00:57:17;00:00:57:17;FABstd Sie hatten die Kundgebung( ( bewusst v:
34;00:00:57:17;00:00:57:17;FABst2auf diesen Tag gelegt.ÿÿ/Ö 
35;00:00:57:17;00:01:01:13;"Sie hatten die Kundgebung

bewusst auf diesen Tag gelegt."
36;00:01:01:21;00:01:01:21;FABstdAm 4. Juni 1989 fanden in Polen die( ( eJú
37;00:01:01:21;00:01:01:21;FABstFrsten teils freien Wahlen statt.ÿÿËª
38;00:01:01:21;00:01:06:14;"Am 4. Juni 1989 fanden in Polen die

ersten teils freien Wahlen statt."
39;00:01:07:12;00:01:07:12;FABstd Kritiker sehen wegen( ( der Reg!
40;00:01:07:12;00:01:07:12;FABst(ierungspartei PiSÿÿ9Ü,
41;00:01:07:12;00:01:10:14;"Kritiker sehen wegen

der Regierungspartei PiS"
42;00:01:11:23;00:01:11:23;FABstL diese freie Wahlen in Gefahr.ÿÿ<u>Ì
43;00:01:11:23;00:01:14:06;diese freie Wahlen in Gefahr.
44;00:01:14:19;00:01:14:19;FABstL Kristin Joachim aus Warschau.ÿÿõê
45;00:01:14:19;00:01:16:11;Kristin Joachim aus Warschau.
46;00:01:24:18;00:01:24:18;"FABstd Sie singen die Nationalhymne: ( ( ""Noch QB"
47;00:01:24:18;00:01:24:18;"FABst:ist Polen nicht verloren.""ÿÿ'º"
48;00:01:24:18;00:01:28:15;"Sie singen die Nationalhymne:

""Noch ist Polen nicht verloren."""
49;00:01:29:16;00:01:29:16;FABstP Genau das empfinden die Menschen,¯þ
50;00:01:29:16;00:01:31:19;Genau das empfinden die Menschen,
51;00:01:31:21;00:01:31:21;FABstd die zu Hunderttausenden( ( nach War'
52;00:01:31:21;00:01:31:21;FABst.schau gekommen sind.`3Ù<
53;00:01:31:21;00:01:34:23;"die zu Hunderttausenden

nach Warschau gekommen sind."
54;00:01:35:21;00:01:35:21;FABstdSie protestieren gegen die Regierung( ( 'v
55;00:01:35:21;00:01:35:21;FABstBder nationalkonservativen PiS.ÿÿàÂ
56;00:01:35:21;00:01:40:10;"Sie protestieren gegen die Regierung

der nationalkonservativen PiS."
57;00:01:42:06;00:01:42:06;FABstd Die Demo ist Ausdruck( ( der Unzuf)
58;00:01:42:06;00:01:42:06;FABst<riedenheit, des Widerstands-äT
59;00:01:42:06;00:01:45:23;"Die Demo ist Ausdruck

der Unzufriedenheit, des Widerstands"
60;00:01:46:02;00:01:46:02;FABstd gegen den Mangel an Demokratie( ( !
61;00:01:46:02;00:01:46:02;"FABst"" im Land.G°"
62;00:01:46:02;00:01:48:09;"gegen den Mangel an Demokratie

im Land."
63;00:01:48:13;00:01:48:13;FABstdDas polnische Volk hat sich immer( ( gegy¶
64;00:01:48:13;00:01:48:13;FABst>en solche Zustände erhoben, ÿÿ#<
65;00:01:48:13;00:01:52:04;"Das polnische Volk hat sich immer

gegen solche ZustÈande erhoben,"
66;00:01:52:06;00:01:52:06;FABstD deshalb sind wir hier.ÿÿ
67;00:01:52:06;00:01:53:16;deshalb sind wir hier.
68;00:01:54:04;00:01:54:04;FABstVEin Krebsgeschwür frisst unser Land.BÒ
69;00:01:54:04;00:01:56:11;Ein KrebsgeschwÈur frisst unser Land.
70;00:01:56:15;00:01:56:15;FABstdUnsere Regierung zwingt unser Land( ( in¶
71;00:01:56:15;00:01:56:15;FABstB die Arme des Totalitarismus. '®
72;00:01:56:15;00:02:00:11;"Unsere Regierung zwingt unser Land

in die Arme des Totalitarismus."
73;00:02:00:13;00:02:00:13;FABstJ Wir machen es Russland nach.ÿÿþf
74;00:02:00:13;00:02:02:11;Wir machen es Russland nach.
75;00:02:03:08;00:02:03:08;FABstd Aufgerufen zu dem Marsch( ( ha|Ê
76;00:02:03:08;00:02:03:08;"FABst&tte Donald Tusk,ÿÿ;¬:"
77;00:02:03:08;00:02:06:03;"Aufgerufen zu dem Marsch

hatte Donald Tusk,"
78;00:02:06:07;00:02:06:07;FABstPParteichef der oppositionellen PO.ÿÿ¢
79;00:02:06:07;00:02:08:12;Parteichef der oppositionellen PO.
80;00:02:08:16;00:02:08:16;FABstdAn seiner Seite heute Lech Walesa,( ( æ
81;00:02:08:16;00:02:08:16;FABst2eine Legende im Kampfÿÿ/Íú
82;00:02:08:16;00:02:12:02;"An seiner Seite heute Lech Walesa,

eine Legende im Kampf"
83;00:02:12:06;00:02:12:06;FABst d gegen den Kommunismus( ( und'$
84;00:02:12:06;00:02:12:06;"FABst& für Demokratie.ÿÿ;<"
85;00:02:12:06;00:02:14:19;"gegen den Kommunismus

und fÈur Demokratie."
86;00:02:14:23;00:02:14:23;FABst!d Heute, 34 Jahre nach den ersten( ( halbW®
87;00:02:14:23;00:02:14:23;FABst<wegs freien Wahlen in Polenÿÿ%x
88;00:02:14:23;00:02:18:24;"Heute, 34 Jahre nach den ersten

halbwegs freien Wahlen in Polen"
89;00:02:19:03;00:02:19:03;"FABst""d steht die Demokratie ( ( wied?."
90;00:02:19:03;00:02:19:03;FABst(er auf dem Spiel.ÿÿ9¸*
91;00:02:19:03;00:02:21:13;"steht die Demokratie

wieder auf dem Spiel."
92;00:02:21:15;00:02:21:15;FABst#d Das hat die Menschen( ( dem Aufruf=`
93;00:02:21:15;00:02:21:15;FABst0 Tusks folgen lassen:ÿÿ1³Æ
94;00:02:21:15;00:02:25:05;"Das hat die Menschen

dem Aufruf Tusks folgen lassen:"
95;00:02:27:04;00:02:27:04;FABst$VDie Demokratie stirbt in der Stille.¾F
96;00:02:27:04;00:02:29:19;Die Demokratie stirbt in der Stille.
97;00:02:30:04;00:02:30:04;FABst%d Ab heute werden wir( ( nicþ
98;00:02:30:04;00:02:30:04;"FABst""ht still sein.GÐ"
99;00:02:30:04;00:02:32:16;"Ab heute werden wir

nicht still sein."
100;00:02:32:19;00:02:32:19;FABst&d Ihr habt eure Stimme erhoben( ( im Name+d
101;00:02:32:19;00:02:32:19;FABst8n von 38 Millionen Polen.`)©
102;00:02:32:19;00:02:36:14;"Ihr habt eure Stimme erhoben

im Namen von 38 Millionen Polen."
103;00:02:36:18;00:02:36:18;FABst'd Für die Demokratie,( ( damit Êº
104;00:02:36:18;00:02:36:18;FABst(sie nicht stirbt.ÿÿ9ßz
105;00:02:36:18;00:02:39:04;"FÈur die Demokratie,

damit sie nicht stirbt."
106;00:02:39:06;00:02:39:06;FABst(d Gegen die täglichen Angriffe ( ( von Ká
107;00:02:39:06;00:02:39:06;FABst:aczinsky und der Regierungÿÿ'>
108;00:02:39:06;00:02:42:17;"Gegen die tÈaglichen Angriffe

von Kaczinsky und der Regierung"
109;00:02:42:19;00:02:42:19;FABst)B auf ihre Fundamente.ÿÿó
110;00:02:42:19;00:02:44:05;auf ihre Fundamente.
111;00:02:45:11;00:02:45:11;FABst*d Viele Menschen auf dem Marsch( ( nalÜ
112;00:02:45:11;00:02:45:11;FABst2hmen kurzfristig teil.ÿÿ/¦
113;00:02:45:11;00:02:49:03;"Viele Menschen auf dem Marsch

nahmen kurzfristig teil."
114;00:02:49:07;00:02:49:07;FABst+d Nachdem die PiS vor einer Woche ( ( ein umDÜ
115;00:02:49:07;00:02:49:07;FABst>strittenes Gesetz beschloss,ÿÿ#l
116;00:02:49:07;00:02:53:05;"Nachdem die PiS vor einer Woche

ein umstrittenes Gesetz beschloss,"
117;00:02:53:07;00:02:53:07;"FABst,> das ""Lex Tusk"".ÿÿØ"
118;00:02:53:07;00:02:54:14;"das ""Lex Tusk""."
119;00:02:55:03;00:02:55:03;FABst-d Eine Kommission soll ( ( den rD
120;00:02:55:03;00:02:55:03;FABst*ussischen Einflussÿÿ7<u>
121;00:02:55:03;00:02:57:20;"Eine Kommission soll

den russischen Einfluss"
122;00:02:57:24;00:02:57:24;FABst.d auf die polnische Politik in den( ( vergangÂ
123;00:02:57:24;00:02:57:24;FABst>genen 16 Jahren untersuchen.ÿÿ#Ú
124;00:02:57:24;00:03:01:20;"auf die polnische Politik in den

vergangenen 16 Jahren untersuchen."
125;00:03:01:22;00:03:01:22;FABst/d Beschuldigte könnten( ( von Mandaten
126;00:03:01:22;00:03:01:22;FABst4 ausgeschlossen werden.ÿÿ-ÀÐ
127;00:03:01:22;00:03:05:14;"Beschuldigte kÈonnten

von Mandaten ausgeschlossen werden."
128;00:03:06:22;00:03:06:22;FABst0d De facto soll es Donald Tusk( ( vor der ~ö
129;00:03:06:22;00:03:06:22;FABst<Wahl im Herbst kaltstellen.ÿÿ%Z
130;00:03:06:22;00:03:11:06;"De facto soll es Donald Tusk

vor der Wahl im Herbst kaltstellen."
131;00:03:12:21;00:03:12:21;FABst1d Der Verfassungsrechtler Matczak( ( dâ
132;00:03:12:21;00:03:12:21;FABst0und andere Expertenÿÿ1¯(
133;00:03:12:21;00:03:16:02;"Der Verfassungsrechtler Matczak

und andere Experten"
134;00:03:16:06;00:03:16:06;FABst2d kritisieren das Gesetz( ( in Stellun\Ø
135;00:03:16:06;00:03:16:06;FABst2gnahmen für den Senat:ÿÿ/F
136;00:03:16:06;00:03:19:22;"kritisieren das Gesetz

in Stellungnahmen fÈur den Senat:"
137;00:03:20:19;00:03:20:19;FABst3d Es kann nicht sein,( ( dass in Eurâ
138;00:03:20:19;00:03:20:19;FABst,opa, in einem Land,=ý@
139;00:03:20:19;00:03:23:24;"Es kann nicht sein,

dass in Europa, in einem Land,"
140;00:03:24:03;00:03:24:03;FABst4d das zur EU gehört,( ( ein Superge¯È
141;00:03:24:03;00:03:24:03;FABst6richt eingerichtet wird.3ªL
142;00:03:24:03;00:03:27:06;"das zur EU gehÈort,

ein Supergericht eingerichtet wird."
143;00:03:27:08;00:03:27:08;FABst5d Das ist diese Kommission,( ( die SvZ
144;00:03:27:08;00:03:27:08;FABst2trafen verhängen kann,ÿÿ/3D
145;00:03:27:08;00:03:30:12;"Das ist diese Kommission,

die Strafen verhÈangen kann,"
146;00:03:30:14;00:03:30:14;FABst6d die normalerweise( ( ein Ge`
147;00:03:30:14;00:03:30:14;"FABst$richt verhängt.ÿÿ="""
148;00:03:30:14;00:03:33:01;"die normalerweise

ein Gericht verhÈangt."
149;00:03:33:05;00:03:33:05;FABst7d Das Staatsanwaltschaft ist( ( und inJ:
150;00:03:33:05;00:03:33:05;FABst2 dem Politiker sitzen,ÿÿ/Ôf
151;00:03:33:05;00:03:36:20;"Das Staatsanwaltschaft ist

und in dem Politiker sitzen,"
152;00:03:36:22;00:03:36:22;FABst8d und zwar die Politiker( ( eiqJ
153;00:03:36:22;00:03:36:22;FABst ner Fraktion.ÿÿAÙ
154;00:03:36:22;00:03:39:06;"und zwar die Politiker

einer Fraktion."
155;00:03:39:10;00:03:39:10;FABst9d Polens Präsident Duda hatte( ( das Ges8
156;00:03:39:10;00:03:39:10;FABst:etz schnell unterzeichnet,ÿÿ'¾Ö
157;00:03:39:10;00:03:43:00;"Polens PrÈasident Duda hatte

das Gesetz schnell unterzeichnet,"
158;00:03:43:04;00:03:43:04;FABst:d ruderte nach heftiger Kritik,( ( auch aus8
159;00:03:43:04;00:03:43:04;FABst: dem Ausland, aber zurück.ÿÿ'Cä
160;00:03:43:04;00:03:46:20;"ruderte nach heftiger Kritik,

auch aus dem Ausland, aber zurÈuck."
161;00:03:46:22;00:03:46:22;"FABst;F Und will es entschärfen.ÿÿR"
162;00:03:46:22;00:03:48:13;Und will es entschÈarfen.
163;00:03:48:14;00:03:48:14;FABst<d Im Herbst sind in Polen( ( P
164;00:03:48:14;00:03:48:14;"FABst&arlamentswahlen.ÿÿ;¸l"
165;00:03:48:14;00:03:51:01;"Im Herbst sind in Polen

Parlamentswahlen."
166;00:03:51:03;00:03:51:03;"FABst=d In Umfragen liegt( ( die Regierun""D"
167;00:03:51:03;00:03:51:03;FABst*gspartei PiS vorn.ÿÿ7¾x
168;00:03:51:03;00:03:54:00;"In Umfragen liegt

die Regierungspartei PiS vorn."
169;00:03:54:02;00:03:54:02;FABst>d Die Lex Tusk könnte der PiS( ( aýÜ
170;00:03:54:02;00:03:54:02;FABst,uf die Füße fallen.ÿÿ5Ò
171;00:03:54:02;00:03:56:24;"Die Lex Tusk kÈonnte der PiS

auf die FÈuûe fallen."
172;00:03:57:01;00:03:57:01;FABst?d Sie mobilisiert wie kaum etwas( ( diew´
173;00:03:57:01;00:03:57:01;FABst4 Wähler der Opposition.ÿÿ-x
174;00:03:57:01;00:04:01:00;"Sie mobilisiert wie kaum etwas

die WÈahler der Opposition."
175;00:04:03:02;00:04:03:02;FABst@J Kristin Joachim in Warschau.ÿÿÀD
176;00:04:03:02;00:04:05:09;Kristin Joachim in Warschau.
177;00:04:05:20;00:04:05:20;FABstAd Duda kündigte an,( ( dass er Ändez
178;00:04:05:20;00:04:05:20;FABst2rungen vornehmen will.ÿÿ/«
179;00:04:05:20;00:04:09:11;"Duda kÈundigte an,

dass er ÈAnderungen vornehmen will."
180;00:04:10:01;00:04:10:01;FABstBd Warum seine Kehrtwende - ( ( entsap
181;00:04:10:01;00:04:10:01;FABst0chärft es das Gesetz?ÿÿ1&ì
182;00:04:10:01;00:04:13:10;"Warum seine Kehrtwende -

entschÈarft es das Gesetz?"
183;00:04:17:17;00:04:17:17;FABstCd Die Kehrtwende kommt durch( ( die hefti'ª
184;00:04:17:17;00:04:17:17;FABst:ge Kritik aus dem Ausland.`'ÇV
185;00:04:17:17;00:04:21:15;"Die Kehrtwende kommt durch

die heftige Kritik aus dem Ausland."
186;00:04:22:03;00:04:22:03;FABstDd Vom engsten Verbündeten Polens,( ( nÁ8
187;00:04:22:03;00:04:22:03;FABst4ämlich aus den den USA.`-¨
188;00:04:22:03;00:04:25:23;"Vom engsten VerbÈundeten Polens,

nÈamlich aus den den USA."
189;00:04:28:05;00:04:28:05;FABstEVDa kritisierte man das Gesetz scharf.ÿÿ4
190;00:04:28:05;00:04:30:19;Da kritisierte man das Gesetz scharf.
191;00:04:32:02;00:04:32:02;FABstFN Auch die EU äußerte sich scharf.ÿÿß¢
192;00:04:32:02;00:04:34:09;Auch die EU Èauûerte sich scharf.
193;00:04:37:01;00:04:37:01;FABstGd Polen ist auf Gelder( ( von deØ
194;00:04:37:01;00:04:37:01;"FABst&r EU angewiesen.ÿÿ;²F"
195;00:04:37:01;00:04:40:14;"Polen ist auf Gelder

von der EU angewiesen."
196;00:04:41:14;00:04:41:14;FABstHd Etwa auf die Gelder aus dem( ( CoroE&
197;00:04:41:14;00:04:41:14;FABst4na-Wiederaufbau-Fonds. ÿÿ-
198;00:04:41:14;00:04:45:09;"Etwa auf die Gelder aus dem

Corona-Wiederaufbau-Fonds."
199;00:04:49:17;00:04:49:17;FABstIPDas Gesetz soll entschärft werden.ÿÿ#
200;00:04:49:17;00:04:53:07;Das Gesetz soll entschÈarft werden.
201;00:04:54:03;00:04:54:03;FABstJd Man soll dann keine Strafe mehr( ( o 
202;00:04:54:03;00:04:54:03;FABst. verhängen können,ÿÿ3¥
203;00:04:54:03;00:04:58:03;"Man soll dann keine Strafe mehr

verhÈangen kÈonnen,"
204;00:04:59:02;00:04:59:02;FABstKd wo man kein öffentliches Mandat( (
205;00:04:59:02;00:04:59:02;FABst* ausüben darf.ÿÿ7=¼
206;00:04:59:02;00:05:02:18;"wo man kein Èoffentliches Mandat

ausÈuben darf."
207;00:05:03:16;00:05:03:16;FABstLJ Man darf in Berufung gehen.ÿÿÑ¬
208;00:05:03:16;00:05:05:14;Man darf in Berufung gehen.
209;00:05:06:09;00:05:06:09;FABstMd Die meisten Richter hier( ( sind von }
210;00:05:06:09;00:05:06:09;FABst4der PiS benannt worden.ÿÿ-
211;00:05:06:09;00:05:10:23;"Die meisten Richter hier

sind von der PiS benannt worden."
212;00:05:11:16;00:05:11:16;FABstNd Die Justiz ist damit( ( nicht yÀ
213;00:05:11:16;00:05:11:16;"FABst&mehr unabhängig.ÿÿ;"
214;00:05:11:16;00:05:15:05;"Die Justiz ist damit

nicht mehr unabhÈangig."
215;00:05:15:14;00:05:15:14;FABstOd Auch wenn man( ( keine Strafen me*X
216;00:05:15:14;00:05:15:14;FABst*hr verhängen kann,ÿÿ7#<u>
217;00:05:15:14;00:05:18:23;"Auch wenn man

keine Strafen mehr verhÈangen kann,"
218;00:05:20:00;00:05:20:00;FABstPd so soll die Kommission( ( die Fähigkí$
219;00:05:20:00;00:05:20:00;FABst2eit absprechen können,ÿÿ/%N
220;00:05:20:00;00:05:23:18;"so soll die Kommission

die FÈahigkeit absprechen kÈonnen,"
221;00:05:24:23;00:05:24:23;FABstQN öffentliche Ämter zu übernehmen.ÿÿpp
222;00:05:24:23;00:05:27:09;Èoffentliche ÈAmter zu Èubernehmen.
223;00:05:27:21;00:05:27:21;FABstRJ Das ist ein scharfes Mittel.ÿÿ~
224;00:05:27:21;00:05:29:21;Das ist ein scharfes Mittel.
225;00:05:31:23;00:05:31:23;FABstSd Ist das Rennen( ( um die ParlamF
226;00:05:31:23;00:05:31:23;FABst*entswahlen so eng,ÿÿ7¹Z
227;00:05:31:23;00:05:34:16;"Ist das Rennen

um die Parlamentswahlen so eng,"
228;00:05:34:18;00:05:34:18;FABstTd dass die Regierung( ( zu solchen MnÜ
229;00:05:34:18;00:05:34:18;FABst.itteln greifen muss?ÿÿ3­¬
230;00:05:34:18;00:05:37:22;"dass die Regierung

zu solchen Mitteln greifen muss?"
231;00:05:39:17;00:05:39:17;FABstUN Die PiS liegt um die 30 Prozent.ÿÿt
232;00:05:39:17;00:05:42:12;Die PiS liegt um die 30 Prozent.
233;00:05:44:03;00:05:44:03;FABstVd Donald Tusk liegt bei 27 Prozent( (
234;00:05:44:03;00:05:44:03;FABst.mit seiner Partei.`3åú
235;00:05:44:03;00:05:48:04;"Donald Tusk liegt bei 27 Prozent

mit seiner Partei."
236;00:05:50:05;00:05:50:05;FABstWPDie PiS scheint es nötig zu sehen,ÿÿT
237;00:05:50:05;00:05:53:04;Die PiS scheint es nÈotig zu sehen,
