No.;Timecode In;Timecode Out;Subtitle
"1";"00:00:03:00";"00:00:03:00";"FABst6 * Gong *ÿÿZZZZZZZZZZ¥¥ã¥¥¥¥¥6"
"2";"00:00:03:00";"00:00:03:00";"FABst¥¥¥æ¥¥ã¥¥¥ç¥¥§ª¦ªîªªªG¦"
"3";"00:00:03:00";"00:00:04:03";"* Gong *"
"4";"00:00:04:14";"00:00:04:14";"FABstdHier ist das Erste Deutsche Fernsehen( ( 9"
"5";"00:00:04:14";"00:00:04:14";"FABst: mit der tagesschau.ÿÿ'õþ"
"6";"00:00:04:14";"00:00:08:01";"Hier ist das Erste Deutsche Fernsehen

mit der tagesschau."
"7";"00:00:08:06";"00:00:08:06";"FABstd Diese Sendung wurde vom NDR( ( live Af"
"8";"00:00:08:06";"00:00:08:06";"FABst6untertitelt (14.07.2023)ÿÿ+¼¨"
"9";"00:00:08:06";"00:00:12:18";"Diese Sendung wurde vom NDR

live untertitelt (14.07.2023)"
"10";"00:00:15:03";"00:00:15:03";"FABstP Heute im Studio: Susanne Daubner.ÿÿïD"
"11";"00:00:15:03";"00:00:17:11";"Heute im Studio: Susanne Daubner."
"12";"00:00:18:06";"00:00:18:06";"FABstd Guten Abend,( ( ich begrüße Si3¦"
"13";"00:00:18:06";"00:00:18:06";"FABst(e zur tagesschau.A¯R"
"14";"00:00:18:06";"00:00:21:22";"Guten Abend,

ich begrÈuûe Sie zur tagesschau."
"15";"00:00:22:22";"00:00:22:22";"FABstdZwei Jahre nach der Flutkatastrophe( ( @Ò"
"16";"00:00:22:22";"00:00:22:22";"FABst:in Rheinland-Pfalz und NRWÿÿ'ÐÀ"
"17";"00:00:22:22";"00:00:26:19";"Zwei Jahre nach der Flutkatastrophe

in Rheinland-Pfalz und NRW"
"18";"00:00:26:21";"00:00:26:21";"FABstd wurde heute der Opfer( ( und BemÜ"
"19";"00:00:26:21";"00:00:26:21";"FABst,troffenen erinnert.="
"20";"00:00:26:21";"00:00:30:19";"wurde heute der Opfer

und Betroffenen erinnert."
"21";"00:00:32:15";"00:00:32:15";"FABstVDer Wiederaufbau dauert bis heute an.ÿÿÀN"
"22";"00:00:32:15";"00:00:35:14";"Der Wiederaufbau dauert bis heute an."
"23";"00:00:36:11";"00:00:36:11";"FABstd In der Nacht zum 15. Juli 2021( ( w0"
"24";"00:00:36:11";"00:00:36:11";"FABst0urden nach Starkregenÿÿ1¤|"
"25";"00:00:36:11";"00:00:40:15";"In der Nacht zum 15. Juli 2021

wurden nach Starkregen"
"26";"00:00:41:15";"00:00:41:15";"FABstd in NRW und Rheinland-Pfalz( ( ganzeJ"
"27";"00:00:41:15";"00:00:41:15";"FABst0 Regionen überflutet.ÿÿ1b^"
"28";"00:00:41:15";"00:00:45:06";"in NRW und Rheinland-Pfalz

ganze Regionen Èuberflutet."
"29";"00:00:45:08";"00:00:45:08";"FABstH Über 180 Menschen starben.ÿÿeb"
"30";"00:00:45:08";"00:00:47:07";"ÈUber 180 Menschen starben."
"31";"00:00:48:09";"00:00:48:09";"FABstd Am schwersten traf es im Ahrtal( ( Bad Ne~È"
"32";"00:00:48:09";"00:00:48:09";"FABstBuenahr-Ahrweiler und Altenahr.ÿÿ»J"
"33";"00:00:48:09";"00:00:53:17";"Am schwersten traf es im Ahrtal

Bad Neuenahr-Ahrweiler und Altenahr."
"34";"00:00:55:10";"00:00:55:10";"FABstd Im Ahrtal gedenken sie( ( der Opfe°"
"35";"00:00:55:10";"00:00:55:10";"FABst0r der Flutkatastrophe9£"
"36";"00:00:55:10";"00:00:58:12";"Im Ahrtal gedenken sie

der Opfer der Flutkatastrophe"
"37";"00:00:58:14";"00:00:58:14";"FABstD und deren Angehörigen.!v$"
"38";"00:00:58:14";"00:01:00:05";"und deren AngehÈorigen."
"39";"00:01:01:16";"00:01:01:16";"FABstdEine Botschaft auf der Veranstaltung( ("
"40";"00:01:01:16";"00:01:01:16";"FABst: zum zweiten Jahrestag:ÿÿ'</u>v"
"41";"00:01:01:16";"00:01:05:05";"Eine Botschaft auf der Veranstaltung

zum zweiten Jahrestag:"
"42";"00:01:05:07";"00:01:05:07";"FABstL Niemand werde alleingelassen.ÿÿî"
"43";"00:01:05:07";"00:01:07:05";"Niemand werde alleingelassen."
