No.;Timecode In;Timecode Out;Subtitle
1;00:00:18:00;00:00:18:00;FABst6 * Gong *ÿÿZZZZZZZZZZ¥¥ã¥¥¥¥¥6
2;00:00:18:00;00:00:18:00;FABst¥¥¥æ¥¥ã¥¥¥ç¥¥§ª¦ªîªªªG¦
3;00:00:18:00;00:00:19:03;* Gong *
4;00:00:19:05;00:00:19:05;FABstdHier ist das Erste Deutsche Fernsehen( ( 9
5;00:00:19:05;00:00:19:05;FABst: mit den tagesthemen.ÿÿ'ºð
6;00:00:19:05;00:00:22:13;"Hier ist das Erste Deutsche Fernsehen

mit den tagesthemen."
7;00:00:22:15;00:00:22:15;FABstd Diese Sendung wurde vom NDR( ( live Af
8;00:00:22:15;00:00:22:15;FABst6untertitelt (06.07.2023)ÿÿ+¿¤
9;00:00:22:15;00:00:26:08;"Diese Sendung wurde vom NDR

live untertitelt (06.07.2023)"
10;00:00:26:10;00:00:26:10;FABstL Heute im Studio: Helge Fuhst.ÿÿê|
11;00:00:26:10;00:00:28:10;Heute im Studio: Helge Fuhst.
12;00:00:29:03;00:00:29:03;FABstd Willkommen,( ( schön dass Sið<u>
13;00:00:29:03;00:00:29:03;"FABst e dabei sind!ÿÿA³"""
14;00:00:29:03;00:00:31:12;"Willkommen,

schÈon dass Sie dabei sind!"
15;00:00:31:14;00:00:31:14;FABstH Einen schönen guten Abend.ÿÿ3
16;00:00:31:14;00:00:33:06;Einen schÈonen guten Abend.
17;00:00:33:08;00:00:33:08;FABstdDie Nachricht platzte gestern Abend( ( f
18;00:00:33:08;00:00:33:08;FABstFür viele aus der BundesregierungÿÿÈ
19;00:00:33:08;00:00:37:09;"Die Nachricht platzte gestern Abend

fÈur viele aus der Bundesregierung"
20;00:00:37:11;00:00:37:11;FABstd in eins der Sommerfeste,( ( die grad Dø
21;00:00:37:11;00:00:37:11;FABst4die Landesvertretungen,ÿÿ- Ì
22;00:00:37:11;00:00:40:20;"in eins der Sommerfeste,

die grad die Landesvertretungen,"
23;00:00:40:22;00:00:40:22;FABstd Parteien und Verbände in Berlin( ( À
24;00:00:40:22;00:00:40:22;FABst( ausrichten.ÿÿ9Úâ
25;00:00:40:22;00:00:43:09;"Parteien und VerbÈande in Berlin

ausrichten."
26;00:00:43:24;00:00:43:24;FABstd Die Nachricht( ( hätte für einv
27;00:00:43:24;00:00:43:24;FABst$ige AbgeordneteEÜ
28;00:00:43:24;00:00:46:12;"Die Nachricht

hÈatte fÈur einige Abgeordnete"
29;00:00:46:15;00:00:46:15;FABstd die Sommerpause( ( mächtig durcÕz
30;00:00:46:15;00:00:46:15;FABst6heinanderwirbeln können:3n¶
31;00:00:46:15;00:00:49:17;"die Sommerpause

mÈachtig durcheinanderwirbeln kÈonnen:"
32;00:00:49:19;00:00:49:19;FABstd Das Bundesverfassungsgericht( ( hat 48
33;00:00:49:19;00:00:49:19;FABst2die morgige Abstimmungÿÿ/Õ
34;00:00:49:19;00:00:52:24;"Das Bundesverfassungsgericht

hat die morgige Abstimmung"
35;00:00:53:01;00:00:53:01;FABstd über das Gebäudeenergiegesetz( ( XÎ
36;00:00:53:01;00:00:53:01;FABst$ gestoppt.ÿÿ=Ä|
37;00:00:53:01;00:00:55:11;"Èuber das GebÈaudeenergiegesetz

gestoppt."
38;00:00:55:13;00:00:55:13;FABstd Sie darf erst( ( später durcÃ
39;00:00:55:13;00:00:55:13;"FABst&hgeführt werden.ÿÿ;or"
40;00:00:55:13;00:00:57:24;"Sie darf erst

spÈater durchgefÈuhrt werden."
41;00:00:58:01;00:00:58:01;FABstd Heute entschieden( ( die AmqÆ
42;00:00:58:01;00:00:58:01;FABst$pel-Fraktionen:ÿÿ=³
43;00:00:58:01;00:01:00:09;"Heute entschieden

die Ampel-Fraktionen:"
44;00:01:00:11;00:01:00:11;FABstd Statt einer( ( Sondersitzung }¼
45;00:01:00:11;00:01:00:11;"FABst""in den Ferien,ÿÿ?"
46;00:01:00:11;00:01:02:22;"Statt einer

Sondersitzung in den Ferien,"
47;00:01:03:00;00:01:03:00;FABstd soll nach der Sommerpause( ( aU
48;00:01:03:00;00:01:03:00;FABst(bgestimmt werden.ÿÿ9
49;00:01:03:00;00:01:06:08;"soll nach der Sommerpause

abgestimmt werden."
50;00:01:07:08;00:01:07:08;FABstd Bis dahin dürfte( ( die Vorgabe dì
51;00:01:07:08;00:01:07:08;FABst.es obersten Gerichtsÿÿ3Å
52;00:01:07:08;00:01:10:10;"Bis dahin dÈurfte

die Vorgabe des obersten Gerichts"
53;00:01:10:12;00:01:10:12;FABstD auch umzusetzen sein.ÿÿè
54;00:01:10:12;00:01:11:20;auch umzusetzen sein.
55;00:01:11:22;00:01:11:22;FABst: Da heißt es:ÿÿ#(Ú
56;00:01:11:22;00:01:13:00;Da heiût es:
57;00:01:13:02;00:01:13:02;"FABstd ""Den Abgeordneten( ( steht nich1"
58;00:01:13:02;00:01:13:02;FABst,t nur das Recht zu,ÿÿ5ôl
59;00:01:13:02;00:01:16:03;"""Den Abgeordneten

steht nicht nur das Recht zu,"
60;00:01:16:05;00:01:16:05;FABstdim Deutschen Bundestag abzustimmen,( ( sovì
