No.;Timecode In;Timecode Out;Subtitle
1;00:00:03:00;00:00:03:00;FABst6 * Gong *ÿÿZZZZZZZZZZ¥¥ã¥¥¥¥¥6
2;00:00:03:00;00:00:03:00;FABst¥¥¥æ¥¥ã¥¥¥ç¥¥§ª¦ªîªªªG¦
3;00:00:03:00;00:00:04:05;* Gong *
4;00:00:04:14;00:00:04:14;FABstdHier ist das Erste Deutsche Fernsehen( ( 9
5;00:00:04:14;00:00:04:14;FABst: mit der tagesschau.ÿÿ'õþ
6;00:00:04:14;00:00:08:10;"Hier ist das Erste Deutsche Fernsehen

mit der tagesschau."
7;00:00:08:17;00:00:08:17;FABstd Diese Sendung wurde vom NDR( ( live Af
8;00:00:08:17;00:00:08:17;FABst6untertitelt (06.07.2023)ÿÿ+¿¤
9;00:00:08:17;00:00:13:04;"Diese Sendung wurde vom NDR

live untertitelt (06.07.2023)"
10;00:00:15:01;00:00:15:01;FABstP Heute im Studio: Susanne Daubner.ÿÿïD
11;00:00:15:01;00:00:17:12;Heute im Studio: Susanne Daubner.
12;00:00:18:05;00:00:18:05;FABstd Guten Abend,( ( ich begrüße Si3¦
13;00:00:18:05;00:00:18:05;FABst(e zur tagesschau.A¯R
14;00:00:18:05;00:00:21:17;"Guten Abend,

ich begrÈuûe Sie zur tagesschau."
15;00:00:22:15;00:00:22:15;FABstd Im Bundestag scheiterte( ( hegú
16;00:00:22:15;00:00:22:15;"FABst&ute der Versuch,ÿÿ;<"
17;00:00:22:15;00:00:25:05;"Im Bundestag scheiterte

heute der Versuch,"
18;00:00:25:07;00:00:25:07;FABstd einen rechtlichen Rahmen( ( für die Sú*
19;00:00:25:07;00:00:25:07;FABst4terbehilfe zu schaffen.ÿÿ-Íè
20;00:00:25:07;00:00:28:18;"einen rechtlichen Rahmen

fÈur die Sterbehilfe zu schaffen."
21;00:00:28:20;00:00:28:20;FABstd Zwei Gesetzentwürfe von( ( Abgeordne(
22;00:00:28:20;00:00:28:20;FABst>ten verschiedener Fraktionenÿÿ#Ë6
23;00:00:28:20;00:00:32:09;"Zwei GesetzentwÈurfe von

Abgeordneten verschiedener Fraktionen"
24;00:00:32:11;00:00:32:11;FABstD fanden keine Mehrheit.ÿÿ×¶
25;00:00:32:11;00:00:33:22;fanden keine Mehrheit.
26;00:00:33:24;00:00:33:24;FABstH Es ging darum, ob und wieÿÿÉ
27;00:00:33:24;00:00:35:16;Es ging darum, ob und wie
28;00:00:35:18;00:00:35:18;FABstdSterbewillige Zugang zu todbringenden( ( :
29;00:00:35:18;00:00:35:18;FABstDMedikamenten erhalten können.ÿÿ7j
30;00:00:35:18;00:00:40:03;"Sterbewillige Zugang zu todbringenden

Medikamenten erhalten kÈonnen."
31;00:00:40:09;00:00:40:09;FABstd Und wer unter welchen Bedingungen( ( beq
32;00:00:40:09;00:00:40:09;FABst<i einem Suizid helfen darf.ÿÿ%ü:
33;00:00:40:09;00:00:44:15;"Und wer unter welchen Bedingungen

bei einem Suizid helfen darf."
34;00:00:44:22;00:00:44:22;FABstd Diese Fragen sind nicht geregelt,( ( seit=|
35;00:00:44:22;00:00:44:22;FABst@ das Bundesverfassungsgerichtÿÿ!ÞÊ
36;00:00:44:22;00:00:49:13;"Diese Fragen sind nicht geregelt,

seit das Bundesverfassungsgericht"
37;00:00:49:15;00:00:49:15;FABstd 2020 das Verbot( ( geschäftsmäßigð
38;00:00:49:15;00:00:49:15;FABst2er Sterbehilfe kippte.ÿÿ/</u>
39;00:00:49:15;00:00:53:20;"2020 das Verbot

geschÈaftsmÈaûiger Sterbehilfe kippte."
40;00:00:55:13;00:00:55:13;FABstd Rote Karte für die Regulierung( ( (
41;00:00:55:13;00:00:55:13;FABst*der Suizidhilfe.?Æ
42;00:00:55:13;00:00:58:16;"Rote Karte fÈur die Regulierung

der Suizidhilfe."
43;00:00:58:18;00:00:58:18;FABstd Zwei Gesetzentwürfe( ( stande°
44;00:00:58:18;00:00:58:18;FABst(n zur Abstimmung.Al
45;00:00:58:18;00:01:01:07;"Zwei GesetzentwÈurfe

standen zur Abstimmung."
46;00:01:01:09;00:01:01:09;FABstd Beide fielen jeweils bei einer( ( Mehrhe+À
47;00:01:01:09;00:01:01:09;FABst:it der Abgeordneten durch.ÿÿ'Ôf
