No.;Timecode In;Timecode Out;Subtitle
1;00:00:03:00;00:00:03:00;FABst6 * Gong *ÿÿZZZZZZZZZZ¥¥ã¥¥¥¥¥6
2;00:00:03:00;00:00:03:00;FABst¥¥¥ä¥¥¥¥ç¥¥ç¥§ª¦ªîªªªG</i>´
3;00:00:03:00;00:00:04:05;* Gong *
4;00:00:04:10;00:00:04:10;FABstdHier ist das Erste Deutsche Fernsehen( ( 9
5;00:00:04:10;00:00:04:10;"FABst8 mit der tageschau.ÿÿ)
¾"
6;00:00:04:10;00:00:07:23;"Hier ist das Erste Deutsche Fernsehen

mit der tageschau."
7;00:00:08:00;00:00:08:00;FABstd Diese Sendung wurde vom NDR( ( live Af
8;00:00:08:00;00:00:08:00;FABst6untertitelt (14.06.2023)ÿÿ+½¨
9;00:00:08:00;00:00:12:07;"Diese Sendung wurde vom NDR

live untertitelt (14.06.2023)"
10;00:00:14:19;00:00:14:19;FABstP Heute im Studio: Susanne Daubner.ÿÿïD
11;00:00:14:19;00:00:17:04;Heute im Studio: Susanne Daubner.
12;00:00:18:09;00:00:18:09;FABstd Guten Abend,( ( ich begrüße Si3¦
13;00:00:18:09;00:00:18:09;FABst(e zur tagesschau.A¯R
14;00:00:18:09;00:00:21:10;"Guten Abend,

ich begrÈuûe Sie zur tagesschau."
15;00:00:22:20;00:00:22:20;FABstd Für Deutschland gibt es erstmals( ( eine ¬x
16;00:00:22:20;00:00:22:20;FABstDNationale Sicherheitsstrategie.ÿÿÊd
17;00:00:22:20;00:00:26:19;"FÈur Deutschland gibt es erstmals

eine Nationale Sicherheitsstrategie."
18;00:00:26:21;00:00:26:21;FABstd Gemeinsam mit vier( ( Ministeri`F
19;00:00:26:21;00:00:26:21;FABst*nnen und Ministernÿÿ7Ù
20;00:00:26:21;00:00:29:11;"Gemeinsam mit vier

Ministerinnen und Ministern"
21;00:00:29:13;00:00:29:13;FABstd stellte Kanzler Scholz( ( das Kð
22;00:00:29:13;00:00:29:13;FABst(onzept heute vor.ÿÿ9Êl
23;00:00:29:13;00:00:32:05;"stellte Kanzler Scholz

das Konzept heute vor."
24;00:00:32:07;00:00:32:07;FABstd Es zielt auf einen( ( umfassenden Su¢
25;00:00:32:07;00:00:32:07;FABst2chutz der Bevölkerung.ÿÿ/T
26;00:00:32:07;00:00:35:13;"Es zielt auf einen

umfassenden Schutz der BevÈolkerung."
27;00:00:35:15;00:00:35:15;FABstd Dabei geht es nicht( ( nur um militJ
28;00:00:35:15;00:00:35:15;FABst.ärische Bedrohungen,ÿÿ3_
29;00:00:35:15;00:00:38:20;"Dabei geht es nicht

nur um militÈarische Bedrohungen,"
30;00:00:38:22;00:00:38:22;FABst> sondern auch um:ÿÿ½:
31;00:00:38:22;00:00:40:02;sondern auch um:
32;00:00:40:04;00:00:40:04;FABstd Gefahren durch Cyberattacken,( ( AnschPì
33;00:00:40:04;00:00:40:04;FABst:läge auf die Infrastrukturÿÿ'L
34;00:00:40:04;00:00:43:16;"Gefahren durch Cyberattacken,

AnschlÈage auf die Infrastruktur"
35;00:00:43:18;00:00:43:18;FABstF oder Naturkatastrophen.ÿÿáÌ
36;00:00:43:18;00:00:45:15;oder Naturkatastrophen.
37;00:00:46:20;00:00:46:20;FABstd Landesverteidigung( ( mit Panzr0
38;00:00:46:20;00:00:46:20;FABst(ern und Soldaten:A
39;00:00:46:20;00:00:49:10;"Landesverteidigung

mit Panzern und Soldaten:"
40;00:00:49:12;00:00:49:12;FABstdDurch den Krieg gegen die Ukraine ( ( wiede^V
41;00:00:49:12;00:00:49:12;FABst@r in den Mittelpunkt gerückt.)n
42;00:00:49:12;00:00:53:09;"Durch den Krieg gegen die Ukraine

wieder in den Mittelpunkt gerÈuckt."
43;00:00:53:11;00:00:53:11;FABstd Für die Bundesregierung( ( gehört zur9Î
44;00:00:53:11;00:00:53:11;FABst2 Sicherheit viel mehr.ÿÿ/Ì
45;00:00:53:11;00:00:56:16;"FÈur die Bundesregierung

gehÈort zur Sicherheit viel mehr."
46;00:00:56:18;00:00:56:18;FABstd Deshalb Kanzler( ( plus vier Minin
47;00:00:56:18;00:00:56:18;FABst2sterinnen und Ministerÿÿ/ÎÖ
48;00:00:56:18;00:01:00:02;"Deshalb Kanzler

plus vier Ministerinnen und Minister"
49;00:01:00:04;00:01:00:04;FABstdbei der Präsentation der Strategie( (
50;00:01:00:04;00:01:00:04;FABst4mit vielen Bausteinen:ÿÿ-z
51;00:01:00:04;00:01:03:15;"bei der PrÈasentation der Strategie

mit vielen Bausteinen:"
52;00:01:03:17;00:01:03:17;FABstd Diplomatie, Lieferketten,( ( :
53;00:01:03:17;00:01:03:17;"FABst""Klimaschutz.ÿÿ?ê"
54;00:01:03:17;00:01:06:14;"Diplomatie, Lieferketten,

Klimaschutz."
55;00:01:07:01;00:01:07:01;FABstd Sicherheit im 21. Jahrhundert( ( y¬
56;00:01:07:01;00:01:07:01;FABst$ bedeutet:EµJ
57;00:01:07:01;00:01:09:15;"Sicherheit im 21. Jahrhundert

bedeutet:"
58;00:01:09:17;00:01:09:17;FABstd In der Apotheke( ( verlässlich ¸þ
59;00:01:09:17;00:01:09:17;FABst6Medikamente zu bekommen.3
60;00:01:09:17;00:01:13:00;"In der Apotheke

verlÈasslich Medikamente zu bekommen."
61;00:01:13:02;00:01:13:02;FABstPSicherheit bedeutet beim Chatten,ÿÿÃ
62;00:01:13:02;00:01:15:16;Sicherheit bedeutet beim Chatten,
63;00:01:15:18;00:01:15:18;FABstd nicht von China( ( ausspionN
64;00:01:15:18;00:01:15:18;FABst$iert zu werden.ÿÿ=Ð
65;00:01:15:18;00:01:18:11;"nicht von China

ausspioniert zu werden."
66;00:01:19:03;00:01:19:03;FABstd Oder beim Scrollen( ( durch s-
67;00:01:19:03;00:01:19:03;"FABst&oziale Netzwerkeÿÿ;¦"
68;00:01:19:03;00:01:21:22;"Oder beim Scrollen

durch soziale Netzwerke"
69;00:01:21:24;00:01:21:24;FABstd nicht von russischen Bots( ( manT@
70;00:01:21:24;00:01:21:24;FABst.ipuliert zu werden. ÿÿ3ô¬
71;00:01:21:24;00:01:25:00;"nicht von russischen Bots

manipuliert zu werden."
72;00:01:25:05;00:01:25:05;FABstN Zentrale Elemente der Strategie:ÿÿ½
73;00:01:25:05;00:01:27:13;Zentrale Elemente der Strategie:
74;00:01:42:00;00:01:42:00;FABstd Diese Mittel und Instrumente( ( müssÁH
75;00:01:42:00;00:01:42:00;FABst2en ineinandergreifen. 7µ
76;00:01:42:00;00:01:45:14;"Diese Mittel und Instrumente

mÈussen ineinandergreifen."
77;00:01:45:16;00:01:45:16;FABstd Um die Sicherheit( ( unseres $
78;00:01:45:16;00:01:45:16;FABst(Landes zu stärkenA^þ
79;00:01:45:16;00:01:49:00;"Um die Sicherheit

unseres Landes zu stÈarken"
80;00:01:49:03;00:01:49:03;FABstd und gegen Bedrohungen von außen( ( í¤
81;00:01:49:03;00:01:49:03;FABst( zu sichern.ÿÿ9b
82;00:01:49:03;00:01:52:11;"und gegen Bedrohungen von auûen

zu sichern."
83;00:01:53:21;00:01:53:21;FABstd Mehr Sicherheit kostet mehr Geld.( ( Für á 
84;00:01:53:21;00:01:53:21;FABst@den Finanzminister heißt das:ÿÿ!gT
85;00:01:53:21;00:01:58:09;"Mehr Sicherheit kostet mehr Geld.

FÈur den Finanzminister heiût das:"
86;00:01:59:08;00:01:59:08;FABstd Prioritäten setzen,( ( andere Projù\
87;00:01:59:08;00:01:59:08;FABst,ekte zurückstellen.ÿÿ5Ô
88;00:01:59:08;00:02:02:16;"PrioritÈaten setzen,

andere Projekte zurÈuckstellen."
89;00:02:04:10;00:02:04:10;FABst P Die Union - insgesamt enttäuscht.ÿÿK
90;00:02:04:10;00:02:06:19;Die Union - insgesamt enttÈauscht.
91;00:02:06:21;00:02:06:21;FABst!d Es wird kein neues Gremium geben,( ( keinK
92;00:02:06:21;00:02:06:21;FABst@en Nationalen Sicherheitsrat.ÿÿ!¾T
93;00:02:06:21;00:02:10:20;"Es wird kein neues Gremium geben,

keinen Nationalen Sicherheitsrat."
94;00:02:10:22;00:02:10:22;"FABst""< Und überhaupt:ÿÿ!nR"
95;00:02:10:22;00:02:12:01;Und Èuberhaupt:
96;00:02:12:03;00:02:12:03;FABst#d Was hier vorliegt als Nationale( ( SichkÂ
97;00:02:12:03;00:02:12:03;FABstDerheitsstrategie, ist blutleer,%ü
98;00:02:12:03;00:02:16:15;"Was hier vorliegt als Nationale

Sicherheitsstrategie, ist blutleer,"
99;00:02:16:17;00:02:16:17;FABst$dstrategisch irrelevant, folgenlos( ( und BÒ
100;00:02:16:17;00:02:16:17;FABst@außenpolitisch unabgestimmt. )ð
101;00:02:16:17;00:02:21:07;"strategisch irrelevant, folgenlos

und auûenpolitisch unabgestimmt."
102;00:02:21:22;00:02:21:22;FABst%d Die Strategie sei sehr wohl mit ( ( Partne7`
103;00:02:21:22;00:02:21:22;FABst>rn in EU und USA abgestimmt,ÿÿ#Ô²
104;00:02:21:22;00:02:26:09;"Die Strategie sei sehr wohl mit

Partnern in EU und USA abgestimmt,"
105;00:02:26:11;00:02:26:11;FABst&P heißt es aus der Bundesregierung.ÿÿ
106;00:02:26:11;00:02:28:22;heiût es aus der Bundesregierung.
107;00:02:29:08;00:02:29:08;FABst'd Die Sicherheitsstrategie( ( soll Lef^
108;00:02:29:08;00:02:29:08;FABst0itplanken aufstellen,9
109;00:02:29:08;00:02:32:16;"Die Sicherheitsstrategie

soll Leitplanken aufstellen,"
110;00:02:32:18;00:02:32:18;FABst(dnicht für alles konkrete Lösungen( ( aÈ
111;00:02:32:18;00:02:32:18;FABst, festschreiben.=
112;00:02:32:18;00:02:35:13;"nicht fÈur alles konkrete LÈosungen

festschreiben."
113;00:02:35:15;00:02:35:15;FABst)d Das muss jetzt folgen,( ( das ist de9
114;00:02:35:15;00:02:35:15;FABst4r schwierigere Schritt.ÿÿ-æÂ
115;00:02:35:15;00:02:39:04;"Das muss jetzt folgen,

das ist der schwierigere Schritt."
116;00:02:39:07;00:02:39:07;FABst*d Die Regierungspartner( ( kö
117;00:02:39:07;00:02:39:07;"FABst""nnen beweisen,ÿÿ?ó"
118;00:02:39:07;00:02:41:19;"Die Regierungspartner

kÈonnen beweisen,"
119;00:02:41:21;00:02:41:21;FABst+ddass sie so einig sind, wie sie sich( ( V
120;00:02:41:21;00:02:41:21;FABst@ heute präsentiert haben.ÿÿ!k<u>
121;00:02:41:21;00:02:46:05;"dass sie so einig sind, wie sie sich

heute prÈasentiert haben."
122;00:02:48:24;00:02:48:24;FABst,d Nach dem Durchbruch( ( im K:
123;00:02:48:24;00:02:48:24;FABst$oalitionsstreitÿÿ=p
124;00:02:48:24;00:02:51:16;"Nach dem Durchbruch

im Koalitionsstreit"
125;00:02:51:18;00:02:51:18;FABst-L über das Gebäudeenergiegesetz:ÿÿí
126;00:02:51:18;00:02:53:18;Èuber das GebÈaudeenergiegesetz:
127;00:02:53:20;00:02:53:20;FABst.d Die Reaktionen bei Verbänden ( ( und ¬Ì
128;00:02:53:20;00:02:53:20;FABst8Betroffenen sind geteilt.ÿÿ)î@
129;00:02:53:20;00:02:57:05;"Die Reaktionen bei VerbÈanden

und Betroffenen sind geteilt."
130;00:02:57:08;00:02:57:08;FABst/d Kritik an den neuen Regeln( ( kommtL¨
131;00:02:57:08;00:02:57:08;FABst0 etwa vom Mieterbund,ÿÿ1¬ä
132;00:02:57:08;00:03:00:08;"Kritik an den neuen Regeln

kommt etwa vom Mieterbund,"
133;00:03:00:10;00:03:00:10;FABst0Pder steigende Wohnkosten fürchtet.ÿÿ#6
134;00:03:00:10;00:03:02:16;der steigende Wohnkosten fÈurchtet.
135;00:03:02:17;00:03:02:17;FABst1d Umweltverbände sehen durch den( ( KomproÊÜ
136;00:03:02:17;00:03:02:17;FABstBmiss die Klimaziele in Gefahr.ÿÿ÷~
137;00:03:02:17;00:03:06:24;"UmweltverbÈande sehen durch den

Kompromiss die Klimaziele in Gefahr."
138;00:03:07:02;00:03:07:02;FABst2d Energiewirtschaft und Städtetag ( ( begrüÌ
139;00:03:07:02;00:03:07:02;FABst<ßen, dass es mehr Zeit gibtÿÿ%Ü
140;00:03:07:02;00:03:11:08;"Energiewirtschaft und StÈadtetag

begrÈuûen, dass es mehr Zeit gibt"
