No.;Timecode In;Timecode Out;Subtitle
1;00:00:00:01;00:00:03:00;FABstÿÿZZZZZZZZZZ$¥¥ã¥¥¥¥¥¥¥¥æ¥¥ã¥¥¥ç¥¥§ª¦ªîªªª²ô
2;00:00:03:02;00:00:03:02;FABst6 * Gong *ÿÿ'÷è
3;00:00:03:02;00:00:04:03;* Gong *
4;00:00:04:08;00:00:04:08;FABstdHier ist das Erste Deutsche Fernsehen( ( 8
5;00:00:04:08;00:00:04:08;FABst: mit der tagesschau.ÿÿ'õþ
6;00:00:04:08;00:00:07:22;"Hier ist das Erste Deutsche Fernsehen

mit der tagesschau."
7;00:00:08:00;00:00:08:00;FABstd Diese Sendung wurde vom NDR( ( live F`
8;00:00:08:00;00:00:08:00;FABst6untertitelt (27.06.2023)ÿÿ+½¤
9;00:00:08:00;00:00:12:13;"Diese Sendung wurde vom NDR

live untertitelt (27.06.2023)"
10;00:00:14:22;00:00:14:22;FABstTHeute im Studio: Julia-Niharika Sen.ÿÿÅø
11;00:00:14:22;00:00:17:14;Heute im Studio: Julia-Niharika Sen.
12;00:00:18:05;00:00:18:05;FABstd Guten Abend,( ( ich begrüße Si0¨
13;00:00:18:05;00:00:18:05;FABst(e zur tagesschau.A¯R
14;00:00:18:05;00:00:21:14;"Guten Abend,

ich begrÈuûe Sie zur tagesschau."
15;00:00:22:09;00:00:22:09;FABstd Drei Tage nach dem Aufstand( ( KZ
16;00:00:22:09;00:00:22:09;FABst*der Wagner-Söldnerÿÿ7r
17;00:00:22:09;00:00:25:03;"Drei Tage nach dem Aufstand

der Wagner-SÈoldner"
18;00:00:25:05;00:00:25:05;FABstdzeigt sich Russlands Präsident Putin( ( V
19;00:00:25:05;00:00:25:05;FABst: an der Seite der Armee.ÿÿ'áÖ
20;00:00:25:05;00:00:29:06;"zeigt sich Russlands PrÈasident Putin

an der Seite der Armee."
21;00:00:29:18;00:00:29:18;"FABstd Gleich zweimal trat er heute mit( ( Solda;d"
22;00:00:29:18;00:00:29:18;FABstDten und Sicherheitskräften auf.ÿÿi°
23;00:00:29:18;00:00:33:24;"Gleich zweimal trat er heute mit

Soldaten und SicherheitskrÈaften auf."
24;00:00:34:01;00:00:34:01;FABstd Putin dankte ihnen ( ( für Öê
25;00:00:34:01;00:00:34:01;FABst$den Widerstand,ÿÿ=¶,
26;00:00:34:01;00:00:36:11;"Putin dankte ihnen

fÈur den Widerstand,"
27;00:00:36:13;00:00:36:13;FABstd den sie Wagner-Chef Prigoschin( ( enî
28;00:00:36:13;00:00:36:13;FABst0tgegengesetzt hätten.ÿÿ1H
29;00:00:36:13;00:00:40:05;"den sie Wagner-Chef Prigoschin

entgegengesetzt hÈatten."
30;00:00:40:14;00:00:40:14;FABstd Für die Aufständischen habe es( ( keiner<
31;00:00:40:14;00:00:40:14;FABst:lei Unterstützung gegeben.ÿÿ'
32;00:00:40:14;00:00:45:12;"FÈur die AufstÈandischen habe es

keinerlei UnterstÈutzung gegeben."
33;00:00:45:22;00:00:45:22;FABstd Prigoschin soll derweil( ( in Bel22
34;00:00:45:22;00:00:45:22;FABst0arus angekommen sein.ÿÿ1Äp
35;00:00:45:22;00:00:49:10;"Prigoschin soll derweil

in Belarus angekommen sein."
36;00:00:50:19;00:00:50:19;"FABstd ""Schließe dich den deinen an, ( ( werde¿¸"
37;00:00:50:19;00:00:50:19;"FABst8 Berufssoldat"", steht da.1¾Ø"
38;00:00:50:19;00:00:55:16;"""Schlieûe dich den deinen an,

werde Berufssoldat"", steht da."
39;00:00:56:17;00:00:56:17;FABstL Die Werbung läuft heute Mittagÿÿ
40;00:00:56:17;00:00:58:16;Die Werbung lÈauft heute Mittag
41;00:00:58:18;00:00:58:18;FABstd vor einer Sondersendung( ( im russisAÞ
42;00:00:58:18;00:00:58:18;FABst0chen Staatsfernsehen.ÿÿ1¨l
43;00:00:58:18;00:01:02:01;"vor einer Sondersendung

im russischen Staatsfernsehen."
44;00:01:02:16;00:01:02:16;FABstd Jeden Moment beginnt die Rede( ( Präsidí
45;00:01:02:16;00:01:02:16;FABst>ent Putins vor den Militärs.ÿÿ#0
46;00:01:02:16;00:01:06:14;"Jeden Moment beginnt die Rede

PrÈasident Putins vor den MilitÈars."
47;00:01:06:16;00:01:06:16;FABstNIm Kreml sammeln sie sich schon.ÿÿ ä
48;00:01:06:16;00:01:09:02;Im Kreml sammeln sie sich schon.
49;00:01:09:04;00:01:09:04;FABstdAuch Verteidigungsminister Schoigu( (
50;00:01:09:04;00:01:09:04;FABst, ist dabei.ÿÿ5ß
51;00:01:09:04;00:01:12:10;"Auch Verteidigungsminister Schoigu

ist dabei."
52;00:01:16:08;00:01:16:08;FABstd Alle Zweifel( ( sollen wegge)j
53;00:01:16:08;00:01:16:08;FABst$wischt werden ÿÿ=Ú
54;00:01:16:08;00:01:19:12;"Alle Zweifel

sollen weggewischt werden Ð"
55;00:01:19:19;00:01:19:19;FABstd nicht nur die an Schoigu,( ( sondern a
56;00:01:19:19;00:01:19:19;FABst4uch die am Präsidenten.ÿÿ-,p
57;00:01:19:19;00:01:23:17;"nicht nur die an Schoigu,

sondern auch die am PrÈasidenten."
58;00:01:23:19;00:01:23:19;FABstd Auch deshalb diese Zeremonie( ( auf demcÀ
59;00:01:23:19;00:01:23:19;FABst@ Kathedralen-Platz des Kreml.ÿÿ!.
60;00:01:23:19;00:01:28:02;"Auch deshalb diese Zeremonie

auf dem Kathedralen-Platz des Kreml."
61;00:01:28:04;00:01:28:04;FABstd Hier ließen sich früher( ( di)\
62;00:01:28:04;00:01:28:04;"FABst&e Zaren krönen -ÿÿ;PB"
63;00:01:28:04;00:01:30:20;"Hier lieûen sich frÈuher

die Zaren krÈonen -"
64;00:01:30:22;00:01:30:22;FABstN hier lobt Putin seine Militärs.ÿÿº
65;00:01:30:22;00:01:32:19;hier lobt Putin seine MilitÈars.
66;00:01:33:19;00:01:33:19;FABstdSie haben die Verfassungsordnung( ( {
67;00:01:33:19;00:01:33:19;FABst& verteidigt,CÐ
68;00:01:33:19;00:01:36:14;"Sie haben die Verfassungsordnung

verteidigt,"
69;00:01:36:16;00:01:36:16;FABstd das Leben, die Sicherheit( ( und 6
70;00:01:36:16;00:01:36:16;FABst0Freiheit der Bürger. 9Ö
71;00:01:36:16;00:01:39:17;"das Leben, die Sicherheit

und Freiheit der BÈurger."
72;00:01:39:19;00:01:39:19;FABstd Haben die Heimat( ( vor Erschüt>
73;00:01:39:19;00:01:39:19;FABst(terungen bewahrt.ÿÿ9z
74;00:01:39:19;00:01:42:11;"Haben die Heimat

vor ErschÈutterungen bewahrt."
75;00:01:42:14;00:01:42:14;FABstd Faktisch haben sie( ( einen Bür¸
76;00:01:42:14;00:01:42:14;FABst*gerkrieg gestoppt.ÿÿ7âÞ
77;00:01:42:14;00:01:45:20;"Faktisch haben sie

einen BÈurgerkrieg gestoppt."
78;00:01:49:14;00:01:49:14;FABstd Putin gibt sich als( ( siegreicher Q¢
79;00:01:49:14;00:01:49:14;FABst.Oberkommandierender,ÿÿ3
80;00:01:49:14;00:01:52:22;"Putin gibt sich als

siegreicher Oberkommandierender,"
81;00:01:52:24;00:01:52:24;FABstd ungeachtet der Ereignisse( ( y
82;00:01:52:24;00:01:52:24;"FABst&vom Wochenende.ÿÿ;³:"
83;00:01:52:24;00:01:55:14;"ungeachtet der Ereignisse

vom Wochenende."
84;00:01:55:16;00:01:55:16;FABstd Den Wagner-Söldnern( ( hattÑ<u>
85;00:01:55:16;00:01:55:16;FABst$e er angeboten,ÿÿ=ÕJ
86;00:01:55:16;00:01:57:24;"Den Wagner-SÈoldnern

hatte er angeboten,"
87;00:01:58:02;00:01:58:02;FABst d sich der Armee anzuschließen,( ( oder×
88;00:01:58:02;00:01:58:02;FABst8 nach Belarus umzuziehen.ÿÿ)ª²
89;00:01:58:02;00:02:01:22;"sich der Armee anzuschlieûen,

oder nach Belarus umzuziehen."
90;00:02:02:11;00:02:02:11;FABst!d Am Morgen gab es Hinweise,( ( dass de~Ä
91;00:02:02:11;00:02:02:11;FABst6r Chef der Wagner-Truppeÿÿ+Ê*
92;00:02:02:11;00:02:05:23;"Am Morgen gab es Hinweise,

dass der Chef der Wagner-Truppe"
93;00:02:06:00;00:02:06:00;"FABst""d schon in Minsk ist,( ( sein Flugzeuü"
94;00:02:06:00;00:02:06:00;FABst.g war dort gelandet.ÿÿ3äð
95;00:02:06:00;00:02:09:12;"schon in Minsk ist,

sein Flugzeug war dort gelandet."
96;00:02:10:04;00:02:10:04;FABst#d Später erklärte der belarussische( ( â
