No.;Timecode In;Timecode Out;Subtitle
1;00:00:17:16;00:00:17:16;FABst6 * Gong *ÿÿZZZZZZZZZZ¥¥ã¥¥¥¥¥6
2;00:00:17:16;00:00:17:16;FABst¥¥¥¥ã¥ã¥¥¥¥¥§ª¦ªîªªªGö¤
3;00:00:17:16;00:00:18:23;* Gong *
4;00:00:19:00;00:00:19:00;FABstdHier ist das Erste Deutsche Fernsehen( ( 9
5;00:00:19:00;00:00:19:00;FABst: mit den tagesthemen.ÿÿ'ºð
6;00:00:19:00;00:00:22:14;"Hier ist das Erste Deutsche Fernsehen

mit den tagesthemen."
7;00:00:22:16;00:00:22:16;FABstd Diese Sendung wurde vom NDR( ( live Af
8;00:00:22:16;00:00:22:16;FABst6untertitelt (20.04.2023)ÿÿ+¸²
9;00:00:22:16;00:00:26:11;"Diese Sendung wurde vom NDR

live untertitelt (20.04.2023)"
10;00:00:26:13;00:00:26:13;FABstd Heute im Studio:( ( Aline Abboud$
11;00:00:26:13;00:00:26:13;FABst, und Judith Rakers.ÿÿ5¶
12;00:00:26:13;00:00:29:08;"Heute im Studio:

Aline Abboud und Judith Rakers."
13;00:00:29:11;00:00:29:11;FABstd Guten Abend.( ( Schön, dass Ôn
14;00:00:29:11;00:00:29:11;FABst$Sie dabei sind.ÿÿ=þJ
15;00:00:29:11;00:00:32:14;"Guten Abend.

SchÈon, dass Sie dabei sind."
16;00:00:32:20;00:00:32:20;FABst: Guten Abend.ÿÿ#Õv
17;00:00:32:20;00:00:34:00;Guten Abend.
18;00:00:34:11;00:00:34:11;FABstd Wenn man sich( ( in den Großst²
19;00:00:34:11;00:00:34:11;FABst$ädten umschaut,ÿÿ=.
20;00:00:34:11;00:00:37:02;"Wenn man sich

in den GroûstÈadten umschaut,"
21;00:00:37:04;00:00:37:04;FABstd hat man das Gefühl,( ( überall si
22;00:00:37:04;00:00:37:04;FABst*nd Großbaustellen.ÿÿ7n
23;00:00:37:04;00:00:40:11;"hat man das GefÈuhl,

Èuberall sind Groûbaustellen."
24;00:00:41:15;00:00:41:15;FABstd Es wird gebaut - seit Jahren,( ( 0
25;00:00:41:15;00:00:41:15;"FABst.wie hier in Hamburg.;ÏÐ"
26;00:00:41:15;00:00:44:24;"Es wird gebaut - seit Jahren,

wie hier in Hamburg."
27;00:00:45:01;00:00:45:01;FABstL Trotzdem: Wohnraum ist knapp.Ü
28;00:00:45:01;00:00:47:05;Trotzdem: Wohnraum ist knapp.
29;00:00:47:07;00:00:47:07;FABstd Deutschlandweit( ( fehlen gesch<u>
30;00:00:47:07;00:00:47:07;FABst4ätzt 700.000 Wohnungen.ÿÿ-$
31;00:00:47:07;00:00:51:11;"Deutschlandweit

fehlen geschÈatzt 700.000 Wohnungen."
32;00:00:52:07;00:00:52:07;FABst: Das Problem:ÿÿ#ñV
33;00:00:52:07;00:00:53:14;Das Problem:
34;00:00:53:16;00:00:53:16;FABstd Es werden immer weniger( ( Wohnunge?¬
35;00:00:53:16;00:00:53:16;FABst.n und Häuser gebaut.ÿÿ3R
36;00:00:53:16;00:00:56:20;"Es werden immer weniger

Wohnungen und HÈauser gebaut."
37;00:00:56:22;00:00:56:22;FABstd Denn seit Mai 2022( ( sinken die(
38;00:00:56:22;00:00:56:22;FABst* Baugenehmigungen.ÿÿ7Ý0
39;00:00:56:22;00:01:00:02;"Denn seit Mai 2022

sinken die Baugenehmigungen."
