No.;Timecode In;Timecode Out;Subtitle
482;00:09:58:20;00:10:01:14;"weil sich die Wetterlage

schnell verÈandern kann."
483;00:10:03:05;00:10:03:05;FABst¯d Im Norden Norwegens ( ( wurdená¾
484;00:10:03:05;00:10:03:05;"FABst& mehrere Gebieteÿÿ;Íî"
485;00:10:03:05;00:10:05:18;"Im Norden Norwegens

wurden mehrere Gebiete"
486;00:10:05:20;00:10:05:20;FABst°L nach Lawinenabgängen geräumt.ÿÿ.¨
487;00:10:05:20;00:10:07:16;nach LawinenabgÈangen gerÈaumt.
488;00:10:08:01;00:10:08:01;FABst±d Mindestens vier Menschen( ( waren zuÏê
489;00:10:08:01;00:10:08:01;FABst4vor ums Leben gekommen.ÿÿ-·@
490;00:10:08:01;00:10:11:13;"Mindestens vier Menschen

waren zuvor ums Leben gekommen."
491;00:10:11:19;00:10:11:19;FABst²d Gestern wurde Touristengruppe( ( ÔR
492;00:10:11:19;00:10:11:19;FABst.in der Region Tromsöÿÿ3=ò
493;00:10:11:19;00:10:14:22;"Gestern wurde Touristengruppe

in der Region TromsÈo"
494;00:10:14:24;00:10:14:24;FABst³Tvon den Schneemassen erfasst worden.ÿÿm¦
495;00:10:14:24;00:10:17:01;von den Schneemassen erfasst worden.
496;00:10:17:08;00:10:17:08;FABst´d Auf der Insel Reinöya ( ( starbwÀ
497;00:10:17:08;00:10:17:08;FABst(en zwei Menschen.ÿÿ9í
498;00:10:17:08;00:10:19:24;"Auf der Insel ReinÈoya

starben zwei Menschen."
499;00:10:20:06;00:10:20:06;FABstµd Sie wurden von einer Lawine( ( mitsamt </u>ä
500;00:10:20:06;00:10:20:06;FABst>einem Haus und einer Scheuneÿÿ#üÀ
501;00:10:20:06;00:10:23:24;"Sie wurden von einer Lawine

mitsamt einem Haus und einer Scheune"
502;00:10:24:01;00:10:24:01;FABst¶@ ins Meer gerissen.ÿÿyf
503;00:10:24:01;00:10:25:03;ins Meer gerissen.
504;00:10:27:04;00:10:27:04;FABst·d In der Fußball-Bundesliga( ( hat LeipsT
505;00:10:27:04;00:10:27:04;FABst@zig einen weiteren Rückschlagÿÿ!^
506;00:10:27:04;00:10:31:01;"In der Fuûball-Bundesliga

hat Leipzig einen weiteren RÈuckschlag"
507;00:10:31:04;00:10:31:04;FABst¸d im Kampf um Plätze( ( in der Champr8
