No.;Timecode In;Timecode Out;Subtitle
"1";"00:00:17:12";"00:00:17:12";"FABst6 * Gong *ÿÿZZZZZZZZZZ¥¥ã¥¥¥¥¥6"
"2";"00:00:17:12";"00:00:17:12";"FABst¥¥¥á¥¥à¥ã¥¥¥¥§ª¦ªîªªªGÌ"
"3";"00:00:17:12";"00:00:18:13";"* Gong *"
"4";"00:00:18:19";"00:00:18:19";"FABstdHier ist das Erste Deutsche Fernsehen( ( 9"
"5";"00:00:18:19";"00:00:18:19";"FABst: mit den tagesthemen.ÿÿ'ºð"
"6";"00:00:18:19";"00:00:22:02";"Hier ist das Erste Deutsche Fernsehen

mit den tagesthemen."
"7";"00:00:22:04";"00:00:22:04";"FABstd Diese Sendung wurde vom NDR( ( live Af"
"8";"00:00:22:04";"00:00:22:04";"FABst6untertitelt (31.03.2023)ÿÿ+¿ª"
"9";"00:00:22:04";"00:00:25:23";"Diese Sendung wurde vom NDR

live untertitelt (31.03.2023)"
"10";"00:00:26:00";"00:00:26:00";"FABstd Heute im Studio:( ( Aline Abboud $"
"11";"00:00:26:00";"00:00:26:00";"FABst.und Susanne Daubner.ÿÿ3»"
"12";"00:00:26:00";"00:00:28:23";"Heute im Studio:

Aline Abboud und Susanne Daubner."
"13";"00:00:29:19";"00:00:29:19";"FABstd Willkommen zu den tagesthemen.( ( Schö¸"
"14";"00:00:29:19";"00:00:29:19";"FABst6n, dass Sie dabei sind. 3È"
"15";"00:00:29:19";"00:00:33:04";"Willkommen zu den tagesthemen.

SchÈon, dass Sie dabei sind."
"16";"00:00:33:06";"00:00:33:06";"FABst: Guten Abend.+È*"
"17";"00:00:33:06";"00:00:34:11";"Guten Abend."
"18";"00:00:34:18";"00:00:34:18";"FABstd Darf man jetzt doch neue Öl-( ( oder GÁ."
"19";"00:00:34:18";"00:00:34:18";"FABst@asheizungen einbauen ab 2024?ÿÿ!ð"
"20";"00:00:34:18";"00:00:38:13";"Darf man jetzt doch neue ÈOl-

oder Gasheizungen einbauen ab 2024?"
"21";"00:00:38:15";"00:00:38:15";"FABstB Und wenn ja, welche?ÿÿ×Â"
"22";"00:00:38:15";"00:00:39:22";"Und wenn ja, welche?"
"23";"00:00:40:23";"00:00:40:23";"FABstd Der Koalitionsausschuss( ( hatte sic="
"24";"00:00:40:23";"00:00:40:23";"FABst0h Anfang dieser Wocheÿÿ1ßÊ"
"25";"00:00:40:23";"00:00:44:10";"Der Koalitionsausschuss

hatte sich Anfang dieser Woche"
"26";"00:00:44:12";"00:00:44:12";"FABstTnach langem Streit darauf geeinigt:ÿÿ´"
"27";"00:00:44:12";"00:00:46:18";"nach langem Streit darauf geeinigt:"
"28";"00:00:46:20";"00:00:46:20";"FABstd Ab 2024 soll "möglichst" ( ( jede Üò"
"29";"00:00:46:20";"00:00:46:20";"FABst2neu eingebaute Heizungÿÿ/Ë"
"30";"00:00:46:20";"00:00:49:20";"Ab 2024 soll "mÈoglichst"

jede neu eingebaute Heizung"
"31";"00:00:49:22";"00:00:49:22";"FABstD zu mehr als die Hälfteÿÿ.."
"32";"00:00:49:22";"00:00:51:17";"zu mehr als die HÈalfte"
"33";"00:00:51:19";"00:00:51:19";"FABstd mit erneuerbaren Energien( ( bet"
"34";"00:00:51:19";"00:00:51:19";"FABst.rieben werden soll. ÿÿ3úÔ"
"35";"00:00:51:19";"00:00:54:18";"mit erneuerbaren Energien

betrieben werden soll."
"36";"00:00:55:01";"00:00:55:01";"FABstd Es soll aber keine Pflicht( ( zu("
"37";"00:00:55:01";"00:00:55:01";"FABst*m Austausch geben.ÿÿ7À"
"38";"00:00:55:01";"00:00:57:21";"Es soll aber keine Pflicht

zum Austausch geben."
"39";"00:00:58:05";"00:00:58:05";"FABstNWas heißt das für meine Heizung?ÿÿÞ"
"40";"00:00:58:05";"00:01:00:18";"Was heiût das fÈur meine Heizung?"
"41";"00:01:01:06";"00:01:01:06";"FABstd Darauf gibt es( ( seit dem Abend'>"
"42";"00:01:01:06";"00:01:01:06";"FABst* einige Antworten.ÿÿ7"
"43";"00:01:01:06";"00:01:04:04";"Darauf gibt es

seit dem Abend einige Antworten."
"44";"00:01:04:06";"00:01:04:06";"FABstd Demnach soll es( ( eine umfassend~"
"45";"00:01:04:06";"00:01:04:06";"FABst*e Förderung geben,ÿÿ7°"
"46";"00:01:04:06";"00:01:07:06";"Demnach soll es

eine umfassende FÈorderung geben,"
"47";"00:01:07:08";"00:01:07:08";"FABstN Ausnahmen und Übergangsfristen.ÿÿ#8"
"48";"00:01:07:08";"00:01:09:06";"Ausnahmen und ÈUbergangsfristen."
"49";"00:01:09:13";"00:01:09:13";"FABstd Wenn im Winter etwa die Heizung( ( nicHr"
"50";"00:01:09:13";"00:01:09:13";"FABst:ht mehr zu reparieren ist,ÿÿ'²r"
"51";"00:01:09:13";"00:01:13:08";"Wenn im Winter etwa die Heizung

nicht mehr zu reparieren ist,"
"52";"00:01:13:10";"00:01:13:10";"FABstddarf kurzfristig wieder ein Öl- ( ( oder"
"53";"00:01:13:10";"00:01:13:10";"FABst<Gaskessel eingebaut werden,ÿÿ%ç´"
"54";"00:01:13:10";"00:01:17:06";"darf kurzfristig wieder ein ÈOl-

oder Gaskessel eingebaut werden,"
"55";"00:01:17:08";"00:01:17:08";"FABstd um nicht wochenlang( ( friefl"
"56";"00:01:17:08";"00:01:17:08";"FABst$ren zu müssen. ÿÿ=<i>"
"57";"00:01:17:08";"00:01:19:14";"um nicht wochenlang

frieren zu mÈussen."
"58";"00:01:19:16";"00:01:19:16";"FABstL Details von Kirsten Girschick.ÿÿªæ"
"59";"00:01:19:16";"00:01:21:12";"Details von Kirsten Girschick."
"60";"00:01:22:16";"00:01:22:16";"FABstd Eine Wärmepumpe soll( ( in ZukuÀ"
"61";"00:01:22:16";"00:01:22:16";"FABst(nft der RegelfallAÀL"
"62";"00:01:22:16";"00:01:25:13";"Eine WÈarmepumpe soll

in Zukunft der Regelfall"
"63";"00:01:25:15";"00:01:25:15";"FABstL bei der Wärmeversorgung sein.B^"
"64";"00:01:25:15";"00:01:27:12";"bei der WÈarmeversorgung sein."
"65";"00:01:27:14";"00:01:27:14";"FABstd Denn im Kern bleibt( ( der KomproZt"
"66";"00:01:27:14";"00:01:27:14";"FABst0miss der Ampel dabei:ÿÿ1¿ú"
"67";"00:01:27:14";"00:01:30:14";"Denn im Kern bleibt

der Kompromiss der Ampel dabei:"
"68";"00:01:30:16";"00:01:30:16";"FABstL Neue Heizungen sollen ab 2024ÿÿà¾"
"69";"00:01:30:16";"00:01:32:15";"Neue Heizungen sollen ab 2024"
"70";"00:01:32:17";"00:01:32:17";"FABstdzu mindestens 65 % mit erneuerbaren( ( e"
"71";"00:01:32:17";"00:01:32:17";"FABst:Energien betrieben werden.ÿÿ'h"
"72";"00:01:32:17";"00:01:36:09";"zu mindestens 65 % mit erneuerbaren

Energien betrieben werden."
"73";"00:01:36:17";"00:01:36:17";"FABst@ In der Regel gilt:ÿÿ¥J"
"74";"00:01:36:17";"00:01:38:11";"In der Regel gilt:"
"75";"00:01:38:13";"00:01:38:13";"FABstd Ist eine Öl- oder Gas-Heizung( ( Ùà"
"76";"00:01:38:13";"00:01:38:13";"FABst.älter als 30 Jahre,ÿÿ35"
