No.;Timecode In;Timecode Out;Subtitle
1;00:00:17:18;00:00:17:18;FABst6 * Gong *ÿÿZZZZZZZZZZ¥¥ã¥¥¥¥¥6
2;00:00:17:18;00:00:17:18;FABst¥¥¥¥ã¥ã¥¥¥¥¥§ª¦ªîªªªGö¤
3;00:00:17:18;00:00:18:18;* Gong *
4;00:00:18:20;00:00:18:20;FABstdHier ist das Erste Deutsche Fernsehen( ( 9
5;00:00:18:20;00:00:18:20;FABst: mit den tagesthemen.ÿÿ'ºð
6;00:00:18:20;00:00:22:08;"Hier ist das Erste Deutsche Fernsehen

mit den tagesthemen."
7;00:00:22:10;00:00:22:10;FABstd Diese Sendung wurde vom NDR( ( live Af
8;00:00:22:10;00:00:22:10;FABst6untertitelt (21.04.2023)ÿÿ+¹°
9;00:00:22:10;00:00:26:03;"Diese Sendung wurde vom NDR

live untertitelt (21.04.2023)"
10;00:00:26:05;00:00:26:05;FABstd Heute im Studio:( ( Aline Abboud $
11;00:00:26:05;00:00:26:05;FABst.und Susanne Daubner.ÿÿ3»
12;00:00:26:05;00:00:29:02;"Heute im Studio:

Aline Abboud und Susanne Daubner."
13;00:00:29:18;00:00:29:18;FABstd Willkommen,( ( schön dassÊ$
14;00:00:29:18;00:00:29:18;FABst sie da sind.Iõ®
15;00:00:29:18;00:00:31:19;"Willkommen,

schÈon dass sie da sind."
16;00:00:31:21;00:00:31:21;FABst: Guten Abend.+È*
17;00:00:31:21;00:00:32:23;Guten Abend.
18;00:00:33:00;00:00:33:00;FABstd Parteitage sind meist ( ( ein S{
19;00:00:33:00;00:00:33:00;FABst(timmungsbarometerAö2
20;00:00:33:00;00:00:35:15;"Parteitage sind meist

ein Stimmungsbarometer"
21;00:00:35:17;00:00:35:17;FABstL für die Gefühlslage der Basis.ÿÿÁ,
22;00:00:35:17;00:00:37:17;fÈur die GefÈuhlslage der Basis.
23;00:00:37:19;00:00:37:19;FABstd Die müsste( ( bei der FDP sê
24;00:00:37:19;00:00:37:19;FABst chlecht sein.ÿÿAîx
25;00:00:37:19;00:00:40:06;"Die mÈusste

bei der FDP schlecht sein."
26;00:00:41:01;00:00:41:01;FABstB Ist sie aber nicht,ÿÿÁö
27;00:00:41:01;00:00:42:09;Ist sie aber nicht,
28;00:00:42:11;00:00:42:11;FABstd zumindest zeigt sie es( ( nic70
29;00:00:42:11;00:00:42:11;"FABst""ht nach außen.ÿÿ?ê"
30;00:00:42:11;00:00:45:00;"zumindest zeigt sie es

nicht nach auûen."
31;00:00:45:02;00:00:45:02;FABstd Obwohl die FDP( ( schwierige ZP
32;00:00:45:02;00:00:45:02;FABst(eiten durchmacht.ÿÿ9
33;00:00:45:02;00:00:47:21;"Obwohl die FDP

schwierige Zeiten durchmacht."
34;00:00:47:23;00:00:47:23;FABstd Bei fünf Landtagswahlen( ( hat s÷
35;00:00:47:23;00:00:47:23;FABst.ie seit dem Eintrittÿÿ3
36;00:00:47:23;00:00:50:22;"Bei fÈunf Landtagswahlen

hat sie seit dem Eintritt"
37;00:00:50:24;00:00:50:24;FABstH in die Regierung verloren.ÿÿ¸Ö
38;00:00:50:24;00:00:52:22;in die Regierung verloren.
39;00:00:52:24;00:00:52:24;FABstd 2023 finden drei weitere( ( LandUt
40;00:00:52:24;00:00:52:24;FABst*tagswahlen statt, ÿÿ7¢h
41;00:00:52:24;00:00:55:20;"2023 finden drei weitere

Landtagswahlen statt,"
42;00:00:55:22;00:00:55:22;FABstH Bremen, Bayern und Hessen.ÿÿå2
43;00:00:55:22;00:00:57:17;Bremen, Bayern und Hessen.
44;00:00:57:19;00:00:57:19;FABstd Auch in diesen Ländern könnte sie( ( an )T
45;00:00:57:19;00:00:57:19;FABstHder Fünf-Prozent-Hürde scheitern.ÿÿ¥¢
46;00:00:57:19;00:01:02:04;"Auch in diesen LÈandern kÈonnte sie

an der FÈunf-Prozent-HÈurde scheitern."
47;00:01:02:06;00:01:02:06;FABstRDer Parteitag soll also beruhigen.ÿÿü¤
48;00:01:02:06;00:01:04:12;Der Parteitag soll also beruhigen.
49;00:01:04:14;00:01:04:14;"FABstd Das sieht man am Leitantrag,( ( der;l"
50;00:01:04:14;00:01:04:14;"FABst. ""FDP pur"" vertritt.ÿÿ3Õ´"
51;00:01:04:14;00:01:08:06;"Das sieht man am Leitantrag,

der ""FDP pur"" vertritt."
52;00:01:08:08;00:01:08:08;FABstF Eine pure FDP-Konstante:ÿÿü
53;00:01:08:08;00:01:10:08;Eine pure FDP-Konstante:
54;00:01:10:10;00:01:10:10;FABstd Christian Lindner( ( wurde als PZ
55;00:01:10:10;00:01:10:10;FABst6arteichef wiedergewählt.ÿÿ+t,
56;00:01:10:10;00:01:14:07;"Christian Lindner

wurde als Parteichef wiedergewÈahlt."
57;00:01:14:24;00:01:14:24;FABstd Andre Kartschall( ( über áL
58;00:01:14:24;00:01:14:24;FABsteine ParteiÿÿE¨4
59;00:01:14:24;00:01:17:00;"Andre Kartschall

Èuber eine Partei"
60;00:01:17:02;00:01:17:02;FABstd zwischen Frustration( ( und `
61;00:01:17:02;00:01:17:02;"FABst""Kampfeswillen.ÿÿ?P"
62;00:01:17:02;00:01:19:22;"zwischen Frustration

und Kampfeswillen."
63;00:01:21:05;00:01:21:05;"FABstd ""Machen, was wichtig wird"",( ( so de "
64;00:01:21:05;00:01:21:05;FABst6r Slogan des Parteitags.3ñ
65;00:01:21:05;00:01:24:19;"""Machen, was wichtig wird"",

so der Slogan des Parteitags."
66;00:01:24:21;00:01:24:21;FABstd Wichtig scheint zu sein,( ( nicht E
67;00:01:24:21;00:01:24:21;FABst.bei dem mitzumachen,ÿÿ3­ì
68;00:01:24:21;00:01:28:11;"Wichtig scheint zu sein,

nicht bei dem mitzumachen,"
69;00:01:28:13;00:01:28:13;FABstd was sie Partei für falsch hält -( ( wþ
70;00:01:28:13;00:01:28:13;FABst4ie beim Verbrenner-Aus.ÿÿ-
71;00:01:28:13;00:01:32:04;"was sie Partei fÈur falsch hÈalt -

wie beim Verbrenner-Aus."
72;00:01:32:06;00:01:32:06;FABstd Und sie hat Vorbehalte( ( gegen di*N
73;00:01:32:06;00:01:32:06;FABst.e geplante Umrüstungÿÿ3Xb
74;00:01:32:06;00:01:35:05;"Und sie hat Vorbehalte

gegen die geplante UmrÈustung"
75;00:01:35:07;00:01:35:07;FABstH von Gas- und Ölheizungen.ÿÿ)J
76;00:01:35:07;00:01:37:02;von Gas- und ÈOlheizungen.
77;00:01:37:04;00:01:37:04;"FABstd Und sie sagt ""Nein""( ( zu höheré@"
78;00:01:37:04;00:01:37:04;FABst,en Ausgabewünschen.ÿÿ5!
79;00:01:37:04;00:01:40:05;"Und sie sagt ""Nein""

zu hÈoheren AusgabewÈunschen."
80;00:01:40:07;00:01:40:07;FABstdDie FDP zeigte in den letzten Wochen( ( H
81;00:01:40:07;00:01:40:07;"FABst6 Widerspruchsgeist.ÿÿ+</u>"""
82;00:01:40:07;00:01:43:20;"Die FDP zeigte in den letzten Wochen

Widerspruchsgeist."
83;00:01:43:23;00:01:43:23;FABstd Der Vorsitzende ist mit sich( ( und s-X
84;00:01:43:23;00:01:43:23;FABst4einer Partei zufrieden.ÿÿ-ìÌ
85;00:01:43:23;00:01:47:13;"Der Vorsitzende ist mit sich

und seiner Partei zufrieden."
86;00:01:47:15;00:01:47:15;FABst dVor zehn Jahren habe ich gesagt,( (
87;00:01:47:15;00:01:47:15;FABst0es sei nicht schlimm,9
88;00:01:47:15;00:01:51:13;"Vor zehn Jahren habe ich gesagt,

es sei nicht schlimm,"
89;00:01:51:15;00:01:51:15;FABst!d wenn die FDP angegriffen wird( ( füö
90;00:01:51:15;00:01:51:15;FABst4r das, wofür sie steht.5\
91;00:01:51:15;00:01:55:21;"wenn die FDP angegriffen wird

fÈur das, wofÈur sie steht."
92;00:01:57:17;00:01:57:17;"FABst""d Schlimm sei nur,( ( wenn die FDPZB"
93;00:01:57:17;00:01:57:17;FABst* angegriffen wird,ÿÿ7®
94;00:01:57:17;00:02:01:16;"Schlimm sei nur,

wenn die FDP angegriffen wird,"
95;00:02:01:18;00:02:01:18;FABst#H weil sie für nichts steht.ÿÿc 
96;00:02:01:18;00:02:03:14;weil sie fÈur nichts steht.
97;00:02:04:01;00:02:04:01;FABst$d Wenn ich mir heute( ( die AnB
98;00:02:04:01;00:02:04:01;"FABst""griffe ansehe:ÿÿ?ç4"
99;00:02:04:01;00:02:07:00;"Wenn ich mir heute

die Angriffe ansehe:"
100;00:02:07:02;00:02:07:02;FABst%D Da habe ich geliefert.ÿÿ^
101;00:02:07:02;00:02:08:21;Da habe ich geliefert.
102;00:02:08:23;00:02:08:23;FABst&d Die FDP liefert weiter,( ( vor allem G?Ö
103;00:02:08:23;00:02:08:23;FABst4egenwind zu den Grünen.ÿÿ-+D
104;00:02:08:23;00:02:12:19;"Die FDP liefert weiter,

vor allem Gegenwind zu den GrÈunen."
105;00:02:12:21;00:02:12:21;FABst'd Auf dem Parteitag( ( brachte die B&
106;00:02:12:21;00:02:12:21;FABst2asis einen Antrag ein.ÿÿ/Ò
107;00:02:12:21;00:02:16:18;"Auf dem Parteitag

brachte die Basis einen Antrag ein."
108;00:02:16:20;00:02:16:20;FABst(d Der fordert( ( die BundestaF
109;00:02:16:20;00:02:16:20;FABst$gsfraktion auf,ÿÿ=
110;00:02:16:20;00:02:19:11;"Der fordert

die Bundestagsfraktion auf,"
111;00:02:19:13;00:02:19:13;FABst)d dem geplanten Gesetz( ( zum Heizung
112;00:02:19:13;00:02:19:13;FABst:stausch nicht zuzustimmen.ÿÿ'¨Â
113;00:02:19:13;00:02:23:22;"dem geplanten Gesetz

zum Heizungstausch nicht zuzustimmen."
114;00:02:27:00;00:02:27:00;FABst*d Das Gebäude-Energiegesetz( ( istµ|
115;00:02:27:00;00:02:27:00;"FABst. ein Verbotsgesetz. ;Ð¦"
116;00:02:27:00;00:02:30:17;"Das GebÈaude-Energiegesetz

ist ein Verbotsgesetz."
117;00:02:32:06;00:02:32:06;FABst+d Wir wollen es( ( in dieser ~Ú
118;00:02:32:06;00:02:32:06;FABst$Form aufhalten.EÉ¾
119;00:02:32:06;00:02:34:19;"Wir wollen es

in dieser Form aufhalten."
120;00:02:34:21;00:02:34:21;FABst,H Das muss geändert werden.ÿÿWè
121;00:02:34:21;00:02:36:11;Das muss geÈandert werden.
122;00:02:36:13;00:02:36:13;FABst-d Sonst kann es nicht( ( durch debÖ
123;00:02:36:13;00:02:36:13;FABst,n Bundestag kommen.ÿÿ5â
124;00:02:36:13;00:02:39:07;"Sonst kann es nicht

durch den Bundestag kommen."
125;00:02:39:09;00:02:39:09;FABst.d Die klare Linie scheint der FDP( ( ld$
126;00:02:39:09;00:02:39:09;FABst4aut Umfragen zu helfen.ÿÿ-¸D
127;00:02:39:09;00:02:42:15;"Die klare Linie scheint der FDP

laut Umfragen zu helfen."
128;00:02:42:17;00:02:42:17;FABst/d Nach Stimmenverlusten( ( bei fÎ
129;00:02:42:17;00:02:42:17;FABst*ünf Landtagswahlenÿÿ7
130;00:02:42:17;00:02:45:09;"Nach Stimmenverlusten

bei fÈunf Landtagswahlen"
131;00:02:45:11;00:02:45:11;FABst0d zeigten die Werte( ( für die Bunde<
132;00:02:45:11;00:02:45:11;FABst4s-FDP wieder nach oben.ÿÿ-ü¨
133;00:02:45:11;00:02:49:08;"zeigten die Werte

fÈur die Bundes-FDP wieder nach oben."
134;00:02:50:00;00:02:50:00;FABst1d Ich habe den Eindruck,( ( dass e@T
135;00:02:50:00;00:02:50:00;FABst*s sich durchsetzt,?§þ
136;00:02:50:00;00:02:53:01;"Ich habe den Eindruck,

dass es sich durchsetzt,"
137;00:02:53:03;00:02:53:03;FABst2d dass es wichtig ist,( ( dass die F0¾
138;00:02:53:03;00:02:53:03;FABst8DP den Riegel vorschiebt.1½¦
139;00:02:53:03;00:02:56:16;"dass es wichtig ist,

dass die FDP den Riegel vorschiebt."
140;00:02:56:18;00:02:56:18;"FABst3F Dass wir sagen: ""Stopp.""ÿÿÏþ"
141;00:02:56:18;00:02:58:09;"Dass wir sagen: ""Stopp."""
142;00:02:58:11;00:02:58:11;"FABst4dWir gucken uns das pragmatisch an( ( ""r"
143;00:02:58:11;00:02:58:11;FABst. und greifen ein.ÿÿ3·2
144;00:02:58:11;00:03:01:23;"Wir gucken uns das pragmatisch an

und greifen ein."
145;00:03:02:14;00:03:02:14;"FABst5NAuch mal ein ""Nein"" gehört dazu.ÿÿ^"
146;00:03:02:14;00:03:05:02;"Auch mal ein ""Nein"" gehÈort dazu."
147;00:03:05:21;00:03:05:21;FABst6PEs kommt drauf an, wen man fragt.×H
148;00:03:05:21;00:03:08:06;Es kommt drauf an, wen man fragt.
149;00:03:08:08;00:03:08:08;FABst7dBeim Verbrenner-Verbot und E-Fuels( ( krr¾
150;00:03:08:08;00:03:08:08;FABstBiegen wir Applaus von manchen.ÿÿÍd
151;00:03:08:08;00:03:12:16;"Beim Verbrenner-Verbot und E-Fuels

kriegen wir Applaus von manchen."
152;00:03:12:18;00:03:12:18;"FABst8d Andere sagen:( ( ""Oh. Gott. Was*"
153;00:03:12:18;00:03:12:18;"FABst. haben die gemacht?""ÿÿ3´"
154;00:03:12:18;00:03:15:24;"Andere sagen:

""Oh. Gott. Was haben die gemacht?"""
155;00:03:16:01;00:03:16:01;FABst9d Applaus auch( ( für den wiedergeöú
156;00:03:16:01;00:03:16:01;FABst,wählten Parteichef.ÿÿ5!
157;00:03:16:01;00:03:19:04;"Applaus auch

fÈur den wiedergewÈahlten Parteichef."
158;00:03:19:06;00:03:19:06;FABst:d Lindner bekommt( ( 88 Prozen¤
159;00:03:19:06;00:03:19:06;FABst t Ja-Stimmen,ÿÿA·
160;00:03:19:06;00:03:21:20;"Lindner bekommt

88 Prozent Ja-Stimmen,"
161;00:03:21:22;00:03:21:22;"FABst;d fünf Prozent weniger( ( als v»Ò"
162;00:03:21:22;00:03:21:22;FABst$or zwei Jahren.ÿÿ=ü
163;00:03:21:22;00:03:24:24;"fÈunf Prozent weniger

als vor zwei Jahren."
164;00:03:25:01;00:03:25:01;"FABst<B Die FDP kündigte an,ÿÿ;Ô"
165;00:03:25:01;00:03:26:14;Die FDP kÈundigte an,
166;00:03:27:15;00:03:27:15;FABst=d sie werde weiter( ( für eigeneÁ
167;00:03:27:15;00:03:27:15;FABst( Lösungen stehen.ÿÿ9m<u>
168;00:03:27:15;00:03:30:20;"sie werde weiter

fÈur eigene LÈosungen stehen."
169;00:03:31:09;00:03:31:09;FABst>d Für solide Finanzen( ( und ein gesußv
170;00:03:31:09;00:03:31:09;FABst4ndes Selbstbewusstsein.ÿÿ-¹
171;00:03:31:09;00:03:35:11;"FÈur solide Finanzen

und ein gesundes Selbstbewusstsein."
172;00:03:37:00;00:03:37:00;FABst?NWeil sie für den Aufbruch steht,X
173;00:03:37:00;00:03:39:08;Weil sie fÈur den Aufbruch steht,
174;00:03:39:10;00:03:39:10;FABst@dist die FDP die wichtigste Partei( ( }|
175;00:03:39:10;00:03:39:10;"FABst. in Deutschland.;"
176;00:03:39:10;00:03:42:21;"ist die FDP die wichtigste Partei

in Deutschland."
177;00:03:42:23;00:03:42:23;FABstAL Dem ist nichts hinzuzusetzen.ÿÿ¡
178;00:03:42:23;00:03:45:00;Dem ist nichts hinzuzusetzen.
179;00:03:46:19;00:03:46:19;FABstBd Klingt nicht so,( ( als ob ]ú
180;00:03:46:19;00:03:46:19;"FABst""die FDP plant,ÿÿ?</i>D"
181;00:03:46:19;00:03:49:08;"Klingt nicht so,

als ob die FDP plant,"
182;00:03:49:10;00:03:49:10;FABstCd in der Zukunft( ( pflegeleicSè
183;00:03:49:10;00:03:49:10;FABst$hter zu werden.ÿÿ=Ñ
184;00:03:49:10;00:03:52:08;"in der Zukunft

pflegeleichter zu werden."
185;00:03:54:07;00:03:54:07;FABstDd Zugeschaltet ist( ( die neue Viz6V
186;00:03:54:07;00:03:54:07;FABst2e-Parteichefin der FDPÿÿ/­æ
187;00:03:54:07;00:03:58:01;"Zugeschaltet ist

die neue Vize-Parteichefin der FDP"
188;00:03:58:15;00:03:58:15;FABstEd und Bildungsministerin( ( Bettin5Ê
189;00:03:58:15;00:03:58:15;FABst*a Stark-Watzinger.ÿÿ7¢
190;00:03:58:15;00:04:01:12;"und Bildungsministerin

Bettina Stark-Watzinger."
191;00:04:01:14;00:04:01:14;FABstFH Guten Abend.Guten Abend.ÿÿû
192;00:04:01:14;00:04:03:03;Guten Abend.Guten Abend.
193;00:04:04:03;00:04:04:03;FABstGd Ihr alter und neuer Parteichef( ( haa~
194;00:04:04:03;00:04:04:03;FABst2tte heute angekündigt,ÿÿ/:&
195;00:04:04:03;00:04:07:23;"Ihr alter und neuer Parteichef

hatte heute angekÈundigt,"
196;00:04:08:00;00:04:08:00;FABstHTdie Positionslichter einzuschalten.ÿÿðT
197;00:04:08:00;00:04:10:12;die Positionslichter einzuschalten.
198;00:04:10:14;00:04:10:14;FABstIJ Aber die Positionen der FDPÿÿ
199;00:04:10:14;00:04:12:13;Aber die Positionen der FDP
200;00:04:12:15;00:04:12:15;FABstJd waren in den letzten Wochen( ( ò
201;00:04:12:15;00:04:12:15;FABst,nicht zu übersehen.ÿÿ5Qæ
202;00:04:12:15;00:04:15:20;"waren in den letzten Wochen

nicht zu Èubersehen."
203;00:04:17:23;00:04:17:23;FABstKd Ja, aber die Herausforderungen( ( `
204;00:04:17:23;00:04:17:23;FABst.sind noch sehr groß.ÿÿ3M
205;00:04:17:23;00:04:21:08;"Ja, aber die Herausforderungen

sind noch sehr groû."
206;00:04:22:20;00:04:22:20;FABstLL Die Menschen wollen Antworten.ä
207;00:04:22:20;00:04:25:02;Die Menschen wollen Antworten.
208;00:04:25:04;00:04:25:04;FABstMd Wie geht es( ( in unserem Bildz
209;00:04:25:04;00:04:25:04;FABst*ungssystem weiter?ÿÿ7ý
210;00:04:25:04;00:04:28:05;"Wie geht es

in unserem Bildungssystem weiter?"
211;00:04:28:07;00:04:28:07;FABstNd Wir sehen die Bildungsstudien.( ( Invn
212;00:04:28:07;00:04:28:07;FABst2estitionen wandern ab.ÿÿ/¤F
213;00:04:28:07;00:04:31:20;"Wir sehen die Bildungsstudien.

Investitionen wandern ab."
214;00:04:31:23;00:04:31:23;FABstOd Unsere Wettbewerbsfähigkeit( ( m¼Ê
215;00:04:31:23;00:04:31:23;FABst.uss gestärkt werden.ÿÿ3(²
216;00:04:31:23;00:04:35:01;"Unsere WettbewerbsfÈahigkeit

muss gestÈarkt werden."
217;00:04:35:03;00:04:35:03;FABstPd Wir wollen, dass Tempo( ( an die 5ì
218;00:04:35:03;00:04:35:03;FABst,Tagesordnung kommt.ÿÿ5¥æ
219;00:04:35:03;00:04:38:11;"Wir wollen, dass Tempo

an die Tagesordnung kommt."
220;00:04:38:13;00:04:38:13;FABstQdWie bei der Planungsbeschleunigung( ( #¨
221;00:04:38:13;00:04:38:13;FABst:oder weniger Bürokratie.ÿÿ'
222;00:04:38:13;00:04:42:08;"Wie bei der Planungsbeschleunigung

oder weniger BÈurokratie."
223;00:04:42:10;00:04:42:10;FABstRd Wir gehen mit unseren Ideen( ( in(x
224;00:04:42:10;00:04:42:10;"FABst0 die nächsten Monate.ÿÿ1;ø"
225;00:04:42:10;00:04:46:03;"Wir gehen mit unseren Ideen

in die nÈachsten Monate."
226;00:04:46:05;00:04:46:05;FABstSL Es geht um viele große Fragen.ÿÿ|ô
227;00:04:46:05;00:04:48:08;Es geht um viele groûe Fragen.
228;00:04:49:08;00:04:49:08;FABstTd Sie wollten mit der SPD( ( ?F
229;00:04:49:08;00:04:49:08;"FABst""und den Grünenÿÿ?L\"
230;00:04:49:08;00:04:51:22;"Sie wollten mit der SPD

und den GrÈunen"
231;00:04:51:24;00:04:51:24;FABstUReinen neuen Regierungsstil prägen.ÿÿT
