No.;Timecode In;Timecode Out;Subtitle
1022;00:22:08:15;00:22:08:15;FABst(tären Fragen aus.`9
1023;00:22:08:15;00:22:11:22;"wirken sich bis hin

zu humanitÈaren Fragen aus."
1024;00:22:12:01;00:22:12:01;FABstzH Das ist besorgniserregend.ÿÿ^
1025;00:22:12:01;00:22:14:03;Das ist besorgniserregend.
1026;00:22:14:05;00:22:14:05;FABst{> Trotz DunkelheitÿÿÔX
1027;00:22:14:05;00:22:15:16;Trotz Dunkelheit
1028;00:22:16:19;00:22:16:19;FABst|d sucht die griechische Küstenwache( ( þ<
1029;00:22:16:19;00:22:16:19;FABst8weiter nach Überlebenden.ÿÿ)hT
1030;00:22:16:19;00:22:21:08;"sucht die griechische KÈustenwache

weiter nach ÈUberlebenden."
1031;00:22:25:00;00:22:25:00;FABst}d Wir gehen ins Inland:( ( weitere Nac9º
1032;00:22:25:00;00:22:25:00;FABst0hrichten mit Susanne.ÿÿ1ä`
1033;00:22:25:00;00:22:28:19;"Wir gehen ins Inland:

weitere Nachrichten mit Susanne."
1034;00:22:29:13;00:22:29:13;FABst~N Zuerst zum Streik der Apotheker.ÿÿð
1035;00:22:29:13;00:22:32:01;Zuerst zum Streik der Apotheker.
1036;00:22:32:24;00:22:32:24;FABstd In Deutschland waren heute( ( die meistl
1037;00:22:32:24;00:22:32:24;FABst8en Apotheken geschlossen.ÿÿ)ì<
1038;00:22:32:24;00:22:36:12;"In Deutschland waren heute

die meisten Apotheken geschlossen."
1039;00:22:36:14;00:22:36:14;FABst<i>d Die Branche hatte( ( zu einem bund»Z
1040;00:22:36:14;00:22:36:14;FABst,esweiten Protesttagÿÿ5ïR
1041;00:22:36:14;00:22:39:10;"Die Branche hatte

zu einem bundesweiten Protesttag"
1042;00:22:39:12;00:22:39:12;FABst</i>d gegen die Gesundheitspolitik( ( $
1043;00:22:39:12;00:22:39:12;"FABst"" aufgerufen.ÿÿ?äì"
1044;00:22:39:12;00:22:41:19;"gegen die Gesundheitspolitik

aufgerufen."
1045;00:22:41:21;00:22:41:21;FABst<u>d Aktionen gab es etwa in Berlin,( ( MünsteT²
1046;00:22:41:21;00:22:41:21;FABst@r, Wiesbaden oder Düsseldorf.ÿÿ!*ê
1047;00:22:41:21;00:22:46:08;"Aktionen gab es etwa in Berlin,

MÈunster, Wiesbaden oder DÈusseldorf."
1048;00:22:46:10;00:22:46:10;FABst</u>J Apothekerinnen und Apothekerÿÿ
1049;00:22:46:10;00:22:48:10;Apothekerinnen und Apotheker
1050;00:22:48:12;00:22:48:12;FABstd beklagen zunehmende Belastungen( ( Î@
1051;00:22:48:12;00:22:48:12;FABst4bei zu geringem Gewinn.ÿÿ-¿H
1052;00:22:48:12;00:22:52:10;"beklagen zunehmende Belastungen

bei zu geringem Gewinn."
1053;00:22:52:12;00:22:52:12;FABstdGesundheitsminister Lauterbach sieht( ( we¯@
1054;00:22:52:12;00:22:52:12;FABstFnig Spielraum für höhere Löhne. ÿÿ#D
1055;00:22:52:12;00:22:57:14;"Gesundheitsminister Lauterbach sieht

wenig Spielraum fÈur hÈohere LÈohne."
1056;00:22:59:03;00:22:59:03;FABstd Wegen der Vorwürfe( ( gegen RammstVÈ
1057;00:22:59:03;00:22:59:03;FABst8ein-Sänger Till Lindemannÿÿ)a
1058;00:22:59:03;00:23:02:10;"Wegen der VorwÈurfe

gegen Rammstein-SÈanger Till Lindemann"
1059;00:23:02:12;00:23:02:12;FABstd hat die Berliner Staatsanwaltschaft( ( einå|
1060;00:23:02:12;00:23:02:12;FABstJ Ermittlungsverfahren eingeleitet.ÿÿÜ|
1061;00:23:02:12;00:23:06:20;"hat die Berliner Staatsanwaltschaft

ein Ermittlungsverfahren eingeleitet."
1062;00:23:06:22;00:23:06:22;FABstd Es wird auf Grundlage( ( von Paragr×ä
1063;00:23:06:22;00:23:06:22;FABst4aph 177 StGB ermittelt.ÿÿ-þÜ
1064;00:23:06:22;00:23:11:00;"Es wird auf Grundlage

von Paragraph 177 StGB ermittelt."
1065;00:23:11:20;00:23:11:20;FABst@ Dort geregelt sindÿÿÔ
1066;00:23:11:20;00:23:13:15;Dort geregelt sind
1067;00:23:13:17;00:23:13:17;"FABst
d sexuelle Übergriffe,( ( sexuelle Nö¸n"
1068;00:23:13:17;00:23:13:17;FABst:tigung und Vergewaltigung.ÿÿ'
1069;00:23:13:17;00:23:17:14;"sexuelle ÈUbergriffe,

sexuelle NÈotigung und Vergewaltigung."
1070;00:23:17:16;00:23:17:16;FABstd Mehrere Frauen hatten Lindemann ( ( Missbr¦2
1071;00:23:17:16;00:23:17:16;FABst>auch und Gewalt vorgeworfen,ÿÿ#Þ
1072;00:23:17:16;00:23:22:02;"Mehrere Frauen hatten Lindemann

Missbrauch und Gewalt vorgeworfen,"
1073;00:23:22:04;00:23:22:04;FABstN einige hatten Anzeige erstattet.ÿÿ7þ
1074;00:23:22:04;00:23:24:13;einige hatten Anzeige erstattet.
1075;00:23:24:17;00:23:24:17;FABstd Der Sänger( ( wies die AnschulO$
1076;00:23:24:17;00:23:24:17;"FABst&digungen zurück.ÿÿ;jd"
1077;00:23:24:17;00:23:27:18;"Der SÈanger

wies die Anschuldigungen zurÈuck."
1078;00:23:29:10;00:23:29:10;FABstd Gut einen Monat( ( vor Beginn derßf
1079;00:23:29:10;00:23:29:10;FABst2 Fußball-WM der Frauenÿÿ/Pú
1080;00:23:29:10;00:23:33:00;"Gut einen Monat

vor Beginn der Fuûball-WM der Frauen"
1081;00:23:33:02;00:23:33:02;FABstd haben sich ARD und ZDF( ( die Übertr_t
1082;00:23:33:02;00:23:33:02;FABst4agungsrechte gesichert.ÿÿ-Ð
1083;00:23:33:02;00:23:37:00;"haben sich ARD und ZDF

die ÈUbertragungsrechte gesichert."
1084;00:23:37:08;00:23:37:08;"FABstd Nach der Einigung( ( mit dem W
º"
1085;00:23:37:08;00:23:37:08;FABst$eltverband FIFAÿÿ=ÉT
1086;00:23:37:08;00:23:40:10;"Nach der Einigung

mit dem Weltverband FIFA"
1087;00:23:40:12;00:23:40:12;FABstdund der Europäischen Rundfunkunion( ( `d
1088;00:23:40:12;00:23:40:12;FABst4werden alle Spiele liveÿÿ-ïæ
1089;00:23:40:12;00:23:44:12;"und der EuropÈaischen Rundfunkunion

werden alle Spiele live"
1090;00:23:44:14;00:23:44:14;FABstdim öffentlich-rechtlichen Programm( ( ^B
1091;00:23:44:14;00:23:44:14;FABst, zu sehen sein.ÿÿ5Ì
1092;00:23:44:14;00:23:47:22;"im Èoffentlich-rechtlichen Programm

zu sehen sein."
1093;00:23:47:24;00:23:47:24;FABstd Die WM findet zwischen( ( dem 20. JþÚ
1094;00:23:47:24;00:23:47:24;FABst2uli und dem 20. Augustÿÿ/^
1095;00:23:47:24;00:23:51:12;"Die WM findet zwischen

dem 20. Juli und dem 20. August"
1096;00:23:51:14;00:23:51:14;FABstRin Australien und Neuseeland statt.ÿÿz
1097;00:23:51:14;00:23:54:07;in Australien und Neuseeland statt.
1098;00:23:55:10;00:23:55:10;FABstd In den USA legt die Notenbank( ( nach zehÕ
1099;00:23:55:10;00:23:55:10;FABst:n Zins-Erhöhungen in Folgeÿÿ'K|
1100;00:23:55:10;00:24:00:06;"In den USA legt die Notenbank

nach zehn Zins-ErhÈohungen in Folge"
1101;00:24:00:10;00:24:00:10;FABstJ erstmals eine Zinspause ein.ÿÿ?þ
1102;00:24:00:10;00:24:02:15;erstmals eine Zinspause ein.
1103;00:24:02:19;00:24:02:19;FABstd Hintergrund ist,( ( dass die ÈT
1104;00:24:02:19;00:24:02:19;"FABst&US-Teuerungsrateÿÿ;Ð"
1105;00:24:02:19;00:24:05:20;"Hintergrund ist,

dass die US-Teuerungsrate"
1106;00:24:06:17;00:24:06:17;FABstL auf vier Prozent gesunken ist.ÿÿYv
1107;00:24:06:17;00:24:09:07;auf vier Prozent gesunken ist.
1108;00:24:12:17;00:24:12:17;FABstd Von der EZB wird morgen dagegen( ( eine wù´
1109;00:24:12:17;00:24:12:17;FABst@eitere Zinserhöhung erwartet.ÿÿ!,
1110;00:24:12:17;00:24:17:16;"Von der EZB wird morgen dagegen

eine weitere ZinserhÈohung erwartet."
1111;00:24:18:13;00:24:18:13;FABstD Näheres von Anja Kohl.ÿÿH
1112;00:24:18:13;00:24:20:13;NÈaheres von Anja Kohl.
1113;00:24:23:24;00:24:23:24;FABstdDie Inflation ist auch im Euroraum( ( Æ
1114;00:24:23:24;00:24:23:24;"FABst. auf dem Rückzug.;ü"
1115;00:24:23:24;00:24:27:14;"Die Inflation ist auch im Euroraum

auf dem RÈuckzug."
1116;00:24:27:16;00:24:27:16;FABstdDoch für die Verbraucher ist Energie( ( J
1117;00:24:27:16;00:24:27:16;FABst< immer noch relativ teuer-v
1118;00:24:27:16;00:24:31:17;"Doch fÈur die Verbraucher ist Energie

immer noch relativ teuer"
1119;00:24:31:19;00:24:31:19;FABstd und die Preise von Lebensmitteln( ( £b
1120;00:24:31:19;00:24:31:19;FABst, klettern weiter.ÿÿ5Ù
1121;00:24:31:19;00:24:35:04;"und die Preise von Lebensmitteln

klettern weiter."
1122;00:24:35:06;00:24:35:06;FABstd Die EZB räumt der( ( Inflationsbe°
1123;00:24:35:06;00:24:35:06;FABst0kämpfung daher weiterÿÿ1x
1124;00:24:35:06;00:24:38:15;"Die EZB rÈaumt der

InflationsbekÈampfung daher weiter"
1125;00:24:38:16;00:24:38:16;FABstD absoluten Vorrang ein.ÿÿBz
1126;00:24:38:16;00:24:40:10;absoluten Vorrang ein.
1127;00:24:40:12;00:24:40:12;FABst dTrotz des Rückgangs ist die Inflation( ( /,
1128;00:24:40:12;00:24:40:12;FABstBmit aktuell 6,1 % noch hoch.ÿÿ¨r
1129;00:24:40:12;00:24:45:11;"Trotz des RÈuckgangs ist die Inflation

mit aktuell 6,1 % noch hoch."
1130;00:24:50:01;00:24:50:01;FABst¡d Noch deutet daher nichts( ( auf eine ZÒ,
1131;00:24:50:01;00:24:50:01;FABst8inspause im Euroraum hin,ÿÿ)»
1132;00:24:50:01;00:24:54:04;"Noch deutet daher nichts

auf eine Zinspause im Euroraum hin,"
1133;00:24:54:06;00:24:54:06;FABst¢d dabei steckt die Euro-Wirtschaft( ( be
1134;00:24:54:06;00:24:54:06;FABst4reits in der Rezession.ÿÿ-·*
1135;00:24:54:06;00:24:58:04;"dabei steckt die Euro-Wirtschaft

bereits in der Rezession."
1136;00:24:58:06;00:24:58:06;FABst£d Die Zinswende( ( bringt Proçl
1137;00:24:58:06;00:24:58:06;FABst$bleme mit sich:ÿÿ=Ì>
1138;00:24:58:06;00:25:00:23;"Die Zinswende

bringt Probleme mit sich:"
1139;00:25:01:00;00:25:01:00;FABst¤dUnternehmenskredite und Baukredite( ( H
1140;00:25:01:00;00:25:01:00;FABst, werden teurer,ÿÿ5Ö>
1141;00:25:01:00;00:25:04:08;"Unternehmenskredite und Baukredite

werden teurer,"
1142;00:25:04:10;00:25:04:10;FABst¥Vwas die schwache Wirtschaft belastet.ÿÿÚ
1143;00:25:04:10;00:25:07:07;was die schwache Wirtschaft belastet.
