No.;Timecode In;Timecode Out;Subtitle
"1";"00:00:18:00";"00:00:18:00";"FABst6 * Gong *ÿÿZZZZZZZZZZ¥¥ã¥¥¥¥¥6"
"2";"00:00:18:00";"00:00:18:00";"FABst¥¥¥¥ã¥ã¥¥¥¥¥§ª¦ªîªªªGö¤"
"3";"00:00:18:00";"00:00:19:01";"* Gong *"
"4";"00:00:19:05";"00:00:19:05";"FABstdHier ist das Erste Deutsche Fernsehen( ( 9"
"5";"00:00:19:05";"00:00:19:05";"FABst: mit den tagesthemen.ÿÿ'ºð"
"6";"00:00:19:05";"00:00:22:15";"Hier ist das Erste Deutsche Fernsehen

mit den tagesthemen."
"7";"00:00:22:22";"00:00:22:22";"FABstd Diese Sendung wurde vom NDR( ( live Af"
"8";"00:00:22:22";"00:00:22:22";"FABst6untertitelt (01.04.2023)ÿÿ+»°"
"9";"00:00:22:22";"00:00:26:16";"Diese Sendung wurde vom NDR

live untertitelt (01.04.2023)"
"10";"00:00:30:05";"00:00:30:05";"FABst: Guten Abend.ÿÿ#ñv"
"11";"00:00:30:05";"00:00:31:06";"Guten Abend."
"12";"00:00:31:08";"00:00:31:08";"FABstd Bei mir für die Nachrichten( ( á@"
"13";"00:00:31:08";"00:00:31:08";"FABst*ist Judith Rakers.?¿."
"14";"00:00:31:08";"00:00:34:19";"Bei mir fÈur die Nachrichten

ist Judith Rakers."
"15";"00:00:34:20";"00:00:34:20";"FABstNUnd für den Sport Julia Büchler. ª"
"16";"00:00:34:20";"00:00:36:15";"Und fÈur den Sport Julia BÈuchler."
"17";"00:00:36:17";"00:00:36:17";"FABst: Guten Abend.ÿÿ#Ôv"
"18";"00:00:36:17";"00:00:37:17";"Guten Abend."
"19";"00:00:38:07";"00:00:38:07";"FABstd Bei ihrer Marathonsitzung( ( ì"
"20";"00:00:38:07";"00:00:38:07";"FABst&Anfang der Wocheÿÿ;ôè"
"21";"00:00:38:07";"00:00:40:20";"Bei ihrer Marathonsitzung

Anfang der Woche"
"22";"00:00:40:22";"00:00:40:22";"FABstd hatten die Ampel-Koalitionäre( ( vieles£À"
