No.;Timecode In;Timecode Out;Subtitle
1;00:00:18:00;00:00:18:00;FABst6 * Gong *ÿÿZZZZZZZZZZ¥¥ã¥¥¥¥¥6
2;00:00:18:00;00:00:18:00;FABst¥¥¥æ¥¥ã¥¥¥ç¥¥§ª¦ªîªªªG¦
3;00:00:18:00;00:00:19:09;* Gong *
4;00:00:19:11;00:00:19:11;FABstdHier ist das Erste Deutsche Fernsehen( ( 9
5;00:00:19:11;00:00:19:11;FABst: mit den tagesthemen.ÿÿ'ºð
6;00:00:19:11;00:00:23:03;"Hier ist das Erste Deutsche Fernsehen

mit den tagesthemen."
7;00:00:23:05;00:00:23:05;FABstd Diese Sendung wurde vom NDR( ( live Af
8;00:00:23:05;00:00:23:05;FABst6untertitelt (22.05.2023)ÿÿ+»¬
9;00:00:23:05;00:00:26:10;"Diese Sendung wurde vom NDR

live untertitelt (22.05.2023)"
10;00:00:26:12;00:00:26:12;FABstL Heute im Studio: Helge Fuhst.ÿÿê|
11;00:00:26:12;00:00:28:12;Heute im Studio: Helge Fuhst.
12;00:00:30:04;00:00:30:04;FABstd Herzlich willkommen( ( zu dC
13;00:00:30:04;00:00:30:04;"FABst$en tagesthemen.ÿÿ=
:"
14;00:00:30:04;00:00:32:15;"Herzlich willkommen

zu den tagesthemen."
15;00:00:32:17;00:00:32:17;FABstN Einen guten Abend auch von mir!ÿÿÕ
16;00:00:32:17;00:00:34:16;Einen guten Abend auch von mir!
17;00:00:34:18;00:00:34:18;FABstVAuf den Rücktritt folgt ein Antritt.ÿÿ¦
18;00:00:34:18;00:00:37:02;Auf den RÈucktritt folgt ein Antritt.
19;00:00:37:04;00:00:37:04;FABstd Ein neuer Staatssekretär ( ( im WÏ
20;00:00:37:04;00:00:37:04;FABst0irtschaftsministeriumÿÿ1¤
21;00:00:37:04;00:00:40:04;"Ein neuer StaatssekretÈar

im Wirtschaftsministerium"
22;00:00:40:06;00:00:40:06;FABstTsoll die Energiewende voranbringen.ÿÿø
23;00:00:40:06;00:00:42:15;soll die Energiewende voranbringen.
24;00:00:42:16;00:00:42:16;FABstd Philipp Nimmermann,( ( gleich erfaeþ
25;00:00:42:16;00:00:42:16;FABst4hren wir mehr über ihn.ÿÿ-SJ
26;00:00:42:16;00:00:46:01;"Philipp Nimmermann,

gleich erfahren wir mehr Èuber ihn."
27;00:00:46:23;00:00:46:23;FABstd Die Augen werden weiter( ( auf i$
28;00:00:46:23;00:00:46:23;FABst,ihn gerichtet sein.ÿÿ5Ó
29;00:00:46:23;00:00:50:01;"Die Augen werden weiter

auf ihn gerichtet sein."
30;00:00:50:03;00:00:50:03;FABstd Robert Habeck( ( steht für diº
31;00:00:50:03;00:00:50:03;"FABst""e Energiewendeÿÿ?f"
32;00:00:50:03;00:00:52:11;"Robert Habeck

steht fÈur die Energiewende"
33;00:00:52:13;00:00:52:13;FABstdund den Kampf gegen den Klimawandel( ( wi3Ø
34;00:00:52:13;00:00:52:13;FABstHe kein anderer in der Regierung. ÿÿ³N
35;00:00:52:13;00:00:56:14;"und den Kampf gegen den Klimawandel

wie kein anderer in der Regierung."
36;00:00:56:16;00:00:56:16;FABstdEr schaut auf die großen Aufgaben,( ( ô
37;00:00:56:16;00:00:56:16;FABst2 die weiter sind,ÿÿ/¼
38;00:00:56:16;00:01:00:01;"Er schaut auf die groûen Aufgaben,

die weiter sind,"
39;00:01:00:03;00:01:00:03;FABstd vor allem nachdem Vertrauen( ( veZ
40;00:01:00:03;00:01:00:03;FABst.rloren gegangen ist.ÿÿ3¾Æ
41;00:01:00:03;00:01:03:00;"vor allem nachdem Vertrauen

verloren gegangen ist."
42;00:01:03:02;00:01:03:02;FABstd Nicht nur das( ( soll zurückÕ^
43;00:01:03:02;00:01:03:02;"FABst&gewonnen werden,ÿÿ;â"
44;00:01:03:02;00:01:05:14;"Nicht nur das

soll zurÈuckgewonnen werden,"
45;00:01:05:16;00:01:05:16;FABstdes dürfen sich auch handwerkliche( ( ú
46;00:01:05:16;00:01:05:16;FABst8Fehler nicht wiederholen.ÿÿ)òD
47;00:01:05:16;00:01:09:00;"es dÈurfen sich auch handwerkliche

Fehler nicht wiederholen."
48;00:01:09:02;00:01:09:02;FABstd Jeder zukünftige Gesetzentwurf ( ( in dæ~
49;00:01:09:02;00:01:09:02;FABst<er Energiewende muss sitzenÿÿ%î
50;00:01:09:02;00:01:12:22;"Jeder zukÈunftige Gesetzentwurf

in der Energiewende muss sitzen"
51;00:01:12:24;00:01:12:24;FABstd und zuerst die kritischen Reihen( ( in dL
52;00:01:12:24;00:01:12:24;FABstBer Ampel-Koalition überstehen.ÿÿ%P
53;00:01:12:24;00:01:16:22;"und zuerst die kritischen Reihen

in der Ampel-Koalition Èuberstehen."
54;00:01:16:24;00:01:16:24;FABstdKeine kleine Aufgabe für Habeck ( ( und sÞ
55;00:01:16:24;00:01:16:24;FABst<einen neuen Staatssekretär.ÿÿ%n
56;00:01:16:24;00:01:21:04;"Keine kleine Aufgabe fÈur Habeck

und seinen neuen StaatssekretÈar."
57;00:01:23:10;00:01:23:10;FABstd Lob für den Wirtschaftsminister( ( gab ó`
