No.;Timecode In;Timecode Out;Subtitle
1;00:00:18:00;00:00:18:00;FABst6 * Gong *ÿÿZZZZZZZZZZ¥¥ã¥¥¥¥¥6
2;00:00:18:00;00:00:18:00;FABst(¥¥¥á¥¥à¥ã¥¥¥¥¥¥¥¥¥æ¥¥à¥¥§ª¦ªîªªª5èð
3;00:00:18:00;00:00:19:04;* Gong *
4;00:00:19:06;00:00:19:06;FABstdHier ist das Erste Deutsche Fernsehen( ( 9
5;00:00:19:06;00:00:19:06;FABst: mit den tagesthemen.ÿÿ'ºð
6;00:00:19:06;00:00:22:15;"Hier ist das Erste Deutsche Fernsehen

mit den tagesthemen."
7;00:00:22:17;00:00:22:17;FABstd Dieses Sendung wurde vom NDR ( ( liveB
8;00:00:22:17;00:00:22:17;FABst8 untertitelt (23.05.2023)ÿÿ)Î
9;00:00:22:17;00:00:26:09;"Dieses Sendung wurde vom NDR

live untertitelt (23.05.2023)"
10;00:00:26:11;00:00:26:11;FABstd Heute im Studio: Helge Fuhst( ( kö
11;00:00:26:11;00:00:26:11;FABst*und Judith Rakers.ÿÿ7³
12;00:00:26:11;00:00:29:05;"Heute im Studio: Helge Fuhst

und Judith Rakers."
13;00:00:29:09;00:00:29:09;FABstd Wir begrüßen Sie herzlich. ( ( Schö°z
14;00:00:29:09;00:00:29:09;FABst4n, dass Sie dabei sind!5»¬
15;00:00:29:09;00:00:32:18;"Wir begrÈuûen Sie herzlich.

SchÈon, dass Sie dabei sind!"
16;00:00:32:20;00:00:32:20;FABst: Guten Abend.+È*
17;00:00:32:20;00:00:33:24;Guten Abend.
18;00:00:35:00;00:00:35:00;FABstd Diese Regierung scheint sich( ( nic'ü
19;00:00:35:00;00:00:35:00;FABst0ht mehr grün zu sein.ÿÿ1UÂ
20;00:00:35:00;00:00:38:07;"Diese Regierung scheint sich

nicht mehr grÈun zu sein."
21;00:00:39:16;00:00:39:16;FABstd Habecks Heizungsprojekt, Teil( ( der Enfø
22;00:00:39:16;00:00:39:16;FABst>ergiewende, ist ausgebremst.ÿÿ#çn
23;00:00:39:16;00:00:43:15;"Habecks Heizungsprojekt, Teil

der Energiewende, ist ausgebremst."
24;00:00:43:17;00:00:43:17;FABstd Von den Flitterwochen der Ampel( ( Lú
25;00:00:43:17;00:00:43:17;FABst* im Herbst 2021ÿÿ7Ïl
