No.;Timecode In;Timecode Out;Subtitle
"1";"00:00:17:15";"00:00:17:15";"FABst6 * Gong *ÿÿZZZZZZZZZZ¥¥ã¥¥¥¥¥6"
"2";"00:00:17:15";"00:00:17:15";"FABst¥¥¥á¥¥à¥ã¥¥¥¥§ª¦ªîªªªGÌ"
"3";"00:00:17:15";"00:00:19:00";"* Gong *"
"4";"00:00:19:02";"00:00:19:02";"FABstdHier ist das Erste Deutsche Fernsehen( ( 9"
"5";"00:00:19:02";"00:00:19:02";"FABst: mit den tagesthemen.ÿÿ'ºð"
"6";"00:00:19:02";"00:00:22:14";"Hier ist das Erste Deutsche Fernsehen

mit den tagesthemen."
"7";"00:00:22:16";"00:00:22:16";"FABstd Herzlich willkommen zur Live-( ( UnteB^"
"8";"00:00:22:16";"00:00:22:16";"FABstBrtitelung des NDR (15.03.2023)ÿÿÑÐ"
"9";"00:00:22:16";"00:00:26:11";"Herzlich willkommen zur Live-

Untertitelung des NDR (15.03.2023)"
"10";"00:00:26:15";"00:00:26:15";"FABstd Heute im Studio:( ( Ingo Zamperoni"L"
"11";"00:00:26:15";"00:00:26:15";"FABst. und Susanne Daubnerÿÿ3µ"
"12";"00:00:26:15";"00:00:29:15";"Heute im Studio:

Ingo Zamperoni und Susanne Daubner"
"13";"00:00:32:18";"00:00:32:18";"FABstd Guten Abend,( ( willkommen zu !"
"14";"00:00:32:18";"00:00:32:18";"FABst&den tagesthemen.ÿÿ;ê"
"15";"00:00:32:18";"00:00:35:15";"Guten Abend,

willkommen zu den tagesthemen."
"16";"00:00:36:03";"00:00:36:03";"FABstd Fangen wir( ( mit einer gute^"
"17";"00:00:36:03";"00:00:36:03";"FABst$n Nachricht an.ÿÿ=û@"
"18";"00:00:36:03";"00:00:38:15";"Fangen wir

mit einer guten Nachricht an."
"19";"00:00:38:19";"00:00:38:19";"FABstL Die kommt vom Bundesumweltamt.ÿÿÈ"
"20";"00:00:38:19";"00:00:40:17";"Die kommt vom Bundesumweltamt."
"21";"00:00:40:21";"00:00:40:21";"FABstd Das berichtet: Deutschland hat( ( sein 2J"
"22";"00:00:40:21";"00:00:40:21";"FABst@Klimaziel für 2022 geschafft.ÿÿ!_J"
"23";"00:00:40:21";"00:00:44:18";"Das berichtet: Deutschland hat

sein Klimaziel fÈur 2022 geschafft."
"24";"00:00:44:22";"00:00:44:22";"FABstd Deutschland hat weniger( ( Treibhaumd"
"25";"00:00:44:22";"00:00:44:22";"FABst<sgase ausgestoßen als 2021.ÿÿ%?à"
"26";"00:00:44:22";"00:00:48:18";"Deutschland hat weniger

Treibhausgase ausgestoûen als 2021."
"27";"00:00:48:20";"00:00:48:20";"FABstd Ein Rückgang von 1,9 %,( ( ¬¦"
"28";"00:00:48:20";"00:00:48:20";"FABst"aber immerhin.ÿÿ?û"
"29";"00:00:48:20";"00:00:51:19";"Ein RÈuckgang von 1,9 %,

aber immerhin."
"30";"00:00:53:11";"00:00:53:11";"FABst@ Könnte man meinen.ÿÿq¸"
"31";"00:00:53:11";"00:00:54:21";"KÈonnte man meinen."
"32";"00:00:54:23";"00:00:54:23";"FABstd Bei genauerer Betrachtung ( ( löst s Þ"
"33";"00:00:54:23";"00:00:54:23";"FABst2ich jede Euphorie auf.ÿÿ/Ù"
"34";"00:00:54:23";"00:00:58:16";"Bei genauerer Betrachtung

lÈost sich jede Euphorie auf."
"35";"00:00:58:18";"00:00:58:18";"FABstd Zu verdanken haben wir das( ( einem R=Ì"
"36";"00:00:58:18";"00:00:58:18";"FABst4ückgang der Produktion.ÿÿ-y²"
"37";"00:00:58:18";"00:01:02:13";"Zu verdanken haben wir das

einem RÈuckgang der Produktion."
"38";"00:01:02:18";"00:01:02:18";"FABstd Der Sektor, bei dem wir( ( den direi<u>"
"39";"00:01:02:18";"00:01:02:18";"FABst.ktesten Hebel haben,ÿÿ3<"
"40";"00:01:02:18";"00:01:06:02";"Der Sektor, bei dem wir

den direktesten Hebel haben,"
"41";"00:01:06:04";"00:01:06:04";"FABstd beim Verkehr,( ( bei Gebäuden²¼"
"42";"00:01:06:04";"00:01:06:04";"FABst", beim Heizen:ÿÿ?Ðæ"
"43";"00:01:06:04";"00:01:09:06";"beim Verkehr,

bei GebÈauden, beim Heizen:"
"44";"00:01:09:08";"00:01:09:08";"FABstL Da wurden Klimaziele verfehlt.ÿÿð"
"45";"00:01:09:08";"00:01:11:16";"Da wurden Klimaziele verfehlt."
"46";"00:01:11:18";"00:01:11:18";"FABstRDort wird zu viel CO2 ausgestoßen.ÿÿ~"
"47";"00:01:11:18";"00:01:14:10";"Dort wird zu viel CO2 ausgestoûen."
"48";"00:01:14:12";"00:01:14:12";"FABstF Das ist ein Hauptgrund,ÿÿä¢"
"49";"00:01:14:12";"00:01:16:04";"Das ist ein Hauptgrund,"
"50";"00:01:16:06";"00:01:16:06";"FABstdwarum Habeck das Aus für neue Öl-( ( und Tb"
"51";"00:01:16:06";"00:01:16:06";"FABst@Gas-Heizungen ab 2024 plant. ÿÿ!óÞ"
"52";"00:01:16:06";"00:01:20:22";"warum Habeck das Aus fÈur neue ÈOl-

und Gas-Heizungen ab 2024 plant."
"53";"00:01:23:08";"00:01:23:08";"FABstD Doch ist das möglich?ÿÿ"
"54";"00:01:23:08";"00:01:25:00";"Doch ist das mÈoglich?"
"55";"00:01:25:02";"00:01:25:02";"FABstdWas kommt auf die Verbraucher zu,( ( d3ª"
"56";"00:01:25:02";"00:01:25:02";"FABst:ie mit Öl oder Gas heizen?ÿÿ'uÎ"
"57";"00:01:25:02";"00:01:29:05";"Was kommt auf die Verbraucher zu,

die mit ÈOl oder Gas heizen?"
"58";"00:01:31:24";"00:01:31:24";"FABst> Nicole Kohnert.ÿÿÀ"
"59";"00:01:31:24";"00:01:33:17";"Nicole Kohnert."
"60";"00:01:35:07";"00:01:35:07";"FABstd Thomas Toedter aus Hannover( ( macht si\"
"61";"00:01:35:07";"00:01:35:07";"FABst<ch Sorgen um seine Heizung.-À"
"62";"00:01:35:07";"00:01:39:11";"Thomas Toedter aus Hannover

macht sich Sorgen um seine Heizung."
"63";"00:01:39:14";"00:01:39:14";"FABstd Noch funktioniert sie,( ( aber was,"
"64";"00:01:39:14";"00:01:39:14";"FABst0 wenn sie kaputtgeht?9j"
"65";"00:01:39:14";"00:01:42:24";"Noch funktioniert sie,

aber was, wenn sie kaputtgeht?"
"66";"00:01:43:18";"00:01:43:18";"FABstd Um mit einer Wärmepumpe( ( hïB"
"67";"00:01:43:18";"00:01:43:18";"FABst&eizen zu können,ÿÿ;8Ú"
"68";"00:01:43:18";"00:01:46:13";"Um mit einer WÈarmepumpe

heizen zu kÈonnen,"
"69";"00:01:46:15";"00:01:46:15";"FABstd müsste der 60er-Jahre-Bau( ( kompôv"
"70";"00:01:46:15";"00:01:46:15";"FABst0lett saniert werden. ÿÿ1Ú"
"71";"00:01:46:15";"00:01:50:01";"mÈusste der 60er-Jahre-Bau

komplett saniert werden."
"72";"00:01:50:21";"00:01:50:21";"FABstdDie Heizkörper müssen auf moderne ( ( Pla¸"
"73";"00:01:50:21";"00:01:50:21";"FABstDttenheizkörper umgebaut werden.%=ò"
"74";"00:01:50:21";"00:01:55:00";"Die HeizkÈorper mÈussen auf moderne

PlattenheizkÈorper umgebaut werden."
"75";"00:01:55:04";"00:01:55:04";"FABstNDass wir 'ne Effizienz bekommen.»X"
"76";"00:01:55:04";"00:01:57:08";"Dass wir 'ne Effizienz bekommen."
"77";"00:01:57:12";"00:01:57:12";"FABstNEs muss das Dach gedämmt werden.7|"
"78";"00:01:57:12";"00:01:59:20";"Es muss das Dach gedÈammt werden."
"79";"00:01:59:24";"00:01:59:24";"FABstd Die Fenster müssen neu( ( und fachgìÖ"
"80";"00:01:59:24";"00:01:59:24";"FABst2erecht eingebaut sein.7­ú"
"81";"00:01:59:24";"00:02:03:10";"Die Fenster mÈussen neu

und fachgerecht eingebaut sein."
"82";"00:02:05:04";"00:02:05:04";"FABstREs muss eine Fußbodenheizung rein.`,f"
"83";"00:02:05:04";"00:02:07:15";"Es muss eine Fuûbodenheizung rein."
"84";"00:02:07:17";"00:02:07:17";"FABst d Die Summen( ( beziffern wir m"
"85";"00:02:07:17";"00:02:07:17";"FABst&it 200.000 Euro.ÿÿ;Â "
