Timecode In,Timecode Out,Subtitle
00:00:18:20,00:00:22:08,Hier ist das Erste Deutsche Fernsehen mit den tagesthemen.
00:00:22:10,00:00:26:03,Diese Sendung wurde vom NDR live untertitelt (21.04.2023)
00:00:26:05,00:00:29:02,Heute im Studio: Aline Abboud und Susanne Daubner.
00:00:29:18,00:00:31:19,"Willkommen, schoen dass sie da sind."
00:00:31:21,00:00:32:23,Guten Abend.
00:00:33:00,00:00:35:15,Parteitage sind meist ein Stimmungsbarometer
00:00:35:17,00:00:37:17,fuer die Gefuehlslage der Basis.
00:00:37:19,00:00:40:06,Die muesste bei der FDP schlecht sein.
00:00:41:01,00:00:42:09,"Ist sie aber nicht,"
00:00:42:11,00:00:45:00,zumindest zeigt sie es nicht nach aussen.
00:00:45:02,00:00:47:21,Obwohl die FDP schwierige Zeiten durchmacht.
00:00:47:23,00:00:50:22,Bei fuenf Landtagswahlen hat sie seit dem Eintritt
00:00:50:24,00:00:52:22,in die Regierung verloren.
00:00:52:24,00:00:55:20,"2023 finden drei weitere Landtagswahlen statt,"
00:00:55:22,00:00:57:17,"Bremen, Bayern und Hessen."
00:00:57:19,00:01:02:04,Auch in diesen Laendern koennte sie an der Fuenf-Prozent-Huerde scheitern.
00:01:02:06,00:01:04:12,Der Parteitag soll also beruhigen.
00:01:04:14,00:01:08:06,"Das sieht man am Leitantrag, der ""FDP pur"" vertritt."
00:01:08:08,00:01:10:08,Eine pure FDP-Konstante:
00:01:10:10,00:01:14:07,Christian Lindner wurde als Parteichef wiedergewaehlt.
00:01:14:24,00:01:17:00,Andre Kartschall ueber eine Partei
00:01:17:02,00:01:19:22,zwischen Frustration und Kampfeswillen.
00:01:21:05,00:01:24:19,"""Machen, was wichtig wird"", so der Slogan des Parteitags."
00:01:24:21,00:01:28:11,"Wichtig scheint zu sein, nicht bei dem mitzumachen,"
00:01:28:13,00:01:32:04,was sie Partei fuer falsch haelt - wie beim Verbrenner-Aus.
00:01:32:06,00:01:35:05,Und sie hat Vorbehalte gegen die geplante Umruestung
00:01:35:07,00:01:37:02,von Gas- und ÈOlheizungen.
00:01:37:04,00:01:40:05,"Und sie sagt ""Nein"" zu hoeheren Ausgabewuenschen."
00:01:40:07,00:01:43:20,Die FDP zeigte in den letzten Wochen Widerspruchsgeist.
00:01:43:23,00:01:47:13,Der Vorsitzende ist mit sich und seiner Partei zufrieden.
00:01:47:15,00:01:51:13,"Vor zehn Jahren habe ich gesagt, es sei nicht schlimm,"
00:01:51:15,00:01:55:21,"wenn die FDP angegriffen wird fuer das, wofuer sie steht."
00:01:57:17,00:02:01:16,"Schlimm sei nur, wenn die FDP angegriffen wird,"
00:02:01:18,00:02:03:14,weil sie fuer nichts steht.
00:02:04:01,00:02:07:00,Wenn ich mir heute die Angriffe ansehe:
00:02:07:02,00:02:08:21,Da habe ich geliefert.
00:02:08:23,00:02:12:19,"Die FDP liefert weiter, vor allem Gegenwind zu den Gruenen."
00:02:12:21,00:02:16:18,Auf dem Parteitag brachte die Basis einen Antrag ein.
00:02:16:20,00:02:19:11,"Der fordert die Bundestagsfraktion auf,"
00:02:19:13,00:02:23:22,dem geplanten Gesetz zum Heizungstausch nicht zuzustimmen.
00:02:27:00,00:02:30:17,Das Gebaeude-Energiegesetz ist ein Verbotsgesetz.
00:02:32:06,00:02:34:19,Wir wollen es in dieser Form aufhalten.
00:02:34:21,00:02:36:11,Das muss geaendert werden.
00:02:36:13,00:02:39:07,Sonst kann es nicht durch den Bundestag kommen.
00:02:39:09,00:02:42:15,Die klare Linie scheint der FDP laut Umfragen zu helfen.
00:02:42:17,00:02:45:09,Nach Stimmenverlusten bei fuenf Landtagswahlen
00:02:45:11,00:02:49:08,zeigten die Werte fuer die Bundes-FDP wieder nach oben.
00:02:50:00,00:02:53:01,"Ich habe den Eindruck, dass es sich durchsetzt,"
00:02:53:03,00:02:56:16,"dass es wichtig ist, dass die FDP den Riegel vorschiebt."
00:02:56:18,00:02:58:09,"Dass wir sagen: ""Stopp."""
00:02:58:11,00:03:01:23,Wir gucken uns das pragmatisch an und greifen ein.
00:03:02:14,00:03:05:02,"Auch mal ein ""Nein"" gehoert dazu."
00:03:05:21,00:03:08:06,"Es kommt drauf an, wen man fragt."
00:03:08:08,00:03:12:16,Beim Verbrenner-Verbot und E-Fuels kriegen wir Applaus von manchen.
00:03:12:18,00:03:15:24,"Andere sagen: ""Oh. Gott. Was haben die gemacht?"""
00:03:16:01,00:03:19:04,Applaus auch fuer den wiedergewaehlten Parteichef.
00:03:19:06,00:03:21:20,"Lindner bekommt 88 Prozent Ja-Stimmen,"
00:03:21:22,00:03:24:24,fuenf Prozent weniger als vor zwei Jahren.
00:03:25:01,00:03:26:14,"Die FDP kuendigte an,"
00:03:27:15,00:03:30:20,sie werde weiter fuer eigene Loesungen stehen.
00:03:31:09,00:03:35:11,Fuer solide Finanzen und ein gesundes Selbstbewusstsein.
00:03:37:00,00:03:39:08,"Weil sie fuer den Aufbruch steht,"
00:03:39:10,00:03:42:21,ist die FDP die wichtigste Partei in Deutschland.
00:03:42:23,00:03:45:00,Dem ist nichts hinzuzusetzen.
00:03:46:19,00:03:49:08,"Klingt nicht so, als ob die FDP plant,"
00:03:49:10,00:03:52:08,in der Zukunft pflegeleichter zu werden.
00:03:54:07,00:03:58:01,Zugeschaltet ist die neue Vize-Parteichefin der FDP
00:03:58:15,00:04:01:12,und Bildungsministerin Bettina Stark-Watzinger.
00:04:01:14,00:04:03:03,Guten Abend.Guten Abend.
00:04:04:03,00:04:07:23,"Ihr alter und neuer Parteichef hatte heute angekuendigt,"
00:04:08:00,00:04:10:12,die Positionslichter einzuschalten.
00:04:10:14,00:04:12:13,Aber die Positionen der FDP
00:04:12:15,00:04:15:20,waren in den letzten Wochen nicht zu uebersehen.
00:04:17:23,00:04:21:08,"Ja, aber die Herausforderungen sind noch sehr gross."
00:04:22:20,00:04:25:02,Die Menschen wollen Antworten.
00:04:25:04,00:04:28:05,Wie geht es in unserem Bildungssystem weiter?
00:04:28:07,00:04:31:20,Wir sehen die Bildungsstudien. Investitionen wandern ab.
00:04:31:23,00:04:35:01,Unsere Wettbewerbsfaehigkeit muss gestaerkt werden.
00:04:35:03,00:04:38:11,"Wir wollen, dass Tempo an die Tagesordnung kommt."
00:04:38:13,00:04:42:08,Wie bei der Planungsbeschleunigung oder weniger Buerokratie.
00:04:42:10,00:04:46:03,Wir gehen mit unseren Ideen in die naechsten Monate.
00:04:46:05,00:04:48:08,Es geht um viele grosse Fragen.
00:04:49:08,00:04:51:22,Sie wollten mit der SPD und den Gruenen
00:04:51:24,00:04:54:09,einen neuen Regierungsstil praegen.
00:04:54:11,00:04:58:16,Die Regierung hat sich auf Details zum Heizungsgesetz geeinigt.
00:04:58:18,00:05:01:18,Aber der Finanzminister verlangt ÈAnderungen.
00:05:02:22,00:05:04:03,"Was gewinnen Sie,"
00:05:04:05,00:05:07:12,wenn Sie die Gruenen immer vor den Kopf stossen?
00:05:07:22,00:05:10:14,"Es gibt bei dem Gesetz darum,"
00:05:11:10,00:05:14:14,dass wir die Klimaneutralitaet erreichen.
00:05:14:16,00:05:17:21,Wir muessen Massnahmen auf den Weg bringen.
00:05:17:23,00:05:22:08,"Aber die Umsetzung des GEGs, des Gebaeude-Energiegesetzes,"
00:05:23:12,00:05:26:02,muss fuer die Menschen bezahlbar sein.
00:05:26:04,00:05:30:13,Es muessen keine funktionierenden Heizung ausgebaut werden.
00:05:30:15,00:05:33:18,Wir muessen die Vielfalt der Technologien zulassen.
00:05:33:20,00:05:35:00,"Wir wissen nicht,"
00:05:35:02,00:05:38:06,was sich noch an Innovationen durchsetzen wird.
00:05:38:08,00:05:39:12,"Es ist wichtig,"
00:05:39:16,00:05:43:10,dass wir den Kabinettsentwurf auf den Weg gebracht haben.
00:05:43:12,00:05:47:06,"Damit im parlamentarischen Prozess dann hinterher gilt,"
00:05:47:08,00:05:50:10,"dass kein Gesetz den Bundestag so verlaesst,"
00:05:50:12,00:05:52:10,wie es hineingekommen ist.
00:05:52:12,00:05:56:17,"Atomkraft-Aus, Verbrenner-Aus, Heizungen, Kindergrundsicherung:"
00:05:56:19,00:05:59:23,"Sie stellen immer wieder Dinge infrage,"
00:06:00:00,00:06:03:02,die im Koalitionsvertrag ausgemacht wurden.
00:06:03:04,00:06:05:11,Sind Sie Opposition oder Regierung?
00:06:05:13,00:06:08:05,"Wir haben eine eigene Meinung,"
00:06:10:15,00:06:13:07,die wir nicht am Kabinettstisch abgeben.
00:06:13:09,00:06:16:15,Aber wir sind in eine Regierung und finden Kompromisse.
00:06:16:17,00:06:17:19,Es geht
00:06:17:21,00:06:22:06,bei den angesprochenen Themen nicht ums Dafuer oder Dagegen.
00:06:22:08,00:06:25:03,"Es geht um die Frage, wie es umgesetzt wird."
00:06:25:05,00:06:27:05,Auch bei der Kindergrundsicherung.
00:06:27:07,00:06:29:16,Wir haben in den letzten Entlastungspaketen
00:06:29:18,00:06:32:17,7 Milliarden Euro mehr fuer Kinder bereitgestellt.
00:06:32:19,00:06:34:22,Die brauchen auch diese Unterstuetzung.
00:06:34:24,00:06:38:12,"Aber es muss auch darum gehen, wie es bei den Kindern ankommt."
00:06:38:14,00:06:41:04,Es werden nur 30 Prozent der Mittel abgerufen.
00:06:41:06,00:06:43:18,"Wir muessen darueber reden, wie es ankommt,"
00:06:43:20,00:06:45:10,bevor wir ueber mehr reden.
00:06:45:12,00:06:47:19,"Sich staendig von den Gruenen abzugrenzen,"
00:06:47:21,00:06:50:18,"um nicht die naechsten Landtagswahlen zu verlieren,"
00:06:50:20,00:06:52:13,ist das Ihre einzige Strategie?
00:06:52:15,00:06:54:01,Wir grenzen uns nicht ab
00:06:54:03,00:06:57:00,und definieren uns nicht ueber andere Parteien.
00:06:57:02,00:06:59:21,Wir gehen mit eigenen Ideen in die Debatte.
00:06:59:23,00:07:03:21,Der Koalitionsausschuss hat 30 Stunden gedauert.
00:07:05:20,00:07:09:03,"Wenn ein gutes Ergebnis kommt, ist es jede Minute wert."
00:07:09:06,00:07:11:15,Das Verhalten der FDP in der Koalition
00:07:11:17,00:07:14:24,wird von vielen Buergern als destruktiv empfunden.
00:07:15:01,00:07:18:18,Das sieht jeder zweite so. Wie wollen Sie das aendern?
00:07:19:23,00:07:23:14,Wir sind eine Koalition aus drei unterschiedlichen Parteien.
00:07:23:16,00:07:26:05,Wir stehen vor grossen Herausforderungen.
00:07:26:07,00:07:29:01,Es geht auch um Richtungsentscheidungen.
00:07:29:03,00:07:32:15,"Wir muessen ueber die Frage, wie kommen wir an die Ziele,"
00:07:32:17,00:07:35:13,"die wir vereinbart haben, diskutieren."
00:07:35:15,00:07:37:18,Um die beste Loesung zu finden.
00:07:37:20,00:07:40:14,Das sind wir den Menschen schuldig.
00:07:40:16,00:07:42:16,"Und wir sind es dem schuldig,"
00:07:42:18,00:07:45:14,dass wir das Land wettbewerbsfaehig machen.
00:07:45:17,00:07:49:01,Dass die Menschen sich weiterentwickeln koennen.
00:07:49:03,00:07:53:21,Sie sollen selbstbestimmt leben. Die Debatte ist nicht einfach.
00:07:53:23,00:07:55:22,Aber man muss sie fuehren.
00:07:55:24,00:08:01:05,Der Wahlerfolg der FDP ist vielen Jung- und Erstwaehlern zuzusprechen.
00:08:02:13,00:08:05:02,"Die haben Sie vor 1,5 Jahren gewaehlt."
00:08:05:04,00:08:10:00,Warum stossen Sie jungen Menschen mit Ihrer Klimapolitik vor den Kopf?
00:08:11:14,00:08:14:09,Wir haben ein wirksames Klimaprogramm.
00:08:15:05,00:08:18:04,Wir stehen fuer den Zertifikatehandel.
00:08:18:06,00:08:21:09,"ÈUber eine Deckelung dessen,"
00:08:21:11,00:08:24:20,"was ausgestossen werden kann und eine Preisfindung,"
00:08:24:22,00:08:27:21,kann gut Klimaschutz umgesetzt werden.
00:08:29:22,00:08:33:08,"Wir haben in den Konzepten, die wir jetzt diskutieren,"
00:08:33:10,00:08:37:07,"schnelle Massnahmen wie das Gebaeude-Energiegesetz,"
00:08:37:09,00:08:39:24,wie Technologien wie Wasserstoff.
00:08:40:24,00:08:44:14,"Wir brauchen ihn, um die Energiewende umzusetzen."
00:08:46:04,00:08:48:08,Es ist eine gute Kombination.
00:08:48:10,00:08:50:01,"Da haben wir Position,"
00:08:50:03,00:08:54:00,die wir mit den Koalitionspartnern zu Ergebnissen bringen.
00:08:54:18,00:08:58:14,Der Verkehrsminister hat sich gegen das beschlossene Aus
00:08:58:16,00:09:01:18,von Verbrenner-Motoren in der EU aufgelehnt.
00:09:01:20,00:09:04:22,"Diese Profilierung, den ÈArger in der Koalition,"
00:09:04:24,00:09:08:07,"mit der EU und Umweltverbaenden, war es das wert?"
00:09:10:09,00:09:14:18,"Wenn ein Verbrenner-Motor klimaneutral genutzt werden kann,"
00:09:14:20,00:09:17:11,warum soll man ihn dann nicht nutzen?
00:09:17:13,00:09:20:21,Wir muessen schnellstmoeglich Klimaschutz ermoeglichen.
00:09:20:23,00:09:22:20,Und das auf vielen Wegen.
00:09:23:19,00:09:27:21,"Es ist gut, dass wir die Offenheit der Technologie lassen."
00:09:27:24,00:09:31:12,"Der Markt wird entscheiden, ob es sinnvoll ist,"
00:09:31:14,00:09:34:16,mit E-Fuels Verbrenner weiter zu nutzen.
00:09:36:16,00:09:39:04,Es geht nicht um die Technologie.
00:09:39:06,00:09:42:08,"Es geht darum, wie wir Klimaschutz umsetzen."
00:09:42:10,00:09:45:06,71 Prozent der Befragten sind nicht zufrieden
00:09:45:08,00:09:48:05,mit der Arbeit der Regierungskoalition.
00:09:48:07,00:09:50:00,Das ist ein Tiefstwert.
00:09:51:02,00:09:54:13,"Muesste es nicht die Konsequenz der Lindner-FDP sein,"
00:09:54:15,00:09:58:12,"es sei besser, nicht zu regieren, als falsch zu regieren?"
00:09:59:05,00:10:01:04,Wir uebernehmen Verantwortung.
00:10:01:06,00:10:05:24,Die Waehler haben uns mit unserem Wahlprogramm ausgestattet.
00:10:07:04,00:10:12:01,Wir haben auch in einer Krise wichtige Entscheidungen getroffen.
00:10:13:09,00:10:17:05,Denken Sie an das Sondervermoegen fuer die Bundeswehr.
00:10:17:07,00:10:18:24,Das war ueberfaellig.
00:10:20:04,00:10:23:05,Die Bundeswehr muss Ihrer Aufgabe nachkommen koennen.
00:10:23:07,00:10:25:09,"Decken Sie an die Entlastungspakete,"
00:10:25:11,00:10:28:09,um die Wirtschaft durch die Energiekrise zu bringen.
00:10:28:11,00:10:31:06,Denken Sie auch an die Entlastung fuer die Buerger
00:10:31:08,00:10:33:12,im Bereich des Inflationsausgleich.
00:10:33:14,00:10:36:09,"Dass der Staat nicht mehr Geld einnimmt,"
00:10:36:11,00:10:38:22,wenn Buerger nur aufgrund der Inflation
00:10:38:24,00:10:41:09,in hoehere Einkommensgruppen kommen.
00:10:41:11,00:10:44:03,Vielen Dank fuer das Gespraech. Gerne.
00:10:50:24,00:10:52:14,"Zum Krieg in der Ukraine,"
00:10:52:16,00:10:56:05,wo seit Wochen ueber militaerische Offensiven diskutiert wird.
00:10:56:07,00:11:00:08,"Nachdem ein russischer Vorstoss bis jetzt mehr oder weniger ausblieb,"
00:11:00:10,00:11:03:24,kuendigte das ukrainische Militaer vor Kurzem eine Offensive an.
00:11:04:01,00:11:05:21,Bis jetzt blieb es dabei.
00:11:05:23,00:11:09:17,Natuerlich wird der Zeitpunkt nicht Wochen vorher veroeffentlicht.
00:11:09:19,00:11:13:19,"Aber es gibt nicht wenige Hinweise, dass aktuell fuer einen Vorstoss"
00:11:13:21,00:11:16:03,noch nicht der richtige Moment ist.
00:11:16:05,00:11:17:18,"Das liegt auch daran,"
00:11:17:20,00:11:21:24,"dass Waffen aus dem Westen nicht so schnell eintreffen, wie angekuendigt."
00:11:22:01,00:11:23:02,Vassili Golod.
00:11:25:05,00:11:28:21,In einem Waldstueck bei Kiew trainieren ukrainische Soldaten
00:11:28:23,00:11:32:10,"immer wieder das, was ihre Fuehrung immer wieder ankuendigt:"
00:11:32:12,00:11:34:09,Die geplante Gegenoffensive.
00:11:34:11,00:11:39:11,Denn eine unvollstaendige Vorbereitung kann zu hohen Verlusten fuehren.
00:11:39:13,00:11:41:00,Wir bereiten uns vor.
00:11:42:16,00:11:45:14,Wir werden stark sein auf dem Schlachtfeld.
00:11:45:16,00:11:47:12,Wir werden unser Land befreien.
00:11:47:14,00:11:50:20,"Es ist schwer zu sagen, wie es wird und wann es losgeht."
00:11:50:22,00:11:53:06,Ich kann dazu nichts Konkretes sagen.
00:11:53:09,00:11:56:09,Wir wollen den Terroristen der russischen Foederation
00:11:56:11,00:12:01:04,keine Moeglichkeit zur Vorbereitung auf unsere Methoden geben.
00:12:03:07,00:12:06:11,Die Verteidigung gegen die russische Aggression
