Timecode In,Timecode Out,Subtitle
00:00:04:15,00:00:07:23,Hier ist das Erste Deutsche Fernsehen mit der tagesschau.
00:00:08:00,00:00:12:03,Diese Sendung wurde vom NDR live untertitelt (19.04.2023)
00:00:15:02,00:00:17:13,Heute im Studio: Thorsten Schroeder.
00:00:17:15,00:00:21:16,"Guten Abend, meine Damen und Herren, ich begruesse Sie zur tagesschau."
00:00:22:10,00:00:26:18,Die Bundesregierung treibt Plaene zur Modernisierung von Heizungen voran.
00:00:26:20,00:00:30:00,Das Kabinett brachte einen Gesetzentwurf auf den Weg.
00:00:30:02,00:00:32:17,Dafuer waren Plaene des Wirtschaftsministeriums
00:00:32:19,00:00:35:14,"ueberarbeitet worden, speziell die Foerdersaetze."
00:00:35:17,00:00:38:20,Ab 2024 sollen alle neu eingebauten Heizungen
00:00:38:22,00:00:42:14,zu mindestens 65 % mit Erneuerbaren betrieben werden.
00:00:44:15,00:00:47:16,"Wer die Anlage im selbstgenutzten Wohnraum tauscht,"
00:00:47:18,00:00:50:09,soll mit 30 % gefoerdert werden.
00:00:51:24,00:00:56:01,In Berlin Stillstand auf der Strasse fuer mehr Tempo beim Klimaschutz.
00:00:56:03,00:00:58:09,"Die Vertreter der ""Letzten Generation"""
00:00:58:10,00:01:02:10,fordern den kompletten Ausstieg aus fossiler Energie bis 2030.
00:01:03:00,00:01:05:16,So ambitioniert war das Kabinett nicht:
00:01:05:18,00:01:09:15,Aber ab 2024 sollen neue Heizungen mit mindestens 65 Prozent
00:01:09:17,00:01:12:07,erneuerbaren Energien betrieben werden.
00:01:13:05,00:01:15:21,Der Klimaschutzminister und die Bauministerin
00:01:15:23,00:01:18:09,sprechen von einem wichtigen Gesetz.
00:01:18:11,00:01:22:12,Waerme mache 30 Prozent des gesamten Energieverbrauches aus.
00:01:24:03,00:01:26:18,Wir haben eine grosse Aufgabe vor uns
00:01:26:20,00:01:28:16,und fangen sie spaet an.
00:01:28:18,00:01:31:04,Andere Laender haben das frueher getan.
00:01:31:16,00:01:34:22,"Die Bauministerin betont, Heizungen, die funktionieren,"
00:01:34:24,00:01:38:23,muessen nicht ausgetauscht werden und defekte koennen repariert werden.
00:01:39:10,00:01:42:12,Es wird niemand ohne Heizung da sitzen.
00:01:43:04,00:01:46:19,"Und Menschen werden nicht gezwungen, ihr Haus zu verkaufen,"
00:01:46:21,00:01:50:01,weil sie sich nicht an das Gesetz halten koennen.
00:02:07:19,00:02:11:05,"Der Koalitionspartner FDP stimmt dem Gesetzentwurf zu,"
00:02:11:07,00:02:13:09,gibt aber Bedenken zu Protokoll.
00:02:13:11,00:02:16:11,Es geht um Kostenfragen und Technologieoffenheit.
00:02:17:04,00:02:20:17,Es wird es ÈAnderungen geben im parlamentarischen Verfahren.
