Timecode In,Timecode Out,Subtitle
00:00:04:14,00:00:07:24,Hier ist das Erste Deutsche Fernsehen mit der tagesschau.
00:00:08:03,00:00:11:20,Diese Sendung wurde vom NDR live untertitelt (27.08.2023)
00:00:15:02,00:00:17:17,Heute im Studio: Susanne Daubner.
00:00:18:03,00:00:20:19,"Guten Abend, ich begruesse Sie zur tagesschau."
00:00:23:06,00:00:26:03,CDU-Chef Merz hat eine Zusammenarbeit mit der AfD
00:00:26:07,00:00:28:04,auf allen Ebenen ausgeschlossen.
00:00:28:08,00:00:30:20,"Die CDU habe dazu eine klare Beschlusslage,"
00:00:30:24,00:00:33:08,sagte Merz im ARD-Sommerinterview.
00:00:33:12,00:00:35:23,Dies gelte auch fuer die kommunale Ebene.
00:00:36:02,00:00:38:01,Eine Interview-ÈAusserung von ihm
00:00:38:05,00:00:41:06,hatte zuletzt parteiintern fuer Kritik gesorgt.
00:00:41:18,00:00:44:07,Sie konnte anders verstanden werden.
00:00:45:20,00:00:48:14,"Merz forderte die Bundesregierung auf,"
00:00:49:05,00:00:53:13,die Wirtschaft nicht staendig durch neue Vorgaben zu belasten.
00:00:54:14,00:00:58:09,"Aufwaerts soll es fuer die CDU gehen, so will es ihr Vorsitzender -"
00:00:58:13,00:01:00:10,in Umfragen und Landtagswahlen.
00:01:00:12,00:01:02:09,Noch profitiert die Union nicht
00:01:02:11,00:01:05:06,vom ÈArger vieler Waehler ueber die Ampel-Regierung.
00:01:05:10,00:01:08:11,Deren juengstes Streitthema: die Kindergrundsicherung.
00:01:08:15,00:01:11:05,"Auch Merz will etwas gegen Kinderarmut tun,"
00:01:11:09,00:01:14:05,aber nicht zuerst mit mehr Geld fuer Eltern.
00:01:15:01,00:01:16:20,Die bessere Loesung waere
00:01:16:22,00:01:21:00,"bessere Bildungseinrichtungen, bessere Betreuungsmoeglichkeiten."
00:01:21:04,00:01:24:19,Hoehere Transferleistungen loesen das Problem nicht.
00:01:25:06,00:01:28:15,"Merz versucht, als Kaempfer gegen Buerokratie zu punkten."
00:01:28:19,00:01:31:16,Er will zentrale Projekte der Regierung aufhalten.
00:01:31:20,00:01:32:24,Seine Forderung:
00:01:33:01,00:01:36:16,"Schluss mit Gesetzen, die zusaetzliche Buerokratie bringen."
00:01:37:09,00:01:40:11,Dass das Heizungsgesetz nicht verabschiedet wird
00:01:40:15,00:01:42:10,und dieses Cannabis-Gesetz.
00:01:42:14,00:01:47:00,"Dass alle Gesetze geprueft werden, was sie an Buerokratie ausloesen."
00:01:48:23,00:01:52:17,"Im Format ""Frag selbst"" tritt Jens Spahn fuer die CDU an."
00:01:52:21,00:01:55:15,"Er fordert in der Asyl- und Fluechtlingspolitik,"
00:01:55:17,00:01:58:07,Migranten an den EU-Aussengrenzen abzuweisen.
00:01:58:11,00:02:02:16,Stattdessen bis zu 400.000 Menschen gezielt in die EU aufzunehmen.
00:02:03:07,00:02:05:12,"Dann aber auch Frauen, Kinder -"
00:02:05:16,00:02:08:06,"Menschen, die es am dringendsten brauchen."
00:02:08:10,00:02:10:20,Im Moment sind es meistens junge Maenner.
00:02:10:24,00:02:13:22,"Wer es nach Europa schafft, der bleibt."
00:02:14:21,00:02:18:08,FDP-Chef Lindner ist im ZDF-Sommerinterview zu Gast.
00:02:18:12,00:02:20:21,Auch er will weniger Buerokratie.
00:02:21:05,00:02:24:18,Seine Ansage an die Partner in der Ampel-Koalition:
00:02:25:10,00:02:27:08,Teile des Koalitionsvertrages
00:02:27:14,00:02:29:22,sind tatsaechlich aus der Zeit gefallen.
00:02:29:24,00:02:32:01,Da muessen alle ein Einsehen haben.
00:02:32:03,00:02:35:03,Zum Ampel-Streit zur Kindergrundsicherung sagt er:
00:02:35:07,00:02:39:01,Er rechne sehr kurzfristig mit einer Einigung auf Eckpunkte.
00:02:40:05,00:02:44:18,Um die Kindergrundsicherung geht es erneut bei Gespraechen im Kanzleramt.
00:02:44:22,00:02:46:24,Kanzler Scholz will eine Loesung
00:02:47:01,00:02:49:20,im regierungsinternen Konflikt erreichen.
00:02:50:00,00:02:53:09,Familienministerin Paus und Finanzminister Lindner
00:02:53:14,00:02:57:15,streiten ueber die Finanzierung der neuen Familienleistung.
00:02:58:12,00:03:02:24,Der FDP-Chef will die zusaetzlichen Ausgaben bei 2 Mrd. Euro deckeln.
00:03:03:04,00:03:06:21,Die Gruenen-Politikerin forderte stets deutlich mehr.
00:03:09:03,00:03:10:15,Tina Hassel in Berlin:
00:03:10:19,00:03:14:05,Seit 17 Uhr sitzt man zusammen. Was hoeren Sie?
00:03:16:15,00:03:18:08,Noch wird verhandelt.
00:03:18:10,00:03:21:03,Die vierte Runde im Kanzleramt in einer Woche:
00:03:21:07,00:03:25:12,"Das zeigt, der Druck ist gewaltig, sich gesichtswahrend zu einigen -"
00:03:25:16,00:03:27:19,vor der Kabinettsklausur in Meseberg.
00:03:27:23,00:03:31:01,Vor allem fuer die Familienministerin geht es um viel.
00:03:31:03,00:03:34:13,Paus hatte urspruenglich einen Betrag von 12 Mrd. gefordert
00:03:34:15,00:03:37:19,und deswegen das Wachstumschancengesetz angehalten.
