Timecode In,Timecode Out,Subtitle
00:00:04:12,00:00:08:03,Hier ist das Erste Deutsche Fernsehen mit der tagesschau.
00:00:08:07,00:00:12:18,Diese Sendung wurde vom NDR live untertitelt (07.07.2023)
00:00:14:16,00:00:17:02,Heute im Studio: Susanne Daubner.
00:00:17:21,00:00:21:04,"Guten Abend, ich begruesse Sie zur tagesschau."
00:00:22:10,00:00:26:07,Die USA wollen offenbar international geaechtete Streumunition
00:00:26:11,00:00:28:10,an die Ukraine liefern.
00:00:28:15,00:00:30:09,"US-Medien berichten,"
00:00:30:13,00:00:33:21,das Pentagon koennte die Plaene bereits am Abend verkuenden.
00:00:34:00,00:00:36:00,Kiew will mit dieser Munition
00:00:36:04,00:00:38:15,die russischen Frontlinien durchbrechen.
00:00:38:19,00:00:42:07,"Sollten die USA liefern, koennte das den NATO-Gipfel"
00:00:42:11,00:00:45:00,kommende Woche in Litauen ueberschatten.
00:00:45:04,00:00:47:11,Deutschland und andere Buendnis-Partner
00:00:47:15,00:00:50:15,haben sich zu einem Streubomben-Verbot verpflichtet.
00:00:52:00,00:00:54:14,"Sie kann mit Bomben abgeworfen werden,"
00:00:54:18,00:00:58:05,per Granate verschossen oder per Marschflugkoerper:
00:00:58:09,00:01:01:03,Die Wirkung von Streumunition ist immer gleich.
00:01:01:07,00:01:05:06,Flaechendeckend Tod und Zerstoerung durch Tausende Kleinstgeschosse.
00:01:05:10,00:01:07:19,Waffen dieser Art fuer Artilleriegeschuetze
00:01:07:23,00:01:10:15,koennte die Ukraine nun aus den USA bekommen.
00:01:10:19,00:01:13:11,Fuer den Kampf gegen russische Stellungen.
00:01:13:17,00:01:15:19,Diese Munition kann je nach Ladung
00:01:15:23,00:01:18:22,gegen Panzerungen oder Personen eingesetzt werden.
00:01:19:01,00:01:21:08,Sie ist nuetzlich bei jeder Offensive.
00:01:21:12,00:01:25:16,"Wir wissen, Russland hat diese Munition bereits genutzt."
00:01:25:24,00:01:27:10,Nach Angaben der NATO
00:01:27:14,00:01:30:15,hat auch die Ukraine schon Streumunition eingesetzt.
00:01:30:19,00:01:31:22,Das Problem:
00:01:32:01,00:01:34:10,Viele Blindgaenger machen das Schlachtfeld
00:01:34:15,00:01:37:07,auch Jahre nach den Kaempfen zu einer Todeszone.
00:01:37:11,00:01:40:08,Deshalb wurde Streumunition 2008 in Oslo geaechtet.
00:01:40:12,00:01:44:18,"Die Unterzeichner verbieten Einsatz, Produktion und Weitergabe der Waffen."
00:01:44:23,00:01:47:03,Sie zerstoeren ihre Munitionsbestaende.
00:01:47:07,00:01:50:12,"Rund 110 Laender sind dabei, auch Deutschland."
00:01:50:16,00:01:52:16,Fuer uns ist das keine Option.
00:01:52:20,00:01:56:01,Dieser Konvention haben sich u.a. nicht angeschlossen:
00:01:56:05,00:02:00:08,"China, Russland, die Ukraine und die Vereinigten Staaten."
00:02:00:12,00:02:02:13,Das habe ich nicht zu kommentieren.
00:02:02:17,00:02:05:00,Auch Jens Stoltenberg will das nicht:
00:02:05:05,00:02:09:00,"Bloss kein Streit unter Verbuendeten, wenige Tage vor dem Gipfel."
00:02:09:04,00:02:13:11,Bei dem soll die Ukraine weitere Hilfe bekommen Ð auf Jahre hinaus.
00:02:13:15,00:02:17:04,"Das wird helfen, die Ukraine naeher an die NATO zu bringen."
00:02:17:08,00:02:19:11,"Auch durch einen NATO-Ukraine-Rat,"
00:02:19:16,00:02:23:05,"eine neue Plattform, wo wir gemeinsam entscheiden."
00:02:23:09,00:02:25:18,Der ukrainische Praesident aber will mehr.
00:02:25:23,00:02:27:10,Selenskyj heute in Prag.
