Timecode In,Timecode Out,Subtitle
00:00:19:09,00:00:22:16,Hier ist das Erste Deutsche Fernsehen mit den tagesthemen.
00:00:22:18,00:00:26:09,Diese Sendung wurde vom NDR live untertitelt (24.05.2023)
00:00:26:11,00:00:29:08,Heute im Studio: Aline Abboud und Susanne Daubner.
00:00:29:11,00:00:32:04,"Willkommen, schoen, dass Sie dabei sind."
00:00:32:11,00:00:33:19,Guten Abend.
00:00:33:21,00:00:35:22,In den letzten Wochen wurde das Klima
00:00:35:24,00:00:39:11,fuer die Klimaaktivisten der Letzten Generation rauer.
00:00:39:13,00:00:41:05,Vor allem in den Grossstaedten.
00:00:42:07,00:00:45:17,Seit Monaten sorgen die Blockaden der Klimaaktivisten
00:00:45:19,00:00:48:01,"fuer Empoerung, Unverstaendnis und Wut."
00:00:48:03,00:00:51:21,"Manche werden handgreiflich, wie hier auf der Autobahn in Berlin."
00:00:51:23,00:00:54:03,Gegen Mitglieder der Letzten Generation
00:00:54:05,00:00:55:19,laufen etliche Verfahren.
00:00:55:21,00:00:57:21,Es gab auch schon Verurteilungen:
00:00:57:23,00:01:00:19,"Wegen Noetigung im Strassenverkehr, Sachbeschaedigung"
00:01:00:21,00:01:02:23,oder Stoerung oeffentlicher Betriebe.
00:01:03:00,00:01:05:17,Jetzt faehrt die Justiz schaerfere Geschuetze auf.
00:01:05:19,00:01:09:10,Heute gab es bundesweite Razzien gegen Mitglieder der Bewegung.
00:01:09:12,00:01:12:17,Die Letzte Generation sei eine kriminelle Vereinigung.
00:01:12:19,00:01:15:03,An der Frage scheiden sich die Geister.
00:01:15:05,00:01:17:09,Max Kell und Andre Kartschall.
00:01:20:22,00:01:25:12,"Um kurz nach 7 Uhr morgens kommt die Polizei in Berlin,"
00:01:25:14,00:01:29:09,"Bayern, Hessen und vier weiteren Bundeslaendern."
00:01:29:16,00:01:33:15,Auch bei ihm klingelt es: Ingo Blechschmidt in Augsburg.
00:01:33:17,00:01:37:23,Er stand im Impressum der heute beschlagnahmten Homepage.
00:01:38:05,00:01:43:01,"Er sagt, er habe nur Telefondienst fuer die Gruppe gemacht -"
00:01:43:03,00:01:45:16,und die Vorwuerfe seien voellig ueberzogen.
00:01:45:21,00:01:49:01,Eine kriminelle Vereinigung ist was ganz Erhebliches.
00:01:49:05,00:01:51:22,"Gangsterbanden, die sich zusammenschliessen,"
00:01:51:24,00:01:53:24,um nachts Straftaten zu begehen.
00:01:54:03,00:02:00:13,Die Letzte Generation und ich vom Klima-Camp engagieren uns friedlich.
00:02:01:06,00:02:03:16,Was ist die Letzte Generation?
00:02:04:01,00:02:06:16,"Eine Protestgruppe, die quasi nebenbei"
00:02:06:18,00:02:12:07,Straftaten wie Noetigung begeht oder eine Kriminelle Vereinigung?
00:02:12:14,00:02:16:11,"Eher Letzteres, glaubt die Generalstaatsanwaltschaft Muenchen."
00:02:16:13,00:02:20:17,"Die Gruppe sammele sogar Geld ein, um ihre Straftaten zu finanzieren."
00:02:22:12,00:02:26:15,"Ob die Tatsachen ausreichend sind fuer eine kriminelle Vereinigung,"
00:02:26:17,00:02:29:17,wird sich am Ende dieses Ermittlungsverfahrens zeigen.
00:02:29:19,00:02:31:05,Einen Anfangsverdacht
00:02:31:07,00:02:34:08,hat man aufgrund dieser Spendenkampagne bejaht.
00:02:34:10,00:02:39:02,"Auch der Ermittlungsrichter, der die Durchsuchungsbeschluesse erliess."
00:02:39:20,00:02:42:21,Zuvor war die Generalstaatsanwaltschaft schriftlich
00:02:42:24,00:02:45:16,etwas uebers Ziel hinausgeschossen.
00:02:45:18,00:02:49:14,"""Die Letzte Generation stellt eine kriminelle Vereinigung"
00:02:49:17,00:02:52:11,"gemaess Paragraph 129 StGb dar!"""
00:02:52:13,00:02:55:08,Das ist aber noch nicht geklaert.
00:02:57:12,00:03:02:16,"Ob sie die Kriterien fuer eine kriminelle Vereinigung erfuellt,"
00:03:02:18,00:03:04:14,steht noch nicht fest.
00:03:04:24,00:03:06:09,Das ist offen.
00:03:07:05,00:03:11:15,"Die Antwort ist komplex, die Gerichte muessen das klaeren."
00:03:12:06,00:03:17:10,In Berlin gilt die Gruppe nicht als kriminelle Vereinigung.
00:03:17:12,00:03:22:17,"Hier hatte sie den Verkehr auf der Stadtautobahn lahmgelegt,"
00:03:22:19,00:03:25:06,zum ÈArger vieler Autofahrer.
00:03:25:17,00:03:28:20,Heute Nachmittag Pressekonferenz in Berlin
00:03:28:22,00:03:31:16,unter beachtlichem Medieninteresse.
00:03:31:18,00:03:33:13,Man will weitermachen.
00:03:37:07,00:03:40:07,Wir muessen jetzt weiter Widerstand leisten.
00:03:40:10,00:03:44:12,"Denn wir muessen uns weiter lautstark dafuer einsetzen,"
00:03:44:14,00:03:46:15,dass Leben geschuetzt werden.
00:03:46:17,00:03:49:05,Das hat gerade oberste Prioritaet.
00:03:49:07,00:03:53:22,"Deswegen fordern wir alle Buerger*innen dieses Landes auf,"
00:03:53:24,00:03:57:06,sich naechsten Mittwoch an Protestmaersche zu beteiligen.
00:03:57:08,00:03:59:07,Heute ist einer in Berlin.
00:03:59:15,00:04:03:18,Das Ergebnis: Die Strasse des 17. Juni ist zeitweilig gesperrt.
00:04:03:20,00:04:06:17,Zum Protestzug kommen wieder viele Medienvertreter
00:04:06:19,00:04:08:08,und rund 400 Teilnehmer.
