Timecode In,Timecode Out,Subtitle
00:00:04:10,00:00:07:23,Hier ist das Erste Deutsche Fernsehen mit der tageschau.
00:00:08:00,00:00:12:07,Diese Sendung wurde vom NDR live untertitelt (14.06.2023)
00:00:14:19,00:00:17:04,Heute im Studio: Susanne Daubner.
00:00:18:09,00:00:21:10,"Guten Abend, ich begruesse Sie zur tagesschau."
00:00:22:20,00:00:26:19,Fuer Deutschland gibt es erstmals eine Nationale Sicherheitsstrategie.
00:00:26:21,00:00:29:11,Gemeinsam mit vier Ministerinnen und Ministern
00:00:29:13,00:00:32:05,stellte Kanzler Scholz das Konzept heute vor.
00:00:32:07,00:00:35:13,Es zielt auf einen umfassenden Schutz der Bevoelkerung.
00:00:35:15,00:00:38:20,"Dabei geht es nicht nur um militaerische Bedrohungen,"
00:00:38:22,00:00:40:02,sondern auch um:
00:00:40:04,00:00:43:16,"Gefahren durch Cyberattacken, Anschlaege auf die Infrastruktur"
00:00:43:18,00:00:45:15,oder Naturkatastrophen.
00:00:46:20,00:00:49:10,Landesverteidigung mit Panzern und Soldaten:
00:00:49:12,00:00:53:09,Durch den Krieg gegen die Ukraine wieder in den Mittelpunkt gerueckt.
00:00:53:11,00:00:56:16,Fuer die Bundesregierung gehoert zur Sicherheit viel mehr.
00:00:56:18,00:01:00:02,Deshalb Kanzler plus vier Ministerinnen und Minister
00:01:00:04,00:01:03:15,bei der Praesentation der Strategie mit vielen Bausteinen:
00:01:03:17,00:01:06:14,"Diplomatie, Lieferketten, Klimaschutz."
00:01:07:01,00:01:09:15,Sicherheit im 21. Jahrhundert bedeutet:
00:01:09:17,00:01:13:00,In der Apotheke verlaesslich Medikamente zu bekommen.
00:01:13:02,00:01:15:16,"Sicherheit bedeutet beim Chatten,"
00:01:15:18,00:01:18:11,nicht von China ausspioniert zu werden.
00:01:19:03,00:01:21:22,Oder beim Scrollen durch soziale Netzwerke
00:01:21:24,00:01:25:00,nicht von russischen Bots manipuliert zu werden.
00:01:25:05,00:01:27:13,Zentrale Elemente der Strategie:
00:01:42:00,00:01:45:14,Diese Mittel und Instrumente muessen ineinandergreifen.
00:01:45:16,00:01:49:00,Um die Sicherheit unseres Landes zu staerken
00:01:49:03,00:01:52:11,und gegen Bedrohungen von aussen zu sichern.
00:01:53:21,00:01:58:09,Mehr Sicherheit kostet mehr Geld. Fuer den Finanzminister heisst das:
00:01:59:08,00:02:02:16,"Prioritaeten setzen, andere Projekte zurueckstellen."
00:02:04:10,00:02:06:19,Die Union - insgesamt enttaeuscht.
00:02:06:21,00:02:10:20,"Es wird kein neues Gremium geben, keinen Nationalen Sicherheitsrat."
00:02:10:22,00:02:12:01,Und ueberhaupt:
00:02:12:03,00:02:16:15,"Was hier vorliegt als Nationale Sicherheitsstrategie, ist blutleer,"
00:02:16:17,00:02:21:07,"strategisch irrelevant, folgenlos und aussenpolitisch unabgestimmt."
00:02:21:22,00:02:26:09,"Die Strategie sei sehr wohl mit Partnern in EU und USA abgestimmt,"
00:02:26:11,00:02:28:22,heisst es aus der Bundesregierung.
00:02:29:08,00:02:32:16,"Die Sicherheitsstrategie soll Leitplanken aufstellen,"
00:02:32:18,00:02:35:13,nicht fuer alles konkrete Loesungen festschreiben.
00:02:35:15,00:02:39:04,"Das muss jetzt folgen, das ist der schwierigere Schritt."
00:02:39:07,00:02:41:19,"Die Regierungspartner koennen beweisen,"
00:02:41:21,00:02:46:05,"dass sie so einig sind, wie sie sich heute praesentiert haben."
00:02:48:24,00:02:51:16,Nach dem Durchbruch im Koalitionsstreit
00:02:51:18,00:02:53:18,ueber das Gebaeudeenergiegesetz:
00:02:53:20,00:02:57:05,Die Reaktionen bei Verbaenden und Betroffenen sind geteilt.
00:02:57:08,00:03:00:08,"Kritik an den neuen Regeln kommt etwa vom Mieterbund,"
00:03:00:10,00:03:02:16,der steigende Wohnkosten fuerchtet.
00:03:02:17,00:03:06:24,Umweltverbaende sehen durch den Kompromiss die Klimaziele in Gefahr.
00:03:07:02,00:03:11:08,"Energiewirtschaft und Staedtetag begruessen, dass es mehr Zeit gibt"
00:03:11:10,00:03:14:24,fuer Hausbesitzer und eine Waermeplanung der Kommunen.
00:03:16:10,00:03:17:22,Im saechsischen Pirna
00:03:17:24,00:03:21:05,sind sie mittendrin in der kommunalen Waermeplanung.
00:03:21:08,00:03:25:00,"Sie machen, was bis 2028 deutschlandweit erfolgen soll."
00:03:25:09,00:03:27:20,Die Sachsen wollen groessere Wohngebiete
00:03:27:22,00:03:31:15,und Teile der Innenstadt an das Fernwaermenetz anschliessen.
00:03:31:17,00:03:35:09,Fernwaermenetze gibt es schon an vielen Orten in Deutschland.
00:03:35:11,00:03:39:16,Daran angeschlossen waren 2022 aber erst knapp 14 % der Wohnungen.
00:03:39:20,00:03:43:02,Die Kommunen muessen aber auch alle anderen Heizungsarten
00:03:43:04,00:03:44:24,in ihrem Gebiet erfassen.
00:03:45:01,00:03:48:09,"Erst wenn die kommunale Waermeplanung abgeschlossen ist,"
00:03:48:11,00:03:51:04,gelten fuer alle Haus- und Wohnungseigentuemer
00:03:51:05,00:03:53:07,die Regeln fuer den Heizungstausch.
00:03:53:09,00:03:56:18,Darauf hatte sich die Ampel nach langem Streit verstaendigt.
00:03:56:19,00:03:59:00,Kritik kommt vom Eigentuemerverband.
00:03:59:02,00:04:01:03,"Die ÈAnderung greift nur dort,"
00:04:01:05,00:04:04:22,wo Staedte und Gemeinden eine Waermeplanung vorlegen muessen.
00:04:04:24,00:04:07:21,Im laendlichen Raum ist das oft nicht der Fall
00:04:07:23,00:04:11:00,bei Gemeinden mit weniger als 10.000 Einwohnern.
00:04:11:02,00:04:12:24,Die Unsicherheit bleibt.
00:04:13:20,00:04:17:02,Der Staedte- und Gemeindebund lobt die Einigung.
00:04:17:22,00:04:21:03,"Es ist positiv, dass die Ampel erkannt hat:"
00:04:21:05,00:04:24:06,Die kommunale Waermeplanung muss Vorrang haben.
00:04:24:09,00:04:26:24,Sonst tauschen die Menschen die Heizung aus
00:04:27:01,00:04:31:20,und wenige Jahre spaeter will man ein Fern- oder Nahwaermenetz schaffen.
00:04:32:24,00:04:35:19,"Die Ampel hat sich zwar auch verstaendigt,"
00:04:35:21,00:04:38:23,dass Mieter nicht ueber Gebuehr belastet werden sollen.
00:04:39:00,00:04:42:15,"Mieterschuetzer kritisieren, dass Vermieter beim Heizungstausch"
00:04:42:17,00:04:46:02,moegliche Foerderungen nicht in Anspruch nehmen muessen.
00:04:46:06,00:04:49:19,Er muss sich die zumindest hypothetisch anrechnen lassen.
00:04:49:21,00:04:52:17,"Wenn er keine Foerderung in Anspruch nehmen will,"
00:04:52:19,00:04:54:21,muss er die Kosten selber tragen.
00:04:54:23,00:04:56:13,Morgen wird der Bundestag
00:04:56:15,00:04:59:17,erstmals ueber das Gebaeudeenergiegesetz debattieren.
00:05:00:23,00:05:04:00,Etwa 110 Mio. Menschen sind weltweit auf der Flucht -
00:05:04:02,00:05:05:17,so viele wie noch nie.
00:05:05:19,00:05:08:17,Das geht aus einem neuen UN-Bericht hervor.
00:05:08:21,00:05:12:10,Ein Grund fuer den erneuten Anstieg seien gewaltsame Konflikte.
00:05:12:12,00:05:15:17,"Demnach verliessen 2022 die meisten Menschen (6,5 Mio.)"
00:05:15:19,00:05:17:20,das Buergerkriegsland Syrien.
00:05:17:22,00:05:20:22,"Jeweils 5,7 Mio. Menschen flohen vor dem Krieg"
00:05:20:24,00:05:24:09,gegen die Ukraine und den Taliban in Afghanistan.
00:05:28:22,00:05:32:15,Ein tragisches Ende hat die Flucht Hunderter Menschen
00:05:32:17,00:05:34:20,ueber das Mittelmeer genommen.
00:05:34:22,00:05:37:09,"Vor Griechenland kenterte ihr Boot,"
00:05:37:11,00:05:40:23,mindestens 79 Menschen kamen laut Behoerden ums Leben.
00:05:41:00,00:05:44:11,ÈUber 100 Fluechtlinge konnten bisher gerettet werden.
00:05:44:12,00:05:48:11,"Helfer suchen vor der Halbinsel Peloponnes weiter nach ÈUberlebenden,"
00:05:48:13,00:05:50:17,viele werden noch vermisst.
00:05:52:24,00:05:54:15,Sie haben ueberlebt:
00:05:54:19,00:05:57:23,Erschoepft liegen ÈUberlebende des Ungluecks-Schiffs
00:05:58:00,00:05:59:16,in einem Auffanglager.
00:05:59:18,00:06:02:17,Mindestens 104 Menschen konnten gerettet werden.
00:06:02:19,00:06:05:18,21 von ihnen werden im Krankenhaus behandelt.
00:06:06:05,00:06:10:05,Der Kutter war von der libyschen Stadt Tobruk aus aufgebrochen.
00:06:10:07,00:06:11:14,Ziel: Italien.
00:06:12:05,00:06:15:13,Die griechische Kuestenwache hatte nach eigenen Angaben
00:06:15:15,00:06:18:08,"den Menschen angeboten, sie aufzunehmen."
00:06:18:13,00:06:20:16,Das haetten diese abgelehnt.
00:06:20:18,00:06:22:10,Dann sank das Schiff.
00:06:22:14,00:06:25:08,Die Kuestenwache versuchte zu retten.
00:06:25:10,00:06:29:09,Auf dem Schiff sollen sich Hunderte Menschen befunden haben.
00:06:29:14,00:06:34:20,Eine tragische Situation mit einer hohen Zahl an Schiffsbruechigen.
00:06:36:13,00:06:41:00,In diesen Dimensionen haben wir das lange nicht mehr gesehen.
00:06:43:11,00:06:45:12,Die Menschen auf dem Schiff
00:06:45:14,00:06:48:11,"sollen aus ÈAgypten, Syrien und Pakistan stammen."
00:06:48:13,00:06:51:05,Griechenland war offenbar nicht ihr Ziel.
00:06:51:07,00:06:53:14,"Oft wollen Fluechtlinge nach Mitteleuropa,"
00:06:53:15,00:06:55:22,was von Italien aus einfacher ist.
00:06:56:00,00:06:59:10,"Es gibt immer wieder Berichte, dass Griechenland Fluechtlinge"
00:06:59:11,00:07:01:21,mit sogenannten Pushbacks zurueckdraengt:
00:07:01:23,00:07:05:08,"Statt sie aufzunehmen, werden sie auf hoher See ausgesetzt."
00:07:05:10,00:07:07:20,Fuer Migrationsforscher Christopher Hein
00:07:07:22,00:07:12:17,ist diese zunehmende Abschottung Europas Mitursache fuer die Tragoedie.
00:07:14:20,00:07:18:13,"Das ist eine Folge einer Politik, die unmoeglich macht,"
00:07:18:15,00:07:21:11,auf normale Weise nach Europa zu kommen.
00:07:22:21,00:07:26:10,Unterdessen laeuft die Suche nach ÈUberlebenden weiter.
00:07:28:02,00:07:32:03,Ex-US-Praesident Trump plaediert in der Dokumenten-Affaere
00:07:32:06,00:07:33:18,auf nicht schuldig.
00:07:34:07,00:07:38:02,"Der 77-Jaehrige wies vor Gericht die Vorwuerfe zurueck,"
00:07:38:04,00:07:40:23,geheime Unterlagen aus seiner Amtszeit
00:07:41:00,00:07:43:22,zu Unrecht mit nach Hause genommen zu haben.
00:07:43:24,00:07:45:17,"Es ist das erste Mal,"
00:07:45:19,00:07:49:18,dass ein ehemaliger Praesident vor einem Bundesgericht angeklagt ist.
00:07:49:20,00:07:54:03,Nach dem Prozessauftakt in Miami wurde Trump von Fans bejubelt.
00:07:55:08,00:07:59:10,Please welcome the next president of the United States!
00:08:00:12,00:08:04:07,Er laesst sich ankuendigen als der naechste Praesident der USA:
00:08:04:12,00:08:07:11,"Donald Trump, Angeklagter im Wahlkampfmodus."
00:08:07:16,00:08:09:03,"Einmal mehr sagt er,"
00:08:09:07,00:08:12:24,das Verfahren um die Geheimpapiere sei politisch motiviert.
00:08:13:03,00:08:16:18,"Er habe jedes Recht gehabt, die Dokumente aufzubewahren,"
00:08:16:22,00:08:19:01,um sie in Ruhe durchzuschauen.
00:08:19:03,00:08:20:18,In den Boxen ausserdem:
