Timecode In,Timecode Out,Subtitle
00:00:18:20,00:00:22:06,Hier ist das Erste Deutsche Fernsehen mit den tagesthemen.
00:00:22:08,00:00:25:15,Diese Sendung wurde vom NDR live untertitelt (12.07.2023)
00:00:25:17,00:00:28:16,Heute im Studio: Caren Miosga und Susanne Daubner.
00:00:29:04,00:00:31:11,"Wir freuen uns, dass Sie dabei sind."
00:00:31:14,00:00:32:15,Guten Abend.
00:00:32:17,00:00:34:16,Es ist ein Scheck auf die Zukunft
00:00:34:18,00:00:38:04,"und das Versprechen, diesen irgendwann einloesen zu koennen."
00:00:38:19,00:00:41:08,"Die NATO wollte der Ukraine nicht sagen,"
00:00:41:10,00:00:43:21,wann sie zur NATO gehoeren wird.
00:00:45:15,00:00:48:10,"Aber dass sie beitreten wird, ist eine Zusage,"
00:00:48:12,00:00:51:10,die Praesident Selenskyi mit nach Hause nimmt.
00:00:51:12,00:00:54:22,"Bis es so weit ist, will die NATO dem angegriffenen Land"
00:00:54:24,00:00:56:21,moeglichst viel Schutz geben.
00:00:56:23,00:01:00:07,Diese Aussicht muss Selenskyi besaenftigt haben.
00:01:00:13,00:01:04:04,Noch vor dem Gipfel in Litauen hatte er seine Erwartungen
00:01:04:06,00:01:06:08,in die Welt hinausgetwittert.
00:01:06:10,00:01:09:02,"Das kam wohl nicht gut an auf einem Gipfel,"
00:01:09:04,00:01:14:05,der dem Kriegstreiber in Russland eine klare Botschaft senden wollte.
00:01:18:12,00:01:19:17,Michael Grytz.
00:01:21:07,00:01:25:08,Litauen ist selbstbewussten Mitglied der EU und der NATO.
00:01:25:10,00:01:28:14,"Die Angst vor Bedrohung ist allgegenwaertig,"
00:01:28:21,00:01:32:18,die Unterdrueckung durch Moskau noch im kollektiven Gedaechtnis.
00:01:32:20,00:01:37:24,Deshalb wollte der US-Praesident in Vilnius seine Botschaft platzieren.
00:01:41:23,00:01:47:05,"Er dachte, unsere Einheit wuerde bei erster Gelegenheit zerschellen."
00:01:47:07,00:01:50:18,"Putin hat drauf gewettet, die NATO wuerde auseinanderbrechen."
00:01:50:20,00:01:52:11,Er hat falsch gedacht.
00:01:53:08,00:01:56:12,Ein Angriff auf einen ist ein Angriff auf alle.
00:01:56:14,00:02:00:12,"Jedes Nato-Mitglied weiss, dass die Macht unserer Einheit"
00:02:00:14,00:02:02:21,nicht abgestritten werden kann.
00:02:03:22,00:02:06:16,Auf diese Form der Solidaritaet der NATO
