Timecode In,Timecode Out,Subtitle
00:00:19:00,00:00:22:17,Hier ist das Erste Deutsche Fernsehen mit den tagesthemen.
00:00:22:19,00:00:26:14,Diese Sendung wurde vom NDR live untertitelt (30.06.2023)
00:00:26:16,00:00:29:23,Heute im Studio: Caren Miosga und Constantin Schreiber.
00:00:30:02,00:00:33:12,Willkommen zu den tagesthemen. Schoenen guten Abend.
00:00:34:18,00:00:37:00,"Es ist ein Gesetz, das Deutschland"
00:00:37:02,00:00:39:20,beim Klimaschutz nach vorne bringen soll.
00:00:39:22,00:00:44:08,Die Gesetzesmacher duerften auf dem Weg dorthin um Jahre gealtert sein.
00:00:44:10,00:00:46:20,Selten sorgte eine politische Idee
00:00:46:22,00:00:50:16,"fuer so viel Unruhe, Misstrauen und derart viel Streit."
00:00:50:18,00:00:54:16,Die Stimmung unter den Koalitionaeren sank genauso in den Keller
00:00:54:18,00:00:58:19,wie die Umfragewerte fuer die Ampelparteien.
00:00:58:21,00:01:01:20,Aber es geht auch um viel: eine Waermewende.
00:01:03:16,00:01:07:17,Heute liegt der Gesetzesentwurf vor.
00:01:08:17,00:01:11:06,"Gabor Halasz zeigt, was drin steht."
00:01:12:12,00:01:15:13,Wellen haben sie genug gemacht in der Ampel.
00:01:15:15,00:01:18:14,Was haben sie gestritten um das Heizungsgesetz.
00:01:18:16,00:01:20:14,Und was hat er sich geaergert.
00:01:20:16,00:01:23:24,Robert Habeck schaut heute aus der Ferne nach Berlin.
00:01:24:01,00:01:25:15,Deutlich entspannter.
00:01:25:17,00:01:29:17,"Wir haben ja noch eine Woche Zeit, dann wurde genug beraten."
00:01:29:18,00:01:32:13,Dann koennen wir einen Haken dahinter machen.
00:01:32:15,00:01:35:09,Doch vor dem Haken muss viel gelesen werden:
00:01:35:11,00:01:38:18,"ÈUber 100 Seiten, viele Details - Schwer zu verstehen."
00:01:38:20,00:01:42:08,"Das, was die Ampel nach langem Streit beschlossen hat."
00:01:42:20,00:01:45:09,"Das, auf was wir uns verstaendigt haben,"
00:01:45:11,00:01:48:06,steht jetzt auch wirklich im Gesetzestext.
00:01:48:08,00:01:50:08,"Keine Eingriffe ins Eigentum,"
00:01:50:10,00:01:53:21,keine Verbote und vor allem Technologieoffenheit.
00:01:55:02,00:01:58:05,Ab dem 1. Januar gilt das Gebaeudeenergiegesetz.
00:01:58:11,00:02:00:19,Aber zunaechst nur fuer Neubauten.
00:02:00:21,00:02:02:13,Bei bestehenden Gebaeuden
00:02:02:15,00:02:05:15,muss erst eine kommunale Waermeplanung vorliegen.
00:02:05:17,00:02:07:03,Spaetestens 2028.
00:02:07:05,00:02:10:19,Wer bis dahin noch eine konventionelle ÈOl- oder Gasheizung
00:02:10:21,00:02:14:19,"einbauen will, muss sich verpflichtend beraten lassen."
00:02:16:05,00:02:19:15,"Das Gebaeudeenergiegesetz ist offener geworden,"
00:02:19:17,00:02:22:18,zusammen mit der kommunalen Waermeplanung.
00:02:23:21,00:02:26:20,Wir schaffen Klarheit ueber alle Optionen.
00:02:28:17,00:02:34:06,Dann koennen die Leute entscheiden - Fernwaerme oder die Waermepumpe.
00:02:37:09,00:02:41:03,Der Staat foerdert den Heizungstausch pauschal mit 30 %.
00:02:41:05,00:02:45:09,"Wer bis 2028 wechselt, kann zunaechst noch mal 20 % extra Ð"
00:02:45:16,00:02:47:22,also insgesamt 50 % bekommen.
00:02:48:04,00:02:51:02,Fuer Geringverdiener weitere Foerdergelder.
00:02:51:04,00:02:54:07,Insgesamt darf die Summe 70 % nicht uebersteigen.
00:02:54:09,00:02:58:03,Ausserdem werden die Ausnahmen fuer ueber 80-Jaehrige gestrichen.
00:02:58:05,00:03:00:11,Mieterinnen und Mieter duerfen zunaechst
00:03:00:13,00:03:04:14,nur mit 50 Cent pro Quadratmeter an den Kosten beteiligt werden.
00:03:04:16,00:03:07:14,Eine Heizung der Zukunft ist die Waermepumpe.
00:03:07:16,00:03:09:07,Aber moeglich sind auch:
00:03:09:09,00:03:12:09,"Gasheizungen, die mit Wasserstoff laufen koennen."
00:03:12:11,00:03:14:17,Oder das Heizen mit Holzpellets.
00:03:14:19,00:03:16:14,"Die Opposition ist empoert,"
00:03:16:16,00:03:19:07,dass der Entwurf in letzter Minute kam.
00:03:19:09,00:03:22:22,Nun muss sehr viel Papier sehr schnell gelesen werden.
00:03:23:01,00:03:25:00,Am Montag ist die Anhoerung.
00:03:25:02,00:03:29:02,"Sachverstaendige und Abgeordnete haben gerade das Wochenende Zeit,"
00:03:29:04,00:03:33:01,"um 120 Seiten zu lesen, zu bewerten, Schluesse zu ziehen."
00:03:33:17,00:03:36:12,Dem stimmt auch der Linke Klaus Ernst zu.
00:03:36:14,00:03:39:12,Er leitet den Ausschuss fuer Klima und Energie.
00:03:39:14,00:03:40:19,Ihn stoert ...
00:03:40:21,00:03:45:00,"... dass mit der Brechstange, Klimagesetze durchgedrueckt werden."
00:03:45:02,00:03:47:18,Ohne Diskussionen mit Sachverstaendigen.
00:03:47:20,00:03:50:01,Ohne Einbeziehung der Buerger.
00:03:50:05,00:03:54:06,"Und nachdem das ein Gesetz ist, das hohe Wellen geschlagen hat."
00:03:54:08,00:03:58:10,"Wellen, die sogar die gesamte Bundesregierung bedroht haben."
00:03:59:08,00:04:01:01,Das haben wir abgewendet.
00:04:01:03,00:04:03:10,Und deswegen bin ich sehr zufrieden.
00:04:03:12,00:04:07:23,"In der Sache des Gesetzes als auch, dass wir alle wieder Freunde sind."
00:04:08:05,00:04:10:20,"Doch bevor alle wieder Freunde sind,"
00:04:10:22,00:04:13:12,muss das Gesetz noch beschlossen werden.
00:04:14:08,00:04:17:17,Der muehsame Weg zum Heizungsgesetz -
00:04:18:15,00:04:23:00,dazu hat Daniel Pokraka aus unserem Hauptstadtstudio diese Meinung.
00:04:23:22,00:04:26:22,Der Weg zum Heizungsgesetz ist ein Marathon.
00:04:26:24,00:04:29:12,"Auch wenn manche in der Ampel glauben,"
00:04:29:14,00:04:32:06,sie befaenden sich kurz vor der Ziellinie:
00:04:32:08,00:04:34:13,Es sind noch ein paar Kilometer.
00:04:34:15,00:04:35:21,Das Gute vorweg:
00:04:35:23,00:04:40:13,Das Heizungsgesetz ist jetzt eng mit der kommunalen Waermeplanung verzahnt.
00:04:40:15,00:04:42:06,Hausbesitzer koennen nun
00:04:42:07,00:04:45:04,also eine qualifizierte Entscheidung treffen:
00:04:45:06,00:04:49:17,"Welche Heizung ist fuer sie die beste, kommt doch Fernwaerme in Frage?"
00:04:49:24,00:04:52:11,"Und es wird wohl ein Raetsel bleiben,"
00:04:52:13,00:04:55:24,warum die Regierung nicht von vornherein so geplant hat:
00:04:56:01,00:04:59:12,"Erst die kommunale Waermeplanung, dann das Heizungsgesetz."
00:04:59:14,00:05:02:09,Ausserdem ist eine zentrale Frage ungeklaert:
00:05:02:11,00:05:06:12,"Die finanzielle Foerderung, also fuer was es Geld vom Staat gibt."
00:05:06:14,00:05:09:11,Nur fuer klimafreundliche neue Heizungen?
00:05:09:13,00:05:12:09,Oder auch fuer nicht-ganz-so-klimafreundliche?
00:05:12:12,00:05:15:21,Kann ja durchaus sein - Stichwort Technologieoffenheit.
00:05:15:23,00:05:19:14,"Und soll es dabei bleiben, dass wirklich jeder Hausbesitzer"
00:05:19:16,00:05:23:03,beim Kauf einer neuen Heizung Geld vom Staat bekommt?
00:05:23:05,00:05:26:13,Kann man also auch als Villenbesitzer mit Turmzimmer
00:05:26:15,00:05:29:22,und zwei Luxuskarossen mit einer Foerderung rechnen?
00:05:29:24,00:05:33:13,"Wer kein Haus hat, rechnet eher mit einer Mieterhoehung."
00:05:33:15,00:05:37:15,Die Ampel hat hier Begrenzungen in ihren Gesetzentwurf eingebaut.
00:05:37:17,00:05:41:05,Der wird jetzt im Eiltempo beraten und abgestimmt.
00:05:41:07,00:05:45:04,"Mag ja sein, dass die Ampel nur unter Zeitdruck arbeiten kann."
00:05:45:06,00:05:49:06,"Dem Bundestag gegenueber, der Opposition und den Sachverstaendigen,"
00:05:49:08,00:05:53:02,"die Ratschlaege geben sollen, ist das Verfahren eine Frechheit."
00:05:53:04,00:05:56:04,Es gibt es hier keinen sachlichen Zeitdruck.
00:05:56:06,00:06:00:00,Die Ampel koennte ihr Heizungsgesetz auch spaeter beschliessen.
00:06:00:02,00:06:02:17,"Selbst wenn sie es naechste Woche schafft,"
00:06:02:19,00:06:06:20,die letzten Kilometer ihres Gesetzgebungs-Marathons zu laufen:
00:06:06:22,00:06:09:06,Es bleibt ein schaler Beigeschmack.
00:06:10:21,00:06:13:03,Die Meinung von Daniel Pokraka.
00:06:13:10,00:06:17:20,"Es sind vor allem die Gruenen, die diese beiden gern grillen."
00:06:17:22,00:06:21:02,Auch wenn vor allem die hohen Umfragewerte der AfD
00:06:21:04,00:06:25:04,der CDU und CSU gerade die meisten Sorgen machen duerften.
00:06:25:10,00:06:27:13,"Auch deshalb bahnt sich an,"
00:06:27:15,00:06:31:18,was der Union auf lange Sicht nicht gut bekommen koennte:
00:06:32:01,00:06:35:22,"Ein Streit darueber, was bei den anstehenden Landtags-"
00:06:36:14,00:06:40:23,und dann 2025 auch Bundestagswahlen angeboten werden soll.
00:06:41:01,00:06:44:10,"Und wer am Ende serviert, wenn es um die Wurst geht."
00:06:44:16,00:06:49:08,Vom Angrillen in Bayern berichten Melanie Marks und Julian von Loewis.
00:06:51:10,00:06:53:12,Noch schnell ein Foto machen.
00:06:53:14,00:06:56:17,In 100 Tagen wird in Bayern und Hessen gewaehlt.
00:06:56:19,00:07:00:16,"CDU und CSU treffen sich, um ihren Kurs zu praesentieren."
00:07:01:05,00:07:04:00,Gemeinsam soll der sein. Aber gegen wen?
00:07:06:14,00:07:10:23,"Wir brauchen uns nicht auf einen gemeinsamen Gegner zu einigen,"
00:07:11:00,00:07:13:16,es sind alle Parteien Wettbewerber.
00:07:14:14,00:07:16:23,Wer der groesste Konkurrent ist -
00:07:17:00,00:07:20:13,darueber war sich Merz' Partei zuletzt nicht einig.
00:07:21:18,00:07:25:01,Mitte Juni fordert NRW-Ministerpraesident Wuest
00:07:25:03,00:07:27:10,in der FAZ einen Kurs der Mitte.
00:07:39:21,00:07:42:02,Dann am Sonntag in Thueringen:
00:07:42:08,00:07:45:15,Die AfD gewinnt zum ersten Mal eine Landratswahl.
00:07:45:17,00:07:49:00,Die Debatte in der CDU nimmt weiter an Fahrt auf.
00:07:49:07,00:07:53:10,Am Tag danach sieht Merz die Schuld vor allem bei den Gruenen.
00:07:53:12,00:07:58:14,"Wir werden noch viel deutlicher die Alternativen herausarbeiten,"
00:07:58:16,00:08:00:22,die es zu dieser Bundesregierung gibt.
00:08:01:22,00:08:05:06,"Thema Umweltpolitik, Thema Energiepolitik."
00:08:06:02,00:08:10:04,Deshalb werden die Gruenen unsere Hauptgegner sein
00:08:10:07,00:08:12:06,in dieser Bundesregierung.
00:08:13:03,00:08:16:24,Am selben Tag besucht Merz Ministerpraesident Daniel Guenther.
00:08:17:08,00:08:19:18,Der schlaegt ganz andere Toene an.
00:08:21:19,00:08:25:13,"Wir zeigen in SH in einer Schwarz-Gruenen Landesregierung,"
00:08:25:15,00:08:28:19,"wie man gute Politik macht im Verhaeltnis zu dem,"
00:08:28:21,00:08:30:21,was auf Bundesebene passiert.
00:08:30:23,00:08:35:04,Zurueck in Muenchen nach zwei Stunden gemeinsamer Praesidiumssitzung.
