Timecode In,Timecode Out,Subtitle
00:00:04:14,00:00:08:10,Hier ist das Erste Deutsche Fernsehen mit der tagesschau.
00:00:08:17,00:00:13:04,Diese Sendung wurde vom NDR live untertitelt (06.07.2023)
00:00:15:01,00:00:17:12,Heute im Studio: Susanne Daubner.
00:00:18:05,00:00:21:17,"Guten Abend, ich begruesse Sie zur tagesschau."
00:00:22:15,00:00:25:05,"Im Bundestag scheiterte heute der Versuch,"
00:00:25:07,00:00:28:18,einen rechtlichen Rahmen fuer die Sterbehilfe zu schaffen.
00:00:28:20,00:00:32:09,Zwei Gesetzentwuerfe von Abgeordneten verschiedener Fraktionen
00:00:32:11,00:00:33:22,fanden keine Mehrheit.
00:00:33:24,00:00:35:16,"Es ging darum, ob und wie"
00:00:35:18,00:00:40:03,Sterbewillige Zugang zu todbringenden Medikamenten erhalten koennen.
00:00:40:09,00:00:44:15,Und wer unter welchen Bedingungen bei einem Suizid helfen darf.
00:00:44:22,00:00:49:13,"Diese Fragen sind nicht geregelt, seit das Bundesverfassungsgericht"
00:00:49:15,00:00:53:20,2020 das Verbot geschaeftsmaessiger Sterbehilfe kippte.
00:00:55:13,00:00:58:16,Rote Karte fuer die Regulierung der Suizidhilfe.
00:00:58:18,00:01:01:07,Zwei Gesetzentwuerfe standen zur Abstimmung.
00:01:01:09,00:01:05:02,Beide fielen jeweils bei einer Mehrheit der Abgeordneten durch.
00:01:05:05,00:01:08:24,Vor der Abstimmung warb Katrin Helling-Plahr fuer ihren Vorschlag.
00:01:09:01,00:01:12:24,Der sah eine Beratungspflicht vor und drohte keine Strafbarkeit an.
00:01:13:08,00:01:18:13,"Wichtig ist, dass wir die Menschen nicht wieder alleine lassen,"
00:01:18:15,00:01:23:00,"mit ihrem Schmerz, ihrer Angst und ihrem Wunsch, gehen zu duerfen."
00:01:24:00,00:01:26:19,Deshalb brauchen wir eine rechtssichere Loesung.
00:01:26:21,00:01:30:07,Deshalb duerfen wir nicht wieder mit dem Strafrecht drohen.
00:01:30:09,00:01:33:16,"Den Abgeordneten, die den zweiten Entwurf unterstuetzten,"
00:01:33:18,00:01:36:13,waren strafrechtliche Konsequenzen aber wichtig.
00:01:36:21,00:01:40:00,"Psychisch kranke Menschen, die unter Druck stehen ..."
00:01:40:02,00:01:43:12,"Behinderte Menschen, Menschen in Ausnahmesituationen ..."
00:01:43:14,00:01:47:22,Diesen Menschen ist die Gesellschaft ihren Schutz schuldig.
00:01:50:04,00:01:52:07,Diesen Schutz kann man nur
00:01:52:09,00:01:55:07,mithilfe des Strafrechts gewaehrleisten.
00:01:55:18,00:01:57:23,Auch dieser Vorschlag fiel durch.
00:01:58:00,00:02:00:11,"Die Abgeordneten scheiterten am Versuch,"
00:02:00:13,00:02:03:24,Suizidhilfe nach den Massgaben des Bundesverfassungsgerichts
00:02:04:01,00:02:05:05,zu regulieren.
00:02:05:07,00:02:08:03,"Die Vorsitzende des Deutschen Ethikrats fordert,"
00:02:08:05,00:02:10:03,dass sie es noch einmal angehen.
00:02:10:05,00:02:13:03,"Patientinnen und Patienten, die Einrichtungen,"
00:02:13:05,00:02:16:18,ÈArztinnen und ÈArzte wuenschen sich Rechtssicherheit.
00:02:16:20,00:02:18:16,Es ist jetzt ungeregelt.
00:02:18:21,00:02:21:24,"Wir wissen nicht, was wir tun koennen, tun sollen."
00:02:22:01,00:02:26:14,"Da wuenschen sich viele, dass man das noch mal versucht."
00:02:27:14,00:02:31:09,"Dem Bundesgesundheitsminister gaben die Abgeordneten heute auf,"
00:02:31:11,00:02:33:12,die Suizid-Vorbeugung auszubauen.
00:02:33:18,00:02:37:02,Am Aktionsplan Suizidpraevention wird gearbeitet.
00:02:37:05,00:02:41:14,"Ich glaube, dass wir nach der Sommerpause etwas vorlegen koennen."
00:02:41:16,00:02:45:09,Die Anregungen durch den heute beschlossenen Antrag
00:02:45:11,00:02:47:07,werden wir aufnehmen.
00:02:48:21,00:02:51:06,Rechtsunsicherheit bei der Suizidhilfe
00:02:51:08,00:02:53:01,fuerchtet Lauterbach nicht.
00:02:53:03,00:02:56:17,Denn in Zweifelsfaellen koennten die Gerichte entscheiden.
00:02:58:18,00:03:01:03,Er fuehlt sich gefangen in seinem Koerper -
00:03:01:05,00:03:03:14,das sagt Harald Mayer ueber sich selbst.
00:03:03:16,00:03:05:03,Er hat Multiple Sklerose
00:03:05:05,00:03:08:03,und kann sich vom Hals abwaerts nicht mehr bewegen.
00:03:08:05,00:03:10:00,Frueher war er Feuerwehrmann.
00:03:10:06,00:03:11:13,Das bin ich.
00:03:12:10,00:03:15:03,"Wenn sich sein Zustand weiter verschlechtert,"
00:03:15:05,00:03:18:15,wuerde der 52-Jaehrige gerne Sterbehilfe in Anspruch nehmen.
00:03:18:17,00:03:22:07,Dass heute dazu kein Gesetzentwurf und keine Beratungspflicht
00:03:22:09,00:03:24:16,"verabschiedet wurde, sieht er positiv."
00:03:25:03,00:03:26:18,So ist es am besten.
00:03:28:06,00:03:32:00,Ich habe mich schon ueber zwanzig Jahre damit befasst.
00:03:32:05,00:03:34:10,Ich brauche keine Beratung mehr.
00:03:34:17,00:03:36:01,So ist es gut.
00:03:37:04,00:03:39:06,Harald Mayer fordert seit Jahren
00:03:39:08,00:03:42:16,die Herausgabe eines bestimmten Mittels zur Selbsttoetung:
00:03:42:18,00:03:43:21,Pentobarbital.
00:03:43:23,00:03:45:19,Deswegen ging er vor Gericht.
00:03:45:20,00:03:48:19,"In der Schweiz darf das Mittel verschrieben werden,"
00:03:48:21,00:03:50:06,in Deutschland nicht.
00:03:50:10,00:03:52:19,"Die Abstimmung im Bundestag bedeutet,"
00:03:52:23,00:03:56:05,"dass bei der Suizidbeihilfe alles so bleibt, wie es ist."
00:03:56:07,00:04:00:07,"Das Bundesgesundheitsministerium will in den naechsten Wochen pruefen,"
00:04:00:09,00:04:03:21,wie die Abgabe von Pentobarbital geregelt werden koennte.
00:04:04:01,00:04:07:11,Harald Mayer will das notfalls vor Gericht durchsetzen -
