Timecode In,Timecode Out,Subtitle
00:00:04:09,00:00:07:15,Hier ist das Erste Deutsche Fernsehen mit der tagesschau.
00:00:07:17,00:00:12:02,Diese Sendung wurde vom NDR live untertitelt (23.05.2023)
00:00:15:06,00:00:17:10,Heute im Studio: Judith Rakers.
00:00:17:22,00:00:20:21,"Guten Abend, ich begruesse Sie zur tagesschau."
00:00:21:23,00:00:25:14,Der Streit ueber das Heizungsgesetz wird zur Belastungsprobe
00:00:25:16,00:00:27:03,fuer die Koalition.
00:00:27:05,00:00:30:22,Wegen Bedenken der FDP wird der Entwurf diese Woche nicht -
00:00:30:24,00:00:34:13,wie vorgesehen - in erster Lesung im Bundestag beraten.
00:00:35:02,00:00:38:00,Damit steht der Zeitplan auf der Kippe.
00:00:39:07,00:00:43:18,Minister Habeck wirft dem Koalitionspartner FDP Wortbruch vor.
00:00:45:18,00:00:48:12,Die Waermewende fuer Deutschlands Haeuser
00:00:48:14,00:00:51:07,heizt in der Koalition die Stimmung auf.
00:00:52:02,00:00:54:12,Scharf kritisiert der Wirtschaftsminister
00:00:54:15,00:00:58:05,den Widerstand der FDP gegen sein Gebaeudeenergiegesetz.
00:00:58:11,00:01:03:10,"Dass es nicht aufgesetzt wird, ist ein Wortbruch der Vereinbarung,"
00:01:04:12,00:01:07:17,die wir nach dem Koalitionsausschuss getroffen haben.
00:01:07:19,00:01:09:15,"Auf Twitter Wortgefechte,"
00:01:10:06,00:01:13:15,"laut FDP gehoeren ""von 170 Seiten 120 in die Tonne""."
00:01:14:03,00:01:17:21,"Ein Gruener nennt die FDP ""unzuverlaessig und destruktiv."""
00:01:18:20,00:01:21:24,Arbeitsverweigerung werfen die Gruenen der FDP vor.
00:01:22:12,00:01:25:16,"Ich rate allen Beteiligten dazu, verbal abzuruesten."
00:01:26:02,00:01:29:18,Ziel muesse ein gutes Gesetz sein. Der Zeitplan? Zweitrangig.
00:01:30:10,00:01:32:22,"Fuer die Menschen kommt es nicht darauf an,"
00:01:32:24,00:01:35:01,wann eine Lesung im Bundestag ist.
00:01:35:03,00:01:37:08,"Fuer die Menschen kommt es darauf an,"
00:01:37:10,00:01:39:20,ob das Gebaeudeenergiegesetz funktioniert.
00:01:40:04,00:01:43:17,"Die FDP fuerchtet einen zu starken Fokus auf die Waermepumpe,"
00:01:43:19,00:01:47:02,will Technologieoffenheit und einen neuen Entwurf.
00:01:48:11,00:01:51:01,Eigentlich soll ab 2024 jede neue Heizung
00:01:51:03,00:01:54:06,zu 65 % mit erneuerbarer Energie laufen.
00:01:56:07,00:01:59:20,"Nun ist fraglich, ob das Gesetz vor der Sommerpause kommt."
00:01:59:23,00:02:02:19,"Die SPD sieht Diskussionsbedarf, mahnt aber:"
00:02:03:09,00:02:07:19,"Am Ende schaden wir uns allen, wenn das nicht in Sachgerechtigkeit"
