Timecode In,Timecode Out,Subtitle
00:00:19:08,00:00:23:09,Hier ist das Erste Deutsche Fernsehen mit den tagesthemen.
00:00:23:13,00:00:26:20,Diese Sendung wurde vom NDR live untertitelt (04.06.2023)
00:00:26:24,00:00:30:01,Heute im Studio: Aline Abboud und Julia-Niharika Sen.
00:00:30:09,00:00:32:10,Willkommen zu den tagesthemen.
00:00:33:03,00:00:34:08,Guten Abend.
00:00:35:01,00:00:37:17,"Wir werfen einen Blick nach Polen,"
00:00:37:24,00:00:42:15,wo sich viele an die bewegte Vergangenheit ihres Landes erinnern.
00:00:42:24,00:00:46:09,ÈUber 100.000 Menschen protestierten in Warschau
00:00:46:13,00:00:49:15,gegen die national-konservative Regierung.
00:00:50:20,00:00:54:06,Die Organisatoren sprachen von der groessten Demonstration
00:00:54:08,00:00:56:20,seit dem Ende des Kommunismus 1989.
00:00:57:17,00:01:01:13,Sie hatten die Kundgebung bewusst auf diesen Tag gelegt.
00:01:01:21,00:01:06:14,Am 4. Juni 1989 fanden in Polen die ersten teils freien Wahlen statt.
00:01:07:12,00:01:10:14,Kritiker sehen wegen der Regierungspartei PiS
00:01:11:23,00:01:14:06,diese freie Wahlen in Gefahr.
00:01:14:19,00:01:16:11,Kristin Joachim aus Warschau.
00:01:24:18,00:01:28:15,"Sie singen die Nationalhymne: ""Noch ist Polen nicht verloren."""
00:01:29:16,00:01:31:19,"Genau das empfinden die Menschen,"
00:01:31:21,00:01:34:23,die zu Hunderttausenden nach Warschau gekommen sind.
00:01:35:21,00:01:40:10,Sie protestieren gegen die Regierung der nationalkonservativen PiS.
00:01:42:06,00:01:45:23,"Die Demo ist Ausdruck der Unzufriedenheit, des Widerstands"
00:01:46:02,00:01:48:09,gegen den Mangel an Demokratie im Land.
00:01:48:13,00:01:52:04,"Das polnische Volk hat sich immer gegen solche Zustaende erhoben,"
00:01:52:06,00:01:53:16,deshalb sind wir hier.
00:01:54:04,00:01:56:11,Ein Krebsgeschwuer frisst unser Land.
00:01:56:15,00:02:00:11,Unsere Regierung zwingt unser Land in die Arme des Totalitarismus.
00:02:00:13,00:02:02:11,Wir machen es Russland nach.
00:02:03:08,00:02:06:03,"Aufgerufen zu dem Marsch hatte Donald Tusk,"
00:02:06:07,00:02:08:12,Parteichef der oppositionellen PO.
00:02:08:16,00:02:12:02,"An seiner Seite heute Lech Walesa, eine Legende im Kampf"
00:02:12:06,00:02:14:19,gegen den Kommunismus und fuer Demokratie.
00:02:14:23,00:02:18:24,"Heute, 34 Jahre nach den ersten halbwegs freien Wahlen in Polen"
00:02:19:03,00:02:21:13,steht die Demokratie wieder auf dem Spiel.
00:02:21:15,00:02:25:05,Das hat die Menschen dem Aufruf Tusks folgen lassen:
00:02:27:04,00:02:29:19,Die Demokratie stirbt in der Stille.
00:02:30:04,00:02:32:16,Ab heute werden wir nicht still sein.
00:02:32:19,00:02:36:14,Ihr habt eure Stimme erhoben im Namen von 38 Millionen Polen.
00:02:36:18,00:02:39:04,"Fuer die Demokratie, damit sie nicht stirbt."
00:02:39:06,00:02:42:17,Gegen die taeglichen Angriffe von Kaczinsky und der Regierung
00:02:42:19,00:02:44:05,auf ihre Fundamente.
00:02:45:11,00:02:49:03,Viele Menschen auf dem Marsch nahmen kurzfristig teil.
00:02:49:07,00:02:53:05,"Nachdem die PiS vor einer Woche ein umstrittenes Gesetz beschloss,"
00:02:53:07,00:02:54:14,"das ""Lex Tusk""."
00:02:55:03,00:02:57:20,Eine Kommission soll den russischen Einfluss
00:02:57:24,00:03:01:20,auf die polnische Politik in den vergangenen 16 Jahren untersuchen.
00:03:01:22,00:03:05:14,Beschuldigte koennten von Mandaten ausgeschlossen werden.
00:03:06:22,00:03:11:06,De facto soll es Donald Tusk vor der Wahl im Herbst kaltstellen.
00:03:12:21,00:03:16:02,Der Verfassungsrechtler Matczak und andere Experten
00:03:16:06,00:03:19:22,kritisieren das Gesetz in Stellungnahmen fuer den Senat:
00:03:20:19,00:03:23:24,"Es kann nicht sein, dass in Europa, in einem Land,"
00:03:24:03,00:03:27:06,"das zur EU gehoert, ein Supergericht eingerichtet wird."
00:03:27:08,00:03:30:12,"Das ist diese Kommission, die Strafen verhaengen kann,"
