Timecode In,Timecode Out,Subtitle
00:00:04:08,00:00:07:22,Hier ist das Erste Deutsche Fernsehen mit der tagesschau.
00:00:08:01,00:00:12:21,Diese Sendung wurde vom NDR live untertitelt (08.09.2023)
00:00:15:08,00:00:17:19,Heute im Studio: Thorsten Schroeder.
00:00:17:23,00:00:20:22,"Guten Abend, ich begruesse Sie zur tagesschau."
00:00:21:17,00:00:23:17,Es ist eine Sport-Sensation:
00:00:24:09,00:00:26:08,Nach einem Sieg ueber die USA
00:00:26:12,00:00:30:07,stehen die deutschen Basketballer erstmals in einem WM-Finale.
00:00:30:11,00:00:33:23,Der groesste Erfolg der deutschen Basketball-Geschichte.
00:00:34:02,00:00:35:07,Mehr dazu spaeter.
00:00:38:11,00:00:40:04,Erst zur Innenpolitik:
00:00:40:16,00:00:44:00,Nach langem Streit auch innerhalb der Koalition
00:00:44:04,00:00:47:12,"beschloss der Bundestag das ""Heizungsgesetz""."
00:00:47:20,00:00:51:16,Wirtschaftsminister Habeck sprach von einer Weichenstellung
00:00:51:20,00:00:52:24,fuer Klimaschutz.
00:00:53:03,00:00:56:21,"Die Union bezeichnete die Reform als Irrsinn und warnte,"
00:00:57:01,00:00:59:04,das Gesetz mache Menschen arm.
00:00:59:09,00:01:01:17,Die Reform des Gebaeudeenergiegesetzes
00:01:01:21,00:01:06:00,soll schrittweise den Abschied von fossilen Heizungen einleiten.
00:01:07:09,00:01:08:22,In der Margaretenau
00:01:09:05,00:01:12:14,laufen die Planungen fuer die Gebaeudesanierung.
00:01:12:18,00:01:16:03,Die Genossenschaftsbauten werden noch mit Gas beheizt.
00:01:16:07,00:01:20:17,Stadtentwickler planen nun Fotovoltaikanlagen und Waermepumpen.
00:01:22:06,00:01:23:24,Das dauert 'ne Weile.
00:01:24:07,00:01:29:02,"Wir planen, dass wir so zwischen 2035 und 2038 hier CO2-frei sind."
00:01:31:05,00:01:34:18,"Wir machen das, indem wir Waerme aus der Umwelt holen."
00:01:34:22,00:01:39:06,"Regensburg reagiert damit auf das neue Gebaeudeenergiegesetz,"
00:01:39:24,00:01:41:23,das ab 2024 gelten soll.
00:02:00:08,00:02:04:07,Es sind ÈUbergangsfristen bis zu zehn Jahren vorgesehen.
00:02:07:03,00:02:10:07,Heute ging es auch im Bundestag hoch her.
00:02:10:19,00:02:14:06,"Der Wirtschaftsminister versucht, zu besaenftigen."
00:02:14:10,00:02:16:19,Dieses Gesetz schafft Rechtssicherheit.
00:02:16:23,00:02:20:06,Es schuetzt die Verbraucher vor den hohen Energiepreisen.
00:02:20:10,00:02:23:05,Und die Kommunen werden mitgenommen.
00:02:23:09,00:02:27:07,Es sorgt fuer eine soziale Ausbalancierung des Gesetzes.
00:02:27:21,00:02:30:09,Die Opposition sieht das anders.
00:02:31:08,00:02:35:07,Dieses Heizgesetz ist der Gipfel der Respektlosigkeit
00:02:35:12,00:02:37:20,gegenueber Buergerinnen und Buergern.
00:02:37:24,00:02:40:20,"Es geht nicht darum, wie man es veraendern kann,"
00:02:40:24,00:02:43:08,sondern dass es wieder abgeschafft wird.
00:02:43:10,00:02:45:19,Sie muessten den Mietern versprechen:
00:02:45:21,00:02:49:23,"""Kein Euro mehr Miete fuers Gesetz."" Aber das wollen Sie nicht."
00:02:50:02,00:02:53:21,"Wer warum finanzielle Hilfe fuer die Sanierung bekomme,"
00:02:54:00,00:02:56:21,"dazu blieben Fragen, kritisieren Verbaende."
00:02:57:08,00:03:01:07,Bisher konzentriert sich die Foerderung auf Eigenheime.
00:03:01:11,00:03:05:10,Wir sind in Deutschland ein Vermieter- und Mieterland.
00:03:05:20,00:03:09:14,Da braucht's noch ein Nachsteuern in der Foerderung.
00:03:09:19,00:03:13:12,"Ich rufe die Bundesregierung auf, hier nachzuarbeiten."
00:03:13:23,00:03:17:14,Fuer die Mieter im Genossenschaftsbau in Regensburg
00:03:17:18,00:03:21:11,sollen die Wohnungen nach der Sanierung bezahlbar sein.
00:03:22:09,00:03:26:02,Der Streit um das Gesetz scheint erst mal vorbei.
00:03:26:07,00:03:28:08,Aber die Kritik reisst nicht ab
00:03:28:12,00:03:31:09,und die Verunsicherung in der Bevoelkerung bleibt.
00:03:31:12,00:03:35:22,"Diskutiert wird, ob die Foerderung fuer den Heizungstausch reicht"
00:03:36:01,00:03:38:08,und ob es die Richtigen bekommen.
00:03:39:17,00:03:41:17,Energieberater koennen helfen
00:03:41:21,00:03:44:10,bei Fragen zu Folgen des Heizungsgesetzes.
00:03:44:12,00:03:46:00,"Der Verband begruesst,"
00:03:46:02,00:03:49:05,dass es fuer Eigentuemer Planungssicherheit gebe.
00:03:49:09,00:03:52:11,"Kritisch sehen Energieberater, dass Gasheizungen"
00:03:52:15,00:03:56:10,laenger eingebaut werden duerfen als urspruenglich geplant.
00:03:58:01,00:04:01:14,Ein letzter Check von Energieberater Olaf Ebling.
00:04:01:18,00:04:04:10,Alles in allem ist das ordentlich.
00:04:04:24,00:04:08:02,Ab dem Winter heizt Reiner Nier in Weinheim
