Timecode In,Timecode Out,Subtitle
00:00:19:05,00:00:22:15,Hier ist das Erste Deutsche Fernsehen mit den tagesthemen.
00:00:22:22,00:00:26:16,Diese Sendung wurde vom NDR live untertitelt (01.04.2023)
00:00:30:05,00:00:31:06,Guten Abend.
00:00:31:08,00:00:34:19,Bei mir fuer die Nachrichten ist Judith Rakers.
00:00:34:20,00:00:36:15,Und fuer den Sport Julia Buechler.
00:00:36:17,00:00:37:17,Guten Abend.
00:00:38:07,00:00:40:20,Bei ihrer Marathonsitzung Anfang der Woche
00:00:40:22,00:00:44:12,hatten die Ampel-Koalitionaere vieles besprochen und beschlossen.
00:00:44:14,00:00:47:15,"Ein zentraler Punkt jedoch, der Millionen Haushalte"
00:00:47:17,00:00:50:19,"in Deutschland interessiert hatte, war vage geblieben."
00:00:52:06,00:00:55:11,Und zwar die Frage: Was kommt auf uns beim Heizen zu?
00:00:55:13,00:00:58:24,Welche Pflichten gibt es beim Austausch von alten Heizungen?
00:00:59:01,00:01:02:12,Welche Ausnahmeregelungen gibt es fuer ÈOl- und Gas-Heizungen?
00:01:02:14,00:01:04:20,Ab wann gilt welche gesetzliche Vorgabe?
00:01:05:02,00:01:08:11,"Details, die die Regierung ueberwiegend geklaert hat."
00:01:08:13,00:01:11:15,Einzelheiten und Reaktionen auf die Kompromisse
00:01:11:17,00:01:13:12,fasst Cosima Gill zusammen.
00:01:15:19,00:01:18:18,In den naechsten Jahren muss umgeruestet werden.
00:01:18:20,00:01:21:06,Das ist Eigentuemern und Mietern klar:
00:01:21:08,00:01:24:16,Mehr als 80 % der Waerme stammt aus fossilen Energien.
00:01:24:18,00:01:26:06,Das soll sich aendern.
00:01:26:08,00:01:30:13,Heizungsbauer Konrad Proschmann gehen die Plaene der Ampel zu schnell.
00:01:31:23,00:01:34:09,Das ist ziemlich uebers Knie gebrochen.
00:01:34:11,00:01:36:13,Ab 2024 soll jede neue Heizung
00:01:36:15,00:01:40:01,mit 65 % erneuerbaren Energien betrieben werden.
00:01:41:24,00:01:47:17,Wir haben jetzt schon Wartezeiten fuer Heizungsumbau und -neubau
00:01:50:00,00:01:51:14,von bis zu 'nem Jahr.
00:01:52:04,00:01:55:11,Dafuer ist mit dem Kompromiss eine Austauschpflicht
00:01:55:13,00:01:58:08,fuer bestehende ÈOl- und Gasheizungen vom Tisch.
00:01:58:15,00:02:02:03,"Gehen alte Heizungen kaputt, koennen sie repariert werden."
00:02:02:05,00:02:04:20,"Geht das nicht mehr, gelten ÈUbergangsfristen."
00:02:05:01,00:02:09:02,"Vieles ist noch unklar, etwa, wie die Buerger entlastet werden."
00:02:09:16,00:02:13:03,"Klar ist, dass ueber 80-Jaehrige nicht umsteigen muessen."
00:02:13:10,00:02:17:11,"Aber die Ausnahmen reichen nicht, sagt der Sozialverband Deutschland."
00:02:17:18,00:02:19:02,"Wir fordern,"
00:02:19:04,00:02:23:02,dass mehr Parameter angewendet werden als nur eine Altersgrenze.
00:02:23:04,00:02:26:03,"Etwa die Betreuung von Pflegebeduerftigen,"
00:02:26:05,00:02:30:01,"finanzielle Moeglichkeiten, Betreuung pflegebeduerftiger Kinder."
00:02:30:03,00:02:32:24,Auch die Opposition moechte mehr Klarheit.
00:02:33:09,00:02:36:12,"Sie laesst die Menschen mit der Sorge allein,"
00:02:36:14,00:02:39:04,wie sie die Kosten schultern sollen.
00:02:39:06,00:02:42:18,"Nach monatelangem Streit, 30 Stunden Koalitionsausschuss,"
00:02:42:19,00:02:44:16,gibt es kein Gesamtkonzept.
00:02:44:18,00:02:48:20,Ein Gesamtkonzept will die Ampel im April im Kabinett verabschieden.
00:02:48:22,00:02:51:11,Auch ein Foerderprogramm ist geplant.
00:02:51:13,00:02:54:15,"Die FDP feiert sich fuer die ""Technologieoffenheit""."
00:02:54:21,00:02:59:00,"Es wird weiterhin moeglich sein, mit Wasserstoff zu heizen."
00:02:59:02,00:03:03:03,Man kann eine Gasheizung umruesten und dann mit Wasserstoff heizen.
00:03:03:05,00:03:05:01,Das ist Technologieoffenheit.
00:03:05:07,00:03:09:22,"Die Gruenen unterstuetzen den Wunsch der FDP, zweifeln aber den Nutzen an:"
00:03:10:00,00:03:14:05,"Es gibt Ausnahmen, wenn das Netz ausgerichtet wird auf Wasserstoff."
00:03:14:07,00:03:17:04,"Ich glaube nicht, dass sich das durchsetzen wird,"
00:03:17:06,00:03:20:02,weil es nicht die effizienteste Variante ist.
00:03:20:04,00:03:22:17,Am effizientesten werden Waermepumpen sein.
00:03:22:19,00:03:25:10,Die Waermepumpe wird in den kommenden Jahren
00:03:25:12,00:03:28:01,wohl in Tausenden Haushalten eingebaut.
00:03:28:03,00:03:31:03,"Heizungsbauer Proschmann hat schon viele Anfragen,"
00:03:31:05,00:03:33:04,damit verbunden auch Sorgen.
00:03:33:10,00:03:37:19,"Die Waermepumpen laufen mit Strom, gerade hier im Osten mit Kohlestrom."
00:03:38:07,00:03:42:19,"Das ist ein Problem, dass fuer jeden Haushalt"
00:03:43:22,00:03:46:18,dann 'ne Waermepumpe und ein Elektroauto ...
00:03:47:15,00:03:50:22,Das ist eine Herausforderung fuer unsere Gesellschaft.
00:03:52:23,00:03:55:09,"Was da auf Hausbesitzer genau zukommt,"
00:03:55:11,00:03:58:17,haben wir zusammengefasst auf tagesschau.de.
00:04:03:17,00:04:06:13,Am letzten Wochenende hatten sich die Proteste
00:04:06:15,00:04:08:12,und Demonstrationen zugespitzt.
00:04:08:14,00:04:12:14,Ministerpraesident Netanjahu sprach von der Gefahr eines Buergerkriegs
00:04:12:16,00:04:15:23,und verschob seine umstrittene Justiz-Reform erst mal.
00:04:16:00,00:04:18:12,"Doch wenn Israels Regierungschef hoffte,"
00:04:18:14,00:04:20:22,"damit Druck von der Strasse zu nehmen,"
00:04:20:24,00:04:23:06,wurde er heute eines besseren belehrt.
00:04:23:13,00:04:27:05,"Denn gegen das Vorhaben, hoechste Gerichtsurteile"
00:04:27:07,00:04:30:08,"ausser Kraft setzen zu koennen, gingen erneut Tausende"
00:04:30:10,00:04:32:15,auf die Strasse. Sophie von der Tann.
00:04:34:07,00:04:37:13,Amit Finkler geht seit drei Monaten auf die Strasse.
00:04:37:15,00:04:39:23,In Rechovot suedlich von Tel Aviv
00:04:40:00,00:04:43:12,demonstriert der Physiker gegen die geplante Justizreform.
00:04:43:20,00:04:47:07,Dass Premier Netanjahu einen voruebergehenden Stopp
00:04:47:09,00:04:50:03,"der Reform angekuendigt hat, reicht ihm nicht."
00:04:50:18,00:04:54:07,"Wir sehen, dass die Proteste was bewirken."
00:04:55:21,00:04:58:18,"Ich glaube, dass ohne diese Demonstrationen"
00:04:58:20,00:05:02:12,die Gesetze wie ein Blitz verabschiedet worden waeren.
00:05:07:06,00:05:10:21,Mit seinem Chor singt Amit die israelische Nationalhymne
00:05:10:23,00:05:13:00,"Hatikva, uebersetzt: Die Hoffnung."
00:05:14:00,00:05:15:15,"Sie alle hier hoffen,"
00:05:15:17,00:05:18:11,die Demokratie in Israel bewahren zu koennen.
00:05:21:18,00:05:25:21,In einem Monat tritt die Knesset nach einer Pause wieder zusammen.
00:05:25:23,00:05:29:18,Dann koennte die Reform trotz des Stopps verabschiedet werden.
00:05:30:06,00:05:33:09,"Sie wuerde dem Parlament ermoeglichen,"
00:05:33:11,00:05:36:11,Entscheidungen des Obersten Gerichts auszuhebeln.
00:05:36:13,00:05:41:01,Und der Regierung mehr Kontrolle ueber die Ernennung von Richtern geben.
00:05:41:17,00:05:45:18,"Die israelische Politikjournalistin Tal Schneider ist ueberzeugt,"
00:05:45:20,00:05:49:19,Netanjahu verfolge mit dem Umbau der Justiz persoenliche Ziele.
00:05:49:21,00:05:52:19,Er steht wegen Korruptionsvorwuerfen vor Gericht.
00:05:53:18,00:05:56:06,Er will seine eigenen Richter auswaehlen.
00:05:56:12,00:05:59:11,"Das ist ein Merkmal einer Art Diktatur,"
00:05:59:13,00:06:02:19,"wenn Regierende aussuchen koennen, wer ueber sie richtet."
00:06:03:24,00:06:06:22,"Netanjahu sei so schwach wie noch nie,"
00:06:06:24,00:06:09:09,die Zukunft seiner Koalition ungewiss.
00:06:12:01,00:06:14:06,Im Wahlkampf versprach er Stabilitaet.
00:06:14:13,00:06:18:08,"Seit er Ende Dezember 2022 ins Amt kam, gibt es keine."
00:06:20:01,00:06:22:10,Das Land war noch nie so instabil.
00:06:26:18,00:06:30:07,Eine Chance auf einen Kompromiss sieht Tal Schneider nicht.
00:06:30:16,00:06:32:23,Die Befuerworter beharren auf Reformen.
00:06:33:06,00:06:36:05,"Die Gegner wie hier am Abend in Tel Aviv wollen,"
00:06:36:07,00:06:38:15,dass die Reformen vom Tisch kommen.
00:06:38:17,00:06:41:16,Auch Amit aus Rechovot demonstriert in Tel Aviv.
00:06:41:23,00:06:46:12,Wir wollen fuer unsere Werte kaempfen und das Israel ein Ort fuer alle ist:
00:06:47:08,00:06:51:03,"Araber, Ultraorthodoxe, Orthodoxe, Saekulare Ð alle."
00:06:54:07,00:06:58:15,Der voruebergehende Stopp der Plaene Netanjahus stellt sie nicht ruhig.
00:06:58:17,00:07:00:14,Die Demonstrationen gehen weiter.
00:07:00:22,00:07:05:05,Es ist eine der schwersten Krisen in der Geschichte des Landes.
00:07:06:23,00:07:10:15,"Weitere Nachrichten vom Tage nun mit dir, Judith."
00:07:10:17,00:07:14:07,Die beginnen mit einer Tarifeinigung in der Textilbranche.
00:07:15:03,00:07:18:08,Die Tarifpartner der Textil- und Bekleidungsindustrie
00:07:18:10,00:07:22:10,einigten sich auf einen Abschluss fuer die etwa 100.000 Beschaeftigten.
00:07:22:12,00:07:25:10,"Sie erhalten ab Oktober 4,8 % mehr Geld"
00:07:25:13,00:07:28:08,"und weitere 3,3 % ab September 2024."
00:07:30:03,00:07:33:18,Dazu gibt es eine steuer- und abgabenfreie Praemie
00:07:33:20,00:07:37:00,zum Inflationsausgleich in Hoehe von 1500 Euro.
00:07:37:20,00:07:40:24,Die Laufzeit des Vertrages betraegt 24 Monate.
00:07:42:16,00:07:46:12,Papst Franziskus ist aus dem Krankenhaus entlassen worden.
00:07:46:14,00:07:48:24,Nach dreitaegiger stationaerer Behandlung
00:07:49:01,00:07:52:19,"wegen einer Bronchitis gehe es dem 86-Jaehrigen deutlich besser,"
00:07:52:21,00:07:54:03,so der Vatikan.
00:07:54:05,00:07:57:22,Nach seiner Entlassung traf Franziskus heute gut gelaunt
00:07:57:24,00:07:59:24,auf Passanten und Journalisten.
00:08:00:01,00:08:03:04,Morgen soll er wie geplant die Messe zum Palmsonntag
00:08:03:06,00:08:05:01,auf dem Petersplatz halten.
00:08:06:07,00:08:09:18,Bei schweren Stuermen und Tornados sind in den USA
00:08:09:20,00:08:12:18,mindestens 18 Menschen ums Leben gekommen.
00:08:12:20,00:08:15:01,Dutzende weitere wurden verletzt.
00:08:15:03,00:08:18:05,Besonders der Mittlere Westen und der Sueden des Landes
00:08:18:07,00:08:19:11,waren betroffen.
00:08:19:13,00:08:22:19,Die Unwetter zerstoerten Haeuser und entwurzelten Baeume.
00:08:22:21,00:08:26:03,Zehntausende Menschen waren zeitweise ohne Strom.
00:08:26:05,00:08:28:11,In Belvidere im Bundesstaat Illinois
00:08:28:13,00:08:32:06,stuerzte das Dach eines Theaters waehrend eines Konzertes ein.
00:08:33:14,00:08:38:00,Im Norden Norwegens wurden mehrere Gebiete nach Lawinen geraeumt.
00:08:39:00,00:08:42:12,Mindestens vier Menschen waren zuvor ums Leben gekommen.
00:08:42:14,00:08:45:10,Gestern wurde eine Touristengruppe in Tromsoe
00:08:45:12,00:08:47:16,von den Schneemassen erfasst.
00:08:47:18,00:08:50:22,Auf der Insel Reinoeya starben zwei Menschen.
00:08:50:24,00:08:54:20,Sie wurden von einer Lawine mitsamt einem Haus und einer Scheune
00:08:54:22,00:08:56:12,ins Meer gerissen wurden.
00:08:58:10,00:08:59:17,"Die Zeiten,"
00:08:59:19,00:09:03:15,"wo die Netze fuer Fischschwaerme nicht gross genug sein konnten,"
00:09:03:17,00:09:06:12,sind in vielen Teilen der Welt laengst vorbei.
00:09:06:14,00:09:09:15,Zunehmend bleiben Kutter der Kuestenfischer im Hafen.
00:09:09:17,00:09:13:11,Auch weil durch den Klimawandel die Gewaesser immer waermer werden
00:09:13:13,00:09:17:02,und der begehrte Fang sich in kaelteren Gefilden wohler fuehlt.
00:09:17:04,00:09:20:21,"Nun wollen Wissenschaftler dafuer sorgen, dass man besser weiss,"
00:09:20:23,00:09:24:05,"wann es sich lohnt, trotzdem den Anker zu lichten."
