Timecode In,Timecode Out,Subtitle
00:04:28:22,00:04:32:07,Der Einsatz dauert an. Bis zum Abend blieb es ruhig.
00:04:34:06,00:04:36:04,Das EU-Treffen zur Asylpolitik
00:04:36:06,00:04:39:02,entfacht in Deutschland die Diskussion neu.
00:04:39:06,00:04:42:21,Die Kommission empfiehlt Vorpruefungen von Asylantraegen
00:04:43:00,00:04:44:16,an den EU-Aussengrenzen.
00:04:44:20,00:04:47:09,Regierungspolitiker von SPD und Gruenen
00:04:47:13,00:04:49:23,wollen diesen Vorschlag mittragen.
00:04:50:02,00:04:54:04,Sie verlangen Ausnahmen fuer Familien mit Kindern und Jugendliche.
00:04:54:08,00:04:56:05,FDP und CDU lehnen das ab.
00:04:56:17,00:05:00:10,In einem offenen Brief kritisieren Prominente und Kuenstler:
00:05:00:14,00:05:04:01,"Die Regierung wuerde massiven Verschlechterungen zustimmen,"
00:05:04:05,00:05:06:13,statt Verbesserungen voranzutreiben.
00:05:08:20,00:05:11:19,Die steigenden Umfragewerte fuer die AfD
00:05:11:23,00:05:15:14,sorgen weiter fuer Diskussionen ueber die Ursachen ausgeloest.
00:05:15:18,00:05:18:10,Die Union sieht im geplanten Heizungsgesetz
00:05:18:14,00:05:21:02,den Grund fuer die Staerke der Partei.
00:05:21:09,00:05:24:12,ÈAhnlich argumentiert SPD-Fraktionsvize Wiese.
00:05:24:23,00:05:29:08,Im aktuellen ARD-Deutschlandtrend kommen SPD und AfD auf 18 %.
00:05:30:19,00:05:34:09,"Die Geschaeftsfuehrerin der Gruenen-Fraktion, Mihalic,"
00:05:34:13,00:05:37:11,rief die Koalition zur Geschlossenheit auf.
00:05:38:09,00:05:41:15,Verunsicherung und Sorge vor teuren Investitionen:
00:05:41:19,00:05:46:06,"Fuer viele wirft das Heizungsgesetz mehr Fragen auf, als es beantwortet."
00:05:46:20,00:05:51:16,"Die guten Umfragewerte der AfD, gleichauf mit der SPD auf Platz zwei,"
00:05:51:20,00:05:55:15,haengen auch mit dem nicht beschlossenen Gesetz zusammen.
00:05:55:19,00:05:59:09,So der stellvertretende SPD-Fraktionsvorsitzende Wiese.
00:05:59:13,00:06:02:17,"Ich glaube, Habeck ist sich bewusst, dass das Gesetz,"
00:06:02:19,00:06:06:08,"wie er sich es vorgestellt hat, nicht umsetzbar ist."
00:06:07:07,00:06:11:14,"Fuer viele Buergerinnen und Buerger auch, das sage ich deutlich,"
00:06:11:18,00:06:14:03,teils Empoerung hervorgerufen hat.
00:06:15:22,00:06:19:14,"Streit in der Bundesregierung, gegenseitige Schuldzuweisungen."
00:06:19:16,00:06:23:02,Im Bericht aus Berlin verteidigt der FDP-Generalsekretaer
