Timecode In,Timecode Out,Subtitle
00:00:19:11,00:00:23:03,Hier ist das Erste Deutsche Fernsehen mit den tagesthemen.
00:00:23:05,00:00:26:10,Diese Sendung wurde vom NDR live untertitelt (22.05.2023)
00:00:26:12,00:00:28:12,Heute im Studio: Helge Fuhst.
00:00:30:04,00:00:32:15,Herzlich willkommen zu den tagesthemen.
00:00:32:17,00:00:34:16,Einen guten Abend auch von mir!
00:00:34:18,00:00:37:02,Auf den Ruecktritt folgt ein Antritt.
00:00:37:04,00:00:40:04,Ein neuer Staatssekretaer im Wirtschaftsministerium
00:00:40:06,00:00:42:15,soll die Energiewende voranbringen.
00:00:42:16,00:00:46:01,"Philipp Nimmermann, gleich erfahren wir mehr ueber ihn."
00:00:46:23,00:00:50:01,Die Augen werden weiter auf ihn gerichtet sein.
00:00:50:03,00:00:52:11,Robert Habeck steht fuer die Energiewende
00:00:52:13,00:00:56:14,und den Kampf gegen den Klimawandel wie kein anderer in der Regierung.
00:00:56:16,00:01:00:01,"Er schaut auf die grossen Aufgaben, die weiter sind,"
00:01:00:03,00:01:03:00,vor allem nachdem Vertrauen verloren gegangen ist.
00:01:03:02,00:01:05:14,"Nicht nur das soll zurueckgewonnen werden,"
00:01:05:16,00:01:09:00,es duerfen sich auch handwerkliche Fehler nicht wiederholen.
00:01:09:02,00:01:12:22,Jeder zukuenftige Gesetzentwurf in der Energiewende muss sitzen
00:01:12:24,00:01:16:22,und zuerst die kritischen Reihen in der Ampel-Koalition ueberstehen.
00:01:16:24,00:01:21:04,Keine kleine Aufgabe fuer Habeck und seinen neuen Staatssekretaer.
00:01:23:10,00:01:27:02,Lob fuer den Wirtschaftsminister gab es schon lange nicht mehr.
00:01:27:04,00:01:29:23,"Robert Habeck versucht es mit Lob fuer andere,"
00:01:30:00,00:01:31:21,fuer seinen neuen Staatssekretaer.
00:01:31:23,00:01:35:14,Philip Nimmermann kommt vom hessischen Wirtschaftsministerium.
00:01:35:16,00:01:37:06,Er ist promovierter ÈOkonom.
00:01:37:08,00:01:38:10,Habeck kennt ihn
00:01:38:12,00:01:41:03,als Finanzstaatssekretaer in Schleswig-Holstein.
00:01:41:05,00:01:43:10,"Er ist ein erfahrener Verwaltungschef,"
00:01:43:12,00:01:45:22,seit vielen Jahren Staatssekretaer.
00:01:45:24,00:01:49:21,"Er ist ein Kenner von Energiemaerkten und ein guter ÈOkonom,"
00:01:49:23,00:01:54:04,der die Energiewende mit Leidenschaft bereichern wird.
00:01:55:13,00:01:59:17,Wichtig: Nimmermann hat keine bisher bekannten Verwandtschaften
00:01:59:19,00:02:01:16,ins Wirtschaftsministerium.
00:02:01:18,00:02:04:15,Mehr interessiert die Opposition heute nicht.
00:02:04:17,00:02:06:18,"Sie will kaum ueber den Neuen reden,"
00:02:06:20,00:02:10:11,stellt aber neue Forderungen zur Waermewende auf.
00:02:10:13,00:02:13:22,"Dass man Loesungen erarbeitet, die praxistauglich sind."
00:02:13:24,00:02:16:23,"Die von den Handwerkern umgesetzt werden koennen,"
00:02:17:00,00:02:18:21,die technologieoffen sind.
00:02:18:23,00:02:22:04,"Nicht diese Einseitigkeit mit der Waermepumpe,"
00:02:22:06,00:02:25:15,sondern die breiten Moeglichkeiten oekologischen Heizens.
00:02:25:17,00:02:29:05,"Kopfzerbrechen bereitet Habeck heute nicht die Union,"
00:02:29:07,00:02:33:18,"sondern sein Koalitionspartner FDP, der das Gesetz bremsen will."
00:02:36:20,00:02:40:11,Der Einstieg in den Ausstieg aus dem Verbrennen von ÈOl und Gas
00:02:40:13,00:02:42:04,sollte nun gegangen werden.
00:02:42:06,00:02:44:10,So ist es politisch vereinbart worden.
00:02:44:13,00:02:46:23,"So wie von uns Vertragstreue erwartet wird,"
00:02:47:00,00:02:49:23,erwarte ich das auch von den Koalitionspartnern.
00:02:50:00,00:02:52:19,Stattdessen legt die FDP heute noch einmal nach.
00:02:52:21,00:02:56:11,"Habecks Gesetz sei nicht beschlussreif, weil nicht durchdacht."
00:02:56:13,00:02:59:20,"Wenn man sich anschaut, was auf dem Tisch liegt,"
00:02:59:22,00:03:01:24,ist es eine grosse Baustelle.
00:03:03:09,00:03:05:11,"Ich kann mir nicht vorstellen,"
00:03:05:13,00:03:09:19,dass wir vor der Sommerpause ein Ergebnis erzielen koennen.
00:03:11:04,00:03:14:14,Neue Heizungen sollten fuer jeden bezahlbar sein.
00:03:14:16,00:03:18:00,"Sie muessten aber schnell kommen, sagt die SPD."
00:03:20:10,00:03:23:06,"Wenn wir klimaneutral werden wollen,"
00:03:23:08,00:03:26:10,muss die Waermewaende jetzt eingeleitet werden.
00:03:26:12,00:03:29:00,"Sie muss ambitioniert eingeleitet werden,"
00:03:29:02,00:03:32:15,weil man in den letzten 16 Jahren keinen Mut dazu hatte.
00:03:32:17,00:03:36:19,Beim Zeitplan bekommt Habeck Unterstuetzung im Koalitionskonflikt.
00:03:36:21,00:03:39:23,Den naechsten hat er schon vom Zaun gebrochen.
00:03:40:00,00:03:43:07,Zur Freude von Wirtschaft und Gewerkschaften
00:03:43:09,00:03:47:09,will er 2024 subventionierten Strom fuer die Industrie anbieten.
00:03:47:22,00:03:52:14,Das duerfte beim FDP-Finanzminister auf wenig Gegenliebe stossen.
00:03:55:03,00:03:59:16,Es gibt auch gute Nachrichten beim Strom- und Gaspreis fuer Verbraucher:
00:03:59:18,00:04:01:00,Sie sinken endlich!
00:04:01:03,00:04:04:10,Das hat das Verbraucherportal Verivox festgestellt.
00:04:04:12,00:04:07:20,Die Energiepreise auf dem Weltmarkt sind laengst gefallen
