Timecode In,Timecode Out,Subtitle
00:00:04:24,00:00:08:11,Hier ist das Erste Deutsche Fernsehen mit der tagesschau.
00:00:08:13,00:00:13:00,Diese Sendung wurde vom NDR live untertitelt (18.06.2023)
00:00:15:14,00:00:18:02,Heute im Studio: Constantin Schreiber.
00:00:18:09,00:00:21:06,"Guten Abend, ich begruesse Sie zur tagesschau."
00:00:22:02,00:00:27:04,Nach der ersten Bundestagslesung des Heizungsgesetzes gibt es Kritik
00:00:27:06,00:00:30:19,an den geplanten unterschiedlichen ÈUbergangsfristen.
00:00:31:05,00:00:35:04,So sehen sich groessere Staedte in Baden-Wuerttemberg benachteiligt.
00:00:35:06,00:00:37:18,Fuer sie wuerden die strengen Bestimmungen
00:00:37:20,00:00:41:03,zum Heizungsumbau schon ab 1. Januar 2024 gelten.
00:00:41:11,00:00:43:17,"Hintergrund ist, dass im Suedwesten"
00:00:43:19,00:00:46:19,die kommunale Waermeplanung zu diesem Zeitpunkt
00:00:46:20,00:00:48:11,abgeschlossen sein muss.
00:00:48:15,00:00:51:04,Sie ist massgeblich fuer die Verpflichtung
00:00:51:06,00:00:53:16,zum Einbau klimafreundlicher Heizungen.
00:00:53:18,00:00:58:02,In anderen Bundeslaendern haben Kommunen bis 2028 Zeit.
00:01:00:02,00:01:03:12,Mit diesem Solarpark werden im thueringischen Muehlhausen
00:01:03:14,00:01:07:04,rund 400 Haushalte per Fernwaerme klimaneutral beheizt.
00:01:07:08,00:01:10:18,Doch nicht in der ganzen Stadt ist Fernwaerme die Loesung.
00:01:10:20,00:01:11:21,"Wo genau,"
00:01:11:23,00:01:15:11,soll im Rahmen der kommunalen Waermeplanung ermittelt werden.
00:01:15:13,00:01:16:17,"Dann weiss man,"
00:01:16:18,00:01:19:08,welche Leitungen man wo reinlegen kann.
00:01:19:16,00:01:23:02,Welche Energietraeger in die Strassen gelegt werden.
00:01:23:04,00:01:26:19,"Dass man als Kommune weiss, wie es weitergehen soll."
00:01:27:10,00:01:31:07,"Bis 2028 sollen alle Kommunen eine Waermeplanung machen,"
00:01:31:16,00:01:34:20,so will es der Ampel-Kompromiss zum Heizungs-Gesetz.
00:01:34:22,00:01:38:04,"Erst wenn eine Kommune ihre Waermeplanung vorgelegt hat,"
00:01:38:06,00:01:42:02,gilt dort die Pflicht zum Einbau einer klimafreundlichen Heizung.
00:01:42:04,00:01:44:09,"Das sei unfair, so Baden-Wuerttemberg."
00:01:44:11,00:01:47:05,Dort muessen groessere Kommunen nach Landesvorgabe
00:01:47:07,00:01:50:07,schon bis Ende 2023 die Waermeplanung fertig haben.
00:01:51:12,00:01:53:01,"Unsere Buerger muessen,"
00:01:53:04,00:01:55:22,"weil wir die Waermeplanung abgeschlossen haben,"
00:01:55:24,00:01:59:04,vielleicht ab dem 01.01. strengere Regeln einhalten.
00:01:59:06,00:02:01:23,Vielleicht schon frueher in die Finanzierung
00:02:02:00,00:02:05:08,"ihrer neuen Waermepumpe, Heizanlage gehen."
00:02:08:12,00:02:11:24,Im ARD Bericht aus Berlin fordert der Ministerpraesident
00:02:12:01,00:02:13:16,"von Badem-Wuerttemberg,"
00:02:13:18,00:02:17:08,die Laender in die Beratungen zum Heizungsgesetz einzubinden.
00:02:17:10,00:02:22:16,"Ich kann dem Bund nur raten, das jetzt mit uns zu besprechen."
00:02:22:18,00:02:26:19,Und nicht selber was zu machen und uns unter Zeitdruck zu sagen:
00:02:26:21,00:02:29:04,Jetzt muesst ihr schnell zustimmen.
00:02:29:15,00:02:33:03,"Kretschmann laesst offen, ob das Gesetz vor der Sommerpause"
00:02:33:05,00:02:35:13,im Bundesrat verabschiedet werden kann.
00:02:36:16,00:02:39:03,"Das Heizungsgesetz ist eines der Themen,"
00:02:39:05,00:02:42:19,zu dem Anne Will Wirtschaftsminister Habeck befragt.
00:02:42:21,00:02:45:03,Um 21.45 Uhr hier im Ersten.
00:02:47:19,00:02:50:21,Die Bundeslaender haben 2022 deutlich mehr Faelle
00:02:50:24,00:02:54:01,von haeuslicher Gewalt gemeldet als 2021.
00:02:55:00,00:02:58:03,"Das berichtet die ""Welt am Sonntag"" und beruft sich"
00:02:58:05,00:03:00:15,auf die Innenministerien der Laender.
00:03:00:17,00:03:04:15,Demnach wurden 2022 fast 180.000 Faelle registriert.
00:03:05:12,00:03:08:04,Zwei Drittel der Opfer seien Frauen.
00:03:08:09,00:03:11:13,"Dem Bericht zufolge sind die Taeter meist Partner,"
00:03:11:15,00:03:13:23,Ex-Partner oder Familienangehoerige.
00:03:15:06,00:03:19:03,Laut Welt am Sonntag haben die Anzeigen wegen haeuslicher Gewalt
00:03:19:05,00:03:20:22,um knapp 10 % zugenommen.
