Timecode In,Timecode Out,Subtitle
00:00:18:21,00:00:22:05,Hier ist das Erste Deutsche Fernsehen mit den tagesthemen.
00:00:22:07,00:00:26:00,Diese Sendung wurde vom NDR live untertitelt (13.06.2023)
00:00:26:02,00:00:29:05,Heute im Studio: Caren Miosga und Julia-Niharika Sen.
00:00:29:23,00:00:32:23,Und die sagen beide: willkommen. Guten Abend.
00:00:33:08,00:00:35:04,Endlich kann es losgehen.
00:00:35:06,00:00:38:08,"Der Abschied von ÈOl- und Gasheizungen wird kommen,"
00:00:38:10,00:00:40:13,aber es ist ein Abschied auf Raten.
00:00:41:13,00:00:42:18,Am fruehen Abend
00:00:42:20,00:00:46:22,brachte das Ampelbuendnis ihn quasi im letzten Moment auf den Weg.
00:00:46:23,00:00:49:20,Damit sich der Streit um das Gebaeudeenergiegesetz
00:00:49:22,00:00:54:01,"nicht ueber den Sommer zieht, musste sich die Koalition heute einigen."
00:00:54:03,00:00:58:14,Unter groessten Muehen und nach einem quaelend langen Streit.
00:00:58:19,00:01:02:20,"Die Gruenen wollten Vollgas geben, die Gelben und Roten bremsten aber."
00:01:02:22,00:01:04:00,Nun kam heraus:
00:01:04:02,00:01:07:21,"Die Deutschen bekommen mehr Zeit, die alte Heizung auszutauschen."
00:01:07:23,00:01:10:06,Fuer viele gilt das Gesetz erst ab 2028.
00:01:10:08,00:01:13:11,Neben der Waermepumpe sind mehr Technologien moeglich.
00:01:13:13,00:01:16:18,Hausbesitzer und Mieter werden vor zu grossen
00:01:16:20,00:01:19:00,finanziellen Belastungen geschuetzt.
00:01:19:04,00:01:20:09,Daniel Pokraka.
00:01:22:04,00:01:25:05,Es ist ein Tag der Wahrheit fuer Robert Habeck.
00:01:28:19,00:01:32:16,Am fruehen Morgen Habeck auf dem Weg zu einer Konferenz.
00:01:37:12,00:01:45:16,"Wenn man will, kann man zueinander kommen. Aber man muss es wollen."
00:01:50:03,00:01:51:14,Er geht dann rein.
00:01:51:22,00:01:55:08,Bald gehoert seine Aufmerksamkeit dem Smartphone.
00:01:56:22,00:01:59:24,Vielleicht eine Standleitung zur Gruenen-Fraktion.
00:02:05:12,00:02:07:11,Dann ab zum naechsten Termin.
00:02:09:16,00:02:13:22,"Vielleicht weiss habe, dass er von hier aus nicht viel ausrichten kann."
00:02:14:16,00:02:19:08,Dritter Termin: Neue Gastgeber und das Heizungsgesetz im Hinterkopf.
