Timecode In,Timecode Out,Subtitle
00:00:04:14,00:00:08:01,Hier ist das Erste Deutsche Fernsehen mit der tagesschau.
00:00:08:06,00:00:12:18,Diese Sendung wurde vom NDR live untertitelt (14.07.2023)
00:00:15:03,00:00:17:11,Heute im Studio: Susanne Daubner.
00:00:18:06,00:00:21:22,"Guten Abend, ich begruesse Sie zur tagesschau."
00:00:22:22,00:00:26:19,Zwei Jahre nach der Flutkatastrophe in Rheinland-Pfalz und NRW
00:00:26:21,00:00:30:19,wurde heute der Opfer und Betroffenen erinnert.
00:00:32:15,00:00:35:14,Der Wiederaufbau dauert bis heute an.
00:00:36:11,00:00:40:15,In der Nacht zum 15. Juli 2021 wurden nach Starkregen
00:00:41:15,00:00:45:06,in NRW und Rheinland-Pfalz ganze Regionen ueberflutet.
00:00:45:08,00:00:47:07,ÈUber 180 Menschen starben.
00:00:48:09,00:00:53:17,Am schwersten traf es im Ahrtal Bad Neuenahr-Ahrweiler und Altenahr.
00:00:55:10,00:00:58:12,Im Ahrtal gedenken sie der Opfer der Flutkatastrophe
00:00:58:14,00:01:00:05,und deren Angehoerigen.
00:01:01:16,00:01:05:05,Eine Botschaft auf der Veranstaltung zum zweiten Jahrestag:
00:01:05:07,00:01:07:05,Niemand werde alleingelassen.
00:01:07:10,00:01:09:14,"Allen, deren Leben durch die Flut"
00:01:09:16,00:01:13:24,"einen tiefen Einschnitt erfahren hat, verspricht der heutige Tag:"
00:01:14:01,00:01:16:05,Wir sind und bleiben an eurer Seite.
00:01:16:07,00:01:18:19,Niemand ist und niemand wird vergessen.
00:01:19:06,00:01:23:20,Die Spuren der Flutkatastrophe praegen noch immer das Bild vor Ort.
00:01:24:13,00:01:27:20,Das Ahrtal gleicht einer einzigen riesigen Baustelle.
00:01:27:22,00:01:29:15,"Noch immer gibt es Menschen,"
00:01:29:17,00:01:32:17,die noch nicht in ihre Haeuser zurueckkehren koennen.
00:01:32:19,00:01:36:01,"Ingo Poppelreuter streitet mit seiner Versicherung,"
00:01:36:13,00:01:40:13,ob sein Haus saniert werden kann oder ob es abgerissen werden muss.
00:01:40:15,00:01:42:16,Fuer mich ist es schwer zermuerbend.
00:01:42:18,00:01:43:22,Macht muede.
00:01:43:24,00:01:46:00,Immer Anwalt und Schreiben.
00:01:46:15,00:01:50:17,Die Flut hatte im Ahrtal fuer massive Zerstoerungen gesorgt.
00:01:50:19,00:01:52:17,Seitdem hat sich viel getan.
00:01:52:22,00:01:57:01,"Geschaefte haben wieder geoeffnet, digitale Sirenen wurden installiert,"
00:01:57:03,00:01:58:23,es wird Glasfaser verlegt.
00:01:59:06,00:02:01:20,"Es gibt aber auch viele ÈUbergangsloesungen,"
00:02:01:22,00:02:04:24,zum Beispiel provisorische Klaeranlagen und Bruecken.
00:02:09:18,00:02:11:24,Wir stehen hier an einer Behelfsbruecke.
00:02:12:01,00:02:14:01,Die muss noch ausgetauscht werden.
00:02:14:03,00:02:16:08,Es ist noch viele Jahre was zu machen.
00:02:16:11,00:02:20:02,Aber wir sehen grosse und kleine Fortschritte an vielen Stellen.
00:02:20:04,00:02:23:14,Diese Fussgaengerbruecke wurde durch die Flut weggerissen.
00:02:23:16,00:02:26:06,"Vielleicht bleibt sie fuer immer hier liegen,"
00:02:26:08,00:02:28:10,als Mahnmal und Ort des Gedenkens.
00:02:29:15,00:02:30:21,Der Plan steht:
00:02:30:23,00:02:34:05,"In Heimerzheim in NRW will Familie Kronberg genau dort,"
00:02:34:07,00:02:36:21,"wo ihr Haus zerstoert wurde, neu aufbauen."
00:02:37:00,00:02:41:05,"Direkt neben der Swist, die vor zwei Jahren zum reissenden Strom wurde."
00:02:41:07,00:02:43:24,Doch sie kaempfen schon lange um die Gelder.
00:02:44:22,00:02:47:00,Wir muessen Energie haben.
00:02:47:02,00:02:50:03,Weil wir uns nicht unterkriegen lassen.
00:02:50:05,00:02:52:16,Aber das kostet viel Energie.
00:02:53:14,00:02:55:07,"Fuer den Bau eines Hauses,"
00:02:55:09,00:02:57:22,das einem Hochwasser standhalten soll.
00:02:57:24,00:03:00:10,Mit dickeren Waenden und ohne Keller.
00:03:01:08,00:03:04:20,"Die Kronbergs sind nicht die einzigen in den Flutgebieten,"
00:03:04:23,00:03:06:19,die genau dort wieder aufbauen.
00:03:06:21,00:03:09:00,"Viele Schaeden sind zwar beseitigt,"
00:03:09:02,00:03:11:18,Sorgen macht vielen aber der Hochwasserschutz.
00:03:11:20,00:03:13:13,"Da sei nicht viel passiert,"
00:03:13:15,00:03:16:10,kritisiert auch der Landrat im Kreis Euskirchen.
00:03:17:04,00:03:21:12,Konzepte retten keine Menschen und keine Infrastruktur.
00:03:21:14,00:03:24:22,Wir muessen in Sofortmassnahmen einsteigen.
00:03:24:24,00:03:27:07,Die wurden mit den Konzepten erdacht.
00:03:27:09,00:03:29:03,Aber es ist nicht klar:
00:03:29:05,00:03:32:06,"Was ist Hochwasserschutz, was ist Starkregen?"
00:03:32:07,00:03:35:19,"Es gibt unterschiedliche Foerderungen, zum Teil gar keine."
00:03:36:08,00:03:39:15,"Weniger Buerokratie, schnellere Genehmigungsverfahren:"
00:03:39:17,00:03:42:03,Das wuenschen sich viele Kommunalpolitiker
00:03:42:05,00:03:43:19,von der Landesregierung.
00:03:43:21,00:03:45:07,"Es wird Jahre dauern,"
00:03:45:09,00:03:47:19,bis weitere Rueckhaltebecken gebaut sind.
00:03:47:21,00:03:51:21,"Schnell helfen sollen Sirenen, Warn-Apps oder auch Starkregenkarten,"
00:03:51:23,00:03:54:05,um sich auf Katastrophen vorzubereiten.
00:03:54:08,00:03:56:23,Denn Klimaexpertinnen und -experten warnen:
00:03:57:00,00:04:00:08,Extremwetterereignisse koennten haeufiger auftreten.
00:04:02:21,00:04:04:00,Der Kanzler
00:04:04:01,00:04:07:21,hat sich vor seinem Urlaub den Fragen von Journalisten gestellt.
00:04:07:23,00:04:11:14,Zum zweiten Mal war er Gast der Sommer-Pressekonferenz
00:04:11:16,00:04:14:07,vom Verein der Hauptstadtjournalisten.
00:04:14:12,00:04:18:02,"Dort muss er Fragen beantworten, die er vorher nicht kennt."
00:04:18:04,00:04:19:08,"Scholz raeumte ein,"
00:04:19:10,00:04:23:05,er haette sich in der Ampelkoalition weniger Konflikte gewuenscht.
00:04:23:07,00:04:26:07,Die Regierungspolitik sei aber richtig.
00:04:28:00,00:04:31:06,"Im Fokus vor versammelter Presse heute ein Kanzler,"
00:04:31:08,00:04:33:24,der sich besonders gelassen gibt.
00:04:35:00,00:04:36:09,"Etwa bei der Frage,"
00:04:36:11,00:04:39:08,wie die Gesellschaft wieder geeint werden kann.
00:04:40:04,00:04:42:22,Man muss sich einmal klarmachen:
00:04:44:22,00:04:48:10,"Der Konsens, der Kompromiss, das Fuenfe gerade sein lassen,"
00:04:48:12,00:04:51:15,"ist ein guter Weg, Deutschland nach vorne zu bringen."
00:04:51:23,00:04:53:02,Auf Gelassenheit
00:04:53:04,00:04:56:17,setzt er auch im Umgang mit den hohen Umfragewerten der AfD.
00:04:57:17,00:05:01:01,"Ich glaube, dass die AfD bei der naechsten Bundestagswahl"
00:05:01:03,00:05:03:20,aehnlich abschneiden wird wie bei der letzten.
00:05:04:05,00:05:06:08,In der jaehrlichen Sommerkonferenz
00:05:06:10,00:05:09:06,beantwortet der Kanzler eine Vielzahl an Fragen.
00:05:09:08,00:05:12:08,Von der China-Strategie bis hin zu den Verwerfungen
00:05:12:10,00:05:15:06,"in der Ampel-Koalition, etwa beim Heizungsstreit."
00:05:15:12,00:05:18:07,"Dass da so laut diskutiert wird,"
00:05:18:12,00:05:21:15,gefaellt weder mir noch jemanden sonst.
00:05:22:08,00:05:25:14,Weniger laute Diskussionen gibt es beim Thema Ukraine
00:05:25:16,00:05:28:21,"und der Bereitschaft, das Land weiter zu unterstuetzen."
00:05:28:23,00:05:31:22,"Wenngleich Scholz, gefragt nach der Streumunition,"
00:05:31:23,00:05:33:00,eine Grenze zieht.
00:05:33:18,00:05:37:15,"Hier hat die amerikanische Regierung eine Entscheidung getroffen,"
00:05:37:17,00:05:39:00,die nicht unsere ist.
00:05:39:05,00:05:42:16,"Scholz laesst keinen Zweifel, dass er weiter regieren will,"
00:05:42:18,00:05:44:23,auch nach der naechsten Bundestagswahl.
00:05:45:04,00:05:49:17,* Ihre Regierungszeit ist in gut zwei Jahren eventuell vorbei ... *
00:05:50:00,00:05:51:05,Noe.
00:05:51:23,00:05:55:23,Mit der Pressekonferenz heute beginnt die offizielle Sommerpause.
00:05:56:00,00:05:58:16,In die startet der Kanzler getreu seinem Motto
00:05:58:18,00:06:00:05,mit viel Gelassenheit.
00:06:01:19,00:06:04:07,"Mitglieder der Gruppe ""Letzte Generation"""
00:06:04:09,00:06:07:04,haben ihre Blockade-Aktionen fortgesetzt.
00:06:07:22,00:06:11:22,"Sie klebten sich auf Strassen fest, um gegen die ihrer Ansicht nach"
00:06:11:24,00:06:14:24,unzureichende Klimapolitik zu protestieren.
00:06:15:20,00:06:19:06,Sie trugen Masken von Kabinettsmitgliedern
