Timecode In,Timecode Out,Subtitle
00:00:18:19,00:00:22:02,Hier ist das Erste Deutsche Fernsehen mit den tagesthemen.
00:00:22:04,00:00:25:23,Diese Sendung wurde vom NDR live untertitelt (31.03.2023)
00:00:26:00,00:00:28:23,Heute im Studio: Aline Abboud und Susanne Daubner.
00:00:29:19,00:00:33:04,"Willkommen zu den tagesthemen. Schoen, dass Sie dabei sind."
00:00:33:06,00:00:34:11,Guten Abend.
00:00:34:18,00:00:38:13,Darf man jetzt doch neue ÈOl- oder Gasheizungen einbauen ab 2024?
00:00:38:15,00:00:39:22,"Und wenn ja, welche?"
00:00:40:23,00:00:44:10,Der Koalitionsausschuss hatte sich Anfang dieser Woche
00:00:44:12,00:00:46:18,nach langem Streit darauf geeinigt:
00:00:46:20,00:00:49:20,"Ab 2024 soll ""moeglichst"" jede neu eingebaute Heizung"
00:00:49:22,00:00:51:17,zu mehr als die Haelfte
00:00:51:19,00:00:54:18,mit erneuerbaren Energien betrieben werden soll.
00:00:55:01,00:00:57:21,Es soll aber keine Pflicht zum Austausch geben.
00:00:58:05,00:01:00:18,Was heisst das fuer meine Heizung?
00:01:01:06,00:01:04:04,Darauf gibt es seit dem Abend einige Antworten.
00:01:04:06,00:01:07:06,"Demnach soll es eine umfassende Foerderung geben,"
00:01:07:08,00:01:09:06,Ausnahmen und ÈUbergangsfristen.
00:01:09:13,00:01:13:08,"Wenn im Winter etwa die Heizung nicht mehr zu reparieren ist,"
00:01:13:10,00:01:17:06,"darf kurzfristig wieder ein ÈOl- oder Gaskessel eingebaut werden,"
00:01:17:08,00:01:19:14,um nicht wochenlang frieren zu muessen.
00:01:19:16,00:01:21:12,Details von Kirsten Girschick.
00:01:22:16,00:01:25:13,Eine Waermepumpe soll in Zukunft der Regelfall
00:01:25:15,00:01:27:12,bei der Waermeversorgung sein.
00:01:27:14,00:01:30:14,Denn im Kern bleibt der Kompromiss der Ampel dabei:
00:01:30:16,00:01:32:15,Neue Heizungen sollen ab 2024
00:01:32:17,00:01:36:09,zu mindestens 65 % mit erneuerbaren Energien betrieben werden.
00:01:36:17,00:01:38:11,In der Regel gilt:
00:01:38:13,00:01:41:08,"Ist eine ÈOl- oder Gas-Heizung aelter als 30 Jahre,"
00:01:41:10,00:01:43:03,muss sie ausgetauscht werden.
00:01:43:10,00:01:45:05,Aber es gelten Ausnahmen:
00:01:45:07,00:01:48:04,"Wer zum Beispiel seit 2002 in seinem Haus wohnt,"
