Timecode In,Timecode Out,Subtitle
00:04:33:24,00:04:37:18,Heute trafen die Spitzenverbaende der deutschen Wohnungswirtschaft
00:04:37:21,00:04:40:01,in Berlin auf die Bundesregierung.
00:04:40:03,00:04:44:06,Die Bau-wirtschaft kritisiert unklare staatliche Foerderbedingungen
00:04:44:08,00:04:46:13,und zu lange Genehmigungsverfahren.
00:04:46:15,00:04:50:07,Im Gepaeck hatten die Bauherren aber auch Milliarden-Forderungen.
00:04:50:09,00:04:51:11,Justus Kliss.
00:04:51:14,00:04:53:19,Es ist ein bisschen wie im Unterricht:
00:04:53:21,00:04:56:04,"Sieben Verbaendevertreter lauschen einem,"
00:04:56:06,00:04:59:14,"der erklaert, was das groesste Problem beim Wohnungsbau ist:"
00:04:59:16,00:05:00:19,Die Baukosten.
00:05:00:21,00:05:04:20,"Beim Neubau von Wohnungen, wo der Mietwohnungsbau stattfindet,"
00:05:04:21,00:05:08:15,"werden Baukosten aufgerufen, die dazu fuehren:"
00:05:08:17,00:05:14:00,"Vermieter, egal ob Genossenschaft, kommunales Unternehmen,"
00:05:15:05,00:05:19:11,"oder freier Traeger muessen fuer mindestens 17,50 Euro vermieten."
00:05:20:01,00:05:23:11,Ein Preistreiber dabei: sehr hohe Standards beim Bau.
00:05:23:13,00:05:27:07,Vorgegeben durch komplizierte Bauvorschriften und Normen.
00:05:29:14,00:05:33:00,"Wir brauchen eine Regelung, die es ermoeglicht,"
00:05:33:08,00:05:37:08,dass Bauherren und Architekten von diesen Normen abweichen.
00:05:38:11,00:05:42:13,In den vergangen Jahren pendelte die Zahl fertiggestellter Wohnungen
00:05:42:15,00:05:44:13,zwischen 280.000 und 300.000.
00:05:44:23,00:05:47:18,2022 liegt die Schaetzung bei 280.000.
00:05:48:09,00:05:49:16,Zur Erinnerung:
00:05:49:18,00:05:53:02,Die Koalition wollte 400.000 Wohnungen im Jahr bauen.
00:05:53:04,00:05:56:02,"14,5 Mrd. Euro steckt die Bundesbauministerin"
00:05:56:04,00:05:59:01,bis 2026 in den sozialen Wohnungsbau.
00:05:59:03,00:06:01:18,Die Verbaende fordern deutlich mehr.
00:06:03:00,00:06:06:05,"Wir schlagen vor, ein Sondervermoegen zu schaffen."
00:06:06:07,00:06:09:09,ÈAhnlich wie bei der Bundeswehr ueber 50 Mrd. Euro.
00:06:09:11,00:06:13:12,Um in den naechsten drei Jahren die Sache nach vorne zu bringen.
00:06:14:01,00:06:17:18,Die Baugewerkschaft sorgt sich um die Arbeitsplaetze am Bau.
00:06:17:20,00:06:21:06,"Wenn Auftraegen fehlten, wuerden Fachkraefte abwandern."
00:06:21:16,00:06:25:11,"Ich befuerchte, dass ein ""Gastroeffekt"" eintritt."
00:06:25:21,00:06:28:20,Wie in der Pandemie in der Gastronomie:
00:06:28:22,00:06:32:05,Wenn die Leute wegen anderer Moeglichkeiten
00:06:32:07,00:06:36:10,"in andere Branchen wechseln, ist es schwer, sie zurueckzuholen."
