Timecode In,Timecode Out,Subtitle
00:00:18:21,00:00:22:06,Hier ist das Erste Deutsche Fernsehen mit den tagesthemen.
00:00:22:08,00:00:25:24,Diese Sendung wurde vom NDR live untertitelt (12.06.2023)
00:00:26:01,00:00:29:02,Heute im Studio: Caren Miosga und Julia-Niharika Sen.
00:00:29:09,00:00:33:03,"Eine neue Woche tagesthemen beginnt, schoen, dass Sie dabei sind."
00:00:33:05,00:00:34:12,Guten Abend.
00:00:34:18,00:00:38:04,Fuer viele moegen Jets am Himmel ueber Deutschland
00:00:38:07,00:00:40:12,heute befremdlich gewesen sein.
00:00:40:14,00:00:43:06,Laut war es mancherorts sicher auch:
00:00:43:15,00:00:46:24,Als 10.000 Soldatinnen und Soldaten aus 25 Nationen
00:00:47:01,00:00:51:06,eine nie dagewesene ÈUbung namens Air Defender begannen.
00:00:51:23,00:00:54:11,"Nicht, um Putin ein Signal zu senden,"
00:00:54:14,00:00:57:12,so beteuern es Politiker und Generaele.
00:00:58:11,00:01:00:19,Man wolle den Ernstfall proben.
00:01:01:00,00:01:03:20,Der aber ist nicht mehr utopisch -
00:01:03:22,00:01:06:20,"das wissen wir, seit Putin Krieg fuehrt."
00:01:07:06,00:01:10:22,"Das tat er im Osten der Ukraine auch schon 2018,"
00:01:11:01,00:01:13:20,als die Entscheidung zu dieser ÈUbung fiel.
00:01:13:23,00:01:15:07,Christina Harland.
00:01:16:16,00:01:19:01,Um 8 Uhr ging es in Wunstorf los -
00:01:19:03,00:01:22:04,mit dem Start des ersten A400m beim Manoever.
00:01:22:13,00:01:23:18,Der Fliegerhorst
00:01:23:20,00:01:27:16,ist das logistische Drehkreuz der ÈUbung Air Defender 2023.
00:01:27:24,00:01:31:22,"Von hier aus starten Fluege fuer die Luftbetankung der Kampfjets,"
00:01:32:01,00:01:35:05,aber auch fuer den Nachschub an die ÈUbungsstandorte.
00:01:35:10,00:01:38:17,23 NATO-Staaten und die Partner Japan und Schweden
00:01:38:19,00:01:41:21,proben den Buendnisfall im deutschen Luftraum.
00:01:43:17,00:01:48:08,"Mit Air Defender 2023 zeigen, beweisen und demonstrieren wir"
00:01:48:10,00:01:51:09,die Verteidigungsfaehigkeit dieses Buendnisses.
00:01:51:11,00:01:54:10,Diese ÈUbung ist gegen niemanden gerichtet.
00:01:54:12,00:01:57:16,Es ist ein Signal in die NATO hinein.
00:02:00:01,00:02:03:23,"Es sind ueberwiegend NATO-Staaten, die an dieser ÈUbung teilnehmen,"
00:02:04:00,00:02:05:12,die deutsch gefuehrt ist.
00:02:05:14,00:02:07:09,"Dass wir in der Lage sind,"
00:02:07:11,00:02:10:02,dieses Land und dieses Buendnis zu verteidigen.
00:02:10:04,00:02:13:13,Am Wochenende: Demo vor der Hauptwache des Fliegerhorsts.
00:02:13:15,00:02:14:18,Die Kritik:
00:02:14:20,00:02:18:17,Die NATO provoziere Russland mit der Grossuebung mitten in Europa.
00:02:18:19,00:02:21:05,Der Appell: Diplomatie statt Waffen.
00:02:21:06,00:02:22:11,Andere Meinungen
00:02:22:13,00:02:26:07,hoert man ein paar Kilometer weiter in der Innenstadt von Wunstorf.
00:02:27:12,00:02:29:05,Ich finde es noetig.
00:02:30:23,00:02:33:07,"Gut finde ich nichts Militaerisches,"
00:02:33:09,00:02:36:14,"und es waere schoen, wenn wir das nicht braeuchten."
00:02:36:16,00:02:40:07,"Aber es sieht aus, als waere das wieder wichtiger geworden."
00:02:40:09,00:02:42:13,Wer soll uns sonst verteidigen?
00:02:42:16,00:02:47:04,"Alle meckern nur rum, aber wenn's zur Tatsache kommt, denn sagen se:"
00:02:47:07,00:02:48:19,"""Ich doch nicht."""
00:02:50:03,00:02:54:13,"Wenn mal ein Flieger tiefer fliegt, ist das lauter wie sonst."
00:02:55:07,00:02:57:19,"Wir leben damit, das gehoert dazu."
00:02:58:21,00:03:03:07,"Geuebt wird in drei Zonen Ð im Norden, im Osten und im Sueden Deutschlands."
00:03:03:14,00:03:05:19,Insgesamt ein gewaltiger Aufwand:
00:03:05:22,00:03:09:12,"250 Maschinen, fast 10.000 Soldatinnen und Soldaten."
00:03:10:10,00:03:13:04,"Als Wehrbeauftragte verfolge ich ganz genau,"
00:03:13:06,00:03:14:23,wie diese ÈUbung ablaeuft.
00:03:15:01,00:03:18:20,"Ich kann schon heute von meinen ersten Eindruecken sagen,"
00:03:18:22,00:03:21:01,dass ich sehr beeindruckt bin.
00:03:21:10,00:03:24:05,"Von der Professionalitaet, der Kreativitaet,"
00:03:24:08,00:03:27:03,von der Ernsthaftigkeit und dem Engagement.
00:03:27:11,00:03:33:11,"Die ÈUbung ist ein gutes Zeichen, dass wir einsatzbereit sind."
00:03:34:13,00:03:38:06,Eine so grosse gemeinsame Luftwaffenuebung gab es noch nie.
00:03:38:08,00:03:41:08,Noch nie wurden so viele Flugzeuge aus den USA
00:03:41:10,00:03:45:11,in so kurzer Zeit nach Europa verlegt Ð 100 sind es.
00:03:45:13,00:03:47:16,Die Gewerkschaft der Fluglotsen
00:03:47:18,00:03:50:14,hatte Chaos im zivilen Luftverkehr befuerchtet.
00:03:50:17,00:03:52:15,Das ist bislang ausgeblieben.
00:03:52:17,00:03:55:16,Das Manoever laeuft noch bis zum 23. Juni.
00:03:57:09,00:03:59:03,"Es koennte die Woche werden,"
00:03:59:05,00:04:03:11,in der wir mehr Klarheit bekommen in der ueberhitzten Heizungsfrage.
00:04:03:14,00:04:06:11,"Noch ringen die Koalitionsfraktionen darum,"
00:04:06:13,00:04:10:15,wann welche Heizung zu welchem Preis ausgetauscht werden soll.
00:04:11:02,00:04:14:05,"Ein paar hundert Meter weiter versucht der Minister,"
00:04:14:07,00:04:18:15,"den das Gesetz in den Umfragen zurueckwarf, wieder voranzuschreiten."
00:04:19:14,00:04:20:20,Zur Energiewende
00:04:20:22,00:04:24:15,gehoeren nicht nur Heizkessel und Waermepumpen in Eigenheimen.
00:04:24:17,00:04:28:09,"Es gibt Millionen Menschen, die in Mehrfamilienhaeusern wohnen"
00:04:28:11,00:04:31:20,und - vor allem in Staedten - mit Fernwaerme heizen.
00:04:32:06,00:04:34:15,"Statt Tausende Heizungen auszutauschen,"
00:04:34:17,00:04:38:11,muesste nur ein zentrales Netz auf gruen umgestellt werden.
00:04:38:16,00:04:41:00,Klingt nach 'ner guten Alternative.
00:04:41:09,00:04:44:15,Bislang sind in Deutschland nur rund 15 % der Wohnungen
00:04:44:17,00:04:46:14,an so ein Netz angeschlossen.
00:04:46:16,00:04:47:22,Justus Kliss.
00:04:49:01,00:04:52:12,Mehr von solchen Rohren sollen in Deutschland verlegt werden:
00:04:52:15,00:04:53:20,Fernwaermeleitungen.
00:04:53:22,00:04:56:22,Hier im saechsischen Pirna investieren die Stadtwerke.
00:04:56:24,00:04:59:15,5000 Haushalte versorgt der stadteigene Betrieb
00:04:59:16,00:05:01:13,und es koennten noch mehr werden.
00:05:02:12,00:05:04:15,In den letzten Wochen und Monaten
00:05:04:16,00:05:07:16,ist eine grosse Nachfrage an Fernwaermeanschluessen.
00:05:07:18,00:05:09:22,"Wir muessen schauen, wo das moeglich ist"
00:05:09:24,00:05:12:01,und wann ich die anschliessen kann.
00:05:12:17,00:05:16:13,Nicht immer liegt die Fernwaermeleitung vor der Haustuer.
00:05:17:04,00:05:20:04,"Wer an so eine Fernwaermeleitung angeschlossen ist,"
00:05:20:06,00:05:22:22,muss sich keine Gedanken machen um Waermepumpen
00:05:22:24,00:05:25:11,oder andere klimafreundlicheren Heizungen.
00:05:25:13,00:05:27:23,"Denn der Versorger ist dafuer zustaendig,"
00:05:28:00,00:05:31:02,dass die Waermeversorgung in Zukunft klimaneutral wird.
00:05:32:02,00:05:35:14,Der Preis fuer Fernwaerme wird derzeit vom Anbieter bestimmt.
00:05:35:16,00:05:40:01,"Eine Kontrolle findet nicht statt, kritisieren Verbraucherschuetzer."
00:05:40:19,00:05:45:01,Der Ausbau und die Regulierung muessen Hand in Hand gehen.
00:05:46:17,00:05:49:05,Um das Bundeskartellamt zu zitieren:
00:05:49:07,00:05:51:13,Das sind unregulierte Monopole.
00:05:51:15,00:05:54:10,Das drueckt sich in den Preisen aus.
00:05:55:03,00:05:58:15,Wirtschaftsminister Habeck will mit Hilfe der Fernwaerme
00:05:58:17,00:06:00:20,das Projekt Waermewende voranbringen.
00:06:01:04,00:06:03:11,100.000 Gebaeude sollen jaehrlich
00:06:03:13,00:06:06:22,an Fernwaermesysteme angeschlossen werden.
00:06:06:24,00:06:12:12,"Das waeren nach groben Schaetzungen 400.000 Ð 700.000 Wohneinheiten,"
00:06:12:14,00:06:15:07,die dort angeschlossen werden koennen.
00:06:15:17,00:06:17:22,Grundstein fuer mehr Fernwaerme
00:06:17:24,00:06:21:09,ist ein geplantes Gesetz aus dem Bundesbauministerium.
00:06:21:11,00:06:24:00,"Das soll Staedte und Gemeinden verpflichten,"
00:06:24:02,00:06:26:02,Waermeplaene vor Ort aufzustellen.
00:06:26:04,00:06:30:09,"Kommunen legen darin fest, wo und ob Fernwaerme angeboten werden kann."
00:06:30:11,00:06:32:12,Dieses Gesetz soll mit dem
00:06:32:14,00:06:36:15,umstrittenen Gebaeude-Energie-Gesetz harmonisiert werden.
00:06:37:03,00:06:39:06,So dass die Buerger*innen wissen:
00:06:39:08,00:06:43:00,"Wenn ich in einem Bereich bin, wo Fernwaerme ausgebaut wird,"
00:06:43:01,00:06:45:18,habe ich darueber fruehzeitig eine Information.
00:06:45:20,00:06:48:21,Und kann meine Investitionen darauf abstimmen.
00:06:48:23,00:06:52:02,Laut Robert Habeck koennte das Gebaeude-Energie-Gesetz
00:06:52:04,00:06:55:05,in dieser Woche in den Bundestag eingebracht werden.
00:06:55:07,00:06:58:17,Einer politischen Einigung steht nicht mehr viel im Weg.
00:06:58:19,00:07:00:08,Aber man muss sie wollen.
00:07:00:09,00:07:03:08,"Doch ob die FDP das auch will, ist noch unklar."
00:07:03:10,00:07:06:15,Fuer den Energieeffizienzverband sollte der Bundestag
00:07:06:17,00:07:09:24,einen verlaesslichen Rahmen fuer die Waermewende schaffen.
00:07:10:01,00:07:12:12,Das Thema Foerderung muss nachhaltig sein.
00:07:12:14,00:07:15:22,Das darf nicht von Legislaturperioden abhaengen.
00:07:15:24,00:07:19:08,Wir haben jetzt eine 20-Jahres-Periode vor uns.
00:07:20:12,00:07:23:01,Wir brauchen sichere Rahmenbedingungen
00:07:23:03,00:07:24:14,fuer diesen Ausbau.
00:07:27:04,00:07:31:09,Das Bundeswirtschaftsministerium wird mit Fernwaerme versorgt.
00:07:31:11,00:07:34:04,Allerdings trotz Aufforderung an den Anbieter
00:07:34:06,00:07:35:24,noch nicht klimaneutral.
00:07:36:03,00:07:38:13,Der Grund: mangelnde Kapazitaeten.
00:07:40:08,00:07:43:12,Lassen wir uns das einordnen von einer Bauexpertin.
00:07:43:14,00:07:47:20,Lamia Messari-Becker ist Professorin fuer Gebaeudetechnologie und Bauphysik
00:07:47:22,00:07:49:05,an der Uni Siegen.
00:07:49:07,00:07:52:11,Guten Abend Frau Messari-Becker. Guten Abend.
00:07:52:13,00:07:56:13,Welche Rolle kann Fernwaerme bei der Waermewende spielen?
00:07:58:21,00:08:01:10,Sie kann eine zentrale Rolle spielen.
00:08:01:12,00:08:04:02,Sie wird mindestens ein wichtiger Baustein
00:08:04:04,00:08:06:14,neben anderen Technologien sein.
00:08:06:21,00:08:10:00,"Sie kann uns helfen, vor Ort erneuerbare Waerme"
00:08:10:03,00:08:15:20,zu erzeugen und zu den Verbrauchern zu bringen.
00:08:19:00,00:08:21:08,Fernwaerme ist ein Teamplayer.
00:08:21:13,00:08:26:13,"Man kann sie kombinieren, sodass wir Waerme und Strom produzieren."
00:08:26:24,00:08:30:21,"Das hilft uns, erneuerbare Waerme zu erschliessen"
00:08:31:00,00:08:34:23,und Waerme- oder Stromluecken zu schliessen.
