Timecode In,Timecode Out,Subtitle
00:00:04:12,00:00:08:07,Hier ist das Erste Deutsche Fernsehen mit der tagesschau.
00:00:08:13,00:00:13:22,Diese Sendung wurde vom NDR live untertitelt (10.09.2023)
00:00:15:18,00:00:18:06,Heute im Studio: Constantin Schreiber.
00:00:18:09,00:00:22:10,"Guten Abend, ich begruesse Sie zur tagesschau."
00:00:23:17,00:00:25:18,Ein historischer Titelgewinn:
00:00:25:22,00:00:28:20,Die deutschen Basketballer sind Weltmeister.
00:00:28:24,00:00:30:20,Die goldene WM-Trophaee
00:00:31:02,00:00:34:19,erhielten die Spieler nach dem Finalsieg gegen Serbien.
00:00:35:00,00:00:37:07,Der WM-Titel ist der groesste Erfolg
00:00:37:08,00:00:40:05,in der Geschichte des deutschen Basketballs.
00:00:40:20,00:00:42:17,Nach einem packenden Spiel
00:00:42:19,00:00:47:00,stand es am Ende 83:77 fuer das Team von Bundestrainer Herbert.
00:00:48:03,00:00:49:16,Im Halbfinale
00:00:49:19,00:00:54:12,hatte Deutschland ueberraschend die Favoriten aus den USA geschlagen.
00:00:54:16,00:00:57:04,Heute gelang eine weitere Sensation.
00:00:57:24,00:01:01:17,Deutschlands Basketballer haben Sportgeschichte geschrieben.
00:01:01:19,00:01:05:03,Das Team um Kapitaen Schroeder ist Weltmeister.
00:01:05:05,00:01:08:17,Im WM-Finale in Manila siegt die DBB-Auswahl gegen Serbien
00:01:08:19,00:01:09:23,mit 83:77.
00:01:10:02,00:01:13:14,Das ist einer der besten Momente in meinem Leben.
00:01:14:04,00:01:18:22,"Das mit meinem Team, meinem Coach, meiner Familie zu feiern ..."
00:01:19:23,00:01:22:00,Wir haben Geschichte geschrieben.
00:01:23:12,00:01:25:22,"Schwer, Worte zu finden."
00:01:26:13,00:01:29:02,"Zur Halbzeit steht es 47 beide,"
00:01:29:12,00:01:33:12,ehe die deutsche Mannschaft im dritten Viertel staerker wird.
00:01:33:14,00:01:37:21,"Schroeder attackiert, Obst, Voigtmann,"
