Timecode In,Timecode Out,Subtitle
00:00:04:10,00:00:08:06,Hier ist das Erste Deutsche Fernsehen mit der tagesschau.
00:00:08:10,00:00:12:15,Diese Sendung wurde vom NDR live untertitelt (11.06.2023)
00:00:14:22,00:00:17:15,Heute im Studio: Constantin Schreiber.
00:00:18:11,00:00:21:14,"Guten Abend, ich begruesse Sie zur tagesschau."
00:00:22:08,00:00:25:13,Die EU will mit Tunesien effektiver gegen Schlepper
00:00:25:19,00:00:29:09,und illegale ÈUberfahrten uebers Mittelmeer vorgehen.
00:00:29:14,00:00:33:13,Dafuer stellte Kommissionspraesidentin von der Leyen dem Land
00:00:33:17,00:00:35:19,neue Hilfsgelder in Aussicht.
00:00:35:23,00:00:39:10,Zudem weitere Millionen fuer die Staerkung der Wirtschaft.
00:00:39:15,00:00:43:09,Es geht um ein Paket von mehr als einer Milliarde Euro.
00:00:43:13,00:00:47:10,Zuletzt machten sich laut EU-Grenzschutzagentur Frontex
00:00:47:14,00:00:51:10,wieder mehr Menschen aus Tunesien auf den Weg nach Europa.
00:00:52:12,00:00:56:00,An dieser Kueste starten sie jede Nacht ueber das Mittelmeer.
00:00:56:02,00:00:57:12,Die ÈUberfahrt: riskant.
00:00:57:14,00:01:00:01,Trotzdem kamen 2023 in Italien laut UNHCR
00:01:00:03,00:01:04:14,"26.500 Menschen aus Tunesien an, mehr als im gesamten Jahr 2022."
00:01:04:19,00:01:08:12,Deshalb hoher EU-Besuch beim tunesischen Praesidenten:
00:01:08:16,00:01:10:10,Die Kommissionspraesidentin
00:01:10:15,00:01:14:00,und die Regierungschefs von Italien und den Niederlanden.
00:01:14:02,00:01:16:21,"Tunesien Ð ein Schluesselland in Sachen Migration,"
00:01:16:23,00:01:18:23,aber auch ein schwieriger Partner.
00:01:19:00,00:01:22:05,Praesident Saied regiert zunehmend autokratisch.
00:01:24:08,00:01:27:08,In diesem Jahr stellt die EU Tunesien
00:01:27:14,00:01:30:14,100 Mio. Euro fuer den Grenzschutz bereit.
00:01:30:19,00:01:32:24,Auch fuer die Schlepper-Bekaempfung
00:01:33:03,00:01:37:07,"und fuer die Suche, Rettung und Rueckfuehrung von Fluechtlingen."
00:01:39:15,00:01:41:17,Tunesien koennte Hilfe gebrauchen.
00:01:41:21,00:01:45:15,"Die Wirtschaftslage ist desolat, die Preise auf den Maerkten hoch,"
00:01:45:19,00:01:47:02,zu hoch fuer viele.
00:01:47:06,00:01:50:00,Vor allem junge Menschen Ð hoffnungslos.
00:01:50:07,00:01:52:17,"Ich habe ein Diplom, aber keine Arbeit."
00:01:52:21,00:01:56:23,"Ich will arbeiten, im Ausland - hier habe ich keine Chancen."
00:01:57:04,00:02:00:07,Auch viele Menschen aus den Laendern suedlich der Sahara
00:02:00:09,00:02:01:21,wollen weg aus Tunesien.
00:02:01:23,00:02:05:21,Praesident Saied sprach im Februar von Horden illegaler Migranten.
00:02:05:23,00:02:10:05,Ob das Land Europas Grenzen sichern kann und will - fraglich.
00:02:11:01,00:02:14:20,"Sie wollen, dass wir Waechter ihrer Laender sind."
00:02:15:07,00:02:19:07,Es muss aber eine menschliche und gemeinsame Loesung geben.
00:02:22:02,00:02:24:02,Europa will einen Deal mit Tunis.
00:02:24:04,00:02:26:13,"Ob der zustande kommt, ist noch unklar."
00:02:26:17,00:02:29:21,Die Europaeer stellen zusaetzlich Millionen in Aussicht
00:02:29:24,00:02:32:04,fuer die desolate Wirtschaft Tunesiens.
00:02:33:04,00:02:34:22,In Bad Saarow in Brandenburg
00:02:35:01,00:02:37:19,hat das Ostdeutsche Wirtschaftsforum begonnen.
00:02:37:22,00:02:40:23,"Vertreter aus Wirtschaft, Politik und Wissenschaft"
00:02:41:00,00:02:44:13,diskutieren ueber Chancen und Herausforderungen in der Region.
