Timecode In,Timecode Out,Subtitle
00:00:19:04,00:00:22:13,Hier ist das Erste Deutsche Fernsehen mit den tagesthemen.
00:00:22:15,00:00:26:08,Diese Sendung wurde vom NDR live untertitelt (14.07.2023)
00:00:26:10,00:00:29:06,Heute im Studio: Caren Miosga und Susanne Daubner.
00:00:29:20,00:00:32:22,Schoenen guten Abend. Guten Abend auch von mir.
00:00:33:02,00:00:35:01,"Bevor der Kanzler Ferien macht,"
00:00:35:03,00:00:38:21,"erzaehlte er der Hauptstadtpresse, wohin die Reise geht."
00:00:39:23,00:00:44:08,"Ob er wie vergangenes Jahr in den Allgaeuer Alpen wandert,"
00:00:44:10,00:00:45:20,hat er nicht gesagt.
00:00:45:22,00:00:50:01,"Sehr wohl aber sprach er ueber den Weg, den die Ampel hinter sich hat."
00:00:50:03,00:00:54:04,"Und was sie kuenftig schultern muss, um ein besseres Bild abzugeben"
00:00:54:06,00:00:59:12,"und um bei anstehenden Wahlen Hoehen zu erklimmen, die fern sind."
00:01:00:03,00:01:02:23,"Es klang ein wenig nach Berge versetzen,"
00:01:03:00,00:01:06:07,als Olaf Scholz vorausschaute und sich sicher war:
00:01:06:09,00:01:10:21,"Die AfD, die in den Umfragen so weit oben steht wie noch nie,"
00:01:10:23,00:01:13:02,wuerde wieder runterklettern.
00:01:13:04,00:01:14:12,Nadine Bader.
00:01:18:02,00:01:21:02,"Wer Jingle-Bell als Klingelton hat, der ist es."
00:01:23:06,00:01:26:01,Selten hat man den Kanzler so geloest erlebt.
00:01:26:04,00:01:29:00,"Klingelnde Handys, irritierende Zwischentoene:"
00:01:29:02,00:01:32:10,Der Kanzler laesst sich heute nicht aus der Ruhe bringen.
00:01:32:18,00:01:35:01,Das ist jetzt kein Cyber-Angriff.
00:01:36:14,00:01:37:21,"Nein, ist es nicht."
00:01:37:23,00:01:41:22,"Wer sich schon mal gefragt hat, wann Scholz zuletzt im Freibad war:"
00:01:41:24,00:01:43:09,40 Jahre ist das her.
00:01:43:23,00:01:48:16,Von den Gewaltausbruechen in Berliner Freibaedern hat er aber mitbekommen.
00:01:48:17,00:01:50:10,Inakzeptabel sei das.
00:01:52:18,00:01:56:02,"Es ist voellig richtig, wenn die Konsequenz gezogen wird,"
00:01:56:04,00:01:58:00,jetzt auch Polizei einzusetzen.
00:01:58:02,00:02:03:13,"Wir muessen ganz klar zeigen, dass wir das als Staat nicht dulden."
00:02:05:04,00:02:08:12,Innenpolitisch geht es auch um den Hoehenflug der AfD.
00:02:08:14,00:02:12:15,Die Partei hat die Sozialdemokraten in Umfragen zuletzt ueberholt.
00:02:12:17,00:02:17:07,"Davon lasse er sich nicht verunsichern, signalisiert Scholz."
00:02:18:10,00:02:22:10,"Ich bin zuversichtlich, dass die AfD bei der naechsten Bundestagswahl"
00:02:22:12,00:02:25:18,nicht viel anders abschneiden wird als bei der letzten.
00:02:25:20,00:02:27:00,Also mit etwa 10 %.
00:02:27:02,00:02:30:24,"CDU und CSU profitieren selbst nicht so vom Umfragetief der SPD,"
00:02:31:01,00:02:32:16,wie sie es gerne haetten.
00:02:33:07,00:02:36:04,Als hauptverantwortlich fuer die hohen AfD-Werte
00:02:36:06,00:02:39:21,sieht man bei der Union den Kanzler und seine Regierung.
00:02:40:18,00:02:44:14,"Wenn die Politik in den Augen der Menschen nicht erfolgreich ist,"
00:02:44:16,00:02:48:01,"wenn sie unzufrieden sind, insbesondere mit der Regierung:"
00:02:48:03,00:02:51:17,Dann ist es ein Konjunkturprogramm fuer die politischen Raender.
00:02:51:19,00:02:53:19,Davon profitiert derzeit die AfD.
00:02:54:05,00:02:58:04,Etwa vom oeffentlich ausgetragenen Streit ueber das Heizungsgesetz.
00:02:58:06,00:03:01:13,Kurz vor der Sommerpause hatte sich die Ampel geeinigt.
00:03:01:15,00:03:05:13,Abgestimmt wird ueber das Gesetz erst nach der Sommerpause.
00:03:05:17,00:03:08:08,Der Kanzler plaediert fuer mehr Gelassenheit.
00:03:09:04,00:03:12:08,Man muss sich da einmal klarmachen:
00:03:13:16,00:03:17:02,"Der Kompromiss, das Fuenfe gerade sein lassen,"
00:03:17:04,00:03:20:14,"ist ein guter Weg, der Deutschland nach vorne bringt."
00:03:21:05,00:03:25:07,Fuer die zweite Regierungshaelfte muesse die Ampel ihr Erscheinungsbild
00:03:25:09,00:03:30:01,"in der ÈOffentlichkeit verbessern, sagt Politikwissenschaftlerin Kropp."
00:03:30:03,00:03:33:09,"Weniger Streit, dafuer mehr Zukunftsthemen angehen."
00:03:34:12,00:03:39:08,"Das ist die Wende beim Wohnungsbau, im Verkehr, bei den Bahnstrecken."
00:03:39:12,00:03:43:01,"Hier ist zu verdeutlichen, dass die Richtung stimmt,"
00:03:43:03,00:03:46:02,denn die Massnahmen koennen nicht sofort greifen.
00:03:46:04,00:03:48:11,"Man braucht eine positive Entwicklung,"
00:03:48:13,00:03:51:05,mit der man dann in den Wahlkampf ziehen kann.
00:03:51:07,00:03:53:13,Trotz Umfragetief und Ampel-Streit:
00:03:53:15,00:03:56:16,Der Kanzler denkt noch lange nicht ans Aufhoeren.
00:03:57:18,00:04:03:07,* Ihre Regierungszeit ist in fast genau zwei Jahren eventuell vorbei. *
00:04:03:21,00:04:05:05,Noe.
00:04:06:05,00:04:09:17,Ich stehe am Anfang meiner Taetigkeit als Bundeskanzler.
00:04:09:19,00:04:12:24,Scholz zeigt sich in jedem Fall zufrieden mit Scholz.
00:04:13:01,00:04:16:03,"Auch wenn er heute nicht gaenzlich beantwortet hat,"
00:04:16:05,00:04:19:24,wie er seine Koalition wieder auf Erfolgskurs zu bringen gedenkt.
00:04:21:20,00:04:25:17,Beobachtet hat die Pressekonferenz auch Claudia Kornmeier.
00:04:25:19,00:04:29:09,Scholz zufrieden mit Scholz - wie ueberzeugend war das?
00:04:30:05,00:04:34:21,"Er hat heute viel dafuer getan, um diesen Eindruck zu hinterlassen."
00:04:34:23,00:04:37:14,Er ist betont gelassen aufgetreten.
00:04:38:13,00:04:41:23,"Er war auch recht freundlich zu den Journalisten,"
00:04:42:00,00:04:44:16,was man von ihm nicht immer gewohnt ist.
00:04:44:18,00:04:47:17,Keine arroganten Ein-Wort-Antworten.
00:04:53:19,00:04:57:11,"Ob man ihm die Zuversicht abnehmen will,"
00:04:57:18,00:05:01:09,dass die AfD in den Umfragen wieder sinken wird:
00:05:02:00,00:05:05:04,Da wuerde ich ein Fragezeichen dran machen.
00:05:05:10,00:05:08:21,"Vielleicht ist da eher die Hoffnung mit verbunden,"
00:05:08:23,00:05:12:11,dass die naechste Wahl erst in zwei Jahren ist.
00:05:13:05,00:05:16:10,"So harmonisch, wie er tat, war das Bild nicht,"
00:05:16:12,00:05:19:17,das seine Ampel gerade in letzter Zeit abgab.
00:05:19:19,00:05:23:09,Wie hat er die Arbeit seiner Koalitionaere bewertet?
00:05:23:14,00:05:27:10,Er hat natuerlich trotzdem erst mal die Erfolge betont.
00:05:27:12,00:05:31:01,Etwa die Anhebung des Mindestlohns auf zwoelf Euro.
00:05:31:12,00:05:34:21,"Dann, dass wir gut ueber den Winter gekommen sind"
00:05:35:02,00:05:37:06,trotz Energiekrise.
00:05:37:18,00:05:41:07,"Es ist nicht zu den schlimmsten Befuerchtungen gekommen,"
00:05:41:09,00:05:42:17,sagte er heute.
00:05:42:19,00:05:46:10,Dann wurde ein neues Gesetz beschlossen
00:05:46:13,00:05:49:09,bei der Einwanderung von Fachkraeften.
00:05:49:22,00:05:54:19,"Aber die Frage ist, ob Fachkraefte, zum Beispiel im Bereich der Pflege,"
00:05:54:21,00:05:57:07,nach Deutschland kommen werden.
00:05:57:20,00:06:01:06,Er hat aber auch die Gruenen kritisiert:
00:06:03:17,00:06:07:21,"Man muesse sichergehen, dass das Heizungsgesetz"
00:06:08:12,00:06:13:04,auch bei einer Volksabstimmung durchkommen wuerde.
00:06:20:06,00:06:25:09,"Er hat die kuehne Prognose gewagt, die AfD werde bei der naechsten Wahl"
00:06:25:11,00:06:29:08,"nur noch etwa bei 10 % liegen, jetzt sind sie bei 20 %."
00:06:29:10,00:06:32:15,"Was hat er gesagt, wie er das hinkriegen will?"
00:06:33:00,00:06:36:11,Seine These fuer den Zuspruch fuer die AfD ist:
00:06:36:18,00:06:39:17,"Die Leute sind sich doch nicht so sicher,"
00:06:39:19,00:06:42:17,ob sie eine gute Zukunft haben werden.
00:06:42:23,00:06:46:13,"Da sei die Politik in der Pflicht, Politik zu machen,"
00:06:46:16,00:06:50:07,"die den Menschen Vertrauen gibt, dass es die gibt."
00:06:56:14,00:07:00:05,"Auch zwei Jahre danach ist es noch immer unvorstellbar,"
00:07:00:07,00:07:04:23,mit welcher Wucht ganze Strassenzuege unter Wassermassen begraben wurden.
00:07:05:07,00:07:08:15,Im Ahrtal starben mindestens 134 Menschen.
00:07:09:20,00:07:13:13,Viele ÈUberlebende standen ueber Nacht vor dem Nichts.
00:07:14:06,00:07:18:24,"Sie bauen hier ihr Leben wieder auf und wollen sich wappnen dagegen,"
00:07:19:01,00:07:22:21,dass das Wasser nicht erneut alles zerstoeren kann.
00:07:23:23,00:07:27:04,"Eine Region wurde heute still und hielt inne,"
00:07:27:06,00:07:30:02,"um derer zu gedenken, die sie verloren haben."
00:07:30:04,00:07:33:24,"Ein Tag, der viel Trauer, aber auch viel Hoffnung bringt."
00:07:36:08,00:07:39:15,"Peter Sonnenberg und Juergen Thiem haben die getroffen,"
00:07:39:17,00:07:42:19,die ihre Heimat Stein um Stein zurueckerlangen.
00:07:45:06,00:07:47:13,Wir haben die komplette Bandbreite:
00:07:47:15,00:07:50:00,"Leute, die es schicker haben als vorher."
00:07:50:02,00:07:51:14,"Bis hin zu Haeusern,"
00:07:51:16,00:07:54:22,da ist der Schlamm noch nicht rausgeschippt.
00:07:56:13,00:08:01:04,"Viele sagen, es wird Jahre dauern, bis das Ahrtal aussieht wie frueher."
00:08:01:06,00:08:03:07,Aber dieser Satz ist gefaehrlich.
00:08:03:09,00:08:06:09,"Das Ahrtal darf nie wieder so aussehen wie frueher,"
00:08:06:11,00:08:10:21,sonst waere es einer neuen Flut so ausgesetzt wie vor zwei Jahren.
00:08:14:07,00:08:16:24,Doch der Hochwasserschutz kommt kaum voran.
00:08:17:01,00:08:20:21,An manchen Stellen ist er sogar nur ein Nebeneffekt.
00:08:21:02,00:08:23:14,Wie hier an einem Zufluss der Ahr.
00:08:23:16,00:08:26:12,Ein vor der Flut begonnenes Naturschutzprojekt.
00:08:26:14,00:08:30:13,"Eine Renaturierung hilft jetzt, die Fliessgeschwindigkeit zu bremsen."
00:08:30:15,00:08:33:13,"Sie ist ein Mosaiksteinchen mit positivem Effekt,"
00:08:33:15,00:08:35:10,aber das ist nur der Anfang.
00:08:36:03,00:08:39:12,Neu in allen Kommunen im Tal: das Fruehwarnsystem.
00:08:39:14,00:08:43:07,"Dazu gehoeren Sirenen und solarbetriebene, vernetzte Pegel,"
00:08:43:09,00:08:47:06,die flussabwaerts die Evakuierung ermoeglichen sollen.
00:08:48:08,00:08:51:04,Bei einer vergleichbaren Niederschlagssituation
00:08:51:06,00:08:54:01,wuerden wir wieder so ein Flutereignis bekommen.
00:08:54:03,00:08:59:05,"Was aber aufgrund der Erfahrungen geringer ausfallen wird,"
00:08:59:10,00:09:01:07,ist die Anzahl der Toten.
00:09:02:00,00:09:05:09,"Eine Gefahr stellen unzaehlige, mittlerweile ueberwucherte"
00:09:05:11,00:09:09:12,Schutt- und Schlammberge entlang des Flusses im Gelaende dar.
00:09:10:02,00:09:15:10,Sie nehmen Flaeche weg und sind natuerlich ein gewisses Risiko.
00:09:16:17,00:09:18:21,Aber man muss auch abwaegen:
00:09:18:23,00:09:22:10,Wir brauchen hier Erdmassen fuer Baumassnahmen.
