Timecode In,Timecode Out,Subtitle
00:00:04:07,00:00:07:14,Hier ist das Erste Deutsche Fernsehen mit der tagesschau.
00:00:07:18,00:00:12:06,Herzlich willkommen zur Live- Untertitelung des NDR (02.04.2023)
00:00:14:09,00:00:16:09,Heute im Studio: Jens Riewa.
00:00:18:00,00:00:21:02,"Guten Abend, ich begruesse Sie zur tagesschau."
00:00:21:23,00:00:24:19,Die Bundesregierung arbeitet nach dem Kompromiss
00:00:24:23,00:00:27:23,zum Austausch von Heizungen an einem Foerderprogramm.
00:00:28:01,00:00:30:01,"Finanzminister Lindner schlug vor,"
00:00:30:13,00:00:34:21,die Unterstuetzung vom Zustand der Anlage abhaengig zu machen.
00:00:35:17,00:00:39:07,"Wirtschaftsminister Habeck sagte im Bericht aus Berlin,"
00:00:39:11,00:00:42:11,niemand werde mit den Kosten ueberfordert.
00:00:42:16,00:00:45:17,Ab 2024 sollen Heizungen zu 65 %
00:00:46:08,00:00:49:02,mit erneuerbaren Energien betrieben werden.
00:00:49:06,00:00:52:17,Geplant sind aber Ausnahmen und ÈUbergangsfristen.
00:00:53:10,00:00:57:05,"Beratung fuer die Umruestung der 20 Jahre alten Heizung,"
00:00:57:09,00:01:00:04,den moegliche Einbau einer Waermepumpe.
00:01:00:09,00:01:03:12,In den naechsten Jahren steht das fuer viele an.
00:01:03:16,00:01:07:14,"Das Foerderprogramm der Bundesregierung dazu, noch in Arbeit."
00:01:07:18,00:01:11:24,"Es koennte danach gestaffelt werden, wie alt und schmutzig die Heizung"
00:01:12:03,00:01:14:13,"ist, sagt der Finanzminister."
00:01:22:24,00:01:26:15,Im Bericht aus Berlin nennt Habeck Lindners Vorschlag
00:01:26:19,00:01:30:23,"eine Moeglichkeit unter mehreren, um die Buerger zu entlasten."
00:01:31:23,00:01:34:10,Man koennte es am Einkommen ausrichten.
00:01:34:14,00:01:39:14,"Man koennte die Betraege versteuern, sodass die besser Verdienenden"
00:01:39:18,00:01:43:09,"das Gleiche bekommen, aber einen Teil zurueckgeben muessen."
00:01:43:14,00:01:47:05,Dann haette man die soziale Foerderung des Steuersystems da drin.
00:01:47:09,00:01:51:00,"Die Koalitionspartner seien sich einig, dass die mit wenig Geld"
00:01:51:04,00:01:54:11,"beim Umstieg unterstuetzt werden sollten, sagt Habeck."
00:01:54:15,00:01:59:12,Im ZDF bringt Bundesbauministerin Geywitz eine Abwrackpraemie ins Spiel.
00:02:00:23,00:02:05:07,"Wichtig ist, dass die schmutzigsten Kessel zuerst ausgetauscht werden."
00:02:05:11,00:02:07:15,"Eine Abwrackpraemie ist sinnvoll,"
00:02:07:19,00:02:10:17,die die alten Modelle als erste vom Markt nimmt.
00:02:10:21,00:02:13:03,"Eine Praemie waere technologieoffen,"
00:02:13:07,00:02:17:03,"d.h. der Hausbesitzer kann entscheiden, wofuer er sie einsetzt."
00:02:17:06,00:02:19:01,Schon jetzt zeichnet sich ab:
00:02:19:05,00:02:23:15,Ohne Mehrkosten fuer die Buerger*innen wird die Waermewende nicht gelingen.
00:02:23:19,00:02:26:19,"Bis Ende April will die Koalition Klarheit schaffen,"
00:02:26:24,00:02:30:10,wie sie bei der Umruestung unterstuetzt werden sollen.
00:02:31:14,00:02:33:05,Streit gibt es weiterhin
00:02:33:09,00:02:35:23,ueber die geplante Kindergrundsicherung.
00:02:36:02,00:02:39:21,"Bundesfinanzminister Lindner bekraeftigte in der Bild am Sonntag,"
00:02:40:00,00:02:43:02,er sehe kaum finanziellen Spielraum fuer das Vorhaben.
00:02:43:06,00:02:45:07,"Fuer Familien sei viel passiert,"
00:02:45:12,00:02:48:20,er verwies auf die Erhoehung des Kindergeldes.
