Timecode In,Timecode Out,Subtitle
00:00:19:05,00:00:22:13,Hier ist das Erste Deutsche Fernsehen mit den tagesthemen.
00:00:22:15,00:00:26:08,Diese Sendung wurde vom NDR live untertitelt (06.07.2023)
00:00:26:10,00:00:28:10,Heute im Studio: Helge Fuhst.
00:00:29:03,00:00:31:12,"Willkommen, schoen dass Sie dabei sind!"
00:00:31:14,00:00:33:06,Einen schoenen guten Abend.
00:00:33:08,00:00:37:09,Die Nachricht platzte gestern Abend fuer viele aus der Bundesregierung
00:00:37:11,00:00:40:20,"in eins der Sommerfeste, die grad die Landesvertretungen,"
00:00:40:22,00:00:43:09,Parteien und Verbaende in Berlin ausrichten.
00:00:43:24,00:00:46:12,Die Nachricht haette fuer einige Abgeordnete
00:00:46:15,00:00:49:17,die Sommerpause maechtig durcheinanderwirbeln koennen:
00:00:49:19,00:00:52:24,Das Bundesverfassungsgericht hat die morgige Abstimmung
00:00:53:01,00:00:55:11,ueber das Gebaeudeenergiegesetz gestoppt.
00:00:55:13,00:00:57:24,Sie darf erst spaeter durchgefuehrt werden.
00:00:58:01,00:01:00:09,Heute entschieden die Ampel-Fraktionen:
00:01:00:11,00:01:02:22,"Statt einer Sondersitzung in den Ferien,"
00:01:03:00,00:01:06:08,soll nach der Sommerpause abgestimmt werden.
00:01:07:08,00:01:10:10,Bis dahin duerfte die Vorgabe des obersten Gerichts
00:01:10:12,00:01:11:20,auch umzusetzen sein.
00:01:11:22,00:01:13:00,Da heisst es:
00:01:13:02,00:01:16:03,"""Den Abgeordneten steht nicht nur das Recht zu,"
00:01:16:05,00:01:20:19,"im Deutschen Bundestag abzustimmen, sondern auch das Recht zu beraten."""
00:01:20:21,00:01:24:12,"Was ein einzelner Abgeordneter mit seiner Klage ausgeloest hat,"
00:01:24:14,00:01:26:20,beschaeftigt nun das politische Berlin.
00:01:26:22,00:01:28:00,Viktoria Kleber.
00:01:29:04,00:01:31:07,"Herr Heilmann, Sie haben gewonnen."
00:01:31:09,00:01:33:12,Der CDU-Abgeordnete Thomas Heilmann
00:01:33:14,00:01:36:09,bekommt heute viel Anerkennung und Glueckwuensche.
00:01:36:11,00:01:39:04,Und gestern Abend bekam er grundsaetzlich Recht.
00:01:39:06,00:01:43:07,Am Vormittag ist er im Bundestag umgeben von seinen Fraktionskollegen
00:01:43:09,00:01:46:05,und kommt aus dem Dauergrinsen nicht mehr raus.
00:01:46:20,00:01:50:10,"Doch gehe es ihm nicht um Triumph, betont er vor der Presse,"
00:01:50:12,00:01:51:20,sondern um die Sache.
00:01:52:22,00:01:55:01,Die Verfahren im Bundestag
00:01:55:03,00:01:58:07,leiden seit Laengerem an mangelnder Sorgfalt.
00:01:58:08,00:02:01:14,Schon in der letzten Legislaturperiode.
00:02:04:04,00:02:07:07,Das wird insbesondere durch zu hohes Tempo ausgeloest.
00:02:07:20,00:02:11:19,"Nun darf die Ampel nicht wie geplant ihr Gesetz morgen beschliessen,"
00:02:11:22,00:02:15:14,sondern muss den Abgeordneten mehr Zeit fuer die Beratung geben.
00:02:15:16,00:02:17:23,Erst nach der Sommerpause im September
