Timecode In,Timecode Out,Subtitle
00:00:04:08,00:00:07:20,Hier ist das Erste Deutsche Fernsehen mit der tagesschau.
00:00:07:24,00:00:12:14,Diese Sendung wurde vom NDR live untertitelt(13.06.2023)
00:00:14:23,00:00:17:12,Heute im Studio: Julia-Niharika Sen.
00:00:18:03,00:00:21:03,"Guten Abend, ich begruesse Sie zur tagesschau."
00:00:22:00,00:00:25:02,Im Koalitionsstreit ueber das Gebaeudeenergiegesetz
00:00:25:04,00:00:26:19,gibt es einen Durchbruch.
00:00:26:21,00:00:29:10,Die Ampelparteien bringen die Regelungen
00:00:29:12,00:00:34:02,fuer klimafreundlicheres Heizen in dieser Woche in den Bundestag ein.
00:00:34:13,00:00:39:02,Damit koennte das Gesetz vor der Sommerpause verabschiedet werden.
00:00:39:18,00:00:43:02,"Die Einigung kam erst zustande, als sich am Nachmittag"
00:00:43:04,00:00:47:14,"Scholz, Habeck und Lindner in die Verhandlungen einschalteten."
00:00:51:12,00:00:53:24,Der Kanzler geht ohne ein Wort.
00:00:54:17,00:00:58:05,Aufsehen gab es um das Gebaeudeenergiegesetz genug.
00:00:58:20,00:01:03:16,"Als Scholz, Lindner und Habeck sich einmischten, klappte es."
00:01:05:10,00:01:09:01,Die Erfolgsmeldung ueberlassen sie den Fraktionschefs.
00:01:09:08,00:01:14:01,Das Gebaeudeenergiegesetz kommt. Wir setzen uns auf die Tagesordnung.
00:01:14:06,00:01:19:03,Wir schaffen damit einen Meilenstein fuer mehr Klimaschutz in Deutschland.
00:01:21:21,00:01:23:16,Bis dahin hat es gedauert.
00:01:23:23,00:01:26:09,Die Fraktionen hatten viele Fragen.
00:01:26:11,00:01:28:16,Welche Heizungen zugelassen werden
00:01:29:06,00:01:31:23,und wie soziale Foerderungen aussehen koennten.
00:01:33:00,00:01:35:17,Wir hatten fachlichen Eroerterungsbedarf.
00:01:36:22,00:01:42:02,"Wir wollten der Regierung zeigen, dass wir Veraenderungsbedarf sehen."
00:01:46:07,00:01:49:17,In der vorliegenden Einigung geht es um vier Punkte:
00:01:50:02,00:01:55:16,Erst nach kommunaler Waermeplanung gelten die Regeln zum Heizungstausch.
00:01:56:02,00:02:00:15,"Moeglich sind Holz- und Pellet-, teils sogar Gasheizungen."
00:02:07:09,00:02:10:14,Nun scheint auch die FDP zufrieden zu sein.
00:02:10:19,00:02:15:08,"Sie wollte nicht, dass bestimmte Heizungen vorgeschrieben sind."
00:02:16:00,00:02:21:04,"Wir lassen alle Technologien zu, bis zur kommunalen Waermeplanung ohnehin."
00:02:21:15,00:02:25:19,Auch danach sind verschiedene Technologien moeglich.
00:02:27:00,00:02:31:06,Noch diese Woche soll das Heizungsgesetz beraten werden.
00:02:33:07,00:02:35:01,Tina Hassel in Berlin:
00:02:35:05,00:02:37:17,Wie ist die Einigung zustande gekommen?
00:02:38:13,00:02:42:00,Die letzten Stunden waren ein regelrechter Krimi.
00:02:42:08,00:02:46:00,"Die Loesung kam erst zustande, als der Kanzler, der Wirtschafts-"
00:02:46:02,00:02:49:04,und der Finanzminister zu den Beratungen kamen.
00:02:49:06,00:02:51:14,Um die ÈAnderungswuensche der Fraktionen
