Timecode In,Timecode Out,Subtitle,Program,Date
00:19:13:14,00:19:16:08,"Nicht in Kampfkleidung, normal angezogen.",tagesthemen,19.04.23
00:19:16:19,00:19:18:02,"40, 50 von ihnen.",tagesthemen,19.04.23
00:19:18:04,00:19:21:10,"Zusaetzlich zu den anderen, die sonst noch mit uns essen.",tagesthemen,19.04.23
00:19:21:12,00:19:24:16,Was soll ich machen? Wir koennen sie nicht abhalten.,tagesthemen,19.04.23
00:19:25:09,00:19:29:06,Hoffnung auf ein schnelles Ende der Kaempfe haben die wenigsten.,tagesthemen,19.04.23
00:19:29:08,00:19:33:09,"In den umkaempften Gebieten bleiben, fuer viele Sudanesen keine Option.",tagesthemen,19.04.23
00:19:33:11,00:19:37:08,Fuer die meisten wird es wohl eine Flucht auf unbestimmte Zeit.,tagesthemen,19.04.23
00:19:39:01,00:19:41:19,Ich spreche jetzt mit Katharina von Schroeder.,tagesthemen,19.04.23
00:19:41:21,00:19:43:21,Sie lebt in Khartoum und arbeitet,tagesthemen,19.04.23
00:19:43:23,00:19:46:16,fuer die Hilfsorganisation Save the Children.,tagesthemen,19.04.23
00:19:46:18,00:19:50:08,Seit Samstag sitzt sie mit ihrem Sohn in einer Schule fest.,tagesthemen,19.04.23
00:19:51:02,00:19:53:15,Guten Abend. Wie geht es Ihnen gerade?,tagesthemen,19.04.23
00:19:55:19,00:19:58:14,Die Situation hier ist extrem angespannt.,tagesthemen,19.04.23
00:19:58:21,00:20:02:17,"Es wird kontinuierlich gekaempft, wir sind sehr erschoepft.",tagesthemen,19.04.23
00:20:03:04,00:20:07:00,"Ich bin hier mit Freunden, Kindern und meinem achtjaehrigen Sohn.",tagesthemen,19.04.23
00:20:07:02,00:20:08:21,Wir bekommen wenig Schlaf.,tagesthemen,19.04.23
00:20:08:23,00:20:12:23,Wir machen uns grosse Sorgen um Freunde und Kollegen.,tagesthemen,19.04.23
00:20:14:00,00:20:17:03,Was bekommen Sie von den Kaempfen in der Stadt mit?,tagesthemen,19.04.23
00:20:17:05,00:20:19:11,Wie kommen Sie an Informationen?,tagesthemen,19.04.23
00:20:22:06,00:20:26:08,Samstag frueh kamen wir hierher zum Sportunterricht.,tagesthemen,19.04.23
00:20:27:05,00:20:30:06,Seitdem wurde fast ununterbrochen gekaempft.,tagesthemen,19.04.23
00:20:31:00,00:20:35:00,"Wir hoeren Schuesse, die Flugzeuge und Detonationen.",tagesthemen,19.04.23
00:20:35:19,00:20:40:03,"Es gibt nur kurze Pausen, wo man durchatmen kann.",tagesthemen,19.04.23
00:20:42:02,00:20:48:09,"Das Internet funktioniert aber noch, auch das Telefon.",tagesthemen,19.04.23
00:20:51:21,00:20:55:04,So sind wir im Austausch mit Kollegen und Freunden.,tagesthemen,19.04.23
00:20:55:06,00:20:58:00,Bei vielen gibt es aber keinen Strom mehr.,tagesthemen,19.04.23
00:20:58:02,00:21:00:15,Hier ist der Strom noch da.,tagesthemen,19.04.23
00:21:00:17,00:21:04:14,Zum Teil erreichen wir die Leute nicht mehr.,tagesthemen,19.04.23
00:21:05:20,00:21:08:20,Koennen sich die Menschen versorgen?,tagesthemen,19.04.23
00:21:12:15,00:21:15:10,Die Versorgungslage ist extrem schlecht.,tagesthemen,19.04.23
00:21:15:12,00:21:18:08,Das staatliche Elektrizitaetsunternehmen,tagesthemen,19.04.23
00:21:18:21,00:21:23:13,"funktioniert hier ueber Prepaid, man bezahlt den Strom vorher.",tagesthemen,19.04.23
00:21:25:17,00:21:28:18,"Das System funktioniert nicht mehr,",tagesthemen,19.04.23
00:21:28:20,00:21:33:07,Wasserrohre sind gebrochen von den Kaempfen.,tagesthemen,19.04.23
00:21:34:17,00:21:37:22,In vielen Orten gibt es keine Wasserversorgung.,tagesthemen,19.04.23
00:21:38:19,00:21:41:18,"Lebensmittelvorraete werden knapp, weil die Leute",tagesthemen,19.04.23
00:21:41:20,00:21:46:04,"ihr Leben riskieren muessen, um einkaufen zu gehen.",tagesthemen,19.04.23
00:21:48:11,00:21:53:14,Zudem wurden Krankenhaeuser beschaedigt.,tagesthemen,19.04.23
00:21:55:23,00:22:00:06,39 Krankenhaeuser sind nicht mehr aktiv.,tagesthemen,19.04.23
00:22:01:04,00:22:03:04,Die Patienten wurden evakuiert.,tagesthemen,19.04.23
00:22:03:06,00:22:06:14,Auch die gesundheitliche Versorgungslage ist schlecht.,tagesthemen,19.04.23
00:22:09:02,00:22:11:10,Was bedeutet die Eskalation der Gewalt,tagesthemen,19.04.23
00:22:11:12,00:22:14:01,fuer die Arbeit von Save the Children?,tagesthemen,19.04.23
00:22:17:00,00:22:21:14,Vorher haben wir in 14 von 18 sudanesischen Provinzen gearbeitet,tagesthemen,19.04.23
00:22:22:02,00:22:24:03,mit 500 Mitarbeitern.,tagesthemen,19.04.23
00:22:24:18,00:22:27:23,"Im Moment koennen wir nur in drei Provinzen arbeiten,",tagesthemen,19.04.23
00:22:28:00,00:22:30:09,wo die Kaempfe nicht so stark sind.,tagesthemen,19.04.23
00:22:31:10,00:22:34:01,Die haben sich landesweit ausgebreitet.,tagesthemen,19.04.23
00:22:35:16,00:22:41:00,In anderen Orten muessen wir die Sicherheit unserer Mitarbeiter,tagesthemen,19.04.23
00:22:41:17,00:22:43:18,als Prioritaet setzen.,tagesthemen,19.04.23
00:22:46:08,00:22:49:07,Sonst koennen wir auch niemand anderem helfen.,tagesthemen,19.04.23
00:22:49:09,00:22:53:09,"Dennoch sind wir im engen Kontakt mit dem Gesundheitsministerium,",tagesthemen,19.04.23
00:22:53:11,00:22:56:22,"um eine Nothilfe vorzubereiten, sobald es moeglich ist.",tagesthemen,19.04.23
00:22:57:18,00:23:00:12,War die Eskalation des Konflikts absehbar?,tagesthemen,19.04.23
00:23:05:19,00:23:08:23,"Es gab Prognosen von politischen Wissenschaftlern,",tagesthemen,19.04.23
00:23:09:00,00:23:11:13,dass das eine Moeglichkeit ist.,tagesthemen,19.04.23
00:23:11:21,00:23:15:12,Es war aber immer das unwahrscheinlichste Szenario,tagesthemen,19.04.23
00:23:15:14,00:23:18:10,neben vielen anderen.,tagesthemen,19.04.23
00:23:19:21,00:23:23:01,"Wir hatten eine Phase des demokratischen ÈUbergangs,",tagesthemen,19.04.23
00:23:23:03,00:23:25:01,wo es hoffnungsvoll aussah.,tagesthemen,19.04.23
00:23:25:17,00:23:29:13,"Waeren wir davon ausgegangen, dass das passieren koennte,",tagesthemen,19.04.23
00:23:29:15,00:23:32:22,waeren wir nicht zum Sportunterricht gegangen.,tagesthemen,19.04.23
00:23:35:00,00:23:37:11,"Es gab einen Versuch der Bundeswehr,",tagesthemen,19.04.23
00:23:37:13,00:23:40:10,150 deutsche Staatsbuerger aus dem Land zu holen.,tagesthemen,19.04.23
00:23:40:12,00:23:43:03,Der musste abgebrochen werden.,tagesthemen,19.04.23
00:23:43:24,00:23:46:23,Fuehlen Sie sich politisch im Stich gelassen?,tagesthemen,19.04.23
00:23:50:02,00:23:53:21,Ich werde mehrmals am Tag von der Botschaft angerufen.,tagesthemen,19.04.23
00:23:54:09,00:23:57:09,Die deutsche Regierung tut ihr Bestes.,tagesthemen,19.04.23
00:23:57:24,00:24:00:05,Es ist eine sehr schwierige Lage.,tagesthemen,19.04.23
00:24:00:07,00:24:03:20,"Man muss warten, dass es soweit stabil ist,",tagesthemen,19.04.23
00:24:03:22,00:24:06:01,dass man hier reinfliegen kann.,tagesthemen,19.04.23
00:24:06:14,00:24:10:08,"Wir werden staendig informiert, was vorbereitet wird.",tagesthemen,19.04.23
00:24:10:10,00:24:13:17,"Es ist besser als das,",tagesthemen,19.04.23
00:24:14:06,00:24:17:17,was ich von manchen Kollegen aus anderen Laendern hoere.,tagesthemen,19.04.23
00:24:17:19,00:24:19:16,Wollen Sie raus aus dem Land?,tagesthemen,19.04.23
00:24:21:22,00:24:24:15,Ich bin hier mit meinem achtjaehrigen Sohn.,tagesthemen,19.04.23
00:24:24:17,00:24:28:11,"Es ist meine persoenliche Prioritaet, ihn in Sicherheit zu bringen.",tagesthemen,19.04.23
00:24:28:16,00:24:31:04,Natuerlich werde ich mit ihm fliegen.,tagesthemen,19.04.23
00:24:31:06,00:24:36:13,Es wird aber eine extrem schwierige Zeit sein.,tagesthemen,19.04.23
00:24:37:09,00:24:40:09,Ich habe viele sudanesische Freunde und Kollegen.,tagesthemen,19.04.23
00:24:40:11,00:24:42:15,Ich habe hier sieben Jahre gelebt.,tagesthemen,19.04.23
00:24:42:17,00:24:46:19,"Die Idee, dass ich raus kann und die anderen nicht, ist nicht leicht.",tagesthemen,19.04.23
00:24:47:19,00:24:50:16,Deutschland und andere internationale Akteure,tagesthemen,19.04.23
00:24:50:18,00:24:54:06,setzten nach dem Putsch 2019 ihre Entwicklungshilfe aus.,tagesthemen,19.04.23
00:24:55:07,00:24:58:00,"Was braucht das Land, die Menschen jetzt?",tagesthemen,19.04.23
00:25:01:08,00:25:04:19,"Die Menschen brauchen Frieden, dass die Kaempfe stoppen.",tagesthemen,19.04.23
00:25:04:21,00:25:07:22,Keine Waffen in Wohngegenden eingesetzt werden.,tagesthemen,19.04.23
00:25:08:13,00:25:12:04,"Kinder, Krankenhaeuser und Schulen muessen geschuetzt werden.",tagesthemen,19.04.23
00:25:13:03,00:25:16:02,"Und sie brauchen Hilfe fuer den Wiederaufbau,",tagesthemen,19.04.23
00:25:16:17,00:25:19:22,um das Gesundheitssystem wieder instand zu setzen.,tagesthemen,19.04.23
00:25:20:00,00:25:23:02,Die Bedarfe waren schon vorher gross.,tagesthemen,19.04.23
00:25:23:15,00:25:26:08,"Auch wenn wir keine genauen Zahlen haben,",tagesthemen,19.04.23
00:25:26:10,00:25:29:21,es wird danach noch viel mehr sein.,tagesthemen,19.04.23
00:25:31:17,00:25:35:02,Vielen Dank fuer das Gespraech und Ihnen alles Gute.,tagesthemen,19.04.23
00:25:35:04,00:25:37:07,Danke schoen.,tagesthemen,19.04.23
00:25:39:13,00:25:44:10,Weitere Nachrichten jetzt mit Thorsten.,tagesthemen,19.04.23
00:25:46:06,00:25:48:11,Die beginnen mit Klimaprotesten.,tagesthemen,19.04.23
00:25:48:24,00:25:52:22,"Etwa 150 Klima-Demonstranten der Protestgruppe ""Letzte Generation""",tagesthemen,19.04.23
00:25:52:24,00:25:56:22,haben im Berliner Regierungsviertel mit Strassenblockaden begonnen.,tagesthemen,19.04.23
00:25:56:24,00:26:00:00,"Die Gruppe hatte angekuendigt, in der kommenden Woche",tagesthemen,19.04.23
00:26:00:02,00:26:03:03,den Strassenverkehr in der Hauptstadt zu behindern.,tagesthemen,19.04.23
00:26:04:08,00:26:08:03,"Mit Protestmaerschen begann die Klimagruppe ""Letzte Generation""",tagesthemen,19.04.23
00:26:08:05,00:26:10:18,ihre angekuendigten Aktionen in Berlin.,tagesthemen,19.04.23
00:26:11:04,00:26:15:01,"Die Polizei schritt frueh ein, um Strassenblockaden zu verhindern.",tagesthemen,19.04.23
00:26:15:03,00:26:19:10,Trotzdem kam es im Stadtbezirk Mitte zu Verkehrsbehinderungen.,tagesthemen,19.04.23
00:26:19:24,00:26:23:14,"Die ""Letzte Generation"" will die Bundesregierung zwingen,",tagesthemen,19.04.23
00:26:23:16,00:26:25:19,mehr fuer den Klimaschutz zu tun.,tagesthemen,19.04.23
00:26:26:03,00:26:28:14,"Wir haben eine Fortschrittskoalition,",tagesthemen,19.04.23
00:26:28:16,00:26:31:14,aber die bewegt sich keinen Millimeter vorwaerts.,tagesthemen,19.04.23
00:26:31:16,00:26:33:14,Uns laeuft die Zeit davon.,tagesthemen,19.04.23
00:26:33:16,00:26:36:10,Die Klimakrise eskaliert immer weiter.,tagesthemen,19.04.23
00:26:37:00,00:26:38:24,Wegen dieser Dringlichkeit,tagesthemen,19.04.23
00:26:39:01,00:26:41:19,waehlen wir diese drastische Protestform.,tagesthemen,19.04.23
00:26:42:18,00:26:45:24,"Fuer die naechsten Tage kuendigte die ""Letzte Generation""",tagesthemen,19.04.23
00:26:46:00,00:26:48:12,weitere Aktionen im Regierungsviertel an.,tagesthemen,19.04.23
00:26:48:14,00:26:50:10,"Ab kommender Woche plant sie,",tagesthemen,19.04.23
00:26:50:12,00:26:53:14,den Verkehr in ganz Berlin zum Stillstand zu bringen.,tagesthemen,19.04.23
00:26:54:08,00:26:58:04,Reisende muessen sich wieder auf Einschraenkungen einstellen.,tagesthemen,19.04.23
00:26:58:06,00:27:01:00,Mit Beginn der Nachtschicht rief ver.di Personal,tagesthemen,19.04.23
00:27:01:02,00:27:04:06,auf vier Flughaefen zu Warnstreiks bis Freitag auf.,tagesthemen,19.04.23
00:27:04:08,00:27:06:13,Bei der Bahn will die Gewerkschaft EVG,tagesthemen,19.04.23
00:27:06:15,00:27:09:23,von Freitag Nacht bis Mittag den Verkehr lahmlegen.,tagesthemen,19.04.23
00:27:10:00,00:27:13:19,"Auch danach ist mit Problemen zu rechnen, weil Zuege und Personal",tagesthemen,19.04.23
00:27:13:21,00:27:17:07,"nicht dort sein werden, wo sie nach dem Plan sein muessten.",tagesthemen,19.04.23
00:27:18:12,00:27:22:02,Die EU will die heimische Chip-Industrie foerdern.,tagesthemen,19.04.23
00:27:22:04,00:27:24:20,Ein milliardenschweres Subventions-Paket,tagesthemen,19.04.23
00:27:24:23,00:27:29:04,soll ihre Wettbewerbsfaehigkeit v.a. gegenueber Asien staerken.,tagesthemen,19.04.23
00:27:30:17,00:27:33:02,Anja Kohl von der Frankfurter Boerse.,tagesthemen,19.04.23
00:27:34:19,00:27:37:19,"Die europaeische Industrie, v.a. die Autobranche,",tagesthemen,19.04.23
00:27:37:21,00:27:41:11,ist hochgradig von asiatischen Chip-Lieferanten abhaengig.,tagesthemen,19.04.23
00:27:41:13,00:27:44:01,Die EU will diese Abhaengigkeit verringern.,tagesthemen,19.04.23
00:27:44:03,00:27:46:03,Mit dem European Chips Act.,tagesthemen,19.04.23
00:27:46:16,00:27:50:20,"Er umfasst Foerderhilfen von 43 Mrd. Euro fuer neue Chip-Fabriken,",tagesthemen,19.04.23
00:27:50:22,00:27:54:04,die den EU-Eigenbedarf an Chips decken sollen.,tagesthemen,19.04.23
00:27:55:04,00:27:59:08,"Letztlich will die EU bis 2030 ihren Weltmarktanteil verdoppeln,",tagesthemen,19.04.23
00:27:59:20,00:28:02:22,von aktuell 10 auf 20 Prozent.,tagesthemen,19.04.23
00:28:03:18,00:28:07:21,"Da ueberall Chips gebraucht werden, in Smartphones und Elektrogeraeten,",tagesthemen,19.04.23
00:28:07:23,00:28:11:01,duerften dennoch zu wenig Chips zur Verfuegung stehen.,tagesthemen,19.04.23
00:28:11:03,00:28:14:22,Konkrete Plaene fuer neue Chip-Fabriken in Deutschland gibt es.,tagesthemen,19.04.23
00:28:14:24,00:28:17:03,Doch ihr Bau wird Jahre dauern.,tagesthemen,19.04.23
00:28:17:05,00:28:21:09,"Legt die EU nicht einen Zahn zu, werden in der EU zwangslaeufig",tagesthemen,19.04.23
00:28:21:11,00:28:25:19,"deutlich weniger Autos gebaut, warnt der Autoverband VDA.",tagesthemen,19.04.23
00:28:27:17,00:28:31:21,Sportreporter Heinz Florian Oertel ist mit 95 Jahren gestorben.,tagesthemen,19.04.23
00:28:32:11,00:28:35:06,"Heute wurde bekannt, bereits vor drei Wochen.",tagesthemen,19.04.23
00:28:35:08,00:28:39:12,Oertel berichtete seit Gruendung der DDR in deren Hoerfunk und Fernsehen,tagesthemen,19.04.23
00:28:39:14,00:28:42:21,von 17 Olympischen Spielen und acht Fussball-WMs.,tagesthemen,19.04.23
00:28:43:24,00:28:47:02,Ausserdem moderierte er populaere Schlagersendungen,tagesthemen,19.04.23
00:28:47:04,00:28:48:23,"wie ""Ein Kessel Buntes"".",tagesthemen,19.04.23
00:28:51:22,00:28:54:23,"Es gibt schlimmere Orte, den Sommer zu verbringen",tagesthemen,19.04.23
00:28:55:00,00:28:57:10,als in einem Ferienhaus an der Ostsee.,tagesthemen,19.04.23
00:28:57:19,00:29:01:02,Aber ein Urlaub am Meer macht noch keinen guten Film.,tagesthemen,19.04.23
00:29:01:24,00:29:03:05,"Es wird einer,",tagesthemen,19.04.23
00:29:03:06,00:29:06:24,als der Himmel sich rot faerbt und die Baeume in Flammen stehen.,tagesthemen,19.04.23
00:29:07:01,00:29:08:15,"Ein Waldbrand bedroht das,",tagesthemen,19.04.23
00:29:08:18,00:29:12:11,was man als den alltaeglichen Irrsinn des Lebens bezeichnet.,tagesthemen,19.04.23
00:29:13:01,00:29:17:00,"Warum sollte auch alles glatt gehen, wenn drei Maenner und eine Frau",tagesthemen,19.04.23
00:29:17:02,00:29:20:10,in einem Haus leben und die Liebe nicht draussen bleibt?,tagesthemen,19.04.23
00:29:20:12,00:29:23:23,Der Film Roter Himmel hatte heute in Hamburg Premiere.,tagesthemen,19.04.23
00:29:24:10,00:29:26:06,Benedikt Scheper war dabei.,tagesthemen,19.04.23
00:29:29:02,00:29:32:11,"Sommer, Sonne, sorgenfreie Urlaubsstimmung?",tagesthemen,19.04.23
00:29:33:11,00:29:34:20,Fehlanzeige.,tagesthemen,19.04.23
00:29:36:08,00:29:38:24,Kommst du nicht mit?Nee.,tagesthemen,19.04.23
00:29:41:07,00:29:44:09,"Na komm. Nein, die Arbeit laesst es nicht zu.",tagesthemen,19.04.23
00:29:45:06,00:29:49:14,Vier junge Menschen begegnen sich in einem Ferienhaus an der Ostsee.,tagesthemen,19.04.23
00:29:50:00,00:29:54:08,"Komplexe Charaktere, Erwartungen und Enttaeuschung spielen Pingpong.",tagesthemen,19.04.23
00:29:54:24,00:29:56:07,Schade.,tagesthemen,19.04.23
00:29:57:10,00:30:01:03,"Die einen nehmen das Leben leicht, andere lieber schwer.",tagesthemen,19.04.23
00:30:01:17,00:30:05:06,"Jungschriftsteller Leon hadert mit sich und der Welt,",tagesthemen,19.04.23
00:30:05:08,00:30:07:18,zweifelt nicht nur am neuen Roman.,tagesthemen,19.04.23
00:30:08:23,00:30:11:22,Die Arbeit laesst es nicht zu.,tagesthemen,19.04.23
00:30:15:19,00:30:18:21,Der Film nimmt ganz stark seine Perspektive an.,tagesthemen,19.04.23
00:30:18:23,00:30:22:08,"Er beobachtet ihn, waehrend er andere Leute beobachtet",tagesthemen,19.04.23
00:30:22:10,00:30:25:13,"und sich wuenscht, Teil dieser Gruppe zu sein.",tagesthemen,19.04.23
00:30:26:01,00:30:28:01,Sich selber aber verwehrt.,tagesthemen,19.04.23
00:30:30:12,00:30:33:10,"Menschen am Meer, ein beliebtes Leinwandmotiv,",tagesthemen,19.04.23
00:30:33:12,00:30:35:22,um feinste Spannungen zu verhandeln.,tagesthemen,19.04.23
00:30:36:13,00:30:40:01,"Neid, Liebe und Leid vor sommerlichen Panorama -",tagesthemen,19.04.23
00:30:40:03,00:30:42:01,einander ach so nah.,tagesthemen,19.04.23
00:30:45:03,00:30:47:09,Nadjas Stecher ist Bademeister.,tagesthemen,19.04.23
00:30:50:02,00:30:51:23,"Der da oben, echt?",tagesthemen,19.04.23
00:30:52:18,00:30:55:07,Zumindest war der letzte Nacht bei ihr.,tagesthemen,19.04.23
00:30:55:11,00:30:59:03,Fuer mich sind Sommerfilme Filme ueber brennende Leidenschaften.,tagesthemen,19.04.23
00:30:59:05,00:31:01:01,"Es ist ein Sommernachtstraum,",tagesthemen,19.04.23
00:31:01:03,00:31:04:05,"vielleicht einer, der ein Sommernachtsalbtraum wird.",tagesthemen,19.04.23
00:31:05:01,00:31:07:22,"Grosse Gefuehle vor fragiler Ferienkulisse,",tagesthemen,19.04.23
00:31:08:10,00:31:10:22,das Idyll bedroht von Waldbraenden.,tagesthemen,19.04.23
00:31:11:16,00:31:16:02,Die Natur mehr als nur Symbol fuer zwischenmenschliche Katastrophen.,tagesthemen,19.04.23
00:31:17:01,00:31:20:13,"Wenn die deutschen Waelder brennen und die Tiere, die Teil",tagesthemen,19.04.23
00:31:20:15,00:31:24:11,"der grimmschen Maerchenwelt sind, brennend aus den Waeldern kommen:",tagesthemen,19.04.23
00:31:24:13,00:31:26:23,Dann haben wir keine Geschichten mehr.,tagesthemen,19.04.23
00:31:33:02,00:31:35:10,"Der Film erzaehlt von einer Generation,",tagesthemen,19.04.23
00:31:35:12,00:31:38:07,die wahnsinnig mit sich selbst beschaeftigt ist.,tagesthemen,19.04.23
00:31:38:09,00:31:40:16,Das ist bezeichnend fuer unsere Zeit.,tagesthemen,19.04.23
00:31:40:18,00:31:43:24,Wir kommen nicht raus aus einer Selbstreflexion,tagesthemen,19.04.23
00:31:44:01,00:31:47:20,"und haben das Gefuehl, wir stecken alle fest.",tagesthemen,19.04.23
00:31:49:14,00:31:52:09,"Leon, das musst du dir angucken.",tagesthemen,19.04.23
00:31:53:02,00:31:54:16,Was denn?,tagesthemen,19.04.23
00:31:55:15,00:31:57:16,Jede Szene: eine Skizze.,tagesthemen,19.04.23
00:31:58:04,00:32:01:04,"Von dem was ist und dem, was sein koennte.",tagesthemen,19.04.23
00:32:01:13,00:32:03:08,"Macht Angst, oder?",tagesthemen,19.04.23
00:32:04:07,00:32:06:21,Manche Momente - grandios gemalt.,tagesthemen,19.04.23
00:32:06:23,00:32:09:12,Die Blaue Stunde vor rotem Himmel -,tagesthemen,19.04.23
00:32:09:14,00:32:13:13,wie die Geschichte hoch symbolisch und schaurig schoen.,tagesthemen,19.04.23
00:32:17:23,00:32:21:06,Der Film laeuft ab morgen im Kino.,tagesthemen,19.04.23
00:32:23:01,00:32:24:07,Zum Wetter.,tagesthemen,19.04.23
00:32:24:09,00:32:25:23,"Karsten, alles ist erlaubt.",tagesthemen,19.04.23
00:32:26:00,00:32:28:12,Nur bitte keinen roten Himmel vorhersagen.,tagesthemen,19.04.23
00:32:29:13,00:32:31:23,Ich habe andere Farben mitgebracht.,tagesthemen,19.04.23
00:32:32:02,00:32:34:24,In erster Linie Blau und ein bisschen Pink.,tagesthemen,19.04.23
00:32:35:05,00:32:38:03,Das sieht man auf dem Niederschlagsradar.,tagesthemen,19.04.23
00:32:39:01,00:32:41:12,Im Sueden Deutschland regnet es.,tagesthemen,19.04.23
00:32:42:15,00:32:45:24,Und ein Regengebiet kommt in den Osten hinein.,tagesthemen,19.04.23
00:32:47:10,00:32:49:21,Die blaue Farbe bedeutet Regen.,tagesthemen,19.04.23
00:32:50:21,00:32:53:00,Die zweite Farbe ist Pink.,tagesthemen,19.04.23
00:32:53:16,00:32:56:17,Das sehen wir im Harz und im Thueringer Wald.,tagesthemen,19.04.23
00:32:56:20,00:32:59:13,Auch im Erzgebirge und am Alpenrand.,tagesthemen,19.04.23
00:32:59:20,00:33:02:10,"Das bedeutet, da gibt es Schnee.",tagesthemen,19.04.23
00:33:04:14,00:33:06:07,In Berlin und Brandenburg,tagesthemen,19.04.23
00:33:06:11,00:33:10:03,liegen die Temperaturen zwischen vier und fuenf Grad.,tagesthemen,19.04.23
00:33:10:16,00:33:12:16,Schnee wird es in der Nacht,tagesthemen,19.04.23
00:33:12:19,00:33:16:06,auch in den westdeutschen Mittelgebirgen geben.,tagesthemen,19.04.23
00:33:18:06,00:33:20:04,Es gibt einen neuen Rekord,tagesthemen,19.04.23
00:33:20:08,00:33:23:03,beim Kohlendioxid-Gehalt der Atmosphaere.,tagesthemen,19.04.23
00:33:26:06,00:33:30:05,Das sind die taeglichen Messungen der letzten beiden Jahre.,tagesthemen,19.04.23
00:33:30:10,00:33:33:00,Der Hoehepunkt ist gewoehnlich im Mai.,tagesthemen,19.04.23
00:33:33:24,00:33:37:02,Aber diese Woche wurde ein Rekord gemessen.,tagesthemen,19.04.23
00:33:39:21,00:33:42:16,Soviel gab es seit Messbeginn noch nie.,tagesthemen,19.04.23
00:33:46:11,00:33:49:04,Wir sehen die Wolken und den Regen.,tagesthemen,19.04.23
00:33:49:23,00:33:52:19,Der arbeitet sich nach Westen voran.,tagesthemen,19.04.23
00:33:55:05,00:33:57:22,Oberhalb von 400 Metern faellt auch Schnee.,tagesthemen,19.04.23
00:33:58:02,00:34:00:06,Tagsueber kann es Gewitter geben.,tagesthemen,19.04.23
00:34:00:10,00:34:04:16,"Fuer die meisten Menschen ist es ein kuehler, nasser und bewoelkter Tag.",tagesthemen,19.04.23
00:34:05:21,00:34:08:04,Eine Ausnahme ist der Nordosten.,tagesthemen,19.04.23
00:34:23:16,00:34:26:09,Hier der Trend fuer die naechsten Tage:,tagesthemen,19.04.23
00:34:39:04,00:34:40:21,Das waren die tagesthemen.,tagesthemen,19.04.23
00:34:40:23,00:34:42:05,Hier geht's weiter,tagesthemen,19.04.23
00:34:42:07,00:34:44:15,mit Sandra Maischberger und ihren Gaesten.,tagesthemen,19.04.23
00:34:44:17,00:34:47:14,Mit dabei auch unser Kollege Constantin Schreiber.,tagesthemen,19.04.23
00:34:47:16,00:34:48:24,Weitere Informationen,tagesthemen,19.04.23
00:34:49:01,00:34:51:20,jetzt in unserem Nachrichtenkanal tagesschau24.,tagesthemen,19.04.23
00:34:51:22,00:34:54:02,Wir sind morgen wieder da. Tschuess.,tagesthemen,19.04.23
00:00:19:00,00:00:22:14,Hier ist das Erste Deutsche Fernsehen mit den tagesthemen.,tagesthemen,20.04.23
00:00:22:16,00:00:26:11,Diese Sendung wurde vom NDR live untertitelt (20.04.2023),tagesthemen,20.04.23
00:00:26:13,00:00:29:08,Heute im Studio: Aline Abboud und Judith Rakers.,tagesthemen,20.04.23
00:00:29:11,00:00:32:14,"Guten Abend. Schoen, dass Sie dabei sind.",tagesthemen,20.04.23
00:00:32:20,00:00:34:00,Guten Abend.,tagesthemen,20.04.23
00:00:34:11,00:00:37:02,"Wenn man sich in den Grossstaedten umschaut,",tagesthemen,20.04.23
00:00:37:04,00:00:40:11,"hat man das Gefuehl, ueberall sind Grossbaustellen.",tagesthemen,20.04.23
00:00:41:15,00:00:44:24,"Es wird gebaut - seit Jahren, wie hier in Hamburg.",tagesthemen,20.04.23
00:00:45:01,00:00:47:05,Trotzdem: Wohnraum ist knapp.,tagesthemen,20.04.23
00:00:47:07,00:00:51:11,Deutschlandweit fehlen geschaetzt 700.000 Wohnungen.,tagesthemen,20.04.23
00:00:52:07,00:00:53:14,Das Problem:,tagesthemen,20.04.23
00:00:53:16,00:00:56:20,Es werden immer weniger Wohnungen und Haeuser gebaut.,tagesthemen,20.04.23
00:00:56:22,00:01:00:02,Denn seit Mai 2022 sinken die Baugenehmigungen.,tagesthemen,20.04.23
00:01:00:04,00:01:02:01,Dafuer gibts viele Gruende:,tagesthemen,20.04.23
00:01:02:03,00:01:06:15,"Steigende Zinsen, Baukosten, Fachkraeftemangel, Buerokratie ...",tagesthemen,20.04.23
00:01:08:05,00:01:11:08,"Die Liste ist lang, die Herausforderung gross.",tagesthemen,20.04.23
00:01:11:10,00:01:15:20,Und der Traum vom Eigenheim ist so aussichtslos wie lange nicht.,tagesthemen,20.04.23
00:01:15:22,00:01:17:06,Lucretia Gather.,tagesthemen,20.04.23
00:01:19:02,00:01:21:23,Ihr Traum vom eigenen Haus ist geplatzt.,tagesthemen,20.04.23
00:01:22:00,00:01:24:23,In einem Neubaugebiet am Rande von Landstuhl,tagesthemen,20.04.23
00:01:25:00,00:01:27:22,wollte Olesja Gruschas mit ihrem Mann bauen.,tagesthemen,20.04.23
00:01:27:24,00:01:31:21,Vier Jahre warteten sie auf den Zuschlag fuer dieses Grundstueck.,tagesthemen,20.04.23
00:01:31:23,00:01:34:20,Aber in dieser Zeit explodierten die Baukosten.,tagesthemen,20.04.23
00:01:34:22,00:01:37:09,Dann verdoppelte sich noch der Zinssatz.,tagesthemen,20.04.23
00:01:37:11,00:01:40:14,Die monatliche Belastung fuer die beiden Angestellten,tagesthemen,20.04.23
00:01:40:16,00:01:42:18,laege jetzt bei ueber 3000 Euro.,tagesthemen,20.04.23
