Timecode In,Timecode Out,Subtitle,Program,Date
00:03:53:06,00:03:56:24,Die soziale Frage koennen und muessen wir abfedern.,tagesthemen,15.03.23
00:03:57:11,00:04:01:22,"Dass also durch den Austausch, wenn ein Gaskessel kaputt ist,",tagesthemen,15.03.23
00:04:03:00,00:04:05:17,keine soziale Not entsteht.,tagesthemen,15.03.23
00:04:08:16,00:04:11:04,Noch ist kein Gesetz beschlossen.,tagesthemen,15.03.23
00:04:11:06,00:04:14:04,Hausbesitzer Toedter will noch nicht sanieren.,tagesthemen,15.03.23
00:04:14:08,00:04:16:12,"Fuer ihn ist der Aufwand zu gross,",tagesthemen,15.03.23
00:04:16:16,00:04:19:18,so lange seine alte Heizung noch funktioniert.,tagesthemen,15.03.23
00:04:20:05,00:04:23:21,"Dazu begruesse ich im Studio Dr. Matthias Sandrock,",tagesthemen,15.03.23
00:04:23:23,00:04:27:05,Geschaeftsfuehrer und Mitbegruender des Hamburg Instituts.,tagesthemen,15.03.23
00:04:27:07,00:04:30:12,Das beraet und forscht im Energie- und Umweltsektor.,tagesthemen,15.03.23
00:04:30:14,00:04:31:16,Guten Abend.,tagesthemen,15.03.23
00:04:31:18,00:04:35:15,Ein Sorgenkind bei der Energiewende ist der Gebaeudesektor.,tagesthemen,15.03.23
00:04:35:24,00:04:38:24,"Aber prescht Minister Habeck nicht zu schnell vor,",tagesthemen,15.03.23
00:04:39:01,00:04:42:23,wenn das Aus fuer Gas- und ÈOl-Heizungen schon 2024 kommen soll?,tagesthemen,15.03.23
00:04:43:00,00:04:46:16,Das Ziel der Klimaneutralitaet bei Gebaeuden ist nicht neu.,tagesthemen,15.03.23
00:04:47:20,00:04:50:24,Das hat das Verfassungsgericht auf 2045 festgelegt.,tagesthemen,15.03.23
00:04:53:05,00:04:56:03,Eine Heizung laeuft 20 oder 25 Jahre.,tagesthemen,15.03.23
00:04:57:22,00:05:01:10,Also muessten wir jetzt fossile Heizungen beenden.,tagesthemen,15.03.23
00:05:05:22,00:05:07:17,"Klimaneutralitaet heisst,",tagesthemen,15.03.23
00:05:07:19,00:05:10:21,dass wir keine fossilen Brennstoffe verfeuern.,tagesthemen,15.03.23
00:05:10:23,00:05:13:23,Viele Verbraucher haben das Gefuehl:,tagesthemen,15.03.23
00:05:15:02,00:05:18:21,Diese Wende wird auf meinem Ruecken ausgetragen,tagesthemen,15.03.23
00:05:19:10,00:05:22:05,und fuehlen sich im Stich gelassen.,tagesthemen,15.03.23
00:05:22:23,00:05:25:12,Es geht nicht nur um den Klimaschutz.,tagesthemen,15.03.23
00:05:25:19,00:05:29:16,Das Versorgungssystem muss resilienter aufgestellt werden.,tagesthemen,15.03.23
00:05:29:18,00:05:32:06,"Der Krieg in der Ukraine hat gezeigt,",tagesthemen,15.03.23
00:05:32:18,00:05:36:08,"wie riskant es ist, sich auf Erdgas zu verlassen.",tagesthemen,15.03.23
00:05:36:24,00:05:38:20,Davon muessen wir weg.,tagesthemen,15.03.23
00:05:39:04,00:05:42:09,Das ist sicherheitspolitisch fuer uns ganz wichtig.,tagesthemen,15.03.23
00:05:42:14,00:05:45:20,Und auch kostentechnisch fuer die Verbraucher.,tagesthemen,15.03.23
00:05:45:22,00:05:50:05,"Auf lange Sicht ist es nicht nur die Investition, die teuer ist,",tagesthemen,15.03.23
00:05:52:15,00:05:56:17,sondern es sind auch die Kosten fuer die Brennstoffversorgung.,tagesthemen,15.03.23
00:05:57:08,00:06:00:00,Waermepumpen sind auf Dauer billiger.,tagesthemen,15.03.23
00:06:01:00,00:06:04:21,"Macht es einen Unterschied, auf Waermepumpen umzustellen?",tagesthemen,15.03.23
00:06:05:20,00:06:06:23,Ja.,tagesthemen,15.03.23
00:06:07:17,00:06:11:07,Es gibt auch die grosse Moeglichkeit der Waermenetze.,tagesthemen,15.03.23
00:06:16:04,00:06:19:00,Daenemark hat sich seit Jahrzehnten befasst,tagesthemen,15.03.23
00:06:19:11,00:06:22:07,mit Waermeversorgung in der Zukunft.,tagesthemen,15.03.23
00:06:23:18,00:06:26:03,Die haben 60 Prozent Waermenetze.,tagesthemen,15.03.23
00:06:26:22,00:06:31:10,Mit so etwas koennen wir Energiequellen effizient nutzen.,tagesthemen,15.03.23
00:06:36:12,00:06:40:17,Viele Kunden moechten vielleicht von sich aus jetzt umsteigen.,tagesthemen,15.03.23
00:06:41:23,00:06:44:19,Aber derzeit gibt es kaum Waermepumpen.,tagesthemen,15.03.23
00:06:44:24,00:06:47:15,"Oder Leute, die es einbauen koennten.",tagesthemen,15.03.23
00:06:47:20,00:06:51:11,"Da reicht es nicht, wenn man es in der Politik so will.",tagesthemen,15.03.23
00:06:52:15,00:06:55:04,Viele schauen dann in die Roehre.,tagesthemen,15.03.23
00:06:55:17,00:06:58:01,Das ist nicht so explizit.,tagesthemen,15.03.23
00:06:59:20,00:07:03:13,Man kann mit Gasheizungen in Hybridloesungen arbeiten.,tagesthemen,15.03.23
00:07:05:04,00:07:09:10,Man kann auch in manchen Dingen fossile Heizungen einbauen.,tagesthemen,15.03.23
00:07:10:01,00:07:13:19,Die Ausnahmen-Regelungen sind natuerlich verwirrend.,tagesthemen,15.03.23
00:07:16:15,00:07:18:15,Der Trend muss klar sein.,tagesthemen,15.03.23
00:07:18:17,00:07:22:01,Es muss weg gehen von fossilen Energiequellen.,tagesthemen,15.03.23
00:07:22:08,00:07:25:13,Wir brauchen neue Energie-Technologien.,tagesthemen,15.03.23
00:07:30:16,00:07:34:00,Auch die Hersteller brauchen eine Sicherheit.,tagesthemen,15.03.23
00:07:35:11,00:07:39:02,"Die muessen wissen, welcher Markt in der Zukunft kommt.",tagesthemen,15.03.23
00:07:39:20,00:07:43:15,Dann koennen die Unternehmen in neue Anlagen investieren.,tagesthemen,15.03.23
00:07:45:12,00:07:48:13,Die Herausforderungen wird man loesen koennen.,tagesthemen,15.03.23
00:07:48:18,00:07:51:16,Wir in Deutschland reden Dinge oft schlecht.,tagesthemen,15.03.23
00:07:52:04,00:07:54:08,Aber man kann das schaffen.,tagesthemen,15.03.23
00:07:54:18,00:07:57:13,In Norwegen hat man 60 Prozent Waermepumpen.,tagesthemen,15.03.23
00:07:58:12,00:07:59:23,Es funktioniert.,tagesthemen,15.03.23
00:08:01:15,00:08:06:04,In Skandinavien werden vielleicht die Menschen besser mitgenommen.,tagesthemen,15.03.23
00:08:06:18,00:08:10:04,"Was muss Habeck tun, die Leute mitzunehmen?",tagesthemen,15.03.23
00:08:11:07,00:08:14:00,Vielleicht haengt es am Staatsverstaendnis.,tagesthemen,15.03.23
00:08:14:06,00:08:17:24,Wir haben viel mit skandinavischen Unternehmen zu tun.,tagesthemen,15.03.23
00:08:18:09,00:08:21:07,Die Daenen sehen den Staat nicht als Gegner.,tagesthemen,15.03.23
00:08:21:20,00:08:25:03,Die sehen so etwas als Gemeinschaftsaufgabe.,tagesthemen,15.03.23
00:08:30:08,00:08:34:11,"Bei uns ist ein Gesetz etwas, mit dem man gegaengelt wird.",tagesthemen,15.03.23
00:08:36:01,00:08:38:20,Da wird es als schlechte Loesung gesehen.,tagesthemen,15.03.23
00:08:39:04,00:08:42:17,"Aber wir brauchen klare Wege, auch fuer die Industrie.",tagesthemen,15.03.23
00:08:43:02,00:08:46:14,"Die muessen wissen, wie es in der Zukunft aussieht.",tagesthemen,15.03.23
00:08:49:06,00:08:52:15,"Wir nehmen an, dass es mit den Waermepumpen klappt.",tagesthemen,15.03.23
00:08:54:01,00:08:56:14,Wir finden Loesungen fuer die Probleme.,tagesthemen,15.03.23
00:08:56:20,00:08:59:16,Waermepumpen sind aber Stromfresser.,tagesthemen,15.03.23
00:09:04:00,00:09:07:04,Waermepumpen sind nur so gut wie der Strom.,tagesthemen,15.03.23
00:09:09:18,00:09:12:06,Das kann nicht losgeloest werden,tagesthemen,15.03.23
00:09:12:18,00:09:16:03,von erneuerbaren Energien in der Stromerzeugung.,tagesthemen,15.03.23
