Content Type,Date,Program,Segment Description,Speaker Description,Speaker Name,Subtitle,Processed
Sachinhalt,2023-06-13,tagesthemen,Die Bundesregierung hat den monatelangen Streit über das Gebäudeenergiegesetz (Heizungsgesetz) vorerst beigelegt. Insbesondere Bündnis 90/Die Grünen und FDP hatten erbittert über den Gesetzentwurf von Robert Habeck (Bündnis 90/Die Grünen) gestritten. Nach mehrmaligem Verschieben soll das Gesetz in dieser Woche im Bundestag beraten werden. Mit dem Gesetz will die Bundesregierung für mehr Klimaschutz beim Heizen sorgen. Ab 2024 soll möglichst jede neu eingebaute Heizung zu mindestens 65 Prozent mit Ökoenergie betrieben werden. Bildinhalt,Moderation,Caren Miosga,Dann ab zum naechsten Termin.,ab naechst termin --
Sachinhalt,2023-06-13,tagesthemen,Die Bundesregierung hat den monatelangen Streit über das Gebäudeenergiegesetz (Heizungsgesetz) vorerst beigelegt. Insbesondere Bündnis 90/Die Grünen und FDP hatten erbittert über den Gesetzentwurf von Robert Habeck (Bündnis 90/Die Grünen) gestritten. Nach mehrmaligem Verschieben soll das Gesetz in dieser Woche im Bundestag beraten werden. Mit dem Gesetz will die Bundesregierung für mehr Klimaschutz beim Heizen sorgen. Ab 2024 soll möglichst jede neu eingebaute Heizung zu mindestens 65 Prozent mit Ökoenergie betrieben werden. Bildinhalt,Moderation,Caren Miosga,Vielleicht eine Standleitung zur Gruenen-Fraktion.,vielleicht standleitung gruenenfrakt --
O-Ton,2023-06-13,tagesthemen,"(Wenn man will, kannman zueinander kommen, aber man muss es auch wollen; und wenn man nicht will, dann liegt's nicht daran,15.11.2023 09:50 Seite 34 von 57 NDR Copyright (c) 2004",Bundesminister für Wirtschaft und Klimaschutz/Bündnis 90/Die Grünen,Robert Habeck,Bald gehoert seine Aufmerksamkeit dem Smartphone.,bald gehoern aufmerksamkeit smartphon --
O-Ton,2023-06-13,tagesthemen,"(Wenn man will, kannman zueinander kommen, aber man muss es auch wollen; und wenn man nicht will, dann liegt's nicht daran,15.11.2023 09:50 Seite 34 von 57 NDR Copyright (c) 2004",Bundesminister für Wirtschaft und Klimaschutz/Bündnis 90/Die Grünen,Robert Habeck,Er geht dann rein.,gehen rein --
O-Ton,2023-06-13,tagesthemen,"(Wenn man will, kannman zueinander kommen, aber man muss es auch wollen; und wenn man nicht will, dann liegt's nicht daran,15.11.2023 09:50 Seite 34 von 57 NDR Copyright (c) 2004",Bundesminister für Wirtschaft und Klimaschutz/Bündnis 90/Die Grünen,Robert Habeck,"Wenn man will, kann man zueinander kommen. Aber man muss es wollen.",zueinand kommen -- --
Sachinhalt,2023-06-13,tagesthemen,Die Bundesregierung hat den monatelangen Streit über das Gebäudeenergiegesetz (Heizungsgesetz) vorerst beigelegt. Insbesondere Bündnis 90/Die Grünen und FDP hatten erbittert über den Gesetzentwurf von Robert Habeck (Bündnis 90/Die Grünen) gestritten. Nach mehrmaligem Verschieben soll das Gesetz in dieser Woche im Bundestag beraten werden. Mit dem Gesetz will die Bundesregierung für mehr Klimaschutz beim Heizen sorgen. Ab 2024 soll möglichst jede neu eingebaute Heizung zu mindestens 65 Prozent mit Ökoenergie betrieben werden. Bildinhalt,Moderation,Caren Miosga,Am fruehen Morgen Habeck auf dem Weg zu einer Konferenz.,frueh morgen habeck weg konferenz --
Sachinhalt,2023-06-13,tagesthemen,Die Bundesregierung hat den monatelangen Streit über das Gebäudeenergiegesetz (Heizungsgesetz) vorerst beigelegt. Insbesondere Bündnis 90/Die Grünen und FDP hatten erbittert über den Gesetzentwurf von Robert Habeck (Bündnis 90/Die Grünen) gestritten. Nach mehrmaligem Verschieben soll das Gesetz in dieser Woche im Bundestag beraten werden. Mit dem Gesetz will die Bundesregierung für mehr Klimaschutz beim Heizen sorgen. Ab 2024 soll möglichst jede neu eingebaute Heizung zu mindestens 65 Prozent mit Ökoenergie betrieben werden. Bildinhalt,Moderation,Caren Miosga,Es ist ein Tag der Wahrheit fuer Robert Habeck.,tag wahrheit fuer robert habeck --
O-Ton,2023-06-13,tagesthemen,"(Das Gesetz hat sich nie alleine auf die Wärmepumpe konzentriert. Das hatte von Anfangan acht Erfüllungsoption, wie man diese klimaneutrale Heizung schaffen kann. Und das zweite ist, es wirdweiterhin und das ist ganz wichtig, ab dem 01.01.2024 gelten. Was wir jetzt ermöglichen oder worauf wir unsverständigt haben, ist eine Entscheidungszeit. Das heißt in dem Zeitraum, bis dann eine kommunaleWärmeplanung da ist. Spätestens bis 2028 haben die Menschen die Möglichkeit zu warten. Darauf kommtdenn die Fernwärme in meinem Stadtteil wird hier geplant, ob es ein Wasserstoff Quartier ist. Und da sindmehr Entscheidungsoptionen jetzt möglich. Aber die Heizungen, die in diesem Zeitraum eingebaut werden,die müssen dann, wenn die Wärmeplanung vorliegt, auch die Anforderungen erfüllen. Deswegen haben wirGrünen auch an dieser Stelle gesagt, es ist kein weniger an Klimaschutz, weil die Heizung ja dann am Endeauch klimaneutral sein müssen oder 65 Prozent Erneuerbare schaffen müssen an dieser Stelle. Aber wirermöglichen mehr Entscheidungszeit)",,Katharina Dröge,"Bis eine kommunale Waermeplanung, spaetestens 2028, vorliegt,",kommun waermeplanung spaetesten 2028 vorliegen
,2023-06-13,tagesthemen,,,,Daniel Pokraka.,daniel pokraka --
,2023-06-13,tagesthemen,,,,finanziellen Belastungen geschuetzt.,finanziel belastung schuetzen --
O-Ton,2023-06-13,tagesthemen,"(Es war ein unheimlich wichtiges Signal, dass wir uns jetzt als drei Fraktionsvorsitzendegemeinsam in die Öffentlichkeit begeben haben, und gesagt haben, das ist das, was die Ampel unterstütztund vor dem Sommer auch im Deutschen Bundestag beschließen wird. Auf der einen Seite glaube ichzurecht, die Menschen keinen Streit in dieser Bundesregierung mehr über dieses Gesetz hören wollen. Unddeswegen ist es gut, dass wir das jetzt miteinander geklärt haben. Und zum anderen, weil wir jetzt auchPlanungssicherheit an der Stelle schaffen. Das Gesetz tritt ja bald in Kraft, und damit haben wir jetzt dieSicherheit, wenn das Gesetz auch zeitnah kommt, dass die Menschen wissen, was kommt auf sie zu. Ichkann absolut nachvollziehen, dass Menschen, die sich fragen, brauche ich eine neue Heizung, sich auchfragen wie kann ich die bezahlen? Und deswegen wäre es gut gewesen, wenn von Anfang an schon nebendem Gesetzentwurf, der etwas unfreiwillig das Licht der Öffentlichkeit erblickt hat, auch das Konzept zursozialen Unterstützung dagewesen wäre. Wenn das gleichzeitig dagewesen wäre, hätten wir viel mehrFragen der Menschen nach der sozialen Belastung auch beantworten können. Und das ist mit Sicherheitetwas, was in Zukunft auch unsere Antwort ist, wenn wir Anforderungen stellen, dann muss das, wie geht esfür die Leute, ganz konkret immer daneben stehen. Und das ist vor allen Dingen die Frage wie finanziere ichdas)",dass wir uns jetzt als drei Fraktionsvorsitzende,Katharina Dröge (Es war ein unheimlich wichtiges Signal,"wissen moechten, ob sie die bezahlen koennen.",wissen moecht bezahlen koenn --
,2023-06-13,tagesthemen,,,,Hausbesitzer und Mieter werden vor zu grossen,hausbesitz mieter grossen
,2023-06-13,tagesthemen,,,,Fuer viele gilt das Gesetz erst ab 2028.,fuer viel gelten gesetz erst ab 2028.
,2023-06-13,tagesthemen,,,,"Die Deutschen bekommen mehr Zeit, die alte Heizung auszutauschen.",deutsch bekommen mehr zeit alt heizung austauschen --
,2023-06-13,tagesthemen,,,,Nun kam heraus:,kommen herau
,2023-06-13,tagesthemen,,,,"Die Gruenen wollten Vollgas geben, die Gelben und Roten bremsten aber.",gruen vollga geben gelb rot bremst --
,2023-06-13,tagesthemen,,,,Unter groessten Muehen und nach einem quaelend langen Streit.,groesst mueh quaelend lang streit --
,2023-06-13,tagesthemen,,,,"nicht ueber den Sommer zieht, musste sich die Koalition heute einigen.",ueber sommer ziehen koalit heut --
O-Ton,2023-06-13,tagesthemen,"(Es war ein unheimlich wichtiges Signal, dass wir uns jetzt als drei Fraktionsvorsitzendegemeinsam in die Öffentlichkeit begeben haben, und gesagt haben, das ist das, was die Ampel unterstütztund vor dem Sommer auch im Deutschen Bundestag beschließen wird. Auf der einen Seite glaube ichzurecht, die Menschen keinen Streit in dieser Bundesregierung mehr über dieses Gesetz hören wollen. Unddeswegen ist es gut, dass wir das jetzt miteinander geklärt haben. Und zum anderen, weil wir jetzt auchPlanungssicherheit an der Stelle schaffen. Das Gesetz tritt ja bald in Kraft, und damit haben wir jetzt dieSicherheit, wenn das Gesetz auch zeitnah kommt, dass die Menschen wissen, was kommt auf sie zu. Ichkann absolut nachvollziehen, dass Menschen, die sich fragen, brauche ich eine neue Heizung, sich auchfragen wie kann ich die bezahlen? Und deswegen wäre es gut gewesen, wenn von Anfang an schon nebendem Gesetzentwurf, der etwas unfreiwillig das Licht der Öffentlichkeit erblickt hat, auch das Konzept zursozialen Unterstützung dagewesen wäre. Wenn das gleichzeitig dagewesen wäre, hätten wir viel mehrFragen der Menschen nach der sozialen Belastung auch beantworten können. Und das ist mit Sicherheitetwas, was in Zukunft auch unsere Antwort ist, wenn wir Anforderungen stellen, dann muss das, wie geht esfür die Leute, ganz konkret immer daneben stehen. Und das ist vor allen Dingen die Frage wie finanziere ichdas)",dass wir uns jetzt als drei Fraktionsvorsitzende,Katharina Dröge (Es war ein unheimlich wichtiges Signal,"Wenn es um Veraenderung geht, muessen wir auch die Finanzierung beachten.",veraenderung gehen muessen finanzierung beachten --
O-Ton,2023-06-13,tagesthemen,"(Also es ist ja tatsächlich so, dass die Klimakrise mittlerweile so brandaktuell ist, dass wirgar nicht mehr die Lebenszeit eine Heizung haben, bis wir die Klimaziele erreichen müssen. Die Heizung hält15.11.2023 09:50 Seite 32 von 57 NDR Copyright (c) 2004","dass die Klimakrise mittlerweile so brandaktuell ist, dass wir",Katharina Dröge (Also es ist ja tatsächlich so,Wir muessen die Menschen mitnehmen.,muessen mensch mitnehmen --
