Programme,Section Title,Content Type,Speaker Name,Speaker Description,Segment Description,Date,Start Time,Duration
Tagesschau,01 Bundesregierung: Gebäudeenergiegesetz,O-Ton,Christian Dürr,Fraktionsvorsitzender FDP,"(Es wird im parlamentarischen Verfahren Änderungen amGesetzentwurf geben; im Vergleich zum ursprünglichen Entwurf von Robert Habeck ist er besser geworden,aber wir wollen Technologieoffen sein, weil nicht überall die Wärmepumpe passt)",19.04.2023,20:02:13.24,"0'12"""
Tagesschau,01 Bundesregierung: Gebäudeenergiegesetz,O-Ton,Jens Spahn,stellvertretender Fraktionsvorsitzender CDU/CSU,"(Das Gesetz, so wie es heute im Kabinettbeschlossen wurde, hat schon in der Koalition keine Mehrheit; das Chaos bei der Wärme-Wende geht weiter)",19.04.2023,20:02:30.07,"0'11"""
Tagesschau,01 Bundesregierung: Gebäudeenergiegesetz,O-Ton,Justus Kliss,Korrespondent,Aufsager,19.04.2023,20:02:49.13,"0'12"""
Tagesschau,FDP-Parteitag Sa 20:00 02,Einspieler,,,,19.04.2023,,"1'44"""
Tagesschau,02 FDP-Parteitag,Sachinhalt,Julia-Niharika Sen,Moderation,"Der FDP-Bundesparteitag hat darüber entschieden, das Gebäudeenergiegesetzes mit den Vorgaben für den Heizungsaustausch komplett zu stoppen. Der FDP-Bezirksverband Ostwestfalen-Lippe hatte einen entsprechenden Dringlichkeitsantrag eingereicht, der auf dem Parteitag angenommen wurde. Bildinhalt",22.04.2023,20:03:28.02,"1'44"""
Tagesschau,02 FDP-Parteitag,Bildinhalt,Julia-Niharika Sen,Moderation,"FDP-Parteitag, u.a. Frank Schäffler unter den Abgeordneten; Internetseite mit Informationen zum Gebäudeenergiegesetz (Antrag D004); Schäffler bei Rede; Applaus Parteimitglieder",22.04.2023,20:03:28.02,"0'52"""
Tagesschau,02 FDP-Parteitag,Bildinhalt,Julia-Niharika Sen,Moderation,Abstimmung Dringlichkeitsantrag; Antrag wird angenommen O-Ton,22.04.2023,20:04:20.23,"0'51"""
Tagesschau,02 FDP-Parteitag,O-Ton,Frank Schäffler,Vorsitzender FDP Ostwestfalen-Lippe,"(Ja wir wollen das Gebäudeenergiegesetz, dassRobert Habeck ja eingebracht hat, dass ja ein Heizungsverbotsgesetz ist, das wollen wir vom Kopf auf dieFüße stellen)",22.04.2023,20:03:45.09,"0'08"""
Tagesschau,02 FDP-Parteitag,O-Ton,Frank Schäffler,Vorsitzender FDP Ostwestfalen-Lippe,"(fordert, dass man den Menschen überlassen sollte,wie sie investieren und dass man sie nicht bevormunden sollte. Und dass dies die liberale Botschaft diesesParteitags sein sollte; bittet um Unterstützung)",22.04.2023,20:04:07.12,"0'13"""
Tagesschau,Lage der Bundes-Grünen vor der Bremenwahl So 20:00 03,Einspieler,,,,22.04.2023,,"1'43"""
