,Content Type,Date,Program,Speaker Description,Speaker Name,Subtitle,affiliation,Processed
1,O-Ton,2023-03-28,tagesthemen,Vorsitzende Bündnis 90/Die Grünen,Ricarda Lang,"Gerade, wenn es um Klima und Verkehr geht.",Die Grünen,gerade Klima Verkehr gehen
2,O-Ton,2023-03-28,tagesthemen,wenn durch Baumaßnahmen in Natur und,Ricarda Lang (zur Möglichkeit von Kompensationszahlungen,Da wird das Umweltministerium mit den Laendern arbeiten.,Die Grünen,Umweltministerium Laender arbeiten
3,O-Ton,2023-03-28,tagesthemen,wenn durch Baumaßnahmen in Natur und,Ricarda Lang (zur Möglichkeit von Kompensationszahlungen,Es bleibt beim Paradigmenwechsel.,Die Grünen,bleiben Paradigmenwechsel
4,O-Ton,2023-03-28,tagesthemen,,Ricarda Lang,"Es klingt danach, als koenne nur die FDP zufrieden sein.",Die Grünen,klingen danach Koenne FDP zufrieden
5,O-Ton,2023-03-28,tagesthemen,,Ricarda Lang,"Dass wir Verantwortung fuer das ganze Land uebernehmen, ist klar.",Die Grünen,Verantwortung Fuer ganz Land uebernehmen klar
6,O-Ton,2023-03-28,tagesthemen,,Ricarda Lang,"Dass sich eine Regierung einigen muss, ist auch klar.",Die Grünen,Regierung klar
7,O-Ton,2023-03-28,tagesthemen,,Ricarda Lang,"Wir haben vereinbart, dass die Lkw Maut im naechsten Jahr steigt.",Die Grünen,vereinbaren Lkw mauen naechst Jahr steigen
8,O-Ton,2023-03-28,tagesthemen,,Ricarda Lang,Der Erloes geht ueberwiegend an die Schiene.,Die Grünen,erloes gehen ueberwiegend Schiene
9,O-Ton,2023-03-28,tagesthemen,,Ricarda Lang,Fuenf Milliarden Euro werden nur an die Schiene gehen.,Die Grünen,Fuenf Milliarde Euro Schiene gehen
10,O-Ton,2023-03-28,tagesthemen,,Ricarda Lang,Wir haben eine begrenzte Anzahl von Autobahnen beschleunigt.,Die Grünen,begrenzt Anzahl Autobahn beschleunigen
11,O-Ton,2023-03-28,tagesthemen,,Ricarda Lang,"Es geht aber nur, wenn gleichzeitig Solaranlagen gebaut werden.",Die Grünen,gehen gleichzeitig Solaranlage bauen
12,O-Ton,2023-03-28,tagesthemen,,Ricarda Lang,Jeder Kilometer Autobahn wird auch fuer erneuerbare Energien genutzt.,Die Grünen,Kilometer Autobahn Fuer erneuerbar Energie nutzen
13,O-Ton,2023-03-28,tagesthemen,,Ricarda Lang,"Wir bekraeftigen gemeinsam, dass das Gebaeude-Energiegesetz kommen wird.",Die Grünen,bekraeftigen gemeinsam Gebaeudeenergiegesetz kommen
14,O-Ton,2023-03-28,tagesthemen,,Ricarda Lang,Wir werden einen sozialen Ausgleich dafuer machen.,Die Grünen,sozial Ausgleich Dafuer
15,O-Ton,2023-03-28,tagesthemen,,Ricarda Lang,Wir sprechen noch mit einem weiteren Teilnehmer,Die Grünen,sprechen weit Teilnehmer
16,O-Ton,2023-03-28,tagesthemen,Vorsitzende Bündnis 90/Die Grünen,Ricarda Lang,In den letzten Jahren ist vieles liegen geblieben.,Die Grünen,letzter Jahr viele liegen bleiben
17,O-Ton,2023-03-28,tagesthemen,,Ricarda Lang,der Marathon-Sitzung.,Die Grünen,Marathonsitzung
18,O-Ton,2023-03-28,tagesthemen,Vorsitzende Bündnis 90/Die Grünen,Ricarda Lang,"Wir schaffen es immer noch nicht, die Luecke beim Verkehr zu schliessen.",Die Grünen,schaffen immer Luecke Verkehr schliessen
19,O-Ton,2023-03-28,tagesthemen,Vorsitzende Bündnis 90/Die Grünen,Ricarda Lang,Wir kommen aus nicht einfachen Verhandlungen.,Die Grünen,kommen einfach Verhandlung
29,O-Ton,2023-03-28,tagesthemen,Vorsitzende Bündnis 90/Die Grünen,Ricarda Lang,"In Berlin begruesse ich die Co-Partei-Chefin der Gruenen,",Die Grünen,Berlin begruessen Coparteichefin gruen
30,O-Ton,2023-03-28,tagesthemen,Vorsitzende Bündnis 90/Die Grünen,Ricarda Lang,Ricarda Lang.,Die Grünen,Ricarda lang
31,O-Ton,2023-03-28,tagesthemen,Vorsitzende Bündnis 90/Die Grünen,Ricarda Lang,Guten Abend.,Die Grünen,gut Abend
32,O-Ton,2023-03-28,tagesthemen,Vorsitzende Bündnis 90/Die Grünen,Ricarda Lang,"Vor einer Woche beklagte Robert Habeck hier im Interview beklagt,",Die Grünen,Woche beklagt Robert Habeck Interview beklagen
33,O-Ton,2023-03-28,tagesthemen,Vorsitzende Bündnis 90/Die Grünen,Ricarda Lang,die Koalition komme ihrem Auftrag nicht nach.,Die Grünen,Koalition kommen Auftrag
34,O-Ton,2023-03-28,tagesthemen,Vorsitzende Bündnis 90/Die Grünen,Ricarda Lang,Wird sie das nach dieser Marathon-Sitzung nun?,Die Grünen,Marathonsitzung
35,O-Ton,2023-03-28,tagesthemen,Vorsitzende Bündnis 90/Die Grünen,Ricarda Lang,Es waren zaehe Verhandlungen.,Die Grünen,zaehen Verhandlung
36,O-Ton,2023-03-28,tagesthemen,,Ricarda Lang,Ebenfalls in unserem Hauptstadtstudio,Die Grünen,ebenfalls Hauptstadtstudio
37,O-Ton,2023-03-28,tagesthemen,wenn durch Baumaßnahmen in Natur und,Ricarda Lang (zur Möglichkeit von Kompensationszahlungen,In diesem Papier steckt ein grosser Fortschritt fuer den Naturschutz.,Die Grünen,Papier stecken Grosser Fortschritt Fuer Naturschutz
38,O-Ton,2023-03-28,tagesthemen,,Ricarda Lang,"Man kann das untereinander vermauscheln,",Die Grünen,untereinander vermauscheln
39,O-Ton,2023-03-28,tagesthemen,,Ricarda Lang,Das ist ein Kompromiss.,Die Grünen,Kompromiss
40,O-Ton,2023-03-28,tagesthemen,,Ricarda Lang,Kein Sektor wird aus der Verantwortung genommen.,Die Grünen,Sektor Verantwortung nehmen
41,O-Ton,2023-03-28,tagesthemen,,Ricarda Lang,Dann muss der betreffende Sektor Verantwortung uebernehmen.,Die Grünen,betreffend Sektor Verantwortung uebernehmen
42,O-Ton,2023-03-28,tagesthemen,,Ricarda Lang,Es kann nicht zur Verantwortungs- Diffusion kommen.,Die Grünen,Verantwortungs Diffusion kommen
43,O-Ton,2023-03-28,tagesthemen,,Ricarda Lang,kann ein Sektor dem anderen helfen.,Die Grünen,Sektor helfen
44,O-Ton,2023-03-28,tagesthemen,,Ricarda Lang,"Nur wenn die Regierung als gesamtes ihre Klimaziele einhaelt,",Die Grünen,Regierung Gesamt Klimaziel einhaeln
45,O-Ton,2023-03-28,tagesthemen,,Ricarda Lang,welcher Sektor besser dasteht.,Die Grünen,Sektor gut dastehen
46,O-Ton,2023-03-28,tagesthemen,,Ricarda Lang,"Wenn wir uns einig gewesen waeren,",Die Grünen,waeren
47,O-Ton,2023-03-28,tagesthemen,,Ricarda Lang,dass nicht mehr jeder Bereich fuer sich Klimaziele erreichen muss.,Die Grünen,mehr Bereich Fuer klimaziele erreichen
48,O-Ton,2023-03-28,tagesthemen,,Ricarda Lang,"Ich wundere mich, dass die Gruenen diesen Paradigmen-Wechsel mitgehen,",Die Grünen,wunderen gruen Paradigmenwechsel mitgeh
49,O-Ton,2023-03-28,tagesthemen,,Ricarda Lang,muss jedes Ressort selbst liefern.,Die Grünen,Ressort liefern
50,O-Ton,2023-03-28,tagesthemen,,Ricarda Lang,haetten wir nicht drei Tage verhandelt.,Die Grünen,haeten drei Tag verhandeln
51,O-Ton,2023-03-28,tagesthemen,,Ricarda Lang,"Wenn die Klimaziele insgesamt nicht eingehalten werden,",Die Grünen,Klimaziel insgesamt einhalten
52,O-Ton,2023-03-28,tagesthemen,,Ricarda Lang,Die Sektoren koennen sich untereinander helfen.,Die Grünen,Sektor Koenn untereinander helfen
53,O-Ton,2023-03-28,tagesthemen,,Ricarda Lang,Jedes Ressort behaelt seine Ziele.,Die Grünen,Ressort behaeln Ziel
54,O-Ton,2023-03-28,tagesthemen,,Ricarda Lang,Die Sektorziele im Klimaschutzgesetz bleiben erhalten.,Die Grünen,Sektorziel Klimaschutzgesetz bleiben erhalten
55,O-Ton,2023-03-28,tagesthemen,,Ricarda Lang,Ich hab kein Problem mit marktwirtschaftlichen Instrumenten.,Die Grünen,Problem marktwirtschaftlich Instrument
56,O-Ton,2023-03-28,tagesthemen,wenn durch Baumaßnahmen in Natur und,Ricarda Lang (zur Möglichkeit von Kompensationszahlungen,Ich muss einen Ausgleich leisten.,Die Grünen,Ausgleich leisten
57,O-Ton,2023-03-28,tagesthemen,wenn durch Baumaßnahmen in Natur und,Ricarda Lang (zur Möglichkeit von Kompensationszahlungen,wie kann eine Flaeche bestmoeglich genutzt werden.,Die Grünen,flaech bestmoeglich nutzen
58,O-Ton,2023-03-28,tagesthemen,wenn durch Baumaßnahmen in Natur und,Ricarda Lang (zur Möglichkeit von Kompensationszahlungen,"Nein. Es gibt zukuenftig eine Agentur, die bestimmt,",Die Grünen,nein geben zukuenftig Agentur bestimmen
59,O-Ton,2023-03-28,tagesthemen,wenn durch Baumaßnahmen in Natur und,Ricarda Lang (zur Möglichkeit von Kompensationszahlungen,"Heisst das, man kann sich da freikaufen?",Die Grünen,heisst freikaufen
60,O-Ton,2023-03-28,tagesthemen,wenn durch Baumaßnahmen in Natur und,Ricarda Lang (zur Möglichkeit von Kompensationszahlungen,Stattdessen sollen jetzt auch Geldzahlungen fliessen koennen.,Die Grünen,stattdessen sollen geldzahlung Fliesse Koenn
61,O-Ton,2023-03-28,tagesthemen,,Ricarda Lang,Ausgleichsflaechen bereitgestellt werden.,Die Grünen,ausgleichsflaechen bereitstellen
62,O-Ton,2023-03-28,tagesthemen,Vorsitzende Bündnis 90/Die Grünen,Ricarda Lang,Wir tragen stellvertretend fuer die Gesellschaft die Konflikte aus.,Die Grünen,tragen stellvertretend Fuer Gesellschaft Konflikt
63,O-Ton,2023-03-28,tagesthemen,Vorsitzende Bündnis 90/Die Grünen,Ricarda Lang,"Bei der Pressekonferenz sprach Lindner davon,",Die Grünen,Pressekonferenz sprechen Lindner davon
64,O-Ton,2023-03-28,tagesthemen,Vorsitzende Bündnis 90/Die Grünen,Ricarda Lang,das Klimaschutz-Gesetz zu aendern,Die Grünen,Klimaschutzgesetz aendern
65,O-Ton,2023-03-28,tagesthemen,,Ricarda Lang,und von der ÈOffnung des Raums fuer marktwirtschaftliche Elemente.,Die Grünen,èoffnung Raum Fuer marktwirtschaftlich element
66,O-Ton,2023-03-28,tagesthemen,,Ricarda Lang,Mussten Sie da nicht schlucken?,Die Grünen,mussen schlucken
67,O-Ton,2023-03-28,tagesthemen,,Ricarda Lang,Bislang muessen bei Baumassnahmen,Die Grünen,bislang muessen Baumassnahm
108,O-Ton,2023-04-01,tagesthemen,Heizungsbaumeister,Konrad Proschmann,Wir haben jetzt schon Wartezeiten fuer Heizungsumbau und -neubau,Expert,schon wartezeit Fuer Heizungsumbau Neubau
109,O-Ton,2023-04-01,tagesthemen,Heizungsbaumeister,Konrad Proschmann,mit 65 % erneuerbaren Energien betrieben werden.,Expert,65   erneuerbar Energie betreiben
110,O-Ton,2023-04-01,tagesthemen,Heizungsbaumeister,Konrad Proschmann,Ab 2024 soll jede neue Heizung,Expert,ab 2024 sollen neu Heizung
111,O-Ton,2023-04-01,tagesthemen,Heizungsbaumeister,Konrad Proschmann,Das ist ziemlich uebers Knie gebrochen.,Expert,ziemlich ueber Knie brechen
114,O-Ton,2023-04-01,tagesthemen,Heizungsbaumeister,Konrad Proschmann,Dafuer ist mit dem Kompromiss eine Austauschpflicht,Expert,Dafuer Kompromiss Austauschpflicht
115,O-Ton,2023-04-01,tagesthemen,Heizungsbaumeister,Konrad Proschmann,von bis zu 'nem Jahr.,Expert,n Jahr
116,O-Ton,2023-04-01,tagesthemen,Heizungsbaumeister,Konrad Proschmann,fuer bestehende ÈOl- und Gasheizungen vom Tisch.,Expert,Fuer bestehend èol Gasheizung Tisch
119,O-Ton,2023-04-01,tagesthemen,Vorsitzende Bündnis 90/Die Grünen,Ricarda Lang,"Es gibt Ausnahmen, wenn das Netz ausgerichtet wird auf Wasserstoff.",Die Grünen,geben Ausnahme Netz ausrichten Wasserstoff
120,O-Ton,2023-04-01,tagesthemen,Vorsitzende Bündnis 90/Die Grünen,Ricarda Lang,"Ich glaube nicht, dass sich das durchsetzen wird,",Die Grünen,glauben durchsetzen
121,O-Ton,2023-04-01,tagesthemen,Vorsitzende Bündnis 90/Die Grünen,Ricarda Lang,weil es nicht die effizienteste Variante ist.,Die Grünen,effizient variante
122,O-Ton,2023-04-01,tagesthemen,Vorsitzende Bündnis 90/Die Grünen,Ricarda Lang,Am effizientesten werden Waermepumpen sein.,Die Grünen,effizientesten waermepumpen
123,O-Ton,2023-04-01,tagesthemen,Vorsitzende Bündnis 90/Die Grünen,Ricarda Lang,Die Waermepumpe wird in den kommenden Jahren,Die Grünen,Waermepumpe kommend Jahr
126,O-Ton,2023-04-01,tagesthemen,Heizungsbaumeister,Konrad Proschmann,"Die Waermepumpen laufen mit Strom, gerade hier im Osten mit Kohlestrom.",Expert,waermepumpen laufen Strom gerade Osten Kohlestrom
127,O-Ton,2023-04-01,tagesthemen,Heizungsbaumeister,Konrad Proschmann,"Das ist ein Problem, dass fuer jeden Haushalt",Expert,Problem Dass Fuer Haushalt
128,O-Ton,2023-04-01,tagesthemen,Heizungsbaumeister,Konrad Proschmann,dann 'ne Waermepumpe und ein Elektroauto ...,Expert,ne Waermepumpe Elektroauto
129,O-Ton,2023-04-01,tagesthemen,Heizungsbaumeister,Konrad Proschmann,Das ist eine Herausforderung fuer unsere Gesellschaft.,Expert,Herausforderung Fuer Gesellschaft
130,O-Ton,2023-04-01,tagesthemen,Heizungsbaumeister,Konrad Proschmann,"Was da auf Hausbesitzer genau zukommt,",Expert,Hausbesitzer genau zukommen
131,O-Ton,2023-04-01,tagesthemen,Heizungsbaumeister,Konrad Proschmann,haben wir zusammengefasst auf tagesschau.de.,Expert,zusammengefasst Tagesschaude
134,O-Ton,2023-04-01,tagesthemen,Fraktion FDP,Michael Kruse,"Die Gruenen unterstuetzen den Wunsch der FDP, zweifeln aber den Nutzen an:",FDP,gruen unterstuetzen Wunsch FDP zweifeln Nutzen
136,O-Ton,2023-04-01,tagesthemen,Fraktion FDP,Michael Kruse,Das ist Technologieoffenheit.,FDP,Technologieoffenheit
137,O-Ton,2023-04-01,tagesthemen,Fraktion FDP,Michael Kruse,"Es wird weiterhin moeglich sein, mit Wasserstoff zu heizen.",FDP,weiterhin moeglich Wasserstoff heizen
142,O-Ton,2023-04-01,tagesthemen,Präsidentin Sozialverband VdK,Verena Bentele,dass mehr Parameter angewendet werden als nur eine Altersgrenze.,Expert,mehr parameter anwenden Altersgrenze
143,O-Ton,2023-04-01,tagesthemen,Präsidentin Sozialverband VdK,Verena Bentele,"Etwa die Betreuung von Pflegebeduerftigen,",Expert,etwa Betreuung Pflegebeduerftig
144,O-Ton,2023-04-01,tagesthemen,Präsidentin Sozialverband VdK,Verena Bentele,"finanzielle Moeglichkeiten, Betreuung pflegebeduerftiger Kinder.",Expert,finanziell moeglichkeit Betreuung pflegebeduerftig Kind
145,O-Ton,2023-04-01,tagesthemen,Präsidentin Sozialverband VdK,Verena Bentele,Auch die Opposition moechte mehr Klarheit.,Expert,Opposition moechen mehr Klarheit
147,O-Ton,2023-04-01,tagesthemen,Fraktion CDU/CSU,Andreas Jung,wie sie die Kosten schultern sollen.,CDU/CSU,Kosten schultern sollen
148,O-Ton,2023-04-01,tagesthemen,Fraktion CDU/CSU,Andreas Jung,"Nach monatelangem Streit, 30 Stunden Koalitionsausschuss,",CDU/CSU,monatelang Streit 30 Stunde Koalitionsausschuss
149,O-Ton,2023-04-01,tagesthemen,Fraktion CDU/CSU,Andreas Jung,gibt es kein Gesamtkonzept.,CDU/CSU,geben Gesamtkonzept
150,O-Ton,2023-04-01,tagesthemen,Fraktion CDU/CSU,Andreas Jung,Ein Gesamtkonzept will die Ampel im April im Kabinett verabschieden.,CDU/CSU,Gesamtkonzept Ampel April Kabinett verabschieden
153,O-Ton,2023-04-01,tagesthemen,Fraktion FDP,Michael Kruse,Man kann eine Gasheizung umruesten und dann mit Wasserstoff heizen.,FDP,Gasheizung umruesten Wasserstoff heizen
157,O-Ton,2023-04-01,tagesschau,Vorsitzende Bündnis 90/Die Grünen,Ricarda Lang,fuer die das eine Zukunftsinvestition ist.,Die Grünen,Fuer Zukunftsinvestition
158,O-Ton,2023-04-01,tagesschau,Vorsitzende Bündnis 90/Die Grünen,Ricarda Lang,Da sollten wir mit Krediterleichterungen,Die Grünen,sollen Krediterleichterung
159,O-Ton,2023-04-01,tagesschau,Vorsitzende Bündnis 90/Die Grünen,Ricarda Lang,und guten Konditionen arbeiten.,Die Grünen,gut Kondition arbeiten
160,O-Ton,2023-04-01,tagesschau,Vorsitzende Bündnis 90/Die Grünen,Ricarda Lang,Die Details sind noch offen.,Die Grünen,Detail offen
167,O-Ton,2023-04-01,tagesschau,Vorsitzende Bündnis 90/Die Grünen,Ricarda Lang,"Wir haben Menschen mit mehr Geld,",Die Grünen,Mensch mehr Geld
168,O-Ton,2023-04-01,tagesschau,Korrespondent,Nadine Bader,Bis dahin muss die Ampel noch einige Unstimmigkeiten klaeren:,ARD,dahin Ampel Unstimmigkeit klaeren
169,O-Ton,2023-04-01,tagesschau,Korrespondent,Nadine Bader,und der Bedeutung von Wasserstoff fuer die Waermewende.,ARD,Bedeutung Wasserstoff Fuer Waermewend
170,O-Ton,2023-04-01,tagesschau,Korrespondent,Nadine Bader,"Auch bei der Frage, wie die Buerger entlastet werden.",ARD,Frage Buerger entlasten
171,O-Ton,2023-04-01,tagesschau,Korrespondent,Nadine Bader,Krankschreibungen wegen Erkaeltungssymptomen,ARD,Krankschreibung wegen Erkaeltungssymptome
179,O-Ton,2023-04-01,tagesschau,Korrespondent,Nadine Bader,Etwa bei der Laenge von ÈUbergangsfristen,ARD,etwa Laenge èubergangsfristen
181,O-Ton,2023-04-01,tagesschau,Vorsitzende Bündnis 90/Die Grünen,Ricarda Lang,nicht mehr kosten als eine Gasheizung.,Die Grünen,mehr kosten Gasheizung
193,O-Ton,2023-04-01,tagesschau,Vorsitzende Bündnis 90/Die Grünen,Ricarda Lang,Fuer Menschen mit geringen Einkommen soll eine Waermepumpe,Die Grünen,Fuer Mensch gering Einkommen sollen Waermepumpe
209,O-Ton,2023-04-01,tagesschau,Vorsitzende Bündnis 90/Die Grünen,Ricarda Lang,Da sollten wir mit Krediterleichterungen,Die Grünen,sollen Krediterleichterung
210,O-Ton,2023-04-01,tagesschau,Vorsitzende Bündnis 90/Die Grünen,Ricarda Lang,fuer die das eine Zukunftsinvestition ist.,Die Grünen,Fuer Zukunftsinvestition
211,O-Ton,2023-04-01,tagesschau,Vorsitzende Bündnis 90/Die Grünen,Ricarda Lang,nicht mehr kosten als eine Gasheizung.,Die Grünen,mehr kosten Gasheizung
212,O-Ton,2023-04-01,tagesschau,Vorsitzende Bündnis 90/Die Grünen,Ricarda Lang,Fuer Menschen mit geringen Einkommen soll eine Waermepumpe,Die Grünen,Fuer Mensch gering Einkommen sollen Waermepumpe
216,O-Ton,2023-04-01,tagesschau,Vorsitzende Bündnis 90/Die Grünen,Ricarda Lang,und guten Konditionen arbeiten.,Die Grünen,gut Kondition arbeiten
226,O-Ton,2023-04-01,tagesschau,Vorsitzende Bündnis 90/Die Grünen,Ricarda Lang,Die Details sind noch offen.,Die Grünen,Detail offen
237,O-Ton,2023-04-01,tagesschau,Korrespondent,Nadine Bader,Krankschreibungen wegen Erkaeltungssymptomen,ARD,Krankschreibung wegen Erkaeltungssymptome
238,O-Ton,2023-04-01,tagesschau,Korrespondent,Nadine Bader,"Auch bei der Frage, wie die Buerger entlastet werden.",ARD,Frage Buerger entlasten
239,O-Ton,2023-04-01,tagesschau,Korrespondent,Nadine Bader,und der Bedeutung von Wasserstoff fuer die Waermewende.,ARD,Bedeutung Wasserstoff Fuer Waermewend
240,O-Ton,2023-04-01,tagesschau,Korrespondent,Nadine Bader,Etwa bei der Laenge von ÈUbergangsfristen,ARD,etwa Laenge èubergangsfristen
241,O-Ton,2023-04-01,tagesschau,Korrespondent,Nadine Bader,Bis dahin muss die Ampel noch einige Unstimmigkeiten klaeren:,ARD,dahin Ampel Unstimmigkeit klaeren
248,O-Ton,2023-04-01,tagesschau,Vorsitzende Bündnis 90/Die Grünen,Ricarda Lang,"Wir haben Menschen mit mehr Geld,",Die Grünen,Mensch mehr Geld
272,O-Ton,2023-04-02,tagesschau,"Bundesministerin für Wohnen, Stadtentwicklung und Bauwesen/SPD [ZDF]",Klara Geywitz,Schon jetzt zeichnet sich ab:,SPD,schon zeichnen ab
273,O-Ton,2023-04-02,tagesschau,"Bundesministerin für Wohnen, Stadtentwicklung und Bauwesen/SPD [ZDF]",Klara Geywitz,"d.h. der Hausbesitzer kann entscheiden, wofuer er sie einsetzt.",SPD,dh Hausbesitzer entscheiden Wofuer einsetzen
274,O-Ton,2023-04-02,tagesschau,"Bundesministerin für Wohnen, Stadtentwicklung und Bauwesen/SPD [ZDF]",Klara Geywitz,"Eine Praemie waere technologieoffen,",SPD,Praemie wa Technologieoff
275,O-Ton,2023-04-02,tagesschau,"Bundesministerin für Wohnen, Stadtentwicklung und Bauwesen/SPD [ZDF]",Klara Geywitz,die die alten Modelle als erste vom Markt nimmt.,SPD,alt Modell erster Markt nehmen
276,O-Ton,2023-04-02,tagesschau,"Bundesministerin für Wohnen, Stadtentwicklung und Bauwesen/SPD [ZDF]",Klara Geywitz,"Eine Abwrackpraemie ist sinnvoll,",SPD,Abwrackpraemie sinnvoll
277,O-Ton,2023-04-02,tagesschau,"Bundesministerin für Wohnen, Stadtentwicklung und Bauwesen/SPD [ZDF]",Klara Geywitz,"Wichtig ist, dass die schmutzigsten Kessel zuerst ausgetauscht werden.",SPD,wichtig schmutzig Kessel zuerst austauschen
280,O-Ton,2023-04-02,tagesschau,Bundesminister für Wirtschaft und Klimaschutz/Bündnis 90/Die Grünen,Robert Habeck,"Die Koalitionspartner seien sich einig, dass die mit wenig Geld",Die Grünen,Koalitionspartner wenig Geld
281,O-Ton,2023-04-02,tagesschau,Bundesminister für Wirtschaft und Klimaschutz/Bündnis 90/Die Grünen,Robert Habeck,Dann haette man die soziale Foerderung des Steuersystems da drin.,Die Grünen,haeten sozial Foerderung Steuersystem drin
282,O-Ton,2023-04-02,tagesschau,Bundesminister für Wirtschaft und Klimaschutz/Bündnis 90/Die Grünen,Robert Habeck,"das Gleiche bekommen, aber einen Teil zurueckgeben muessen.",Die Grünen,gleich bekommen Teil zurueckgeben Muesse
283,O-Ton,2023-04-02,tagesschau,Bundesminister für Wirtschaft und Klimaschutz/Bündnis 90/Die Grünen,Robert Habeck,"Man koennte die Betraege versteuern, sodass die besser Verdienenden",Die Grünen,koennen betraeg versteuern sodass gut verdienenden
284,O-Ton,2023-04-02,tagesschau,Bundesminister für Wirtschaft und Klimaschutz/Bündnis 90/Die Grünen,Robert Habeck,Man koennte es am Einkommen ausrichten.,Die Grünen,koennen Einkommen ausrichten
300,O-Ton,2023-04-02,tagesschau,"Bundesministerin für Wohnen, Stadtentwicklung und Bauwesen/SPD [ZDF]",Klara Geywitz,Schon jetzt zeichnet sich ab:,SPD,schon zeichnen ab
301,O-Ton,2023-04-02,tagesschau,"Bundesministerin für Wohnen, Stadtentwicklung und Bauwesen/SPD [ZDF]",Klara Geywitz,"d.h. der Hausbesitzer kann entscheiden, wofuer er sie einsetzt.",SPD,dh Hausbesitzer entscheiden Wofuer einsetzen
303,O-Ton,2023-04-02,tagesschau,"Bundesministerin für Wohnen, Stadtentwicklung und Bauwesen/SPD [ZDF]",Klara Geywitz,"Eine Praemie waere technologieoffen,",SPD,Praemie wa Technologieoff
304,O-Ton,2023-04-02,tagesschau,"Bundesministerin für Wohnen, Stadtentwicklung und Bauwesen/SPD [ZDF]",Klara Geywitz,die die alten Modelle als erste vom Markt nimmt.,SPD,alt Modell erster Markt nehmen
306,O-Ton,2023-04-02,tagesschau,"Bundesministerin für Wohnen, Stadtentwicklung und Bauwesen/SPD [ZDF]",Klara Geywitz,"Wichtig ist, dass die schmutzigsten Kessel zuerst ausgetauscht werden.",SPD,wichtig schmutzig Kessel zuerst austauschen
309,O-Ton,2023-04-02,tagesschau,Bundesminister für Wirtschaft und Klimaschutz/Bündnis 90/Die Grünen,Robert Habeck,"Die Koalitionspartner seien sich einig, dass die mit wenig Geld",Die Grünen,Koalitionspartner wenig Geld
310,O-Ton,2023-04-02,tagesschau,"Bundesministerin für Wohnen, Stadtentwicklung und Bauwesen/SPD [ZDF]",Klara Geywitz,"Eine Abwrackpraemie ist sinnvoll,",SPD,Abwrackpraemie sinnvoll
311,O-Ton,2023-04-02,tagesschau,Bundesminister für Wirtschaft und Klimaschutz/Bündnis 90/Die Grünen,Robert Habeck,"das Gleiche bekommen, aber einen Teil zurueckgeben muessen.",Die Grünen,gleich bekommen Teil zurueckgeben Muesse
315,O-Ton,2023-04-02,tagesschau,Bundesminister für Wirtschaft und Klimaschutz/Bündnis 90/Die Grünen,Robert Habeck,Dann haette man die soziale Foerderung des Steuersystems da drin.,Die Grünen,haeten sozial Foerderung Steuersystem drin
323,O-Ton,2023-04-02,tagesschau,Bundesminister für Wirtschaft und Klimaschutz/Bündnis 90/Die Grünen,Robert Habeck,"Man koennte die Betraege versteuern, sodass die besser Verdienenden",Die Grünen,koennen betraeg versteuern sodass gut verdienenden
325,O-Ton,2023-04-02,tagesschau,Bundesminister für Wirtschaft und Klimaschutz/Bündnis 90/Die Grünen,Robert Habeck,Man koennte es am Einkommen ausrichten.,Die Grünen,koennen Einkommen ausrichten
338,O-Ton,2023-04-19,tagesthemen,stellvertretender Fraktionsvorsitzender CDU/CSU,Jens Spahn,Der Kanzler verteidigt die Plaene sogar auf seiner Reise in Portugal.,CDU/CSU,Kanzler verteidigen Plaene sogar Reise Portugal
339,O-Ton,2023-04-19,tagesthemen,stellvertretender Fraktionsvorsitzender CDU/CSU,Jens Spahn,So wird aus der Waermewende eine Chaoswende.,CDU/CSU,Waermewende Chaoswende
340,O-Ton,2023-04-19,tagesthemen,Bundeskanzler/SPD,Olaf Scholz,"ob es eine Schwierigkeit gibt, die nicht bedacht worden ist.",Expert,Schwierigkeit geben bedenken
341,O-Ton,2023-04-19,tagesthemen,Bundeskanzler/SPD,Olaf Scholz,"Aber das ist eine Loesung, die so ziemlich alle Faelle,",Expert,Loesung ziemlich Faell
342,O-Ton,2023-04-19,tagesthemen,Bundeskanzler/SPD,Olaf Scholz,"auf die man kommen kann, bedacht hat.",Expert,kommen bedacht
343,O-Ton,2023-04-19,tagesthemen,Bundeskanzler/SPD,Olaf Scholz,Klar ist:,Expert,klar
344,O-Ton,2023-04-19,tagesthemen,Bundeskanzler/SPD,Olaf Scholz,2045 muss der Umstieg auf treibhausneutrale Heizungen,Expert,2045 Umstieg Treibhausneutral heizungen
345,O-Ton,2023-04-19,tagesthemen,Bundeskanzler/SPD,Olaf Scholz,geschafft sein.,Expert,schaffen
346,O-Ton,2023-04-19,tagesthemen,stellvertretender Fraktionsvorsitzender CDU/CSU,Jens Spahn,Das Chaos bei der Waermewende geht weiter.,CDU/CSU,Chaos Waermewende gehen
358,O-Ton,2023-04-19,tagesschau,Fraktionsvorsitzender FDP,Christian Dürr,Es wird es ÈAnderungen geben im parlamentarischen Verfahren.,FDP,èanderungen geben parlamentarisch Verfahren
359,O-Ton,2023-04-19,tagesschau,Fraktionsvorsitzender FDP,Christian Dürr,Der Gesetzentwurf ist besser geworden,FDP,Gesetzentwurf gut
360,O-Ton,2023-04-19,tagesschau,Fraktionsvorsitzender FDP,Christian Dürr,im Vergleich zum urspruenglichen Entwurf.,FDP,Vergleich urspruenglich Entwurf
