,Content Type,Date,Program,Speaker Description,Speaker Name,Subtitle,affiliation,Processed
3015,O-Ton,2023-07-14,tagesthemen,Politikwissenschaftlerin Freie Universität Berlin,Sabine Kropp,"Auch wenn er heute nicht gaenzlich beantwortet hat,",Expert,heute gaenzlich beantworten
3016,O-Ton,2023-07-14,tagesthemen,Politikwissenschaftlerin Freie Universität Berlin,Sabine Kropp,wie er seine Koalition wieder auf Erfolgskurs zu bringen gedenkt.,Expert,Koalition erfolgskurs bringen gedenken
3017,O-Ton,2023-07-14,tagesthemen,,15.11.2023 09:50 Seite 49 von 57 NDR Copyright,Beobachtet hat die Pressekonferenz auch Claudia Kornmeier.,,beobachten Pressekonferenz Claudia Kornmeier
3018,O-Ton,2023-07-14,tagesthemen,Politikwissenschaftlerin Freie Universität Berlin,Sabine Kropp,Noe.,Expert,noe
3019,O-Ton,2023-08-27,tagesschau,wie das Heizungsgesetz und die,Friedrich Merz (lehnt Gesetzesvorhaben der Ampel-Regierung,Dass das Heizungsgesetz nicht verabschiedet wird,CDU/CSU,Heizungsgesetz verabschieden
3020,O-Ton,2023-08-27,tagesschau,stellvertretender Fraktionsvorsitzender CDU/CSU,Jens Spahn,"Dann aber auch Frauen, Kinder -",CDU/CSU,frau Kind
3021,O-Ton,2023-08-27,tagesschau,wie das Heizungsgesetz und die,Friedrich Merz (lehnt Gesetzesvorhaben der Ampel-Regierung,und dieses Cannabis-Gesetz.,CDU/CSU,Cannabisgesetz
3022,O-Ton,2023-08-27,tagesschau,wie das Heizungsgesetz und die,Friedrich Merz (lehnt Gesetzesvorhaben der Ampel-Regierung,"Dass alle Gesetze geprueft werden, was sie an Buerokratie ausloesen.",CDU/CSU,gesetz pruefen wer Buerokratie ausloesen
3023,O-Ton,2023-08-27,tagesschau,wie das Heizungsgesetz und die,Friedrich Merz (lehnt Gesetzesvorhaben der Ampel-Regierung,"Im Format ""Frag selbst"" tritt Jens Spahn fuer die CDU an.",CDU/CSU,Format Frag treten Jens Spahn Fuer CDU
3027,O-Ton,2023-08-27,tagesschau,stellvertretender Fraktionsvorsitzender CDU/CSU,Jens Spahn,Im Moment sind es meistens junge Maenner.,CDU/CSU,Moment meistens jung Maenner
3028,O-Ton,2023-08-27,tagesschau,stellvertretender Fraktionsvorsitzender CDU/CSU,Jens Spahn,"Menschen, die es am dringendsten brauchen.",CDU/CSU,Mensch dringend brauchen
3031,O-Ton,2023-08-27,tagesschau,Vorsitzender FDP,Christian Lindner,Teile des Koalitionsvertrages,FDP,Teil koalitionsvertrag
3032,O-Ton,2023-08-27,tagesschau,Vorsitzender FDP,Christian Lindner,sind tatsaechlich aus der Zeit gefallen.,FDP,tatsaechlich Zeit fallen
