Programme,Section Title,Content Type,Speaker Name,Speaker Description,Segment Description,Date,Start Time,Duration,Subtitles
Tagesschau,Bundesregierung: Gebäudeenergiegesetz Mi 20:00 01,Einspieler,,,,2023-04-02,,"2'12""","Hier ist das Erste Deutsche Fernsehen mit der tagesschau. Herzlich willkommen zur Live- Untertitelung des NDR (02.04.2023) Heute im Studio: Jens Riewa. Guten Abend, ich begruesse Sie zur tagesschau. Die Bundesregierung arbeitet nach dem Kompromiss zum Austausch von Heizungen an einem Foerderprogramm. Finanzminister Lindner schlug vor, die Unterstuetzung vom Zustand der Anlage abhaengig zu machen. Wirtschaftsminister Habeck sagte im Bericht aus Berlin, niemand werde mit den Kosten ueberfordert. Ab 2024 sollen Heizungen zu 65 % mit erneuerbaren Energien betrieben werden. Geplant sind aber Ausnahmen und ÈUbergangsfristen. Beratung fuer die Umruestung der 20 Jahre alten Heizung, den moegliche Einbau einer Waermepumpe. In den naechsten Jahren steht das fuer viele an. Das Foerderprogramm der Bundesregierung dazu, noch in Arbeit. Es koennte danach gestaffelt werden, wie alt und schmutzig die Heizung ist, sagt der Finanzminister. Im Bericht aus Berlin nennt Habeck Lindners Vorschlag eine Moeglichkeit unter mehreren, um die Buerger zu entlasten. Man koennte es am Einkommen ausrichten. Man koennte die Betraege versteuern, sodass die besser Verdienenden das Gleiche bekommen, aber einen Teil zurueckgeben muessen. Dann haette man die soziale Foerderung des Steuersystems da drin. Die Koalitionspartner seien sich einig, dass die mit wenig Geld beim Umstieg unterstuetzt werden sollten, sagt Habeck. Im ZDF bringt Bundesbauministerin Geywitz eine Abwrackpraemie ins Spiel. Wichtig ist, dass die schmutzigsten Kessel zuerst ausgetauscht werden. Eine Abwrackpraemie ist sinnvoll, die die alten Modelle als erste vom Markt nimmt."
Tagesschau,01 Bundesregierung: Gebäudeenergiegesetz,Sachinhalt,Thorsten Schröder,Moderation,"Die Bundesregierung hat sich auf eine Novelle des Gebäudeenergiegesetzes geeinigt und damit die Umstellung von Heizungen auf Erneuerbare Energien gebilligt. Von 2024 an sollen alle neu eingebauten Heizungen zu mindestens 65 Prozent mit erneuerbaren Energien betrieben werden. Die Vorschriften werden zur Vermeidung sozialer Härten von Ausnahmen, Übergangsregelungen und Förderungsmöglichkeiten flankiert. Der Koalitionspartner FDP erwartet schon jetzt Änderungen am Gesetzentwurf, Kritik kommt von der Opposition. Bildinhalt",2023-04-19,20:00:48.23,"2'12""",
Tagesschau,01 Bundesregierung: Gebäudeenergiegesetz,Bildinhalt,Thorsten Schröder,Moderation,"Demonstration der Gruppe ""Letzte Generation"" in Berlin",2023-04-19,20:00:48.23,"0'16""",
Tagesschau,01 Bundesregierung: Gebäudeenergiegesetz,Bildinhalt,Thorsten Schröder,Moderation,"Christian Lindner, Robert Habeck und Maco Buschmann im Gespräch",2023-04-19,20:01:05.12,"0'06""",
Tagesschau,01 Bundesregierung: Gebäudeenergiegesetz,Bildinhalt,Thorsten Schröder,Moderation,Bundespressekonferenz mit Klara Geywitz und Robert Habeck 15.11.2023 09:44 Seite 4 von 36 NDR Copyright (c) 2004,2023-04-19,20:01:11.21,"0'35""",
Tagesschau,01 Bundesregierung: Gebäudeenergiegesetz,Bildinhalt,Thorsten Schröder,Moderation,Grafik: Förderung Heizungstausch O-Ton,2023-04-19,20:01:47.14,"0'17""",
Tagesschau,01 Bundesregierung: Gebäudeenergiegesetz,O-Ton,Robert Habeck,Bundesminister für Wirtschaft und Klimaschutz/Bündnis 90/Die Grünen,"(Haben großeAufgabe vor uns; beginnen sie recht spät, andere Länder haben das schon früher getan)",2023-04-19,20:01:21.04,"0'07""",
Tagesschau,01 Bundesregierung: Gebäudeenergiegesetz,O-Ton,Klara Geywitz,"Bundesministerin für Wohnen, Stadtentwicklung und Bauwesen/SPD Gesetz wird nicht dazu",,2023-04-19,20:01:36.16,"0'11""",
Tagesschau,01 Bundesregierung: Gebäudeenergiegesetz,O-Ton,Christian Dürr,Fraktionsvorsitzender FDP,"(Es wird im parlamentarischen Verfahren Änderungen amGesetzentwurf geben; im Vergleich zum ursprünglichen Entwurf von Robert Habeck ist er besser geworden,aber wir wollen Technologieoffen sein, weil nicht überall die Wärmepumpe passt)",2023-04-19,20:02:13.24,"0'12""",
Tagesschau,01 Bundesregierung: Gebäudeenergiegesetz,O-Ton,Jens Spahn,stellvertretender Fraktionsvorsitzender CDU/CSU,"(Das Gesetz, so wie es heute im Kabinettbeschlossen wurde, hat schon in der Koalition keine Mehrheit; das Chaos bei der Wärme-Wende geht weiter)",2023-04-19,20:02:30.07,"0'11""",
Tagesschau,01 Bundesregierung: Gebäudeenergiegesetz,O-Ton,Justus Kliss,Korrespondent,Aufsager,2023-04-19,20:02:49.13,"0'12""",
Tagesschau,FDP-Parteitag Sa 20:00 02,Einspieler,,,,2023-04-19,,"1'44""","Hier ist das Erste Deutsche Fernsehen mit der tagesschau. Diese Sendung wurde vom NDR live untertitelt (19.04.2023) Heute im Studio: Thorsten Schroeder. Guten Abend, meine Damen und Herren, ich begruesse Sie zur tagesschau. Die Bundesregierung treibt Plaene zur Modernisierung von Heizungen voran. Das Kabinett brachte einen Gesetzentwurf auf den Weg. Dafuer waren Plaene des Wirtschaftsministeriums ueberarbeitet worden, speziell die Foerdersaetze. Ab 2024 sollen alle neu eingebauten Heizungen zu mindestens 65 % mit Erneuerbaren betrieben werden. Wer die Anlage im selbstgenutzten Wohnraum tauscht, soll mit 30 % gefoerdert werden. In Berlin Stillstand auf der Strasse fuer mehr Tempo beim Klimaschutz. Die Vertreter der ""Letzten Generation"" fordern den kompletten Ausstieg aus fossiler Energie bis 2030. So ambitioniert war das Kabinett nicht: Aber ab 2024 sollen neue Heizungen mit mindestens 65 Prozent erneuerbaren Energien betrieben werden. Der Klimaschutzminister und die Bauministerin sprechen von einem wichtigen Gesetz. Waerme mache 30 Prozent des gesamten Energieverbrauches aus. Wir haben eine grosse Aufgabe vor uns und fangen sie spaet an. Andere Laender haben das frueher getan. Die Bauministerin betont, Heizungen, die funktionieren, muessen nicht ausgetauscht werden und defekte koennen repariert werden. Es wird niemand ohne Heizung da sitzen."
Tagesschau,02 FDP-Parteitag,Sachinhalt,Julia-Niharika Sen,Moderation,"Der FDP-Bundesparteitag hat darüber entschieden, das Gebäudeenergiegesetzes mit den Vorgaben für den Heizungsaustausch komplett zu stoppen. Der FDP-Bezirksverband Ostwestfalen-Lippe hatte einen entsprechenden Dringlichkeitsantrag eingereicht, der auf dem Parteitag angenommen wurde. Bildinhalt",2023-04-22,20:03:28.02,"1'44""",
Tagesschau,02 FDP-Parteitag,Bildinhalt,Julia-Niharika Sen,Moderation,"FDP-Parteitag, u.a. Frank Schäffler unter den Abgeordneten; Internetseite mit Informationen zum Gebäudeenergiegesetz (Antrag D004); Schäffler bei Rede; Applaus Parteimitglieder",2023-04-22,20:03:28.02,"0'52""",
Tagesschau,02 FDP-Parteitag,Bildinhalt,Julia-Niharika Sen,Moderation,Abstimmung Dringlichkeitsantrag; Antrag wird angenommen O-Ton,2023-04-22,20:04:20.23,"0'51""",
Tagesschau,02 FDP-Parteitag,O-Ton,Frank Schäffler,Vorsitzender FDP Ostwestfalen-Lippe,"(Ja wir wollen das Gebäudeenergiegesetz, dassRobert Habeck ja eingebracht hat, dass ja ein Heizungsverbotsgesetz ist, das wollen wir vom Kopf auf dieFüße stellen)",2023-04-22,20:03:45.09,"0'08""",
Tagesschau,02 FDP-Parteitag,O-Ton,Frank Schäffler,Vorsitzender FDP Ostwestfalen-Lippe,"(fordert, dass man den Menschen überlassen sollte,wie sie investieren und dass man sie nicht bevormunden sollte. Und dass dies die liberale Botschaft diesesParteitags sein sollte; bittet um Unterstützung)",2023-04-22,20:04:07.12,"0'13""",
Tagesschau,Lage der Bundes-Grünen vor der Bremenwahl So 20:00 03,Einspieler,,,,2023-04-22,,"1'43""","Hier ist das Erste Deutsche Fernsehen mit der tagesschau. Diese Sendung wurde vom NDR live untertitelt (22.04.2023) Heute im Studio: Julia-Niharika Sen. Guten Abend, ich begruesse Sie zur tagesschau. Die Tarifverhandlungen fuer den oeffentlichen Dienst von Bund und Kommunen sind in der entscheidenden vierten Runde. Grundlage ist die Empfehlung der Schlichtungskommission. Falls sich die Tarifparteien nicht darauf einigen, koennen die Gewerkschaften ueber unbefristete Streiks abstimmen. Die Gewerkschaften fordern mehr vor dem Tagungshotel in Potsdam: 10,5 % mehr Geld, mindestens aber 500 Euro mehr im Monat bei einer Laufzeit von zwoelf Monaten. Uns trifft die Inflation hart. Wir muessen auch unsere Lebenshaltungskosten bezahlen. Alles ist teurer. Wir brauchen eine gerechtere Bezahlung. Drinnen treffen sich Gewerkschaften und Vertreter von Bund und Kommunen. Beamtenbund und ver.di zeigten sich vorsichtig optimistisch: Wie bei jedem Kompromiss gibt es starke Seiten und schwache Seiten. Aus meiner Sicht ist hervorzuheben:"
Tagesschau,03 Lage der Bundes-Grünen vor der Bremenwahl,Sachinhalt,Constantin Schreiber,Moderation,Bündnis 90/Die Grünen befinden sich derzeit im Umfragetief. Im letzten Deutschlandtrend lag die Partei bei 16 Prozent. Zuletzt gab es viel Kritik am Heizungsgesetz oder an vermeintlicher Vetternwirtschaft im grün geführten Bundeswirtschaftsministerium. Bildinhalt,2023-05-07,20:05:15.18,"1'43""",
Tagesschau,03 Lage der Bundes-Grünen vor der Bremenwahl,Bildinhalt,Constantin Schreiber,Moderation,"Regieraum ""Bericht aus Berlin"", Grünen-Vorsitzende Ricarda Lang zu Gast im Studio",2023-05-07,20:05:15.18,"0'22""",
Tagesschau,03 Lage der Bundes-Grünen vor der Bremenwahl,Bildinhalt,Constantin Schreiber,Moderation,Archivmaterial (06.05.2023): Bündnis 90/Die Grünen feiern in Leipzig 30. Jubiläum des Zusammenschlusses von Bündnis 90 und Die Grünen,2023-05-07,20:05:56.12,"0'07""",
Tagesschau,03 Lage der Bundes-Grünen vor der Bremenwahl,Bildinhalt,Constantin Schreiber,Moderation,"Ricarda Lang als Studiogast im ""Bericht aus Berlin""",2023-05-07,20:06:13.01,"0'05""",
Tagesschau,03 Lage der Bundes-Grünen vor der Bremenwahl,Bildinhalt,Constantin Schreiber,Moderation,Heizungsbauer bei der Arbeit,2023-05-07,20:06:18.14,"0'09""",
