Programme,Section Title,Content Type,Speaker Name,Speaker Description,Segment Description,Date,Start Time,Duration,Subtitles
Tagesschau,01 ARD-Sommerinterview Friedrich Merz - ZDF-Sommerinterview Christian,Sachinhalt,Susanne Daubner,Moderation,Im ARD-Sommerinterview hat der CDU-Vorsitzende Friedrich Merz die Politik Ampelkoalition scharf kritisiert. Ihre Vorhaben seien zu bürokratisch und enthielten zu viele Verbote sowie Vorgaben vom Staat. Den Abbau von Bürokratie forderte auch Christian Lindner von der Regierungspartei FDP im ZDF-Sommerinterview. Im ARD-Format #fragselbst schlug der stellvertretende Fraktionsvorsitzende Jens Spahn neue Wege in der Asyl- und Migrationspolitik vor. Bildinhalt,2023-08-27,20:00:51.08,"1'45""",
Tagesschau,01 ARD-Sommerinterview Friedrich Merz - ZDF-Sommerinterview Christian,Bildinhalt,Susanne Daubner,Moderation,Friedrich Merz im ARD-Sommerinterview,2023-08-27,20:00:51.08,"0'54""",
Tagesschau,01 ARD-Sommerinterview Friedrich Merz - ZDF-Sommerinterview Christian,Bildinhalt,Susanne Daubner,Moderation,Jens Spahn im Tagesschau-Format #fragselbst,2023-08-27,20:01:46.03,"0'26""",
Tagesschau,01 ARD-Sommerinterview Friedrich Merz - ZDF-Sommerinterview Christian,Bildinhalt,Susanne Daubner,Moderation,Christian Lindner im ZDF-Sommerinterview 15.11.2023 09:44 Seite 31 von 36 NDR Copyright (c) 2004,2023-08-27,20:02:12.04,"0'24""",
Tagesschau,01 ARD-Sommerinterview Friedrich Merz - ZDF-Sommerinterview Christian,O-Ton,Friedrich Merz,Vorsitzender CDU,"(kritisiert Ampel-Vorhaben der Kindergrundsicherung: ""Die bessere Lösungwäre mehr Unterstützung der Kinder, bessere Bildungseinrichtungen, bessere Betreuungsmöglichkeiten.Immer höhere Transferleistungen lösen das Problem nicht"")",2023-08-27,20:01:11.12,"0'11""",
Tagesschau,01 ARD-Sommerinterview Friedrich Merz - ZDF-Sommerinterview Christian,O-Ton,Friedrich Merz (lehnt Gesetzesvorhaben der Ampel-Regierung,wie das Heizungsgesetz und die,"(lehnt Gesetzesvorhaben der Ampel-Regierung, wie das Heizungsgesetz und dieLegalisierung von Cannabis, ab; will ""dass überhaupt alle Gesetze mal daraufhin überprüft werden, was siean Bürokratie auslösen, also Stopp"")",2023-08-27,20:01:34.15,"0'11""",
Tagesschau,01 ARD-Sommerinterview Friedrich Merz - ZDF-Sommerinterview Christian,O-Ton,Jens Spahn,stellvertretender Fraktionsvorsitzender CDU/CSU,"(schlägt einen neuen Weg in derAsylpolitik/Migrationspolitik vor und fordert die gezielte Aufnahme von bis zu 400.000 Menschen in die EU:""Dann aber auch Frauen, Kinder, Menschen, die es am dringendsten brauchen. Im Moment haben wir dasRecht des Stärkeren. Das sind meistens junge Männer. Wer es irgendwie nach Europa reinmacht undschafft, der bleibt"")",2023-08-27,20:02:01.00,"0'11""",
Tagesschau,01 ARD-Sommerinterview Friedrich Merz - ZDF-Sommerinterview Christian,O-Ton,Christian Lindner,Vorsitzender FDP,"(gibt in Bezug auf Bürokratieabbau zu: ""Gibt es auch Teile desKoalitionsvertrages, die sind tatsächlich aus der Zeit gefallen. Und da müssen alle ein Einsehen haben"")",2023-08-27,20:02:22.10,"0'06""",
Tagesschau,Hintergrund: Energieberater Fr 20:00 03,Einspieler,,,,2023-08-27,,"1'32""","Hier ist das Erste Deutsche Fernsehen mit der tagesschau. Diese Sendung wurde vom NDR live untertitelt (27.08.2023) Heute im Studio: Susanne Daubner. Guten Abend, ich begruesse Sie zur tagesschau. CDU-Chef Merz hat eine Zusammenarbeit mit der AfD auf allen Ebenen ausgeschlossen. Die CDU habe dazu eine klare Beschlusslage, sagte Merz im ARD-Sommerinterview. Dies gelte auch fuer die kommunale Ebene. Eine Interview-ÈAusserung von ihm hatte zuletzt parteiintern fuer Kritik gesorgt. Sie konnte anders verstanden werden. Merz forderte die Bundesregierung auf, die Wirtschaft nicht staendig durch neue Vorgaben zu belasten. Aufwaerts soll es fuer die CDU gehen, so will es ihr Vorsitzender - in Umfragen und Landtagswahlen. Noch profitiert die Union nicht vom ÈArger vieler Waehler ueber die Ampel-Regierung. Deren juengstes Streitthema: die Kindergrundsicherung. Auch Merz will etwas gegen Kinderarmut tun, aber nicht zuerst mit mehr Geld fuer Eltern. Die bessere Loesung waere bessere Bildungseinrichtungen, bessere Betreuungsmoeglichkeiten. Hoehere Transferleistungen loesen das Problem nicht. Merz versucht, als Kaempfer gegen Buerokratie zu punkten. Er will zentrale Projekte der Regierung aufhalten. Seine Forderung:"
Tagesschau,03 Hintergrund: Energieberater,Sachinhalt,Thorsten Schröder,Moderation,"Nach monatelanger Debatte ist das umstrittene Heizungsgesetz (offiziell: Gebäudeenergiegesetz) im Bundestag verabschiedet worden. Energieberater sehen es allerdings kritisch, dass Gasheizungen noch deutlich länger eingebaut werden dürfen, als ursprünglich geplant. Bildinhalt",2023-09-08,20:03:54.15,"1'32""",
Tagesschau,03 Hintergrund: Energieberater,Bildinhalt,Thorsten Schröder,Moderation,Eigentümer Reiner Nier und Energieberater Olaf Ebling besichtigen Hybridanlage aus Wärmepumpe und Gas im Heizungskeller und Wärmepumpe vor dem Haus O-Ton,2023-09-08,20:03:54.15,"0'46""",
Tagesschau,03 Hintergrund: Energieberater,O-Ton,Reiner Nier,,,2023-09-08,20:04:10.13,"0'11""",
Tagesschau,03 Hintergrund: Energieberater,O-Ton,Olaf Ebling,Energieberater,(rate von reiner Öl- und Gasheizung ab),2023-09-08,20:04:45.24,"0'07""",
Tagesschau,03 Hintergrund: Energieberater,O-Ton,"Olaf Ebling (wurde bei einer Eigentümerversammlungen ""fast geteert und gefedert",... weil ich im Prinzip eine,"(wurde bei einer Eigentümerversammlungen ""fast geteert und gefedert, ... weil ich im Prinzip einePelletheizung vorgeschlagen habe und die unbedingt eine Ölheizung haben wollten"")",2023-09-08,20:05:05.10,"0'10""",
Tagesschau,Bundestag: Abstimmung Heizungsgesetz Fr 20:00 02,Einspieler,,,,2023-09-08,,"2'32""","Hier ist das Erste Deutsche Fernsehen mit der tagesschau. Diese Sendung wurde vom NDR live untertitelt (08.09.2023) Heute im Studio: Thorsten Schroeder. Guten Abend, ich begruesse Sie zur tagesschau. Es ist eine Sport-Sensation: Nach einem Sieg ueber die USA stehen die deutschen Basketballer erstmals in einem WM-Finale. Der groesste Erfolg der deutschen Basketball-Geschichte. Mehr dazu spaeter. Erst zur Innenpolitik: Nach langem Streit auch innerhalb der Koalition beschloss der Bundestag das ""Heizungsgesetz"". Wirtschaftsminister Habeck sprach von einer Weichenstellung fuer Klimaschutz. Die Union bezeichnete die Reform als Irrsinn und warnte, das Gesetz mache Menschen arm. Die Reform des Gebaeudeenergiegesetzes soll schrittweise den Abschied von fossilen Heizungen einleiten. In der Margaretenau laufen die Planungen fuer die Gebaeudesanierung. Die Genossenschaftsbauten werden noch mit Gas beheizt. Stadtentwickler planen nun Fotovoltaikanlagen und Waermepumpen. Das dauert 'ne Weile. Wir planen, dass wir so zwischen 2035 und 2038 hier CO2-frei sind. Wir machen das, indem wir Waerme aus der Umwelt holen. Regensburg reagiert damit auf das neue Gebaeudeenergiegesetz, das ab 2024 gelten soll. Es sind ÈUbergangsfristen bis zu zehn Jahren vorgesehen. Heute ging es auch im Bundestag hoch her. Der Wirtschaftsminister versucht, zu besaenftigen. Dieses Gesetz schafft Rechtssicherheit. Es schuetzt die Verbraucher vor den hohen Energiepreisen. Und die Kommunen werden mitgenommen. Es sorgt fuer eine soziale Ausbalancierung des Gesetzes. Die Opposition sieht das anders."
Tagesschau,02 Bundestag: Abstimmung Heizungsgesetz,Sachinhalt,Thorsten Schröder,Moderation,Nach langem Regierungsinternen Streit hat der Bundestag mit der Mehrheit der Regierungsparteien das überarbeitete Gebäudeenergiegesetz (Heizungsgesetz) verabschiedet. Bildinhalt,2023-09-08,20:01:04.00,"2'32""",
Tagesschau,02 Bundestag: Abstimmung Heizungsgesetz,Bildinhalt,Thorsten Schröder,Moderation,Sanierungsmaßnahme der Baugenossenschaft Margaretenau Regensburg,2023-09-08,20:01:04.00,"0'33""",
Tagesschau,02 Bundestag: Abstimmung Heizungsgesetz,Bildinhalt,Thorsten Schröder,Moderation,Grafik: Gebäudeenergiegesetz,2023-09-08,20:01:37.13,"0'25""",
Tagesschau,02 Bundestag: Abstimmung Heizungsgesetz,Bildinhalt,Thorsten Schröder,Moderation,Bundestagsdebatte zum Gebäudeenergiegesetz,2023-09-08,20:02:03.10,"1'07""",
Tagesschau,02 Bundestag: Abstimmung Heizungsgesetz,Bildinhalt,Thorsten Schröder,Moderation,Wohnhäuser der Baugenossenschaft Margaretenau mit Solaranlagen auf Dächern O-Ton,2023-09-08,20:03:11.04,"0'08""",
Tagesschau,02 Bundestag: Abstimmung Heizungsgesetz,O-Ton,Armin Mayr,Stadtentwickler Regensburg,"(Planen, dass wir zwischen 2035 und 2038 CO2-frei sind)",2023-09-08,20:01:19.12,"0'12""",
Tagesschau,02 Bundestag: Abstimmung Heizungsgesetz,O-Ton,Robert Habeck,Bundesminister für Wirtschaft und Klimaschutz/Bündnis 90/Die Grünen,"(Dieses Gesetzschafft Rechtssicherheit, es schützt die Verbraucher vor den hohen Energiepreisen. Es sorgt dafür, dass dieKommunen und die Verbände mitgenommen werden. Es sorgt für eine soziale Ausbalancierung desGesetzes)",2023-09-08,20:02:11.17,"0'13""",
Tagesschau,02 Bundestag: Abstimmung Heizungsgesetz,O-Ton,Alexander Dobrindt,Vorsitzender CSU-Landesgruppe im Deutschen Bundestag,"(Dieses Heiz-Gesetz ist derGipfel der Respektlosigkeit gegenüber Bürgerinnen und Bürgern ... es geht darum, dass es wiederabgeschafft werden muss)",2023-09-08,20:02:28.18,"0'11""",
Tagesschau,02 Bundestag: Abstimmung Heizungsgesetz,O-Ton,Dietmar Bartsch,Fraktionsvorsitzender Die Linke,"(Sie müssen Mietern ein Versprechen geben, keinen Euromehr Warmmiete für dieses Gesetz)",2023-09-08,20:02:39.24,"0'07""",
Tagesschau,02 Bundestag: Abstimmung Heizungsgesetz,O-Ton,Wolfram Axthelm,Geschäftsführer Bundesverband Erneuerbare Energie,"(Bisher konzentriert sich dieFörderung sehr stark auf den Sektor der Eigenheime. Wir sind in Deutschland ein Vermieter-Land, ein Mieter-Land hier braucht es noch eine Komponente Nachsteuern in der Förderung. Ich rufe da die Bundesregierungdazu auf, hier noch nochmal nachzuarbeiten)",2023-09-08,20:02:54.17,"0'16""",
Tagesschau,02 Bundestag: Abstimmung Heizungsgesetz,O-Ton,Nicole Kohnert,Korrespondent,Aufsager,2023-09-08,20:03:19.15,"0'16""",
Tagesschau,Sommerinterview mit Alice Weidel (AfD) So 20:00 07,Einspieler,,,,2023-09-08,,"1'39""","Hier ist das Erste Deutsche Fernsehen mit der tagesschau. Diese Sendung wurde vom NDR live untertitelt (08.09.2023) Heute im Studio: Thorsten Schroeder. Guten Abend, ich begruesse Sie zur tagesschau. Es ist eine Sport-Sensation: Nach einem Sieg ueber die USA stehen die deutschen Basketballer erstmals in einem WM-Finale. Der groesste Erfolg der deutschen Basketball-Geschichte. Mehr dazu spaeter. Erst zur Innenpolitik: Nach langem Streit auch innerhalb der Koalition beschloss der Bundestag das ""Heizungsgesetz"". Wirtschaftsminister Habeck sprach von einer Weichenstellung fuer Klimaschutz. Die Union bezeichnete die Reform als Irrsinn und warnte, das Gesetz mache Menschen arm. Die Reform des Gebaeudeenergiegesetzes soll schrittweise den Abschied von fossilen Heizungen einleiten. In der Margaretenau laufen die Planungen fuer die Gebaeudesanierung. Die Genossenschaftsbauten werden noch mit Gas beheizt. Stadtentwickler planen nun Fotovoltaikanlagen und Waermepumpen. Das dauert 'ne Weile. Wir planen, dass wir so zwischen 2035 und 2038 hier CO2-frei sind. Wir machen das, indem wir Waerme aus der Umwelt holen. Regensburg reagiert damit auf das neue Gebaeudeenergiegesetz,"
Tagesschau,07 Sommerinterview mit Alice Weidel (AfD),Sachinhalt,Constantin Schreiber,Moderation,"ARD-Sommerinterview und Format ""Frag selbst"" mit AfD-Bundessprecherin Alice Weidel. Bildinhalt",2023-09-10,20:11:18.12,"1'39""",
Tagesschau,07 Sommerinterview mit Alice Weidel (AfD),Bildinhalt,Constantin Schreiber,Moderation,"Alice Weidel im ARD-Sommerinterview bzw. ARD-Format ""Frag selbst"" O-Ton",2023-09-10,20:11:18.12,"1'39""",
Tagesschau,07 Sommerinterview mit Alice Weidel (AfD),O-Ton,Alice Weidel,Bundessprecherin AfD,"(zur Teilnahme des Co-Vorsitzenden Chrupalla am Empfang desrussischen Botschafters am Jahrestag des Sieges über Nazi-Deutschland: ""Die Niederlage des eigenenLandes zu befeiern mit einer ehemaligen Besatzungsmacht, das ist etwas, wo ich für mich persönlichentschieden habe, auch mit der Fluchtgeschichte meines Vaters, daran nicht teilzunehmen"")",2023-09-10,20:11:42.15,"0'15""",
Tagesschau,07 Sommerinterview mit Alice Weidel (AfD),O-Ton,Alice Weidel,,"(verbindet Rücktrittsforderung an Kanzler Scholz mit dem umstrittenenHeizungsgesetz/Gebäudeenergiegesetz: ""Es wäre wichtig, dass dieser Kanzler, der die Mehrheiten verlorenhat, im deutschen Volk, in der Bevölkerung, den Weg frei macht für Neuwahlen"")",2023-09-10,20:12:12.15,"0'09""",
Tagesschau,07 Sommerinterview mit Alice Weidel (AfD),O-Ton,Alice Weidel,,"(zu Rechtsextremismus in der AfD: ""Ich finde Björn Höcke hat sich sehr gut entwickelt"")",2023-09-10,20:12:42.22,"0'03""",
Tagesthemen,Studio-Interview mit Matthias Sandrock: Mi 23:16 02,Einspieler,,,,,,"5'57""",
Tagesthemen,02 Studio-Interview mit Matthias Sandrock: Energiewende,Sachinhalt,Ingo Zamperoni,Moderation,"Studio-Interview mit Matthias Sandrock, Geschäftsführer Hamburg Institut, über den umstrittenen Entwurf des Wirtschafts- und des Bauministeriums zur Änderung des Gebäudeenergiegesetzes. O-Ton",2023-03-15,22:20:42.18,"5'57""",
Tagesthemen,02 Studio-Interview mit Matthias Sandrock: Energiewende,O-Ton,Matthias Sandrock (Im Hinblick auf den Klimaschutz und vor dem Hintergrund,das gesamte Energiesystem,"(Im Hinblick auf den Klimaschutz und vor dem Hintergrund, das gesamte Energiesystemresilienter aufzustellen, müssen wir jetzt fossile Heizungen beenden. Auf lange Sicht sind Wärmepumpensehr viel günstiger. Wärmenetze sind ebenfalls eine gute Alternative. Der Ausbau erneuerbarer Energien fürdie Stromerzeugung muss dafür auch vorangetrieben werden)",2023-03-15,22:20:42.18,"5'57""",
Tagesthemen,Streit über Energiewende Mi 23:16 01,Einspieler,,,,2023-03-15,,"2'45""","Hier ist das Erste Deutsche Fernsehen mit den tagesthemen. Herzlich willkommen zur Live- Untertitelung des NDR (15.03.2023) Heute im Studio: Ingo Zamperoni und Susanne Daubner Guten Abend, willkommen zu den tagesthemen. Fangen wir mit einer guten Nachricht an. Die kommt vom Bundesumweltamt. Das berichtet: Deutschland hat sein Klimaziel fuer 2022 geschafft. Deutschland hat weniger Treibhausgase ausgestossen als 2021. Ein Rueckgang von 1,9 %, aber immerhin. Koennte man meinen. Bei genauerer Betrachtung loest sich jede Euphorie auf. Zu verdanken haben wir das einem Rueckgang der Produktion. Der Sektor, bei dem wir den direktesten Hebel haben, beim Verkehr, bei Gebaeuden, beim Heizen: Da wurden Klimaziele verfehlt. Dort wird zu viel CO2 ausgestossen. Das ist ein Hauptgrund, warum Habeck das Aus fuer neue ÈOl- und Gas-Heizungen ab 2024 plant. Doch ist das moeglich? Was kommt auf die Verbraucher zu, die mit ÈOl oder Gas heizen? Nicole Kohnert. Thomas Toedter aus Hannover macht sich Sorgen um seine Heizung. Noch funktioniert sie, aber was, wenn sie kaputtgeht? Um mit einer Waermepumpe heizen zu koennen, muesste der 60er-Jahre-Bau komplett saniert werden. Die Heizkoerper muessen auf moderne Plattenheizkoerper umgebaut werden. Dass wir 'ne Effizienz bekommen. Es muss das Dach gedaemmt werden. Die Fenster muessen neu und fachgerecht eingebaut sein. Es muss eine Fussbodenheizung rein. Die Summen beziffern wir mit 200.000 Euro. Geld, das er als Rentner nicht hat und nicht als Kredit aufnehmen kann. Die Unsicherheit ist gross. Grund ist ein Entwurf zur Energieeffizienz des Wirtschafts- und Bauministeriums. Ab 2024 soll jede neue Heizung zu 65 % mit erneuerbaren Energien betrieben werden. Heisst: Pure Gas- und ÈOlheizungen sollen nicht mehr eingebaut werden. Ausnahmen und Haertefaelle werden diskutiert, auch heute im Bundestag."
Tagesthemen,01 Streit über Energiewende,Sachinhalt,Ingo Zamperoni,Moderation,"Der Entwurf des Wirtschafts- und des Bauministeriums zur Änderung des Gebäudeenergiegesetzes hat bei Hauseigentümern mit alten Heizungen für Verunsicherung gesorgt. Der Entwurf sieht vor, dass der Einbau neuer Gas- und Ölheizungen bereits ab 2024 verboten und neue Heizungen möglichst zu 65 Prozent mit erneuerbaren Energien betrieben werden sollen. Bildinhalt",2023-03-15,22:17:57.13,"2'45""",
Tagesthemen,01 Streit über Energiewende,Bildinhalt,Ingo Zamperoni,Moderation,"Thomas Toedter, Hausbesitzer (zu notwendigen Dämmmaßnahmen beim Einbau einer Wärmepumpenheizung in sein altes Haus)",2023-03-15,22:18:20.21,"0'15""",
Tagesthemen,01 Streit über Energiewende,Bildinhalt,Ingo Zamperoni,Moderation,"Information ""Änderung des Gebäudeenergiegesetzes (GEG)"" auf der Internetseite des Bundeswirtschaftsministeriums",2023-03-15,22:18:45.02,"0'21""",
Tagesthemen,01 Streit über Energiewende,Bildinhalt,Ingo Zamperoni,Moderation,Arbeiten in einer Werkstatt O-Ton,2023-03-15,22:20:03.11,"0'09""",
Tagesthemen,01 Streit über Energiewende,O-Ton,Andreas Kreth,Heizungsbaumeister,(zu notwendigen Maßnahmen beim Einbau einerWärmepumpenheizung in ein altes Haus),2023-03-15,22:18:14.04,"0'06""",
Tagesthemen,01 Streit über Energiewende,O-Ton,Bernd Riexinger,Fraktion Die Linke,(Eine Wärmewende darf auf keinen Fall zu Lasten der Mieter gehen),2023-03-15,22:19:07.00,"0'05""",
Tagesthemen,01 Streit über Energiewende,O-Ton,15.11.2023 09:50 Seite 2 von 57 NDR Copyright,,(c),2023-03-15,22:19:12.02,"0'08""",
Tagesthemen,01 Streit über Energiewende,O-Ton,Klara Geywitz,"Bundesministerin für Wohnen, Stadtentwicklung und Bauwesen/SPD","(Wir wollen keine reinenGas- und Ölheizungen haben, aber es wird jede Menge hybride Lösungen geben)",2023-03-15,22:19:28.01,"0'06""",
Tagesthemen,01 Streit über Energiewende,O-Ton,Ralf Kurze,Heizungsinstallateur,"(zu besorgten Kunden, die Angst haben, nicht mehr mit fossilenBrennstoffen heizen zu dürfen)",2023-03-15,22:19:45.11,"0'17""",
Tagesthemen,01 Streit über Energiewende,O-Ton,Robert Habeck,Bundesminister für Wirtschaft und Klimaschutz/Bündnis 90/Die Grünen,(Die soziale Fragemuss abgefedert werden. Beim Austausch eines Gaskessels gegen eine teurere Wärmepumpe darf keinesoziale Not entstehen),2023-03-15,22:20:16.04,"0'15""",
Tagesthemen,Schaltgespräch mit Ricarda Lang: Di 22:18 02,Einspieler,,,,2023-03-15,,"5'48""","Hier ist das Erste Deutsche Fernsehen mit den tagesthemen. Herzlich willkommen zur Live- Untertitelung des NDR (15.03.2023) Heute im Studio: Ingo Zamperoni und Susanne Daubner Guten Abend, willkommen zu den tagesthemen. Fangen wir mit einer guten Nachricht an. Die kommt vom Bundesumweltamt. Das berichtet: Deutschland hat sein Klimaziel fuer 2022 geschafft. Deutschland hat weniger Treibhausgase ausgestossen als 2021. Ein Rueckgang von 1,9 %, aber immerhin. Koennte man meinen. Bei genauerer Betrachtung loest sich jede Euphorie auf. Zu verdanken haben wir das einem Rueckgang der Produktion. Der Sektor, bei dem wir den direktesten Hebel haben, beim Verkehr, bei Gebaeuden, beim Heizen: Da wurden Klimaziele verfehlt. Dort wird zu viel CO2 ausgestossen. Das ist ein Hauptgrund, warum Habeck das Aus fuer neue ÈOl- und Gas-Heizungen ab 2024 plant. Doch ist das moeglich? Was kommt auf die Verbraucher zu, die mit ÈOl oder Gas heizen? Nicole Kohnert. Thomas Toedter aus Hannover macht sich Sorgen um seine Heizung. Noch funktioniert sie, aber was, wenn sie kaputtgeht? Um mit einer Waermepumpe heizen zu koennen, muesste der 60er-Jahre-Bau komplett saniert werden. Die Heizkoerper muessen auf moderne Plattenheizkoerper umgebaut werden. Dass wir 'ne Effizienz bekommen. Es muss das Dach gedaemmt werden. Die Fenster muessen neu und fachgerecht eingebaut sein. Es muss eine Fussbodenheizung rein. Die Summen beziffern wir mit 200.000 Euro. Geld, das er als Rentner nicht hat und nicht als Kredit aufnehmen kann. Die Unsicherheit ist gross. Grund ist ein Entwurf zur Energieeffizienz des Wirtschafts- und Bauministeriums. Ab 2024 soll jede neue Heizung zu 65 % mit erneuerbaren Energien betrieben werden. Heisst: Pure Gas- und ÈOlheizungen sollen nicht mehr eingebaut werden. Ausnahmen und Haertefaelle werden diskutiert, auch heute im Bundestag. Eine Waermewende darf nicht zu Lasten der Mieter gehen. Wer sich entscheidet, eine neue Heizungsform zu installieren, sollte dafuer vom Staat unterstuetzt werden. Bauministerin Geywitz versucht, die Debatte einzufangen und bespricht Ausnahmen. Wir wollen keine reinen Gas- und ÈOlheizungen, es wird hybride Loesungen geben. Darueber, wie diese aussehen koennten, raetseln viele und rufen dann bei ihm an: Heizungsbauer Kurze aus Stendal. Die Leute haben regelrecht Angst, dass ihnen das Heizen mit fossilen Brennstoffen verboten wird. Wir haben Kunden mit Geraeten, die zehn Jahre alt sind. Wenn eine Reparatur ansteht, sagen sie: Das Geraet laeuft noch, aber eigentlich will ich jetzt wechseln. Die Reparatur von bestehenden Heizungen ist nach wie vor erlaubt, so der derzeitige Entwurf. Wer sich eine Umruestung nicht leisten kann, solle Hilfe bekommen, verspricht der Wirtschaftsminister. Die soziale Frage koennen und muessen wir abfedern. Dass also durch den Austausch, wenn ein Gaskessel kaputt ist, keine soziale Not entsteht. Noch ist kein Gesetz beschlossen. Hausbesitzer Toedter will noch nicht sanieren. Fuer ihn ist der Aufwand zu gross, so lange seine alte Heizung noch funktioniert. Dazu begruesse ich im Studio Dr. Matthias Sandrock, Geschaeftsfuehrer und Mitbegruender des Hamburg Instituts. Das beraet und forscht im Energie- und Umweltsektor. Guten Abend. Ein Sorgenkind bei der Energiewende ist der Gebaeudesektor. Aber prescht Minister Habeck nicht zu schnell vor, wenn das Aus fuer Gas- und ÈOl-Heizungen schon 2024 kommen soll? Das Ziel der Klimaneutralitaet bei Gebaeuden ist nicht neu. Das hat das Verfassungsgericht auf 2045 festgelegt. Eine Heizung laeuft 20 oder 25 Jahre. Also muessten wir jetzt fossile Heizungen beenden. Klimaneutralitaet heisst, dass wir keine fossilen Brennstoffe verfeuern. Viele Verbraucher haben das Gefuehl: Diese Wende wird auf meinem Ruecken ausgetragen und fuehlen sich im Stich gelassen. Es geht nicht nur um den Klimaschutz. Das Versorgungssystem muss resilienter aufgestellt werden. Der Krieg in der Ukraine hat gezeigt, wie riskant es ist, sich auf Erdgas zu verlassen. Davon muessen wir weg. Das ist sicherheitspolitisch fuer uns ganz wichtig. Und auch kostentechnisch fuer die Verbraucher."
Tagesthemen,02 Schaltgespräch mit Ricarda Lang: Koalitionsausschuss,Sachinhalt,Ingo Zamperoni,Moderation,"Schaltgespräch mit Ricarda Lang, Vorsitzende Bündnis 90/Die Grünen, über die Verständigung des Koalitionsausschusses der Ampel-Koalition auf einen gemeinsamen Kurs in der Klima-, Verkehrs- und 15.11.2023 09:50 Seite 3 von 57 NDR Copyright (c) 2004",2023-03-28,22:22:44.03,"5'48""",
Tagesthemen,02 Schaltgespräch mit Ricarda Lang: Koalitionsausschuss,O-Ton,Ricarda Lang,Vorsitzende Bündnis 90/Die Grünen,"(gesteht ein: ""Wir schaffen es immer noch nicht, die Lückebeim Klimaschutz im Verkehr vollends zu schließen"")",2023-03-28,22:22:44.03,"0'56""",
Tagesthemen,02 Schaltgespräch mit Ricarda Lang: Koalitionsausschuss,O-Ton,Ricarda Lang,,"(""Ich habe gar kein Problem mit marktwirtschaftlichen Instrumenten im Klimaschutz. Wirwerden am Ende beides brauchen - Marktwirtschaft und Ordnungsrecht""; Sektorziele im Klimaschutzgesetzbleiben erhalten; erklärt, dass es für einzelne Bereiche wie Energie, Industrie, Verkehr und Gebäude möglichsein, soll Zielverfehlungen in einem Sektor in einem anderen auszugleichen)",2023-03-28,22:23:40.20,"1'03""",
Tagesthemen,02 Schaltgespräch mit Ricarda Lang: Koalitionsausschuss,O-Ton,Ricarda Lang,,"(zum Umgang mit Sektorenzielen im Klimaschutzgesetz: ""Nur wenn die Regierung alsGesamtes ihre Klimaziele einhält, dann kann man sagen, okay, an dieser Stelle kann der eine Sektor demanderen Sektor helfen. Aber wenn die Klimaziele nicht eingehalten werden, dann darf es eben auch nicht zuVerantwortungsdiffusion kommen, sondern es muss ganz klar sein: Derjenige, der die Verfehlung verursachthat, der muss dann auch Maßnahmen vorlegen"" für seinen Bereich. ""Verkehr ist ja dafür das beste Beispiel.Da wird kein Sektor aus der Verantwortung genommen""; hätten kaum drei Tage lang verhandelt, wenn nichtfür jede Partei Zumutungen, Kompromisse drin stecken würden)",2023-03-28,22:24:44.20,"1'00""",
Tagesthemen,02 Schaltgespräch mit Ricarda Lang: Koalitionsausschuss,O-Ton,Ricarda Lang (zur Möglichkeit von Kompensationszahlungen,wenn durch Baumaßnahmen in Natur und,"(zur Möglichkeit von Kompensationszahlungen, wenn durch Baumaßnahmen in Natur undLandschaft eingegriffen wird: ""Das bedeutet, dass es in Zukunft eine Agentur geben soll, die eineVerantwortung dafür hat, gemeinsam zu schauen, welche Fläche kann eigentlich bestmöglich genutztwerden. Das heißt, das Prinzip, wenn ich einen bestimmten Bau vornehme, ich gleichzeitig einen Ausgleichleisten muss und dass das über Flächen gelingt, das bleibt weiterhin ... Klimaschutz, Naturschutz wird durchdiese Vereinbarung ganz klar gestärkt"")",2023-03-28,22:25:45.07,"0'51""",
Tagesthemen,02 Schaltgespräch mit Ricarda Lang: Koalitionsausschuss,O-Ton,Ricarda Lang,,"(zu Zugeständnissen und Errungenschaften der Grünen im Koalitionsausschuss: ""Dass wir hierVerantwortung übernehmen für das ganze Land, das ist klar. Und zur Verantwortung für das ganze Landauch gehört, dass sich eine Regierung einigen muss und man dabei über seinen Schatten springen muss,das ist auch klar""; ""Wir haben vereinbart, dass im nächsten Jahr die LKW-Maut bedeutend steigt und dassdas Geld, was da reingeholt wird, zu 80 Prozent, aber ganz überwiegend an die Schiene geht ... pro Jahr 5Milliarden ... die nur an die Schiene gehen""; Bau von Solaranlagen beim Bau neuer Autobahnen;Gebäudeenergiegesetz wird kommen, Umstieg auf klimafreundliche Alternativen bei neuen Heizungeneinschließlich sozialem Ausgleich)",2023-03-28,22:26:37.02,"1'55""",
