Content Type,Date,Program,Segment Description,Speaker Description,Speaker Name,Subtitle
Sachinhalt,2023-03-28,tagesthemen,"Schaltgespräch mit Ricarda Lang, Vorsitzende Bündnis 90/Die Grünen, über die Verständigung des Koalitionsausschusses der Ampel-Koalition auf einen gemeinsamen Kurs in der Klima-, Verkehrs- und 15.11.2023 09:50 Seite 3 von 57 NDR Copyright (c) 2004",Moderation,Ingo Zamperoni,Wir werden einen sozialen Ausgleich dafuer machen.
Sachinhalt,2023-03-28,tagesthemen,"Schaltgespräch mit Ricarda Lang, Vorsitzende Bündnis 90/Die Grünen, über die Verständigung des Koalitionsausschusses der Ampel-Koalition auf einen gemeinsamen Kurs in der Klima-, Verkehrs- und 15.11.2023 09:50 Seite 3 von 57 NDR Copyright (c) 2004",Moderation,Ingo Zamperoni,Wir sprechen noch mit einem weiteren Teilnehmer
Sachinhalt,2023-03-28,tagesthemen,"Schaltgespräch mit Ricarda Lang, Vorsitzende Bündnis 90/Die Grünen, über die Verständigung des Koalitionsausschusses der Ampel-Koalition auf einen gemeinsamen Kurs in der Klima-, Verkehrs- und 15.11.2023 09:50 Seite 3 von 57 NDR Copyright (c) 2004",Moderation,Ingo Zamperoni,In den letzten Jahren ist vieles liegen geblieben.
Sachinhalt,2023-03-28,tagesthemen,"Schaltgespräch mit Ricarda Lang, Vorsitzende Bündnis 90/Die Grünen, über die Verständigung des Koalitionsausschusses der Ampel-Koalition auf einen gemeinsamen Kurs in der Klima-, Verkehrs- und 15.11.2023 09:50 Seite 3 von 57 NDR Copyright (c) 2004",Moderation,Ingo Zamperoni,der Marathon-Sitzung.
Sachinhalt,2023-03-28,tagesthemen,"Schaltgespräch mit Ricarda Lang, Vorsitzende Bündnis 90/Die Grünen, über die Verständigung des Koalitionsausschusses der Ampel-Koalition auf einen gemeinsamen Kurs in der Klima-, Verkehrs- und 15.11.2023 09:50 Seite 3 von 57 NDR Copyright (c) 2004",Moderation,Ingo Zamperoni,"Wir schaffen es immer noch nicht, die Luecke beim Verkehr zu schliessen."
Sachinhalt,2023-03-28,tagesthemen,"Schaltgespräch mit Ricarda Lang, Vorsitzende Bündnis 90/Die Grünen, über die Verständigung des Koalitionsausschusses der Ampel-Koalition auf einen gemeinsamen Kurs in der Klima-, Verkehrs- und 15.11.2023 09:50 Seite 3 von 57 NDR Copyright (c) 2004",Moderation,Ingo Zamperoni,Wir kommen aus nicht einfachen Verhandlungen.
,2023-03-28,tagesthemen,,,,wenn in anderen Bereichen eingespart wird.
,2023-03-28,tagesthemen,,,,Dafuer muss das Klimaschutzgesetz aufgeweicht werden.
,2023-03-28,tagesthemen,,,,Bei den Heizungen soll niemand im Stich gelassen werden.
,2023-03-28,tagesthemen,,,,16 Seiten lang ist die Einigung von heute.
,2023-03-28,tagesthemen,,,,Schon am Abend
,2023-03-28,tagesthemen,,,,vor der Pressekonferenz zeigte er sich zufrieden.
,2023-03-28,tagesthemen,,,,"Ich bin sehr zuversichtlich, dass wir ein grosses Werk haben."
,2023-03-28,tagesthemen,,,,Der ÈArger ueber durchgestochene Gesetze scheint verflogen.
,2023-03-28,tagesthemen,,,,Das Thema Finanzen war in der Mammutsitzung nicht Thema.
Sachinhalt,2023-03-28,tagesthemen,"Schaltgespräch mit Ricarda Lang, Vorsitzende Bündnis 90/Die Grünen, über die Verständigung des Koalitionsausschusses der Ampel-Koalition auf einen gemeinsamen Kurs in der Klima-, Verkehrs- und 15.11.2023 09:50 Seite 3 von 57 NDR Copyright (c) 2004",Moderation,Ingo Zamperoni,"In Berlin begruesse ich die Co-Partei-Chefin der Gruenen,"
